"","Player","Nation","Age","Born","X90s","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"11","k.salihovi","Bernepamar",24,1996,0.34,0,0,0,0.04,0.04,0,0.04,0,0,19.92,5.03,1,5.01,10.04,5.07,4.9,0.05,0,5.03,0,0,0,0.07,8200000,7600000,7100000,6600000,6100000,5600000,5200000,4800000,4400000,4e+06
"12","j.otto","Bernepamar",32,1988,0.8,3.83,0.09,1.23,0.01,2.5,1.18,2.43,1,1.25,16.27,5.07,1,7.44,6.17,2.56,0.09,0,0,0,1.17,5.08,1.17,0,4600000,4200000,3900000,3500000,3200000,2900000,2600000,2300000,2100000,1800000
"13","e.binabdulrahman","Bernepamar",26,1994,5.22,0.01,0.05,0,0.03,0.04,0.02,0.03,0,0,0.24,0.19,1,0.18,0.01,0,0.04,0,0,0,0.01,0,0.22,0.18,34800000,32300000,29900000,27600000,25400000,23300000,21300000,19500000,17700000,16100000
"14","m.hussein","Bernepamar",30,1990,0.04,1.05,0.04,0,0,1,0.1,0.03,0,0,1.1,0.05,0,0,0.01,1.07,0,0,0,0.03,0,1.03,1.92,0,4800000,4400000,4e+06,3700000,3400000,3e+06,2800000,2500000,2200000,2e+06
"15","n.kabagambe","Bernepamar",31,1989,2.07,2.48,0.93,1.97,0,0.42,0,2.92,0.04,3.1,19.98,5.51,1,9.91,7.41,2.45,2.04,0.53,0.01,1.49,2.01,4.46,1.96,0.04,7200000,6600000,6e+06,5500000,5e+06,4500000,4100000,3700000,3300000,2900000
"16","t.alzahrani","Bernepamar",22,1998,3.5,2.87,2.31,1.48,1.46,0.07,1.39,3.98,1,2.51,29.14,4.98,1,9.94,16.5,2.71,2.47,0,0,2.53,0.87,3.66,0.53,0.07,22300000,20900000,19600000,18300000,1.7e+07,15800000,14600000,13500000,12400000,11400000
"17","u.lai","Bernepamar",29,1991,0.56,4.99,5,3.39,1.58,0,0,0.01,0,0.07,11.64,5.05,1,5,5.09,1.72,0,0.02,0,0.06,1.67,6.59,8.28,0.02,5900000,5400000,5e+06,4500000,4100000,3800000,3400000,3100000,2800000,2500000
"18","z.janssen","Bernepamar",29,1991,4.2,1.89,1.48,1.28,0.51,0.18,0.24,1.61,1,1.52,17.08,5.28,1,8.33,8.14,0.77,1.15,0.29,0,1.01,2.16,4.06,0.69,0.07,17400000,1.6e+07,14700000,13500000,12300000,11200000,10200000,9200000,8300000,7500000
"19","h.sinaga","Bernepamar",24,1996,5.31,2.16,1.63,1.56,0.34,0.42,0.66,1.18,1,0.54,18.78,7,1,7.59,6.91,4.13,2.68,0.1,0.07,2.55,1.15,3.35,2.11,0.06,3.9e+07,36400000,33900000,31500000,29100000,26900000,24700000,22700000,20800000,1.9e+07
"20","k.mayanja","Bernepamar",27,1993,3.29,1.27,0.53,0.58,0.65,0.01,0.72,1.8,1,1.26,23.7,6.85,1,8.12,11.25,4.43,1.91,0.37,0,1.49,0.89,2.24,0,0,16100000,14900000,13800000,12700000,11700000,10700000,9700000,8900000,8e+06,7300000
"21","j.muratovi","Byasier Pujan",38,1982,4.1,0.09,0,0,0,0,0.09,0.06,0,0.08,0.05,0,0,0,0.03,0.05,0,0.06,0.05,0.09,0,0,0.07,0,8200000,7400000,6600000,5900000,5300000,4700000,4100000,3600000,3200000,2800000
"22","c.carvalho","Byasier Pujan",25,1995,0.59,0.1,0,0,0,0,0.05,1.68,0,1.57,9.99,3.42,1,1.58,8.32,0,0.09,0,0,0.02,1.69,1.71,1.61,0,8500000,7900000,7300000,6800000,6200000,5700000,5300000,4800000,4400000,4e+06
"23","d.iskandar","Byasier Pujan",30,1990,3.3,1.57,1.22,1.21,0.33,0.08,0,0.54,0,0.67,13.33,4.76,1,4.79,3.64,4.82,2.14,0.39,0.03,1.91,1.16,2.71,0.23,0.06,13500000,12400000,11300000,10400000,9400000,8600000,7700000,7e+06,6300000,5600000
"24","f.kyamanywa","Byasier Pujan",19,2001,1.56,4.34,1.82,1.83,1.8,0.56,1.22,1.8,1,0.61,17.52,5.66,1,6.16,8.08,3.12,1.24,0.58,0.07,0.72,1.96,6.2,3.05,0.09,15800000,1.5e+07,14100000,13300000,12500000,11700000,10900000,10200000,9400000,8700000
"25","i.gumede","Byasier Pujan",28,1992,3.55,2.62,2.06,0.9,1.69,0.1,0.63,0.82,1,0.31,15.77,5.97,1,7.42,7.4,0.81,1.47,0.9,0,0.49,2.22,4.84,6.32,0,15800000,14600000,13400000,12300000,11300000,10300000,9400000,8500000,7700000,7e+06
"26","o.oh","Byasier Pujan",30,1990,3.32,2.73,1.49,1.78,0.81,0.07,1.29,1.51,1,0.37,12.09,4.54,1,6.02,5.51,0.61,1.92,0.9,0.02,0.84,2.2,4.79,0.59,0.01,12600000,11600000,10600000,9700000,8800000,8e+06,7200000,6500000,5900000,5300000
"27","v.bila","Byasier Pujan",24,1996,3.43,1.77,0.93,0.55,0.49,0.48,1.11,2.01,1,0.94,18.37,7.06,1,5.38,6.82,6.05,1.11,0.32,0.06,0.91,0.61,2.38,0,0,22900000,21400000,19900000,18500000,17100000,15800000,14500000,13300000,12200000,11100000
"28","z.nalunga","Byasier Pujan",21,1999,0.58,0.02,0.1,0.02,0.09,0.01,0,1.75,0.05,1.66,21.65,1.74,1,11.61,5.08,4.93,4.96,1.58,0,3.25,1.57,1.67,0,0.08,8500000,8e+06,7500000,7100000,6600000,6100000,5700000,5300000,4900000,4500000
"29","l.mhango","Byasier Pujan",29,1991,0.57,3.24,1.58,1.63,1.57,0.05,1.67,1.71,1,0.03,29.91,11.73,1,3.38,13.23,13.28,1.72,0,0,1.62,0,3.36,1.74,0.07,7500000,6900000,6400000,5800000,5300000,4800000,4400000,4e+06,3600000,3200000
"30","w.joao","Byasier Pujan",21,1999,2.63,3.08,1.19,1.54,1.62,0.06,1.15,1.12,1,0.04,15.84,4.64,1,6.61,8.37,0.78,1.52,0.81,0,0.68,0.81,3.93,5.36,0.04,1.9e+07,17900000,16800000,15800000,14700000,13700000,12700000,11800000,10900000,1e+07
"31","e.lam","Byasier Pujan",28,1992,2.17,1.42,0.87,0.41,0.57,0.52,0,0.55,0.04,0.42,27.54,7.17,1,2.82,13.33,11.49,0.55,0,0.09,0.51,0.03,1.5,0,0,12800000,11800000,10800000,1e+07,9100000,8300000,7600000,6900000,6200000,5600000
"32","s.amulen","Byasier Pujan",22,1999,1.67,0,0,0.08,0,0,0,0.62,0,0.52,11.21,2.4,1,1.73,2.98,6.47,0.63,0.02,0.06,0.63,0.07,0,0,0,15200000,14200000,13300000,12400000,11600000,10800000,1e+07,9200000,8500000,7800000
"33","u.yong","Byasier Pujan",30,1990,0.06,0,0.04,0.1,0,0.08,0,9.96,0.03,10.02,90.09,39.97,1,20.01,39.98,30.09,0,0.02,0.05,0.03,0.02,0.01,0.06,0,6700000,6200000,5700000,5200000,4700000,4300000,3900000,3500000,3100000,2800000
"34","y.manjate","Byasier Pujan",26,1994,3.5,0.02,0.02,0,0.1,0,0,0.78,0,0.79,13.38,5.28,1,0.77,4.51,8.05,0.33,0.08,0,0.29,0.58,0.49,0.08,0,22700000,21100000,19500000,1.8e+07,16600000,15200000,13900000,12700000,11600000,10500000
"35","z.namiiro","Byasier Pujan",29,1992,0.8,0.02,0,0.09,0,0.05,0,1.35,0.08,1.51,18.52,2.9,1,5.64,8.55,4.21,0.1,0,0,0,0.05,0.08,0.01,0,6200000,5700000,5200000,4800000,4400000,4e+06,3600000,3300000,2900000,2600000
"36","a.nsereko","Byasier Pujan",21,1999,0.06,0,0.02,0,0,0,0.08,0,0,0.07,0.04,0,0,0,0.01,0.08,0.08,0,0,0,0.06,0,0,0,9100000,8600000,8100000,7600000,7100000,6600000,6100000,5600000,5200000,4800000
"37","h.gaillard","Byasier Pujan",23,1997,3.93,1.74,1.33,0.8,0.82,0.32,0.19,0.57,1,0.33,17.41,7.42,1,4.12,8.16,5.21,1.25,0,0,1.28,1.99,3.83,1.33,0,29700000,27800000,25900000,24100000,22400000,20700000,19100000,17600000,16200000,14800000
"38","v.waswa","Byasier Pujan",30,1990,3.96,1.74,0.68,0.57,0.8,0.45,0,0.6,0,0.55,17.33,5.1,1,5.23,8.03,3.94,1,0.26,0.05,0.69,1.23,2.92,0.22,0,16500000,15100000,13900000,12600000,11500000,10400000,9500000,8500000,7700000,6900000
"39","w.nabuuma","Byasier Pujan",29,1991,2.57,1.55,1.07,0.02,1.49,0.01,0.48,2,1,1.55,20.02,6.17,1,4.69,12.72,2.63,1.55,0.45,0,1.21,0.85,2.22,2.78,0,11600000,10700000,9800000,9e+06,8200000,7500000,6800000,6100000,5500000,5e+06
"40","x.abramov","Byasier Pujan",18,2002,1.15,3.28,0.77,1.76,1.77,0.07,0.81,3.27,1,2.52,26.71,4.99,1,11.79,10.06,5.07,2.4,0.8,0,1.61,1.73,5.09,0.74,0.02,12700000,1.2e+07,11400000,10800000,10100000,9500000,8900000,8300000,7700000,7200000
"41","c.magombo","Djipines",23,1997,3.98,0.48,0.57,0.31,0.17,0.06,0.32,0.83,1,0.53,10.59,2.91,1,7.76,2.73,0.04,1.77,1.25,0,0.5,2.35,2.82,6.45,0,24500000,22900000,21400000,19900000,18500000,17100000,15800000,14500000,13300000,12200000
"42","f.nassolo","Djipines",19,2001,1.58,0.03,0,0.03,0,0.03,0,2.05,0.04,2,13.94,2.03,1,8.74,4.62,0.64,1.98,0,0,1.97,1.35,1.35,3.28,0.59,13800000,1.3e+07,12300000,11600000,10900000,10200000,9500000,8800000,8200000,7600000
"43","h.namara","Djipines",25,1995,3.48,0.5,0.24,0.23,0.03,0.29,0.27,0.53,1,0.25,6.78,1.73,1,4.03,1.81,0.85,2.72,0.9,0,1.81,0.39,0.79,1.56,0.04,19800000,18500000,17100000,15900000,14600000,13500000,12400000,11300000,10300000,9400000
"44","m.tang","Djipines",27,1993,3.16,1.98,0.62,1.67,0.04,0.32,1.2,1.62,1,0.33,14.73,2.51,1,6.74,5.41,2.62,2.24,1.34,0.07,0.98,0.73,2.59,4.85,0.09,14800000,13700000,12600000,11600000,10700000,9800000,8900000,8100000,7400000,6700000
"45","n.dekker","Djipines",23,1997,2.92,2.41,1.31,2.07,0.34,0.09,1.28,1.34,1,0,11.08,3.62,1,7.42,3.63,0.06,3.04,2.07,0.04,1.07,1.38,3.69,6.69,0.04,17700000,16600000,15500000,14400000,13400000,12400000,11400000,10500000,9700000,8800000
"46","t.alowo","Djipines",31,1989,0.98,0.91,0.04,1,0.05,0,0.99,2.06,1,1.04,9.02,3.06,1,4.91,3.93,0,0,0,0,0,0.02,1.02,4.02,0,5500000,5e+06,4600000,4100000,3800000,3400000,3100000,2800000,2500000,2200000
"47","i.bintiomar","Djipines",20,2000,0.76,5.02,3.85,1.26,1.31,2.41,2.41,2.52,1,0,13.8,5.1,1,6.23,7.6,0.02,2.58,1.34,0,1.2,1.17,6.15,5.03,0,11100000,10500000,9900000,9300000,8700000,8100000,7500000,7e+06,6500000,6e+06
"48","l.ningsih","Djipines",22,1999,0.01,0.04,0.09,0,0.05,0,0.05,0,0,0.05,30.08,0,0.1,0,9.92,20.04,0,0,0.01,0,0.04,0,0,0.03,10100000,9500000,8900000,8300000,7700000,7100000,6600000,6100000,5600000,5200000
"49","c.mawejje","Djipines",23,1997,0.33,0,0,0.01,0,0.09,0,0,0,0,15.08,2.53,1,2.57,0,12.51,7.51,2.43,0.07,5.1,0,0.01,2.49,0,9500000,8900000,8300000,7800000,7200000,6700000,6200000,5700000,5200000,4800000
"50","f.alupo","Djipines",28,1992,3.13,0.05,0.05,0,0.01,0,0,1,0.1,0.9,15.54,3.78,1,0.94,10.03,4.69,0.27,0,0.09,0.36,0.23,0.28,2.09,0.04,16400000,15100000,13900000,12800000,11700000,10700000,9700000,8800000,8e+06,7200000
"51","h.brun","Djipines",27,1993,3.97,0.09,0,0,0.08,0.03,0,0.05,0,0,0.07,0.02,0,0,0.09,0.03,0,0,0,0.08,0.01,0.08,0,0.01,21600000,2e+07,18400000,1.7e+07,15600000,14300000,1.3e+07,11800000,10800000,9700000
"52","k.moretti","Djipines",30,1990,3.7,1.57,1.27,0.36,1.11,0.26,0,2.39,0.03,2.49,18.36,4.11,1,7.29,8.05,2.88,0.57,0.26,0,0.33,1.85,3.54,1.58,0,1.4e+07,12900000,11800000,10800000,9800000,8900000,8e+06,7300000,6500000,5900000
"53","w.hon","Djipines",24,1997,3.36,1.76,1.5,1.45,0.23,0,1.29,3.37,1,2.06,27.31,6.09,1,12.69,11.13,3.37,1.53,0.69,0.68,0.86,2.08,3.94,2.38,0,17800000,16600000,15500000,14400000,13300000,12300000,11300000,10400000,9500000,8700000
"54","y.akampurira","Djipines",20,2000,0.08,0,0.08,0.09,0,0,0,0,0,0.01,30,9.9,1,29.93,0,0.09,19.94,9.94,0.07,9.95,0,0,0.02,0,5200000,4900000,4600000,4300000,4e+06,3800000,3500000,3300000,3e+06,2800000
"55","i.koomson","Djipines",23,1997,3.41,1.14,0.33,0.09,0.83,0.35,0.05,0,0,0.1,15.39,2.87,1,1.63,9.38,4.31,1.24,0,0,1.21,0.33,1.36,0.33,0,24800000,23200000,21700000,20200000,18700000,17300000,1.6e+07,14700000,13500000,12400000
"56","k.mohammadzadeh","Djipines",30,1990,3.91,1.81,1.36,1.02,0.35,0.61,0,0.19,0,0.32,19.8,3.76,1,4.59,10.03,5.11,1.11,0.18,0.07,0.81,1.63,3.25,0.54,0.09,16300000,1.5e+07,13700000,12500000,11400000,10300000,9400000,8500000,7600000,6800000
"57","q.ariko","Djipines",31,1989,3.97,0.25,0.23,0.23,0.03,0.01,0,0.45,0.08,0.47,8.3,1.03,1,1.51,3.27,3.27,0.94,0.05,0,1.03,1.02,1.19,1.26,0,15700000,14300000,13100000,11900000,10800000,9800000,8800000,7900000,7100000,6400000
"58","t.cheung","Djipines",23,1997,0.66,5.07,3.4,5.01,0,0.05,1.67,3.4,1,1.7,16.79,3.41,1,6.68,6.67,3.42,1.62,1.64,0.02,0,0,5.04,1.71,0,8900000,8300000,7800000,7300000,6700000,6200000,5800000,5300000,4900000,4400000
"59","b.klemeni","Dosqaly",24,1996,3.33,4.18,0.9,2.12,1.61,0.51,2.43,2.71,1,0.32,17.37,5.52,1,7.31,6.41,3.73,1.14,0.03,0,1.19,1.92,5.97,1,0.09,20200000,18800000,17500000,16300000,15100000,13900000,12800000,11700000,10700000,9800000
"60","b.luki","Dosqaly",22,1998,1.09,0.1,0,0,0,0.06,0,0.96,0.07,1.05,8.07,0.03,0,2.94,5.06,0.01,2,0,0,2.08,3.1,3.09,0.97,0.04,11100000,10400000,9800000,9100000,8500000,7900000,7300000,6700000,6200000,5700000
"61","b.mangwiro","Dosqaly",24,1996,1.6,0.63,0.61,0.75,0,0,0.05,0.76,0,0.74,21.99,4,1,14.66,4.07,3.42,1.24,0.08,0,1.31,1.32,1.99,4.64,0,9300000,8700000,8100000,7500000,6900000,6400000,5900000,5400000,4900000,4500000
"62","l.wilson","Dosqaly",25,1995,0.42,2.03,1.93,2.03,0.02,0,0.1,0.09,0,0.06,15.92,6.08,1,14.07,1.92,0,1.94,2.04,0,0,1.94,3.93,10.02,0,6e+06,5600000,5200000,4800000,4400000,4100000,3700000,3400000,3100000,2800000
"63","n.kamusiime","Dosqaly",27,1993,1.1,0.93,0.94,0,0.85,0,0,0.91,0,0.99,5.53,3.67,1,0.99,2.67,1.83,0.07,0,0,0.03,0.96,1.9,0,0.04,8900000,8300000,7600000,7e+06,6400000,5900000,5400000,4900000,4400000,4e+06
"64","q.coppola","Dosqaly",25,1995,4.23,1.42,0.73,1.25,0,0.33,0.89,1.61,1,0.64,8.42,3.03,1,5.17,3.04,0.21,0.85,0.03,0,0.98,0.86,2.26,3.25,0.03,24900000,23200000,21500000,19900000,18400000,16900000,15500000,14200000,1.3e+07,11800000
"65","v.andersson","Dosqaly",27,1993,4.29,1.09,0.43,1.08,0,0.01,0.77,0.79,1,0.01,7.5,2.56,1,4.67,2.72,0,1.56,0.68,0.06,0.84,1.33,2.65,4.51,0,2.2e+07,20400000,18800000,17300000,15900000,14500000,13300000,12100000,1.1e+07,9900000
"66","o.maulana","Dosqaly",25,1995,3.5,2.39,0.96,0.86,0.86,0.68,1.47,2.32,1,0.93,13.6,3.85,1,4.93,6.18,2.34,1.81,0.04,0.03,1.7,2.38,4.8,0.79,0.03,20400000,1.9e+07,17600000,16300000,15100000,13900000,12700000,11600000,10600000,9700000
"67","h.robert","Dosqaly",22,1998,4.23,0.48,0.26,0,0.3,0.21,0,0.43,0,0.44,7.48,1.33,1,1.39,3.3,2.7,0.64,0.23,0,0.54,0.23,0.62,0,0.04,33400000,31300000,29300000,27400000,25500000,23700000,21900000,20200000,18600000,17100000
"68","k.nambozo","Dosqaly",25,1995,0.1,0,0,0,0,0,0,0.01,0,0,0.08,0.03,0,0,0.03,0.04,0.08,0,0.02,0.04,0,0,0,0,7100000,6600000,6200000,5700000,5300000,4900000,4500000,4100000,3700000,3400000
"69","s.mlakar","Dosqaly",34,1986,0.58,0,0,0.1,0.09,0,0,0,0,0.03,25.98,8.01,1,4.1,6.03,15.98,3.99,0,0.03,3.94,0.09,0.06,0,0.08,4600000,4200000,3800000,3400000,3100000,2800000,2500000,2200000,2e+06,1700000
"70","y.sen","Dosqaly",33,1987,3.71,0.25,0.17,0.19,0.07,0,0.06,0.04,0,0.07,8.69,2.95,1,0.96,4.8,2.91,0.24,0.1,0,0.19,0.53,0.78,0.27,0,12500000,11400000,10300000,9400000,8400000,7600000,6800000,6100000,5400000,4800000
"71","p.peh","Dosqaly",23,1997,0.39,0,0.09,0.04,0,0.04,0,3.37,0,3.41,13.3,3.34,1,3.39,3.38,6.68,0.02,0,0.05,0,0.03,0,0,0,9200000,8600000,8e+06,7400000,6900000,6400000,5900000,5400000,5e+06,4600000
"72","u.oola","Dosqaly",26,1994,0.87,1.1,1.1,0,1.15,0,0,1.02,0,1.2,17.83,4.42,1,5.55,8.95,3.3,0,0,0.03,0.02,1.21,2.14,2.23,0.08,8100000,7500000,7e+06,6400000,5900000,5400000,5e+06,4500000,4100000,3800000
"73","h.cardoso","Dosqaly",31,1989,0.42,0,0,0,0.01,0,0.04,0,0,0.02,9.99,2.54,1,0.06,4.93,4.91,0,0,0.02,0,0,0.01,0,0.08,5300000,4900000,4500000,4100000,3700000,3300000,3e+06,2700000,2400000,2200000
"74","j.rukundo","Dosqaly",27,1993,4.17,1.97,1.15,0.69,1.23,0.02,0.28,1.03,1,0.75,17.53,5.28,1,4.93,10.29,2.38,0.73,0.18,0.06,0.41,1.67,3.51,0.75,0,22400000,20700000,19100000,17600000,16200000,14800000,13500000,12300000,11100000,10100000
"75","k.eyotaru","Dosqaly",23,1997,0.13,0,0,0.09,0,0,0,0.03,0,0,10.03,0,0.01,0.01,0,10,9.93,9.9,0.09,0.02,0,0.09,0,0.02,9e+06,8400000,7900000,7300000,6800000,6300000,5800000,5300000,4900000,4500000
"76","m.matsumoto","Dosqaly",29,1991,4.26,3,1.92,1.56,1.24,0.29,0.52,1,1,0.55,21.65,4.48,1,7.11,11.46,3.08,1.64,0,0.04,1.68,2.6,5.49,0.29,0.03,18500000,1.7e+07,15600000,14300000,1.3e+07,11900000,10800000,9800000,8800000,7900000
"77","m.sakai","Dosqaly",24,1996,1.03,1.94,1.98,1.06,0.93,0.03,0,0,0,0,16.94,6.97,1,4.95,11.09,0.93,0.07,0.05,0,0.09,0.06,2.09,0,0.09,10200000,9500000,8800000,8200000,7600000,7e+06,6400000,5900000,5400000,4900000
"78","o.aboagye","Dosqaly",29,1991,4,2.83,2.5,1.05,0.99,0.85,0.75,0.94,1,0.33,20.83,6.34,1,3.6,11.54,5.68,1.54,0,0,1.52,0.28,3.18,0.86,0,19600000,1.8e+07,16600000,15200000,13800000,12600000,11400000,10300000,9300000,8400000
"79","c.salihu","Eastern Niasland",25,1995,2.88,4.09,2.01,2.47,1.8,0.06,1.46,3.03,1,1.64,16.91,5.53,1,11.73,5.09,0.07,2.16,1.74,0.05,0.42,1.05,5.17,3.72,0,1.4e+07,13100000,12100000,11200000,10400000,9500000,8800000,8e+06,7300000,6700000
"80","k.pawar","Eastern Niasland",28,1992,2.97,3.68,1.74,1.29,1.03,1.27,1.09,1.99,1,1,14.27,4.39,1,4.26,4.64,5.28,0.6,0,0,0.63,0.64,4.23,1.96,0,14500000,13400000,12300000,11300000,10300000,9400000,8600000,7800000,7e+06,6400000
"81","s.doherty","Eastern Niasland",26,1994,2.81,1.3,0.75,1.12,0.26,0.04,0.79,1.69,1,0.97,13.17,4.44,1,8.96,3.53,0.64,2.78,0.39,0,2.41,2.36,3.8,4.14,0.05,13600000,12600000,11700000,10800000,9900000,9100000,8300000,7600000,6900000,6300000
"82","x.foo","Eastern Niasland",28,1992,2.98,2.69,1.34,2.02,0.71,0.02,1.38,2.66,1,1.28,9.98,2.66,1,5.01,3.94,1.09,2.29,0.08,0.05,2.26,3.6,6.41,4,0.05,13400000,12300000,11400000,10400000,9500000,8700000,7900000,7200000,6500000,5900000
"83","c.seidu","Eastern Niasland",27,1994,0.25,0.01,0,0,0.1,0.06,0,0.01,0,0,16.67,3.43,1,6.6,6.75,3.27,0,0,0,0,3.38,3.27,6.65,0.08,5900000,5500000,5e+06,4600000,4300000,3900000,3600000,3200000,2900000,2700000
"84","q.zee","Eastern Niasland",26,1994,1.36,3.16,2.4,1.59,1.45,0,1.61,2.34,1,0.82,19.14,5.41,1,9.16,6.94,3.18,1.64,0.09,0.05,1.58,0.78,3.8,0.09,0.03,8800000,8100000,7500000,7e+06,6400000,5900000,5400000,4900000,4500000,4100000
"85","h.jaber","Eastern Niasland",20,2000,0.83,2.31,1.17,1.15,1.15,0,2.29,3.36,1,1.15,10.1,1.17,1,1.1,6.69,2.25,1.17,0.05,0.03,1.13,1.07,3.43,0,0,12500000,11800000,11100000,10400000,9800000,9100000,8500000,7900000,7300000,6700000
"86","j.purba","Eastern Niasland",28,1992,1.96,0.47,0.43,0.48,0,0,0.06,0.96,0,1.06,15.22,4.68,1,3.25,7.47,4.72,0.07,0,0,0,1.62,2.16,0,0,10700000,9900000,9100000,8300000,7600000,7e+06,6300000,5800000,5200000,4700000
"87","j.soares","Eastern Niasland",37,1983,2.73,0.72,0.03,0.27,0.32,0.08,0,0,0,0.02,9.6,2.6,1,1.09,4.33,4.2,0.79,0,0.08,0.69,0.39,1.02,0.06,0,6200000,5500000,5e+06,4500000,4e+06,3500000,3100000,2800000,2500000,2200000
"88","u.manhique","Eastern Niasland",22,1998,0.06,0.1,0,0,0,0.07,0.05,0.05,0,0,20,10.02,1,0,0,19.94,0,0,0.07,0.04,0,0,0,0.01,11900000,11200000,10500000,9800000,9100000,8400000,7800000,7200000,6600000,6100000
"89","v.nkala","Eastern Niasland",30,1990,0.22,3.42,3.35,0.04,3.29,0.1,0.04,3.24,0.06,3.24,10.02,6.73,1,0,6.64,3.37,0,0,0.05,0,0,3.37,0.06,0,5700000,5300000,4800000,4400000,4e+06,3600000,3300000,3e+06,2700000,2400000
"90","l.lau","Eastern Niasland",33,1987,0.83,0.03,0.03,0.06,0,0,0,1.29,0.08,1.25,9.94,4.95,1,2.47,4.94,2.52,2.54,1.26,1.16,1.32,0.05,0.08,0.02,0,4900000,4400000,4e+06,3600000,3300000,3e+06,2600000,2400000,2100000,1900000
"91","y.nabuduwa","Eastern Niasland",27,1993,2.91,0.04,0,0,0,0.04,0,0.01,0,0,0.93,0.25,1,1.06,0,0,0.28,0,0,0.28,0.07,0.06,0.24,0,1.5e+07,13800000,12800000,11800000,10800000,9900000,9e+06,8200000,7400000,6700000
