"","Player","Nation","Squad","Age","Born","X90s","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"15","w.lew","Nganion","Fanatical Outlaws",24,1996,28.58,1.47,0.97,0.55,0.71,0.29,0.29,2.91,1,2.63,20.22,4.14,1,6.15,9.54,4.48,1.88,0.02,0,1.9,1.2,2.64,0.29,0,31800000,29700000,27600000,25600000,23700000,21900000,20200000,18500000,16900000,15500000
"16","b.derosa","People's Land of Maneau","Fanatical Outlaws",23,1996,28.59,0.91,0.58,0.4,0.28,0.16,0.13,1.09,1,0.94,12.81,3.35,1,3.12,4.9,4.64,1.4,0,0.04,1.27,0.86,1.66,0.24,0.07,37300000,34900000,32600000,30300000,28200000,26100000,2.4e+07,22100000,20300000,18600000
"17","d.john","Pierrema","Fanatical Outlaws",24,1995,15.4,1.99,1.26,0.65,1.03,0.43,0.59,1.78,1,1.19,18.5,4.72,1,5.16,9.22,4.16,1.07,0,0,0.92,0.89,2.88,0.59,0.01,16500000,15400000,14300000,13300000,12300000,11400000,10500000,9600000,8800000,8e+06
"18","s.kiconco","Nkasland Cronestan","Fanatical Outlaws",35,1985,35.1,0,0.02,0,0,0,0.01,0,0,0,0.3,0,1,0.35,0,0.05,0.18,0.07,0,0.02,0,0,0.05,0,19400000,17600000,15900000,14300000,12800000,11500000,10200000,9100000,8100000,7200000
"19","r.chee","Southslands","Fanatical Outlaws",33,1987,3.08,0,0.05,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,4400000,4e+06,3600000,3300000,2900000,2700000,2400000,2100000,1900000,1700000
"20","f.pop","Galamily","Fanatical Outlaws",25,1995,38.02,2.28,1.3,1.08,0.88,0.18,0.58,2.27,1,1.65,15.83,4.34,1,5.89,7.64,2.44,1.41,0.59,0,0.95,1.51,3.55,3.9,0.09,48400000,45100000,41900000,38700000,35800000,32900000,30200000,27700000,25200000,2.3e+07
"21","d.alshehri","People's Land of Maneau","Fanatical Outlaws",33,1987,7.97,0.81,0.69,0.4,0.36,0.07,0.34,1.84,1,1.58,14.79,2.94,1,5.9,7.27,1.71,1.11,0.34,0.01,0.79,1.36,2.22,0.97,0.09,5e+06,4500000,4100000,3700000,3300000,3e+06,2700000,2400000,2200000,1900000
"22","i.iddrisu","People's Land of Maneau","Fanatical Outlaws",21,1999,32.03,2.44,1.56,1.38,0.95,0.1,0.7,1.75,1,1,15.51,4.59,1,6.7,7.73,1.13,1.75,0.35,0.03,1.29,2.04,4.44,1.37,0.02,4.4e+07,41400000,38900000,36400000,3.4e+07,31600000,29300000,27200000,25100000,23100000
"23","e.taylor","People's Land of Maneau","Fanatical Outlaws",27,1992,15.82,0.92,0.62,0.26,0.42,0.29,0.23,0.93,1,0.73,21.21,4.5,1,3.03,11.77,6.32,0.47,0.12,0,0.34,0.47,1.32,0.14,0.08,1.5e+07,13800000,12800000,11800000,10800000,9900000,9e+06,8200000,7400000,6700000
"24","h.tourgeman","Rarita","Fanatical Outlaws",27,1993,6.34,0.98,0.98,0.26,0.57,0.17,0.29,2.16,1,1.81,17.32,5.88,1,5.31,7.72,4.42,2.45,0.03,0.1,2.36,1.03,1.94,0.76,0,8400000,7800000,7200000,6600000,6100000,5600000,5100000,4600000,4200000,3800000
"25","q.hor","Byasier Pujan","Fighting Cougars",28,1992,25.36,2.95,1.7,1.82,0.82,0.29,1.36,2.48,1,1.29,12.21,3.63,1,5.66,4.81,1.98,1.37,0.13,0.01,1.26,1.36,4.5,3.4,0,19600000,18100000,16700000,15300000,1.4e+07,12800000,11600000,10600000,9600000,8600000
"26","d.ikeda","People's Land of Maneau","Fighting Cougars",28,1991,32.56,1.03,0.58,0.71,0.27,0.09,0.47,0.8,1,0.31,5.78,2.15,1,3.07,2.34,0.36,1.13,0.7,0.12,0.41,0.83,1.91,3.83,0.15,3e+07,27700000,25500000,23400000,21400000,19600000,17800000,16200000,14600000,13200000
"27","g.kohler","People's Land of Maneau","Fighting Cougars",26,1994,18.54,2.94,1.78,1.48,0.88,0.53,0.82,1.84,1,0.92,12.91,3.84,1,4.53,4.5,3.81,2.73,0.28,0,2.32,1.11,4.07,0.78,0.03,1.7e+07,15700000,14600000,13400000,12400000,11400000,10400000,9500000,8600000,7800000
"28","i.ludwig","People's Land of Maneau","Fighting Cougars",28,1992,22.8,2.13,0.89,1.39,0.6,0.21,1.01,2.29,1,1.42,13.59,4.47,1,6.29,5.03,2.17,1.62,0.24,0.06,1.48,1.59,3.68,4.1,0,17100000,15700000,14500000,13300000,12200000,11100000,10100000,9200000,8300000,7500000
"29","k.toth","People's Land of Maneau","Fighting Cougars",25,1995,28.73,1.13,0.77,0.72,0.27,0.11,0.45,1.16,1,0.66,7.52,3.12,1,3.45,3.3,0.81,1.76,0.79,0.13,0.95,1.4,2.45,4.25,0,3.1e+07,28800000,26700000,24800000,22900000,2.1e+07,19300000,17700000,16100000,14700000
"30","u.ortiz","People's Land of Maneau","Fighting Cougars",19,2000,9.88,1.65,0.98,0.88,0.64,0.27,0.7,1.44,1,0.7,12.7,4.18,1,5.06,5.34,2.27,1.43,0.16,0,1.43,1.3,3.03,1.81,0,16200000,15300000,14500000,13600000,12800000,1.2e+07,11200000,10400000,9700000,8900000
"31","y.rabinovitch","Western Niasland","Fighting Cougars",28,1992,0.02,0.1,0,0.09,0,0.02,0,0.01,0,0.07,9.91,0.08,0,0.06,0,10.1,0,0,0,0,0.05,0,0.09,0,6400000,5900000,5400000,5e+06,4600000,4200000,3800000,3400000,3100000,2800000
"32","r.petrenko","Lefghau","Fighting Cougars",25,1995,2.33,3.42,2.27,2.65,0.49,0.36,1.76,2.68,1,0.91,14.86,5.73,1,6.43,3.85,4.31,2.71,0,0,2.65,0.05,3.57,1.25,0.04,7500000,7e+06,6500000,6e+06,5600000,5100000,4700000,4300000,3900000,3600000
"33","d.kikuchi","Nkasland Cronestan","Fighting Cougars",21,1999,7.16,2.16,1.18,0.99,0.79,0.35,0.48,2.33,1,1.86,18.6,5.35,1,6.05,6.87,5.85,2.46,0.18,0,2.27,1.08,3.28,2,0.09,12900000,12100000,11400000,10700000,1e+07,9300000,8600000,8e+06,7300000,6800000
"34","z.no","People's Land of Maneau","Fighting Cougars",22,1997,35.44,1.59,0.85,0.75,0.64,0.12,0.71,1.77,1,1.17,11.45,4.1,1,5.18,5.22,1.03,1.97,0.64,0.07,1.22,1.28,2.84,2.22,0.02,51800000,48600000,45500000,42500000,39500000,36700000,3.4e+07,31300000,28800000,26500000
"35","w.nabatanzi","Esia","Fighting Cougars",19,2001,0.04,0.02,0,0,0,0.09,0.01,0.02,0,0,10.04,9.96,1,0,0.07,10.04,0.09,0.03,0,0.06,0,0,0,0,1.4e+07,13200000,12500000,11800000,1.1e+07,10300000,9600000,9e+06,8300000,7700000
"36","v.taheri","People's Land of Maneau","Fighting Cougars",29,1990,17.19,0.65,0.53,0.25,0.3,0.21,0.25,0.78,1,0.68,14.84,3.63,1,2.53,5.78,6.58,1.35,0.17,0,1.09,0.38,1.08,0.7,0,13800000,12700000,11700000,10700000,9700000,8900000,8e+06,7300000,6600000,5900000
"37","r.bintihassan","Southslands","Fighting Cougars",20,2000,8.71,0.84,0.5,0.29,0.45,0.07,0.08,0.51,1,0.54,14.1,4.52,1,0.73,6.49,6.76,0.99,0.18,0.08,0.98,0,0.86,0.07,0,17800000,16800000,15800000,14800000,13900000,12900000,1.2e+07,11200000,10400000,9600000
"38","k.goncalves","Quewenia","Fighting Cougars",21,1999,1.94,1.6,1.61,0,1.05,0.63,0,0.62,0,0.45,20.5,4.75,1,4.29,10.41,5.79,1.14,0.51,0.09,0.44,0.06,1.65,0.58,0,10300000,9700000,9100000,8500000,7900000,7400000,6900000,6300000,5900000,5400000
"39","g.bellini","Buhegeor","Fighting Cougars",26,1994,1.04,0.86,0.08,0.93,0.02,0,0.99,1.77,1,0.85,27.35,2.82,1,8.12,10.03,9.14,1.73,0,0.08,1.78,0,0.89,0.04,0,6200000,5700000,5300000,4900000,4500000,4100000,3800000,3400000,3100000,2800000
"40","l.wafula","Dosqaly","Fighting Cougars",23,1996,27.99,0.86,0.64,0.22,0.35,0.29,0.18,0.7,1,0.46,17.09,5.22,1,2.62,6.72,7.74,0.68,0.07,0,0.59,0.39,1.21,0.39,0,39400000,36900000,34400000,32100000,29800000,27500000,25400000,23400000,21500000,19700000
"41","m.hsieh","Lonnia Haba","Fighting Cougars",26,1993,5.88,1.46,0.9,0.14,0.95,0.16,0.33,1.97,1,1.78,15.85,4.19,1,2.54,5.28,7.97,1.46,0.25,0,1.3,1.14,2.56,0.17,0,9800000,9100000,8400000,7800000,7200000,6600000,6e+06,5500000,5e+06,4500000
"42","f.cho","Southern Ristan","Fighting Cougars",25,1994,29.05,0.86,0.67,0.28,0.54,0.06,0.19,1.12,1,0.85,14.69,4.49,1,3.59,6,5.2,1.46,0.21,0,1.21,0.92,1.72,0.08,0.01,33800000,31400000,29200000,2.7e+07,24900000,22900000,21100000,19300000,17600000,1.6e+07
"43","z.marini","Central Republic of Boekrainego","Fighting Cougars",28,1992,10.94,0.03,0.06,0.03,0,0.04,0,0.01,0,0,0.11,0,0,0.27,0,0.02,0.08,0.09,0,0,0.02,0,0.07,0.08,10100000,9300000,8600000,7900000,7200000,6600000,6e+06,5400000,4900000,4400000
"44","p.robinson","Nganion","Fighting Cougars",22,1997,26.92,0,0.07,0.09,0,0.03,0,0,0,0.08,0.15,0.02,0,0.01,0,0,0,0,0,0.03,0,0,0.04,0,36100000,33900000,31800000,29600000,27600000,25600000,23700000,21900000,20100000,18500000
"45","i.azulay","Byasier Pujan","Fighting Cougars",28,1991,2.44,2.85,2,0.06,3,0,0.84,2.07,1,1.23,12.56,5.34,1,5.45,6.22,0.87,0.82,0,0,0.81,0.76,3.72,0,0.08,6e+06,5500000,5100000,4700000,4300000,3900000,3600000,3200000,2900000,2600000
"46","h.narvaez","Reugha","Fighting Cougars",23,1996,34.63,3.28,2.1,1.71,1.27,0.33,0.66,2,1,1.26,15.56,5.39,1,6.71,7.34,1.57,1.58,0.25,0,1.32,1.76,5.04,2.04,0.08,45500000,42600000,39700000,3.7e+07,34300000,31800000,29300000,2.7e+07,24800000,22700000
"47","p.chew","Esia","Fighting Cougars",29,1991,27.63,1.63,0.95,0.83,0.55,0.26,0.66,1.79,1,1.01,15.65,3.99,1,5.04,6.81,3.6,1.22,0.27,0,0.93,0.97,2.54,0.96,0,21400000,19700000,18100000,16500000,15100000,13700000,12500000,11300000,10200000,9200000
"48","o.kia","Western Niasland","Fighting Cougars",21,1998,9.91,1.84,1.58,1.3,0.39,0.34,0.25,0.81,1,0.6,15.95,5.34,1,4.46,6.95,4.51,1.63,0.18,0.05,1.48,0.76,2.52,0.91,0.08,15500000,14600000,13700000,12800000,1.2e+07,11200000,10400000,9600000,8900000,8100000
"49","q.nabimanya","Imaar Vircoand","Fighting Cougars",21,1998,12.4,2.06,1.41,0.71,1,0.36,0.6,2.64,1,1.94,21.59,6.76,1,5.4,9.26,6.95,1.6,0.32,0,1.32,0.84,2.95,0.34,0,18100000,1.7e+07,1.6e+07,1.5e+07,1.4e+07,1.3e+07,12100000,11200000,10300000,9500000
"50","i.ocen","People's Land of Maneau","Fighting Cougars",32,1988,17.78,1.85,1.5,0.94,0.75,0.19,0.65,2.73,1,2.1,19.22,6.45,1,6.36,8.55,4.22,1.39,0.07,0,1.34,0.85,2.76,0.74,0.09,9900000,9e+06,8200000,7500000,6700000,6100000,5500000,4900000,4400000,3900000
"51","d.daniel","People's Land of Maneau","Great Galactic Gorgons",27,1993,31.04,1.75,0.95,1.03,0.6,0.13,0.8,1.51,1,0.81,15.06,3.62,1,6.45,5.51,3,1.52,0.23,0.12,1.17,1.19,3,2.6,0,28200000,26100000,24100000,22100000,20300000,18600000,1.7e+07,15400000,1.4e+07,12700000
"52","f.kembabazi","People's Land of Maneau","Great Galactic Gorgons",23,1996,11.21,2.2,1.37,1.22,0.8,0.03,0.71,1.24,1,0.52,13.34,3.93,1,7.18,5.19,0.96,2.41,0.96,0.02,1.35,2.54,4.59,6.22,0.21,12500000,11700000,10900000,10200000,9400000,8700000,8100000,7400000,6800000,6200000
"53","h.akugizibwe","People's Land of Maneau","Great Galactic Gorgons",26,1994,1.95,1.5,0.57,0.44,0.59,0.54,0,1.07,0,0.97,5.03,1.99,1,2.48,0.99,1.45,3.06,1.46,0,1.58,0.04,1.46,5.47,0,7100000,6600000,6100000,5600000,5200000,4800000,4400000,4e+06,3600000,3300000
"54","i.akpan","People's Land of Maneau","Great Galactic Gorgons",37,1982,5.71,1.6,0.66,0.94,0.5,0.12,0.87,1.91,1,0.98,9.63,2.86,1,6.81,2.82,0,2.59,1.11,0.06,1.5,1.97,3.54,8.02,0.35,2800000,2500000,2300000,2e+06,1800000,1600000,1400000,1300000,1100000,1e+06
"55","t.awuah","People's Land of Maneau","Great Galactic Gorgons",26,1993,9.65,1.63,1.07,1.02,0.57,0.2,0.64,0.63,1,0.12,8.05,2.66,1,4.09,2.96,1.16,1.23,0.5,0.09,0.63,1.7,3.44,6.1,0,10200000,9500000,8800000,8100000,7500000,6800000,6300000,5700000,5200000,4700000
"56","t.barigye","People's Land of Maneau","Great Galactic Gorgons",23,1997,6.12,3.83,2.39,3.21,0.24,0.17,1.13,3.23,1,2.1,21.38,5.99,1,9.83,8.36,3.05,3.41,0.41,0,2.89,0.51,4.16,2.05,0.17,9300000,8700000,8100000,7500000,7e+06,6500000,6e+06,5500000,5100000,4600000
"57","u.ban","People's Land of Maneau","Great Galactic Gorgons",20,2000,12.32,2.86,1.29,1.62,1.06,0.09,1.63,2.8,1,1.22,18.98,5.45,1,8.88,6.43,3.69,2.15,0.26,0.01,1.75,1.57,4.64,1.71,0,15900000,1.5e+07,14100000,13300000,12400000,11600000,10800000,1e+07,9300000,8600000
"58","i.najjemba","Southslands","Great Galactic Gorgons",27,1992,29.25,1.51,1.12,1.11,0.46,0,0.56,1.07,1,0.61,8.43,2.86,1,5.38,2.93,0.26,2.01,1.06,0,0.76,1.48,3.09,5.51,0,25400000,23500000,21700000,2e+07,18300000,16800000,15300000,13900000,12700000,11500000
"59","x.nalukenge","Southslands","Great Galactic Gorgons",30,1990,29.91,1.86,0.67,1,0.66,0.22,0.76,1.9,1,1.15,13.98,3.17,1,6.6,5.17,2.23,2.05,0.4,0.08,1.43,1.59,3.38,3.15,0.04,20400000,18700000,17100000,15600000,14200000,12900000,11700000,10500000,9500000,8500000
"60","i.bintiomar","Djipines","Great Galactic Gorgons",19,2000,23.14,2.67,1.57,1.41,1.09,0.16,0.91,2.13,1,1.16,15.49,4.39,1,7.84,5.92,1.78,2.11,0.96,0,1.27,1.67,4.38,5.17,0.04,29600000,28100000,26500000,24900000,23400000,21900000,20500000,1.9e+07,17700000,16400000
"61","m.ludwig","Rarita","Great Galactic Gorgons",32,1988,28.65,2.65,1.65,1.72,0.77,0.22,1.25,2.47,1,1.1,13.32,3.92,1,6.93,4.73,1.65,1.7,0.52,0.16,1.1,1.53,4.27,4.44,0,1.6e+07,14600000,13300000,1.2e+07,10900000,9800000,8800000,7900000,7100000,6300000
"62","r.lambert","Ngoque Blicri","Great Galactic Gorgons",23,1997,14.16,1.36,0.79,0.42,0.69,0.28,0.33,1.97,1,1.56,29.33,5.33,1,2.41,13.21,13.63,1.59,0,0,1.47,0.12,1.47,0.27,0,20400000,19100000,17900000,16600000,15400000,14300000,13200000,12100000,11100000,10200000
"63","y.susanti","Ngoque Blicri","Great Galactic Gorgons",24,1996,14.71,0.79,0.41,0.44,0.3,0.23,0.39,1.28,1,0.89,20.11,4.2,1,1.65,11.02,7.49,1.08,0.25,0.08,0.96,0.48,1.34,1.76,0,18500000,17300000,16100000,14900000,13800000,12700000,11700000,10800000,9800000,9e+06
"64","a.schmitt","People's Land of Maneau","Great Galactic Gorgons",34,1986,8.15,0.81,0.52,0,0.58,0.2,0.4,1.13,1,0.8,17.7,4.18,1,1.68,7.68,8.41,0.21,0.06,0.06,0.29,0.34,1.18,0.2,0,5800000,5300000,4800000,4300000,3900000,3500000,3100000,2800000,2500000,2200000
"65","u.rodrigues","People's Land of Maneau","Great Galactic Gorgons",17,2003,3.27,1.23,0,0.36,0.56,0.28,0.28,0.99,1,0.62,19.02,2.89,1,0.93,8.41,9.6,2.58,0.3,0,2.27,0.9,2.11,0,0.05,15500000,14700000,1.4e+07,13200000,12500000,11800000,1.1e+07,10300000,9600000,9e+06
"66","w.swee","People's Land of Maneau","Great Galactic Gorgons",20,2000,12.56,1.22,0.67,0.13,0.51,0.39,0.02,0.93,0,1.04,19.06,4.87,1,1.08,9.42,8.61,1.26,0.16,0,1.1,0.55,1.68,0.18,0,22100000,20900000,19600000,18400000,17300000,16100000,1.5e+07,13900000,12900000,11900000
"67","m.nkhata","People's Land of Maneau","Great Galactic Gorgons",16,2004,0.18,0.08,0,0.06,0,0,0.02,0.02,0,0,30.05,19.94,1,0,0,29.97,10.1,0,0.06,9.95,0.04,0.08,0.05,0,24600000,23500000,22400000,21300000,20100000,1.9e+07,17900000,16800000,15700000,14700000
"68","g.elbaz","Dosqaly","Great Galactic Gorgons",24,1996,3.25,0,0.04,0.09,0,0.07,0,0.83,0.07,0.96,18.22,3.37,1,0.33,6.7,11.14,0.33,0.38,0,0.08,0.02,0.06,0.25,0,10800000,10100000,9400000,8700000,8100000,7500000,6900000,6300000,5800000,5300000
"69","h.gomani","Southslands","Great Galactic Gorgons",32,1987,26.5,1.14,0.53,0.24,0.61,0.28,0.31,1.33,1,1,16.24,4.02,1,2.6,7.15,6.5,1.38,0.18,0,1.24,0.37,1.52,1.01,0.03,17500000,1.6e+07,14600000,13200000,1.2e+07,10800000,9700000,8700000,7800000,7e+06
"70","a.soong","People's Land of Maneau","Great Galactic Gorgons",22,1998,37.92,0.09,0.07,0.09,0.04,0,0,0,0,0,0.11,0.05,1,0.16,0,0,0,0.02,0.09,0,0,0,0.05,0.01,64400000,60500000,56600000,52800000,49200000,45600000,42200000,3.9e+07,35900000,32900000
"71","a.tayebwa","Dosqaly","Great Galactic Gorgons",21,1999,0.05,0.07,0,0,0.09,0.08,0,0,0,0,79.98,10.05,1,10.04,39.91,29.94,9.93,0.07,0.04,9.93,0,0,0,0,1.1e+07,10400000,9700000,9100000,8500000,7900000,7300000,6800000,6300000,5800000
"72","d.kojima","Highhlaands","Great Galactic Gorgons",29,1991,24.67,2.3,1.13,0.95,1.35,0.05,0.69,3.17,1,2.54,18.66,4.36,1,6.92,9.52,2.31,1.44,0.45,0,1.06,1.54,3.93,2.54,0.14,1.7e+07,15600000,14400000,13100000,1.2e+07,10900000,9900000,9e+06,8100000,7300000
"73","a.aryemo","Ngoque Blicri","Great Galactic Gorgons",28,1991,28.65,1.71,0.87,0.96,0.66,0.18,0.62,2.38,1,1.75,17.7,4.52,1,6.31,8.65,2.95,1.19,0.12,0,1.08,1.33,3,0.67,0,23500000,21700000,19900000,18300000,16700000,15300000,13900000,12600000,11400000,10300000
"74","g.gustafsson","People's Land of Maneau","Great Galactic Gorgons",26,1994,22.67,1.1,0.56,0.38,0.59,0.09,0.36,1.9,1,1.55,15.57,3.41,1,4.7,7.58,3.06,1.64,0.37,0.04,1.34,0.89,2.1,1.52,0.12,20600000,19200000,17700000,16400000,15100000,13800000,12700000,11500000,10500000,9500000
"75","h.susanto","Redohrainbri","Great Galactic Gorgons",22,1998,12.44,1.69,1.34,0.76,0.68,0.29,0.34,1.45,1,0.88,17.47,5.04,1,5.64,9.31,2.49,1.54,0.07,0,1.4,0.21,1.85,1.5,0.13,15600000,14600000,13700000,12800000,11900000,11100000,10200000,9400000,8700000,8e+06
"76","f.nakazibwe","People's Land of Maneau","Great Galactic Gorgons",25,1994,17.83,1.69,0.92,0.88,0.54,0.17,0.7,2.61,1,2.11,22.02,4.84,1,6.92,9.34,5.98,1.67,0.2,0.01,1.37,0.99,2.51,0.85,0,16900000,15700000,14600000,13500000,12400000,11400000,10500000,9600000,8800000,8e+06
"77","z.okon","Byasier Pujan","Green Fleet",22,1998,0.92,3.37,1.06,2.3,1.05,0.07,1.03,1.07,1,0,7.81,2.32,1,3.27,4.52,0.01,1.01,0,0.04,1.08,1.14,4.36,1.01,0,8500000,8e+06,7500000,7e+06,6500000,6e+06,5600000,5200000,4700000,4400000
"78","g.nimusiima","Central Diasongo","Green Fleet",26,1994,10.12,0.98,0.61,0.39,0.32,0.01,0.09,0.02,1,0.05,5.46,2.19,1,2.56,2.6,0.23,1.61,1.49,0.05,0.11,2.13,3.08,5.01,0,10800000,10100000,9300000,8600000,7900000,7300000,6600000,6100000,5500000,5e+06
"79","d.chen","Lefghau","Green Fleet",27,1992,7.71,1.46,0.75,1.24,0.17,0,0.73,1.76,1,1.2,8.9,2.95,1,4.99,2.64,1.36,1.34,0.19,0.06,1.39,1.57,3.11,3.53,0.07,8400000,7700000,7100000,6600000,6e+06,5500000,5e+06,4600000,4200000,3800000
"80","c.muyama","People's Land of Maneau","Green Fleet",25,1995,29.59,2.06,1.56,0.98,0.66,0.24,0.82,1.5,1,0.57,12.2,4.64,1,4.31,5.09,2.76,2.08,0.32,0,1.78,0.94,3.12,1.77,0.04,33100000,30800000,28600000,26400000,24400000,22500000,20600000,18900000,17200000,15700000
"81","g.hernandez","People's Land of Maneau","Green Fleet",22,1997,33.98,2.92,1.51,1.71,0.8,0.15,0.69,1.26,1,0.58,12.74,4.16,1,5.72,4.94,2.12,3.42,0.42,0,2.81,1.91,4.73,3.27,0,47600000,44700000,41900000,39100000,36400000,33800000,31300000,28800000,26500000,24400000
"82","l.mugumya","People's Land of Maneau","Green Fleet",22,1997,4.49,2.26,1.15,1.17,0.92,0.2,1.41,1.79,1,0.49,12.99,3.57,1,8.04,4.17,0.72,3.05,1.65,0,1.57,0.79,3.14,4.16,0.13,9e+06,8400000,7900000,7400000,6900000,6400000,5900000,5400000,5e+06,4600000
