"","Player","Nation","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Performance.PK","Performance.PKatt","Standard.FK","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"14","m.hussein","Bernepamar",30,1990,0.02,0.07,0.03,0.04,0,0.09,0.02,0,0,0,0.03,0.02,0,0,0,0,0.06,0.01,4200000,3500000,2800000,2300000,1800000,1400000,1100000,8e+05,6e+05,4e+05
"15","n.kabagambe","Bernepamar",31,1989,1.91,0.06,0.98,0,0.07,0.93,0.06,0.08,0,24.93,0,0.04,0.09,0.1,0.09,0.09,-0.13,-0.12,6500000,5400000,4300000,3400000,2600000,2e+06,1500000,1100000,8e+05,6e+05
"16","t.alzahrani","Bernepamar",22,1998,3.65,0,0.9,0.33,1,0.91,0.37,0,0.06,22.07,0.1,0,0,0,0.11,0.05,-0.11,0.02,32300000,3.1e+07,29300000,27100000,24700000,22100000,19400000,16700000,14200000,11800000
"17","u.lai","Bernepamar",29,1991,0.66,0.05,1.63,1.61,1,1.8,1.76,0.05,0,26.03,0,0.09,0,0.07,0.08,0,0,0.05,7500000,6300000,5300000,4300000,3500000,2700000,2100000,1600000,1200000,9e+05
"18","z.janssen","Bernepamar",29,1991,4.13,0,0.42,0.07,0.06,0.5,0.09,0.04,0,18.47,0,0.02,0.02,0,0.11,0.01,-0.01,0.03,15500000,13100000,10900000,8900000,7200000,5700000,4400000,3300000,2500000,1800000
"19","h.sinaga","Bernepamar",24,1996,5.31,0.21,0.34,0.28,1,0.4,0.11,0.58,1.05,12.98,0.06,0,0,0,0,0.06,0.08,0.13,47900000,44400000,40400000,36200000,31800000,27400000,23200000,19300000,15800000,12700000
"20","k.mayanja","Bernepamar",27,1993,3.14,0.07,2.88,0.97,1,2.9,1.01,0.02,0,26.32,0.04,0.28,0.92,0.4,0.16,0.17,-0.5,-0.22,63700000,5.6e+07,48300000,40900000,34100000,27900000,22400000,17700000,13700000,10400000
"21","c.carvalho","Byasier Pujan",25,1995,0.6,0,1.68,0,0,1.72,0,0.1,0,29.04,0.03,0,0,0,0,0.04,0.08,0.02,11100000,10100000,9100000,8e+06,6900000,5800000,4800000,4e+06,3200000,2500000
"22","d.iskandar","Byasier Pujan",30,1990,3.26,0,1.15,0.08,0.02,1.21,0.08,0.08,0,21.62,0,0,0,0.04,0.14,0.14,-0.18,-0.04,12700000,10600000,8700000,7e+06,5500000,4300000,3200000,2400000,1800000,1300000
"23","f.kyamanywa","Byasier Pujan",19,2001,1.68,0,0.73,0.65,1,0.53,0.7,0,0.05,27.94,0,0.04,0.09,0,0.09,0,0,-0.1,14600000,14800000,14800000,14400000,13900000,13100000,12100000,1.1e+07,9900000,8700000
"24","i.gumede","Byasier Pujan",28,1992,3.48,0.05,0.2,0.24,1,0.22,0.34,0.04,0.1,5.04,0.05,0.08,0.04,0.12,0.01,0.22,-0.17,-0.18,24400000,2.1e+07,17800000,14800000,12100000,9700000,7700000,6e+06,4500000,3400000
"25","o.oh","Byasier Pujan",30,1990,3.23,0,0.09,0,0,0,0,0,0,0,0.1,0.01,0.1,0,0.03,0,0.02,0.07,13800000,11500000,9400000,7500000,5900000,4600000,3500000,2600000,1900000,1400000
"26","q.hor","Byasier Pujan",29,1992,0.05,0,0,0,0,0.09,0,0,0,0,0,0,0,0.04,0.09,0,0.08,0.09,4400000,3800000,3100000,2600000,2100000,1600000,1300000,1e+06,7e+05,5e+05
"27","v.bila","Byasier Pujan",24,1996,3.42,0.53,1.69,1.18,1,1.62,1.11,0.34,0.48,8.67,0,0,0.04,0.56,0.6,0.22,-0.03,0.04,24200000,22400000,20400000,18200000,1.6e+07,13800000,11700000,9800000,8e+06,6400000
"28","z.nalunga","Byasier Pujan",21,1999,0.58,0,0,0,0,0,0,0,0,0,0.04,0.05,0,0,0,0,-0.1,-0.01,11500000,11300000,10800000,10200000,9500000,8600000,7700000,6800000,5800000,5e+06
"29","l.mhango","Byasier Pujan",29,1991,0.68,0.02,1.61,0.07,0,1.68,0,0.1,0,15.09,0.01,0,0,0.1,0.09,0,-0.01,0.06,6200000,5200000,4300000,3600000,2900000,2300000,1700000,1300000,1e+06,7e+05
"30","w.joao","Byasier Pujan",21,1999,2.68,0.09,1.61,0.43,1,1.6,0.36,0,0,12.04,0,0.04,0.09,0.32,0.32,0.33,-0.3,-0.48,28500000,27900000,26800000,25300000,23400000,21300000,19100000,16800000,14500000,12300000
"31","e.lam","Byasier Pujan",28,1992,2.12,0.41,2.39,1.02,1,2.35,0.97,0.17,0.58,15.71,0.09,0.01,0,0.19,0.3,0.12,0.14,0.23,1.8e+07,15600000,13200000,1.1e+07,9e+06,7200000,5700000,4400000,3400000,2500000
"32","s.amulen","Byasier Pujan",22,1999,1.79,0,1.86,0,0,1.8,0,0,0,18.85,0.1,0.07,0,0.05,0.07,0,-0.17,-0.07,19800000,1.9e+07,17900000,16600000,15100000,13500000,11900000,10200000,8700000,7200000
"33","u.yong","Byasier Pujan",30,1990,0.03,0,0.01,0,0,0.05,0.06,0,0,0,0.07,0.09,0.1,0,0,0,-0.04,-0.02,4800000,4e+06,3200000,2600000,2100000,1600000,1200000,9e+05,7e+05,5e+05
"34","y.manjate","Byasier Pujan",26,1994,3.62,0.57,3.15,0.83,1,2.98,0.74,0,0.35,18.54,0.38,0.34,0,0.64,0.44,0.2,-0.02,-0.14,48400000,43300000,3.8e+07,32800000,27800000,23100000,18900000,15200000,1.2e+07,9300000
"35","z.namiiro","Byasier Pujan",29,1992,0.77,0.08,1.35,0,0,1.48,0,0.02,0,20.03,0.01,0.05,0,0,0.04,0,-0.04,0.09,6800000,5700000,4800000,3900000,3100000,2500000,1900000,1500000,1100000,8e+05
"36","j.muratovi","Byasier Pujan",38,1982,3.99,0.04,0,0,0,0,0,0,0,0,0,0,0.07,0.04,0.02,0,-0.1,-0.06,2e+06,1400000,1e+06,7e+05,5e+05,3e+05,2e+05,1e+05,1e+05,1e+05
"37","a.nsereko","Byasier Pujan",21,1999,0.17,0.04,0.07,0.07,0,0,0.05,0,0,0,0,0,0,0.09,0.03,0,-0.03,-0.01,9500000,9300000,8900000,8400000,7800000,7100000,6300000,5600000,4800000,4100000
"38","h.gaillard","Byasier Pujan",23,1997,3.96,0.05,0.07,0.08,0,0.05,0.09,0,0,0,0,0.07,0,0,0.06,0,-0.03,-0.07,28200000,26600000,24700000,22500000,20100000,17600000,15200000,12900000,10700000,8800000
"39","v.waswa","Byasier Pujan",30,1990,3.97,0.71,2.52,1.09,1,2.41,1.02,0.29,0.67,14.92,0,0,0.04,0.55,0.49,0.14,0.23,0.31,18600000,15500000,12700000,10200000,8e+06,6200000,4700000,3500000,2600000,1900000
"40","w.nabuuma","Byasier Pujan",29,1991,2.64,0,0.37,0.06,0.06,0.42,0,0,0,20.62,0.1,0.02,0,0.07,0,0,-0.07,-0.09,11200000,9500000,7900000,6400000,5200000,4100000,3200000,2400000,1800000,1300000
"41","x.abramov","Byasier Pujan",18,2002,1.1,0,1.62,0,0.07,1.67,0.06,0.1,0,23,0,0.01,0.08,0.07,0.01,0,0.01,-0.03,14500000,1.5e+07,15200000,15100000,14800000,14200000,13400000,12400000,11300000,10100000
"42","c.magombo","Djipines",23,1997,4.07,0,0.34,0.3,1,0.24,0.19,0,0,13.35,0,0,0,0.06,0,0.08,0.08,-0.05,33300000,31400000,29100000,26500000,23700000,20800000,1.8e+07,15200000,12700000,10400000
"43","f.nassolo","Djipines",19,2001,1.44,0,0.02,0,0,0,0.07,0,0,0,0.02,0.06,0,0,0.09,0,-0.1,-0.09,12900000,1.3e+07,1.3e+07,12700000,12200000,11500000,10700000,9700000,8700000,7600000
"44","h.namara","Djipines",25,1995,3.48,0.3,0.59,0.26,1,0.54,0.37,0.45,1.05,13.84,0,0.02,0.08,0.02,0.02,0.12,0.2,0.26,34200000,31100000,27800000,24400000,21100000,17900000,14900000,12200000,9800000,7700000
"45","m.tang","Djipines",27,1993,3.2,0.06,0.93,0.02,0,0.93,0.1,0.07,0,19.22,0.06,0.06,0,0.01,0.1,0.06,-0.07,0.04,19200000,16900000,14500000,12300000,10300000,8400000,6700000,5300000,4100000,3100000
"46","n.dekker","Djipines",23,1997,2.97,0.01,0.24,0.01,0,0.31,0,0,0,13.97,0,0,0.07,0,0,0.1,-0.09,0.01,28200000,26600000,24700000,22500000,20100000,17700000,15200000,12900000,10700000,8800000
"47","t.alowo","Djipines",31,1989,1.09,0,0.92,0,0.01,1.04,0.03,0.09,0,9.25,0,0.04,0,0.16,0.02,0.03,-0.02,-0.19,4700000,3800000,3100000,2400000,1900000,1400000,1100000,8e+05,6e+05,4e+05
"48","i.bintiomar","Djipines",20,2000,0.87,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,-0.02,0.03,11600000,11600000,11300000,10900000,10300000,9500000,8700000,7700000,6800000,5900000
"49","l.ningsih","Djipines",22,1999,0.11,0.09,0.07,0,0,0.09,0,0,0,0,0.05,0.07,0,0.02,0.02,0,-0.05,0.03,9900000,9500000,9e+06,8300000,7600000,6800000,5900000,5100000,4300000,3600000
"50","c.mawejje","Djipines",23,1997,0.36,0.03,0.01,0.03,0,0,0.06,0,0,0,0,0,0,0.04,0,0,-0.07,0.09,10200000,9700000,8900000,8100000,7300000,6400000,5500000,4700000,3900000,3200000
"51","f.alupo","Djipines",28,1992,3.29,0.33,1.85,0.61,1,1.91,0.61,0.21,0.57,8.67,0,0,0.04,0.12,0.22,0.03,0.26,0.23,19500000,16900000,14300000,11900000,9700000,7800000,6200000,4800000,3600000,2700000
"52","h.brun","Djipines",27,1993,4.09,0,0,0.05,0,0.03,0,0,0,0,0.04,0.09,0,0,0,0,0.07,0.07,24600000,21600000,18700000,15800000,13200000,10800000,8600000,6800000,5300000,4e+06
"53","k.moretti","Djipines",30,1990,3.67,0.02,0.44,0.07,0,0.5,0.05,0.04,0,21.11,0,0,0.09,0.05,0,0.05,-0.08,-0.1,13900000,11600000,9500000,7600000,6e+06,4600000,3500000,2600000,1900000,1400000
"54","w.hon","Djipines",24,1997,3.29,0,0.35,0.07,0,0.39,0,0,0,25.06,0,0,0,0.03,0,0,-0.09,-0.09,20900000,19400000,17700000,15800000,13900000,1.2e+07,10100000,8400000,6900000,5500000
"55","y.akampurira","Djipines",20,2000,0.16,0.05,0.04,0.07,0,0.09,0,0,0,0,0,0.08,0,0.07,0.09,0,0.04,-0.02,8700000,8700000,8500000,8100000,7700000,7100000,6500000,5800000,5100000,4400000
"56","i.koomson","Djipines",23,1997,3.4,0,1.1,0.55,1,1.15,0.5,0,0,19.01,0.08,0,0,0.08,0.01,0.13,-0.04,0,38800000,36600000,33900000,30800000,27600000,24200000,20900000,17700000,14800000,12100000
"57","k.mohammadzadeh","Djipines",30,1990,3.83,0.17,1.76,0.86,1,1.74,0.84,0.17,0.39,12.04,0,0,0,0.43,0.34,0.31,-0.1,-0.23,19200000,1.6e+07,13100000,10500000,8300000,6400000,4900000,3700000,2700000,1900000
"58","q.ariko","Djipines",31,1989,3.92,0.04,2.25,0.57,1,2.26,0.56,0.03,0,16.25,0,0.3,0,0.42,0.28,0.05,-0.42,-0.17,10900000,8900000,7200000,5700000,4400000,3300000,2500000,1800000,1300000,9e+05
"59","t.cheung","Djipines",23,1997,0.59,0,1.64,0,0.02,1.67,0.06,0.08,0,8.23,0,0.02,0,0.09,0.19,0.22,-0.17,-0.15,14300000,13500000,12500000,11400000,10200000,8900000,7700000,6500000,5400000,4500000
"60","b.klemeni","Dosqaly",24,1996,3.38,0.1,0.38,0.23,1,0.3,0.31,0.09,0.03,11.3,0,0.06,0,0.01,0,0.14,-0.06,-0.03,28300000,26200000,23800000,21300000,18700000,16200000,13700000,11400000,9300000,7500000
"61","b.luki","Dosqaly",22,1998,0.93,0.06,0,0,0,0,0.01,0,0,0,0.07,0,0.08,0,0,0,0.07,-0.05,13800000,13300000,12500000,11600000,10600000,9500000,8300000,7200000,6100000,5100000
"62","b.mangwiro","Dosqaly",24,1996,1.42,0.09,0.07,0,0,0,0.07,0,0,0,0,0,0,0.05,0.08,0,0.01,-0.03,11700000,10800000,9900000,8800000,7800000,6700000,5700000,4700000,3900000,3100000
"63","l.wilson","Dosqaly",25,1995,0.55,0,0,0,0,0,0,0,0,0,0.03,0,0,0.08,0.08,0,0.09,0.07,8700000,8e+06,7100000,6200000,5400000,4600000,3800000,3100000,2500000,2e+06
"64","n.kamusiime","Dosqaly",27,1993,1.06,0,0.84,0.1,0,1.04,0.08,0.05,0,19.09,0,0,0.01,0,0.06,0,0.01,-0.06,8100000,7200000,6200000,5200000,4400000,3600000,2900000,2300000,1700000,1300000
"65","q.coppola","Dosqaly",25,1995,4.31,0.08,0.07,0,0,0,0,0,0,0,0.08,0.03,0.05,0,0.04,0,0.02,0.03,33500000,30500000,27300000,2.4e+07,20700000,17500000,14600000,11900000,9600000,7600000
"66","v.andersson","Dosqaly",27,1993,4.36,0.03,0.44,0.06,0,0.44,0,0.06,0,5.93,0,0,0.05,0.09,0,0.18,-0.06,0.02,37300000,32700000,28200000,23900000,19900000,16300000,13100000,10300000,8e+06,6100000
"67","o.maulana","Dosqaly",25,1995,3.35,0.08,0.8,0.03,0,0.85,0,0,0,22.27,0.02,0.02,0,0.08,0,0.12,-0.04,-0.08,28100000,25600000,22900000,20100000,17300000,14700000,12200000,1e+07,8e+06,6300000
"68","h.robert","Dosqaly",22,1998,4.21,0.08,3.29,0.74,1,3.2,0.68,0,0.04,16.48,0.04,0,0.39,0.45,0.29,0.06,-0.44,-0.44,54300000,52200000,49200000,45600000,41500000,37100000,32600000,28100000,23800000,19900000
"69","s.mlakar","Dosqaly",34,1986,0.59,0.06,4,2.08,1,4.25,2.07,0.03,0.1,13.05,0.01,0.03,0.08,0.46,0.5,0.03,-0.47,-0.48,2500000,1900000,1500000,1100000,8e+05,6e+05,4e+05,3e+05,2e+05,1e+05
"70","y.sen","Dosqaly",33,1987,3.84,1.05,2.54,0.98,1,2.57,1.04,0.36,0.67,15.57,0.18,0.21,0,0.77,0.55,0.2,0.27,0.16,10900000,8600000,6700000,5100000,3800000,2800000,2e+06,1400000,1e+06,7e+05
"71","p.peh","Dosqaly",23,1997,0.26,0,3.33,0,0.06,2.85,0.03,0,0,19.42,0.01,0,0.08,0,0,0,0.08,0.05,16300000,15400000,14300000,1.3e+07,11600000,10200000,8800000,7500000,6200000,5100000
"72","u.oola","Dosqaly",26,1994,0.98,0,1.09,1.01,1,1.14,1.19,0,0.05,27.91,0.04,0.1,0.09,0.08,0.07,0,-0.05,0.03,11800000,10600000,9300000,8e+06,6800000,5700000,4600000,3700000,2900000,2300000
"73","h.cardoso","Dosqaly",31,1989,0.38,0,2.59,0,0.07,2.45,0,0,0,22.08,0.1,0,0.06,0.28,0.3,0.01,-0.33,-0.34,3600000,3e+06,2400000,1900000,1500000,1100000,8e+05,6e+05,4e+05,3e+05
"74","j.rukundo","Dosqaly",27,1993,4.28,0.26,1.81,0.41,1,1.89,0.46,0.15,0.46,20.65,0,0.04,0.06,0.18,0.15,0.01,0.16,0.18,29200000,25700000,22200000,18800000,15600000,12800000,10300000,8100000,6300000,4800000
"75","k.eyotaru","Dosqaly",23,1997,0.17,0.07,0.05,0,0,0.01,0,0,0,0,0,0,0.02,0,0.09,0,0.09,0.07,8700000,8200000,7600000,6900000,6200000,5400000,4700000,4e+06,3300000,2700000
"76","m.matsumoto","Dosqaly",29,1991,4.38,0,0.22,0.02,0.04,0.22,0.03,0,0,26.98,0,0,0,0.04,0.08,0,0,-0.09,14900000,12600000,10500000,8600000,6900000,5400000,4200000,3200000,2400000,1800000
"77","m.sakai","Dosqaly",24,1996,0.96,0,4.02,2.09,1,4,1.96,0,0,20.39,0.06,0.04,0.08,0.19,0.06,0.09,-0.18,-0.14,30300000,2.8e+07,25500000,22800000,20100000,17300000,14700000,12200000,1e+07,8e+06
"78","o.aboagye","Dosqaly",29,1991,3.88,0.27,2.04,0.69,1,2.09,0.77,0.11,0.39,19.04,0.07,0.05,0,0.27,0.32,0.06,0.07,-0.01,18300000,15500000,12900000,10500000,8500000,6700000,5200000,3900000,2900000,2200000
"79","c.salihu","Eastern Niasland",25,1995,2.88,0,0.43,0,0.06,0.33,0,0.02,0,6.09,0,0,0.04,0.04,0.04,0.18,0.05,-0.03,26700000,24300000,21700000,19100000,16400000,13900000,11600000,9500000,7600000,6e+06
"80","k.pawar","Eastern Niasland",28,1992,3.02,0.35,0.57,0.41,1,0.68,0.29,0.57,0.93,22.11,0,0.33,0,0.24,0.04,0.04,0.03,0.35,14500000,12500000,10600000,8800000,7200000,5800000,4600000,3500000,2700000,2e+06
"81","s.doherty","Eastern Niasland",26,1994,2.92,0,0.32,0.03,0.04,0.28,0,0.07,0,6.09,0.08,0,0.02,0.06,0.16,0.08,-0.12,0.03,18500000,16600000,14500000,12500000,10600000,8800000,7200000,5800000,4600000,3600000
"82","x.foo","Eastern Niasland",28,1992,2.99,0,0.64,0,0.07,0.76,0.04,0.03,0,32.15,0,0.05,0,0,0,0.09,0.04,0.08,16200000,1.4e+07,11900000,9900000,8100000,6500000,5100000,4e+06,3e+06,2300000
"83","c.seidu","Eastern Niasland",27,1994,0.37,0.04,0,0,0,0.08,0.02,0,0,0,0.08,0.09,0.07,0.01,0,0,0.08,-0.02,8100000,7100000,6100000,5200000,4300000,3500000,2800000,2200000,1700000,1300000
"84","q.zee","Eastern Niasland",26,1994,1.36,0,3.14,0.81,1,2.97,0.69,0.04,0.1,15.36,0,0,0,0.25,0.19,0.03,-0.2,-0.2,1.3e+07,11600000,10200000,8800000,7400000,6200000,5100000,4100000,3200000,2500000
"85","h.jaber","Eastern Niasland",20,2000,0.81,0.02,0.04,0.03,0,0,0,0,0,0,0.06,0,0.04,0.03,0.06,0,-0.09,0.09,1.3e+07,12900000,12600000,12100000,11500000,10600000,9700000,8600000,7600000,6500000
"86","j.purba","Eastern Niasland",28,1992,1.96,0,3.18,1.14,1,3.07,0.96,0,0.1,26.11,0.05,0,0.04,0.1,0.05,0,-0.08,-0.1,16400000,14200000,1.2e+07,1e+07,8200000,6600000,5200000,4e+06,3100000,2300000
"87","j.soares","Eastern Niasland",37,1983,2.79,0.27,0.66,0.42,1,0.69,0.41,0.5,1.05,15.51,0,0.02,0.09,0.05,0.21,0.28,0.19,0.23,2900000,2100000,1500000,1100000,8e+05,5e+05,3e+05,2e+05,1e+05,1e+05
"88","u.manhique","Eastern Niasland",22,1998,0.14,0,0.1,0,0,0.01,0.1,0,0,0,0.09,0.08,0.07,0,0,0,-0.07,0.03,11700000,11200000,10600000,9800000,8900000,8e+06,7e+06,6e+06,5100000,4300000
"89","v.nkala","Eastern Niasland",30,1990,0.31,0,0.09,0,0,0.01,0.08,0,0,0,0.05,0.04,0.05,0,0,0,0.03,-0.07,4800000,4e+06,3300000,2600000,2100000,1600000,1200000,9e+05,7e+05,5e+05
"90","l.lau","Eastern Niasland",33,1987,0.82,0.1,0,0.01,0,0,0.05,0,0,0,0.05,0.05,0.1,0,0,0,0.01,-0.01,3300000,2600000,2e+06,1500000,1100000,8e+05,6e+05,4e+05,3e+05,2e+05
"91","y.nabuduwa","Eastern Niasland",27,1993,3,0.02,0,0.07,0,0.03,0,0,0,0,0,0,0.02,0.06,0,0,0.04,0.04,16600000,14600000,12600000,10700000,8900000,7300000,5800000,4600000,3600000,2700000
"92","k.abu","Eastern Niasland",30,1990,0.15,0.04,0.02,0.09,0,0.06,0,0,0,0,0.07,0,0.08,0.07,0.02,0,-0.02,0.05,4900000,4e+06,3300000,2700000,2100000,1600000,1200000,9e+05,7e+05,5e+05
"93","l.nangiro","Eastern Niasland",25,1995,2.6,0.03,1.94,0.44,1,1.86,0.39,0.03,0,26.45,0.1,0,0.44,0.03,0.13,0.1,-0.08,-0.09,33200000,30200000,2.7e+07,23700000,20500000,17400000,14500000,11800000,9500000,7500000
"94","o.lamunu","Eastern Niasland",30,1990,0.41,0.01,0,0,0,0,0.02,0,0,0,0.03,0,0,0.07,0.05,0,0.09,0.03,4500000,3700000,3e+06,2400000,1900000,1500000,1100000,9e+05,6e+05,5e+05
"95","o.sepp","Eastern Niasland",29,1991,2.77,0,0.45,0.42,1,0.45,0.27,0,0.06,10.23,0,0,0,0.16,0.17,0.16,-0.12,-0.14,11600000,9800000,8200000,6700000,5400000,4200000,3300000,2500000,1900000,1400000
"96","q.isabirye","Eastern Niasland",25,1995,0.25,0,4.93,0,0.08,6.44,0,0.1,0,15.08,0.05,0,0,0.06,0,0,0.05,-0.01,18100000,16500000,14800000,1.3e+07,11200000,9500000,7900000,6500000,5200000,4100000
"97","a.mwesige","Eastern Niasland",23,1997,0.18,0,9.98,0.09,0,6.84,0,0,0,7,0.07,0,0.01,0,0.09,0.09,0.06,0.04,49700000,46900000,43500000,39600000,35400000,31100000,26800000,22700000,18900000,15500000
"98","i.binhassan","Eastern Niasland",24,1996,0.68,0,0.02,0.01,0,0.09,0.03,0,0,0,0,0.08,0.01,0,0.02,0,-0.1,-0.07,9800000,9e+06,8200000,7400000,6500000,5600000,4700000,3900000,3200000,2600000
"99","z.banda","Eastern Niasland",21,1999,3.08,0.05,2.04,0,0.05,2.04,0.06,0,0,15.52,0,0,0,0.19,0.22,0,-0.19,-0.14,23100000,22500000,21700000,20400000,18900000,17200000,15400000,13500000,11700000,9900000
"100","c.begum","Eastern Sleboube",31,1989,1.05,0.1,0.01,0.08,0,0.01,0.05,0,0,0,0.1,0,0.02,0,0,0,0.09,-0.03,5300000,4300000,3400000,2700000,2100000,1600000,1200000,9e+05,6e+05,5e+05
"101","j.alamri","Eastern Sleboube",27,1993,3.03,0,0.07,0.05,0,0.07,0,0,0,0,0.09,0.08,0.06,0,0.08,0,-0.1,-0.03,17200000,15100000,1.3e+07,1.1e+07,9200000,7500000,6e+06,4800000,3700000,2800000
"102","n.schumacher","Eastern Sleboube",30,1990,2.28,0,0.77,0.35,1,0.86,0.45,0.04,0.05,17.62,0,0.07,0,0.06,0,0.07,0,0.02,9600000,8e+06,6500000,5200000,4100000,3200000,2400000,1800000,1300000,1e+06
"103","p.sullivan","Eastern Sleboube",33,1987,0.61,0,0.04,0.03,0,0,0.07,0,0,0,0,0,0,0.03,0.08,0,-0.06,0.03,2500000,1900000,1500000,1100000,9e+05,6e+05,5e+05,3e+05,2e+05,2e+05
"104","v.purwanto","Eastern Sleboube",37,1983,0.57,0,0.08,0.09,0,0.09,0,0,0,0,0.06,0.09,0,0.1,0.02,0,-0.06,-0.01,1e+06,7e+05,5e+05,4e+05,2e+05,2e+05,1e+05,1e+05,150000,150000
"105","w.nakyejwe","Eastern Sleboube",25,1995,1.48,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,-0.09,0.02,12200000,11100000,1e+07,8700000,7500000,6400000,5300000,4400000,3500000,2800000
"106","w.tumwesige","Eastern Sleboube",21,1999,2.54,0.03,0.48,0,0.04,0.34,0,0,0,10.02,0,0,0.05,0,0.09,0,-0.09,0.06,20400000,19900000,19100000,18100000,16700000,15200000,13600000,1.2e+07,10300000,8700000
"107","u.namugerwa","Eastern Sleboube",28,1993,2,0,0.57,0.54,1,0.55,0.57,0,0.06,17.28,0.06,0.05,0,0.02,0.05,0.04,-0.01,-0.11,10900000,9400000,8e+06,6600000,5400000,4400000,3400000,2700000,2e+06,1500000
"108","r.nyapendi","Eastern Sleboube",24,1996,1.54,0,0,0,0,0,0,0,0,0,0,0.1,0.07,0,0,0,-0.03,0.08,14700000,13700000,12400000,11100000,9800000,8400000,7100000,5900000,4900000,3900000
"109","q.kemigisa","Eastern Sleboube",23,1997,0.38,0.01,0,0,0,0,0,0,0,0,0.08,0,0,0.04,0,0,0.05,0.05,1.1e+07,10400000,9600000,8700000,7800000,6900000,5900000,5e+06,4200000,3400000
