"","Player","Nation","Age","Born","X90s","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"59","t.cheung","Djipines",23,1997,0.63,25.02,28.22,1,348.24,93.33,13.25,13.21,1,6.66,8.34,1,1.7,3.3,1,0.08,0.1,0,1.61,1.58,0.1,0,1.71,9800000,9200000,8500000,7800000,7e+06,6300000,5600000,4900000,4300000,3700000
"60","b.klemeni","Dosqaly",24,1996,3.24,51.54,60.09,1,853.98,292.46,24.58,27.09,1,19.8,24.22,1,5.15,6.13,1,0.09,0.07,0,0.58,3.85,0.33,0.05,4.54,22100000,20500000,18700000,1.7e+07,15200000,13500000,11900000,10400000,8900000,7600000
"61","b.luki","Dosqaly",22,1998,1.02,41,48.98,1,676.02,288.94,23.93,27.06,1,13.95,14.94,1,2.91,6.04,1,0.09,0,0.06,0.07,3.07,1.07,0.1,4.02,12800000,12100000,11300000,10400000,9600000,8700000,7800000,6900000,6100000,5300000
"62","b.mangwiro","Dosqaly",24,1996,1.57,46.72,53.28,1,731.26,212.76,25.94,27.39,1,17.25,19.97,1,2.05,4.68,1,0.04,0,0.03,0,2.64,0,0.07,2.76,10500000,9700000,8900000,8100000,7200000,6400000,5700000,4900000,4200000,3600000
"63","l.wilson","Dosqaly",25,1995,0.49,77.96,81.99,1,1568.07,463.92,29.99,32.06,1,31.99,31.95,1,16.02,16,1,0.03,0.07,0,0,5.99,0,0,9.93,6900000,6300000,5700000,5100000,4600000,4e+06,3500000,3e+06,2600000,2200000
"64","n.kamusiime","Dosqaly",27,1993,1.1,56.41,67.24,1,755.43,227.32,39.93,43.61,1,15.57,18.24,1,0.96,1.88,1,0,0.22,0,0.81,2.64,1.8,1.73,2.72,10600000,9500000,8400000,7400000,6400000,5600000,4700000,4e+06,3300000,2800000
"65","q.coppola","Dosqaly",25,1995,4.28,60.43,64.13,1,1185.95,338.57,18.39,19.55,1,34.69,35.86,1,6.71,7.7,1,0,0.07,0.04,0.19,3.2,0.32,0.01,3.08,25300000,23200000,2.1e+07,18800000,16700000,14700000,12800000,1.1e+07,9400000,8e+06
"66","v.andersson","Dosqaly",27,1993,4.24,60.65,64.6,1,1405.72,380.86,10.04,9.92,1,39.21,40.44,1,10.63,13.39,1,0,0,0,0.29,7.26,0.41,0,3.93,2.3e+07,20600000,18300000,16100000,1.4e+07,12100000,10300000,8700000,7300000,6e+06
"67","o.maulana","Dosqaly",25,1995,3.36,51.84,59.38,1,832.13,224.13,27.06,29.7,1,21.22,24.38,1,2.9,3.6,1,0.1,0.02,0.09,0.37,4.5,0.92,0,4.05,25300000,23100000,20900000,18800000,16700000,14700000,12800000,1.1e+07,9400000,7900000
"68","h.robert","Dosqaly",22,1998,4.35,20.44,25.98,1,337.24,63.38,10.88,12.7,1,7.22,8.65,1,1.86,3.27,1,0.32,0.25,0,1.56,1.43,0.88,0.09,2.1,48300000,45500000,42500000,39300000,3.6e+07,32600000,29200000,2.6e+07,22800000,19900000
"69","k.nambozo","Dosqaly",25,1995,0.08,5.96,6.9,1,107.91,26.06,2.98,3,1,2.01,1.98,1,1.03,2.06,1,0.02,0.05,0,1.03,0.07,0.91,0.93,0.08,6700000,6100000,5600000,5e+06,4400000,3900000,3400000,2900000,2500000,2100000
"70","s.mlakar","Dosqaly",34,1986,0.51,13.9,22,1,197.98,39.94,12.09,16.06,1,0,1.98,0,2.05,1.95,1,0,0.24,0,1.92,0,1.92,0.05,2.01,3200000,2700000,2200000,1800000,1500000,1200000,9e+05,7e+05,6e+05,4e+05
"71","y.sen","Dosqaly",33,1987,3.73,31.89,36.64,1,472.95,101.17,21.13,22.65,1,9.38,11.03,1,1.29,1.31,1,0,0,0.01,0.86,2.45,0.25,0,2.42,9e+06,7600000,6400000,5300000,4300000,3500000,2800000,2200000,1800000,1400000
"72","p.peh","Dosqaly",23,1997,0.25,19.91,36.61,1,396.73,73.22,6.71,10.09,1,10.07,16.68,1,3.33,6.7,1,0,0.03,0,3.26,0.09,0.06,0,3.37,6900000,6500000,6e+06,5500000,5e+06,4500000,4e+06,3500000,3e+06,2600000
"73","u.oola","Dosqaly",26,1994,0.88,65.6,67.83,1,1288.99,205.69,26.63,26.61,1,24.37,25.58,1,13.3,14.49,1,0.04,0,0,1.14,4.4,1.07,0.08,3.37,8400000,7700000,6900000,6100000,5400000,4700000,4e+06,3400000,2900000,2400000
"74","h.cardoso","Dosqaly",31,1989,0.3,37.46,47.43,1,600.09,29.93,22.51,22.46,1,12.42,20.08,1,2.56,4.96,1,0.07,0.31,0,2.59,0,2.48,2.2562,0,4800000,4100000,3500000,3e+06,2500000,2100000,1700000,1400000,1100000,9e+05
"75","j.rukundo","Dosqaly",27,1993,4.12,58.35,68.02,1,1078.75,298.68,28.51,32.42,1,20.14,22.05,1,8.03,11.09,1,0.33,0.2,0,1.94,7.67,1.73,0.16,4.74,4.2e+07,37700000,33500000,29400000,25600000,22100000,18800000,15900000,13300000,1.1e+07
"76","k.eyotaru","Dosqaly",23,1997,0.09,20.09,30,1,309.99,20.09,9.96,9.95,1,10.01,20.07,1,0,0,0,0,0.794200000000001,0,5.1108,0.04,0,0,0.05,9200000,8600000,7900000,7300000,6600000,5900000,5200000,4600000,4e+06,3500000
"77","m.matsumoto","Dosqaly",29,1991,4.38,54.06,58.74,1,986.06,201.66,25.82,27.7,1,20.52,22,1,7.11,7.53,1,0.05,0,0.01,0.26,5.62,0.28,0.03,3.75,20400000,1.8e+07,15700000,13500000,11500000,9700000,8100000,6700000,5500000,4500000
"78","m.sakai","Dosqaly",24,1996,0.92,32.97,41.99,1,510.02,102.01,18.02,21.92,1,13.09,16.1,1,2.01,3.99,1,0.08,0.23,0,3.91,0.92,0,0,2.98,10700000,9900000,9100000,8200000,7400000,6600000,5800000,5e+06,4300000,3700000
"79","o.aboagye","Dosqaly",29,1991,3.82,39.03,48.46,1,825.83,194.82,14.13,16.3,1,16.23,17.92,1,8.81,13.34,1,0.09,0.17,0,2.32,3.83,1.59,0.02,5.14,22700000,2e+07,17400000,1.5e+07,12800000,10800000,9100000,7500000,6100000,5e+06
"80","c.salihu","Eastern Niasland",25,1995,2.9,34.7,40.68,1,802,287.93,8.67,8.95,1,18.31,20.38,1,7.59,10.23,1,0.04,0,0,0.07,1.3,0,0.06,0.63,12700000,11700000,10600000,9500000,8400000,7400000,6500000,5600000,4700000,4e+06
"81","k.pawar","Eastern Niasland",28,1992,3.01,41.7,56.25,1,768.31,375.08,19.71,21.08,1,16.01,19.94,1,5.6,12.39,1,0,0.03,0,0.92,3.27,0.93,0.74,5.75,12600000,11200000,9800000,8600000,7400000,6300000,5300000,4500000,3700000,3e+06
"82","s.doherty","Eastern Niasland",26,1994,2.82,34.04,37.86,1,689.73,144.55,12.06,13.15,1,15.58,16.81,1,5.84,6.92,1,0.09,0,0,0.71,0.42,0,0.08,1.46,11800000,10700000,9600000,8500000,7500000,6500000,5600000,4800000,4100000,3400000
"83","x.foo","Eastern Niasland",28,1992,2.93,41.62,53.9,1,776,284.26,18.05,21.24,1,17.27,20.91,1,5.76,9.62,1,0,0,0.02,0,1.68,0,0.04,3.03,9900000,8800000,7700000,6700000,5800000,5e+06,4200000,3500000,2900000,2400000
"84","c.seidu","Eastern Niasland",27,1994,0.32,20.07,33.29,1,419.96,209.93,3.23,6.75,1,9.91,16.75,1,3.37,6.73,1,0.05,0.03,0,0,0,0,0.06,0,4500000,4e+06,3600000,3200000,2800000,2400000,2e+06,1700000,1400000,1200000
"85","q.zee","Eastern Niasland",26,1994,1.31,20.78,27.75,1,358.59,112.39,9.94,12.21,1,9.92,10.72,1,0.71,2.37,1,0,0.08,0,0.81,0.67,0.82,0,1.56,10400000,9400000,8400000,7500000,6600000,5700000,4900000,4200000,3600000,3e+06
"86","h.jaber","Eastern Niasland",20,2000,0.99,13.26,17.88,1,205.65,29.9,5.54,6.66,1,6.73,8.86,1,1.17,1.04,1,0.05,0,0,2.22,1.16,1.18,1.08,0.02,13200000,12700000,12100000,11400000,10600000,9800000,9e+06,8200000,7300000,6500000
"87","j.purba","Eastern Niasland",28,1992,1.82,27.92,33.3,1,466.8,71.08,13.27,15.38,1,9,11.08,1,2.68,2.72,1,0,0.03,0.02,1.67,1.53,1.56,0.46,2.61,11400000,10100000,8900000,7700000,6700000,5700000,4800000,4e+06,3300000,2700000
"88","j.soares","Eastern Niasland",37,1983,2.85,15.39,22.14,1,251.84,38.27,8.58,11.44,1,4.74,5.3,1,1.33,1.77,1,0.08,0.16,0,1.09,1.15,0.28,0,1.07,3500000,2900000,2300000,1800000,1400000,1100000,9e+05,7e+05,5e+05,4e+05
"89","u.manhique","Eastern Niasland",22,1998,0.18,0,0,0,0.03,0.01,0,0.01,0,0,0,0,0.05,0.03,0,0,0,0.1,0.05,0.09,0,0,0,1700000,1600000,1500000,1400000,1300000,1200000,1e+06,9e+05,8e+05,7e+05
"90","v.nkala","Eastern Niasland",30,1990,0.33,16.74,26.79,1,316.63,169.98,10.07,10.02,1,3.31,10.05,1,3.28,6.69,1,0,0,0.07,0.05,3.36,0.03,0.02,6.68,4e+06,3500000,3e+06,2600000,2200000,1800000,1500000,1200000,1e+06,8e+05
"91","l.lau","Eastern Niasland",33,1987,0.75,17.6,21.3,1,304.97,32.53,8.74,9.96,1,7.55,10.03,1,1.26,1.16,1,0,0,0.08,0,0,0,0.1,1.28,2600000,2200000,1800000,1500000,1200000,1e+06,8e+05,6e+05,5e+05,4e+05
"92","y.nabuduwa","Eastern Niasland",27,1993,3,24.66,32.68,1,883.93,569.06,3.27,3.34,1,8.4,8.35,1,12.93,21.04,1,0.05,0.01,0.01,0.3,0.94,0,0,0,9600000,8700000,7700000,6800000,5900000,5100000,4300000,3700000,3100000,2500000
"93","k.abu","Eastern Niasland",30,1990,0.17,69.93,80.01,1,1560.08,499.94,0,0,0,53.1354,53.5862,1,0.01,0.05,0,0.03,0.06,0.06,0.04,13.5348,0.03,0,10.04,4100000,3600000,3100000,2600000,2200000,1900000,1500000,1300000,1e+06,8e+05
"94","l.nangiro","Eastern Niasland",25,1995,2.64,36.5,45.32,1,760.3,164.69,12.25,14.29,1,15.07,17.33,1,6.83,9.97,1,0,0.13,0,1.86,4.53,1.18,0.37,3.05,21400000,19500000,17700000,15900000,14100000,12400000,10800000,9300000,7900000,6700000
"95","o.lamunu","Eastern Niasland",30,1990,0.45,21.95,25.94,1,372,120.05,9.93,9.96,1,10.03,12.03,1,1.94,1.96,1,0.04,0,0.1,0,3.95,0.08,0,2.04,4700000,4100000,3600000,3e+06,2600000,2100000,1800000,1500000,1200000,9e+05
