"","Player","Nation","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","League","Year","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"11","i.namirimu","Thaijagypt","Fanatical Outlaws",30,1990,21.82,0.45,2.98,1.04,1,2.92,1.07,0.14,0.46,12.81,0,0.1,0,0.57,0.49,0.27,-0.08,0,"A",2021,1062607472.22462,880071684.386901,715063141.306573,569969870.067437,445697877.800383,341908892.010534,257312797.676782,189973725.510372,137596331.176092,97769035.4046876
"13","j.akello","Bernepamar","Fanatical Outlaws",30,1989,4.3,0,1.72,0.58,1,1.73,0.53,0,0,19.51,0.03,0.04,0.08,0.2,0.04,0.16,-0.11,-0.08,"A",2021,16136312.9579462,13364400.7744112,10858650.0042755,8655324.22876085,6768181.69349289,5192085.53374484,3907444.6020078,2884861.59635659,2089480.37705247,1484679.70922859
"14","w.lew","Nganion","Fanatical Outlaws",24,1996,28.54,0.1,1.71,0.46,1,1.7,0.45,0.12,0.36,15.69,0.08,0,0,0.23,0.17,0.15,-0.09,-0.04,"A",2021,8329415927.12185,7738784646.54286,7053621238.14807,6307142905.10152,5532664923.28809,4761208802.7522,4019585295.06445,3329096861.85267,2704909727.22139,2156057216.0823
"15","b.derosa","People's Land of Maneau","Fanatical Outlaws",23,1996,28.57,0.35,1.98,0.62,1,1.86,0.62,0.09,0.43,16.17,0.02,0,0.06,0.28,0.22,0.2,0.02,0.09,"A",2021,10996611796.1208,10414440532.4797,9675962060.27579,8819288118.88644,7885950862.55085,6917605067.85382,5953037568.63966,5025770400.58362,4162438470.83402,3382004422.20047
"16","d.john","Pierrema","Fanatical Outlaws",24,1995,15.52,0,2.2,0.67,1,2.34,0.63,0.06,0.09,19.93,0.08,0.09,0.06,0.13,0.17,0.05,-0.06,-0.06,"A",2021,347279624.570207,322654343.377201,294087719.580467,262964683.161302,230674253.062082,198509813.891775,167589190.45603,138800549.577255,112776218.979177,89892826.4723686
"19","f.pop","Galamily","Fanatical Outlaws",25,1995,37.96,0.28,1.72,0.71,1,1.7,0.56,0.09,0.51,11.37,0,0,0,0.2,0.27,0.08,0.04,-0.03,"A",2021,58692720969.0516,53496284243.6689,47834821040.85,41961002068.0538,36110101585.5464,30485458493.7851,25248635556.612,20514656902.5151,16352033343.2925,12786757584.1585
"20","d.alshehri","People's Land of Maneau","Fanatical Outlaws",33,1987,7.98,0.02,0.15,0,0,0.13,0.08,0,0,21.04,0.08,0,0,0.08,0.04,0,-0.07,-0.08,"A",2021,9166471.95211076,7167882.56805416,5498708.67458486,4138202.15188619,3055229.61472119,2212876.46360987,1572358.76471148,1096042.22043331,749521.480044732,502831.000474612
"21","i.iddrisu","People's Land of Maneau","Fanatical Outlaws",21,1999,32,0.02,0.85,0.26,1,0.7,0.29,0.11,0.14,19.92,0,0.05,0.14,0.09,0,0.06,-0.05,-0.11,"A",2021,16532069427.559,16268291577.9735,15704996235.8321,14873558546.3323,13818888085.9004,12595414776.6397,11262453463.7121,9879494117.44639,8501930807.47229,7177638593.2952
"22","e.taylor","People's Land of Maneau","Fanatical Outlaws",27,1992,15.87,0.47,2.51,1.32,1,2.62,1.18,0.19,0.37,20.88,0.1,0.04,0.14,0.39,0.21,0.04,0.26,0.27,"A",2021,355128563.912058,311520981.588142,268083547.502816,226325861.778661,187447376.008813,152302036.182328,121398470.651461,94929650.8097287,72823527.6494587,54805318.2413207
"23","h.tourgeman","Rarita","Fanatical Outlaws",27,1993,6.22,0.26,1.91,0.53,1,2,0.48,0.04,0.33,17.17,0.17,0,0.09,0.2,0.09,0.04,-0.06,-0.01,"A",2021,34110135.0948287,29921622.3268274,25749452.3146453,21738622.3053445,18004339.7478303,14628626.2421943,11660335.5939917,9118002.72542034,6994707.32188179,5264056.45474765
"24","q.hor","Byasier Pujan","Fighting Cougars",28,1992,25.27,0.12,0.65,0.18,1,0.56,0.1,0,0.23,15.57,0.1,0.08,0,0,0.08,0.16,0.01,0.02,"A",2021,2339124262.75314,2012964671.63109,1699417842.98464,1407490124.66618,1143593559.20298,911547295.191131,712800301.063804,546811580.894835,411517866.220861,303823140.029967
"25","d.ikeda","People's Land of Maneau","Fighting Cougars",28,1991,32.6,0.22,0.99,0.49,1,0.87,0.48,0.25,0.3,12.25,0.13,0,0.02,0.17,0.13,0.01,0.15,0.17,"A",2021,9663422286.51242,8315987303.25979,7020658337.60613,5814642537.5182,4724429421.16592,3765796707.69273,2944730395.39395,2258995514.46781,1700068261.89564,1255158329.66827
"26","g.kohler","People's Land of Maneau","Fighting Cougars",26,1994,18.5,0.06,1.24,0.28,1,1.12,0.23,0,0.41,17.31,0.13,0,0,0.15,0.06,0.12,0,0.1,"A",2021,704468320.50311,629915077.591628,552565417.793621,475517561.206631,401449185.649289,332487837.931781,270148218.668525,215332515.688197,168383015.144804,129171918.93684
"27","i.ludwig","People's Land of Maneau","Fighting Cougars",28,1992,22.96,0,0.71,0.21,1,0.74,0.2,0.13,0.25,14.24,0.09,0,0,0,0.07,0.19,0,0.02,"A",2021,1437846135.11936,1237357723.71065,1044622304.33725,865176026.855446,702960336.665506,560322842.287322,438154216.223729,336121911.412589,252957648.680795,186758324.304563
"28","k.toth","People's Land of Maneau","Fighting Cougars",25,1995,28.73,0,0.74,0.18,1,0.88,0.31,0.12,0.14,12.7,0,0,0,0.05,0,0,0.02,0.02,"A",2021,5625353156.42795,5127305165.93313,4584687114.288,4021716007.25191,3460941503.126,2921852443.22872,2419933671.1409,1966209575.12687,1567246514.78007,1225535738.4854
"29","u.ortiz","People's Land of Maneau","Fighting Cougars",19,2000,9.78,0.2,0.6,0.24,1,0.59,0.17,0.18,0.47,12.09,0,0.04,0.03,0.06,0.02,0.08,0.03,-0.03,"A",2021,89519414.0610784,91531300.8697823,91812793.2463856,90347871.9143592,87219544.9368263,82602057.8752224,76744821.3476955,69950118.3325745,62547360.803306,54866933.3115618
"30","y.rabinovitch","Western Niasland","Fighting Cougars",28,1992,0.11,0,10.1,10.03,1,9.95,10.07,0,0.02,31.98,0.06,0,0.03,0.1,0.07,0,-0.08,0.06,"A",2021,136722610.431066,117658471.160906,99331552.1564118,82268277.5193015,66843433.3207916,53280250.0980521,41663420.5498719,31961323.2799723,24053359.5434199,17758566.0906143
"31","r.petrenko","Lefghau","Fighting Cougars",25,1995,2.35,0,1.67,0,0,1.8,0,0.07,0,6.87,0.03,0.06,0.01,0.22,0.18,0.02,-0.17,-0.12,"A",2021,11106110.0571985,10122816.0945997,9051527.65580948,7940056.26905374,6832921.62578665,5768600.45992178,4777664.43020574,3881878.93802262,3094207.91830979,2419569.83182399
"32","d.kikuchi","Nkasland Cronestan","Fighting Cougars",21,1999,7.1,0,1.75,0.44,1,1.86,0.36,0,0,17.78,0.09,0.03,0,0.05,0.11,0.07,-0.05,-0.18,"A",2021,50301468.2338731,49498881.8922257,47784965.6228093,45255183.3284586,42046179.5860605,38323566.1485571,34267817.929436,30059942.6885448,25868485.7520466,21839114.65391
"33","z.no","People's Land of Maneau","Fighting Cougars",22,1997,35.57,0.02,0.21,0.01,0.03,0.26,0.08,0,0,16.51,0,0.07,0.05,0.02,0,0.17,-0.06,0.05,"A",2021,42805050434.7022,41322910443.8847,39135235600.3543,36360191765.2719,33140994687.4838,29633713301.8572,25994877331.7547,22370239386.3496,18885768091.5959,15641551720.4247
"35","v.taheri","People's Land of Maneau","Fighting Cougars",29,1990,17.17,0.39,1.95,0.91,1,1.89,0.92,0.08,0.47,12.39,0.04,0,0.09,0.41,0.37,0.26,0.03,0.08,"A",2021,429090659.614169,362253910.107374,300025566.521278,243772442.489667,194308641.217303,151943029.933463,116560288.035612,87720601.930209,64764013.6952193,46908016.6363001
"36","r.bintihassan","Southslands","Fighting Cougars",20,2000,8.71,0.31,2.56,0.89,1,2.59,1,0.01,0.16,13.77,0.08,0,0.04,0.4,0.33,0.19,-0.25,-0.19,"A",2021,102231928.792073,102546329.530694,100910148.990501,97416099.4384198,92258796.9201068,85716809.841257,78127760.1041248,69859570.1690359,61281248.7755082,52736398.3105982
"37","k.goncalves","Quewenia","Fighting Cougars",21,1999,1.82,0.05,3.66,1.02,1,3.61,0.95,0,0,13.05,0,0.05,0,0.23,0.26,0.07,-0.4,-0.33,"A",2021,19064537.7401371,18760353.0286906,18110769.178577,17151967.5427929,15935737.1800778,14524845.8708766,12987694.6165946,11392886.3703864,9804300.7533523,8277146.57542093
"39","l.wafula","Dosqaly","Fighting Cougars",23,1996,27.86,0.21,2.44,0.79,1,2.43,0.79,0,0.19,14.16,0,0.12,0.07,0.48,0.25,0.08,-0.27,-0.23,"A",2021,7177322381.93909,6797347993.63462,6315354251.79871,5756216112.92877,5147040986.62687,4515016316.24727,3885457682.24665,3280244410.8576,2716760703.57418,2207383190.86969
"40","m.hsieh","Lonnia Haba","Fighting Cougars",26,1993,5.98,0.03,3.27,0.57,1,3.2,0.45,0.07,0,18.18,0,0.1,0,0.33,0.37,0,-0.33,-0.33,"A",2021,22521024.4527817,20137644.8773246,17664867.1398087,15201737.6963289,12833858.7604621,10629245.5038524,8636321.12536195,6883927.50979843,5383007.14331763,4129474.47077781
"41","f.cho","Southern Ristan","Fighting Cougars",25,1994,29.03,0.22,2.05,0.87,1,2.06,0.76,0.12,0.15,17.66,0.08,0,0.04,0.09,0.25,0.06,-0.08,-0.02,"A",2021,6944079621.46705,6329276460.64583,5659454877.91309,4964508963.73933,4272274592.30448,3606809287.12429,2987227934.63548,2427139321.30118,1934649129.12419,1512832618.7435
"44","i.azulay","Byasier Pujan","Fighting Cougars",28,1991,2.3,0.05,1.63,0.82,1,1.68,0.95,0.03,0.1,17,0,0,0.02,0,0,0.09,0.01,0.06,"A",2021,13547539.2312284,11658516.092643,9842542.46971298,8151780.55527438,6623367.0671465,5279421.42252287,4128335.63246759,3166976.40318761,2383393.87340487,1759656.79739752
"45","h.narvaez","Reugha","Fighting Cougars",23,1996,34.65,0.01,1.3,0.17,1,1.15,0,0.03,0.25,25.37,0.08,0.04,0.07,0.1,0.06,0.1,-0.11,-0.09,"A",2021,31475434879.412,29809094916.0552,27695359204.306,25243314396.7768,22571837347.575,19800155890.8838,17039288991.952,14385186264.2137,11914084397.7518,9680259876.99284
"46","p.chew","Esia","Fighting Cougars",29,1991,27.7,0.03,0.98,0.12,1,0.99,0.18,0.1,0,20.97,0.17,0.16,0.11,0.1,0.05,0.11,0,-0.05,"A",2021,3274024966.45955,2764050718.22255,2289239286.28533,1860019660.09618,1482603567.07909,1159347709.71007,889372174.797426,669321119.808603,494158968.54278,357915079.60682
"47","o.kia","Western Niasland","Fighting Cougars",21,1998,9.98,0.06,0.7,0.27,1,0.61,0.28,0.12,0.56,17.24,0,0.04,0,0.14,0.08,0.14,0.05,0.03,"A",2021,107009698.734442,105302302.794651,101656173.365713,96274397.2329857,89447667.6012554,81528301.4984631,72900235.3542896,63948539.1583389,55031770.7262991,46459818.4068137
"48","q.nabimanya","Imaar Vircoand","Fighting Cougars",21,1998,12.47,0,2.16,0.32,1,2.15,0.29,0.13,0.35,21.44,0.12,0,0,0.07,0.05,0,-0.03,0,"A",2021,185458582.888019,182499493.803877,176180384.368804,166853224.430965,155021814.584626,141296755.714588,126343448.312672,110829257.444188,95375599.9074956,80519543.4139568
"49","i.ocen","People's Land of Maneau","Fighting Cougars",32,1988,17.75,0.01,1.26,0.27,1,1.29,0.15,0,0.33,16.29,0.09,0,0.02,0.11,0.1,0.13,0.01,-0.01,"A",2021,211424338.9584,168524282.743791,131780501.253255,101092976.691878,76080257.8286242,56169961.8051981,40683418.9619268,28907592.1928611,20150580.2909158,13779845.7776896
"50","d.daniel","People's Land of Maneau","Great Galactic Gorgons",27,1993,30.97,0.03,0.34,0,1,0.32,0.1,0.03,0,16.56,0.08,0.04,0,0.01,0,0.05,-0.09,-0.13,"A",2021,7279833746.81305,6385915369.98212,5495484887.43824,4639487818.72935,3842511902.13587,3122062304.68978,2488565475.34384,1945977163.66451,1492820426.22677,1123462446.50935
"51","f.kembabazi","People's Land of Maneau","Great Galactic Gorgons",23,1996,11.29,0.14,0.21,0.16,1,0.11,0.06,0.47,1.01,4.87,0,0.04,0.05,0.03,0.04,0.17,0.07,0.06,"A",2021,143598077.852492,135995856.732956,126352514.664508,115165729.715598,102977845.075969,90332805.1861289,77737103.7633504,65628484.7216618,54354757.1445495,44163542.6730199
"54","t.awuah","People's Land of Maneau","Great Galactic Gorgons",26,1993,9.78,0,0.56,0,0,0.42,0,0,0,12.5,0.01,0.07,0,0.06,0.14,0.02,-0.1,-0.13,"A",2021,46606032.1078258,41673758.0342469,36556479.3388745,31459167.2619201,26558970.9167746,21996643.9925124,17872395.6588218,14245912.6236588,11139839.7654654,8545722.2506477
"55","t.barigye","People's Land of Maneau","Great Galactic Gorgons",23,1997,6.03,0.04,0.37,0.23,1,0.31,0.1,0.06,0.02,23.09,0.04,0,0.08,0.02,0.07,0,-0.01,0.04,"A",2021,24543115.362391,23243779.0987201,21595583.9389767,19683590.7031246,17600494.1658492,15439262.7801674,13286464.0957237,11216915.2656573,9290062.20030176,7548227.23845392
"56","u.ban","People's Land of Maneau","Great Galactic Gorgons",20,2000,12.3,0.22,1.41,0.65,1,1.35,0.56,0.22,0.34,12.25,0.02,0,0.05,0.25,0.19,0.07,0.03,0.11,"A",2021,162505213.87024,163004977.103451,160404147.091184,154850096.840513,146652182.953585,136253210.51957,124189854.529166,111046954.951734,97411078.4777786,83828406.5210205
"57","i.najjemba","Southslands","Great Galactic Gorgons",27,1992,29.23,0.03,0.47,0.17,1,0.54,0.13,0,0,9.85,0,0,0,0.07,0.02,0.01,0,-0.1,"A",2021,4771229609.78264,4185352242.71616,3601760854.29657,3040737250.98984,2518396326.21267,2046211030.33339,1631014896.05329,1275400536.07703,978399956.292913,736321388.192536
"58","x.nalukenge","Southslands","Great Galactic Gorgons",30,1990,30,0.06,0.56,0.1,1,0.57,0.19,0,0,18.01,0,0,0,0.07,0,0.12,-0.05,0.01,"A",2021,4733658962.97867,3920506231.84509,3185433131.62965,2539077744.69534,1985476113.40754,1523121315.71915,1146266201.63117,846286942.260966,612958334.446021,435537376.54063
"59","i.bintiomar","Djipines","Great Galactic Gorgons",19,2000,23.25,0.03,0.34,0.16,1,0.3,0.09,0.07,0,17.15,0,0,0.03,0.06,0.07,0.12,0.04,-0.08,"A",2021,1789145570.30367,1829355377.41087,1834981317.25818,1805703226.69505,1743180114.66378,1650894473.5115,1533831053.27624,1398031317.22415,1250078931.91825,1096577001.98474
"60","m.ludwig","Rarita","Great Galactic Gorgons",32,1988,28.56,0.01,0.36,0.06,1,0.43,0.11,0,0.01,13.1,0,0.05,0.1,0,0.07,0.01,-0.04,-0.11,"A",2021,1653233679.30387,1317776474.48331,1030458290.75665,790497038.474716,594909957.822544,439221298.167735,318124198.701266,226043062.195512,157567563.690069,107751573.198825
"61","r.lambert","Ngoque Blicri","Great Galactic Gorgons",23,1997,14.16,0.06,1.82,0.44,1,1.73,0.49,0.06,0.1,14.53,0,0.03,0,0.21,0.19,0.19,-0.19,-0.02,"A",2021,315286998.297788,298595399.684355,277422272.440665,252860329.134102,226100350.023687,198336631.108738,170681240.782953,144095298.907693,119342462.514813,96966414.9535209
"62","y.susanti","Ngoque Blicri","Great Galactic Gorgons",24,1996,14.62,0.03,2.11,0.81,1,2.02,0.85,0.12,0.14,11.32,0,0,0,0.21,0.14,0.06,-0.21,-0.22,"A",2021,283953853.110089,263818944.569665,240461389.667136,215013579.065967,188611246.776524,162311931.212483,137029623.976599,113490536.379832,92211692.401927,73501042.4967367
"63","a.schmitt","People's Land of Maneau","Great Galactic Gorgons",34,1986,8.14,0.44,0.94,0.34,1,0.95,0.44,0.12,0.26,15.32,0.01,0.19,0.15,0.4,0.11,0.18,0.1,-0.06,"A",2021,14402614.0255302,11048699.2395551,8314997.87941071,6138952.81938806,4446390.58870703,3159381.61413636,2202306.31664371,1506033.12462733,1010351.48820428,664954.008802871
"64","u.rodrigues","People's Land of Maneau","Great Galactic Gorgons",17,2003,3.16,0.24,1.3,0.7,1,1.35,0.55,0.29,0.45,11.02,0.01,0.06,0.02,0.41,0.49,0.5,-0.16,-0.12,"A",2021,26463572.5588663,28115030.1507675,29302845.5292366,29961406.6804248,30053549.0130772,29574028.8558567,28550017.6606422,27038552.114106,25121273.0635838,22897128.3352316
"65","w.swee","People's Land of Maneau","Great Galactic Gorgons",20,2000,12.41,0,2.09,0.49,1,2.05,0.54,0.02,0.06,19.67,0.09,0.06,0,0.1,0.24,0.1,-0.06,-0.07,"A",2021,176157584.820984,176699334.110427,173880003.440478,167859346.903798,158972710.736881,147700100.92352,134623279.537332,120376220.061727,105594767.766374,90870989.8005248
"66","m.nkhata","People's Land of Maneau","Great Galactic Gorgons",16,2004,0.06,0.06,9.9,0.09,0,8.16,0,0,0,12.11,0.1,0,0.02,1.02,1.01,0.08,-0.92,-1.05,"A",2021,9710473.7216078,10515969.9401599,11172218.3871619,11644226.8730402,11905922.8044662,11942537.8910436,11751988.4273302,11345071.6770196,10744452.6102777,9982573.28286115
"67","g.elbaz","Dosqaly","Great Galactic Gorgons",24,1996,3.37,0.05,1.12,0.66,1,1.14,0.56,0,0.06,16.54,0.03,0,0.04,0.28,0.14,0.17,-0.12,-0.15,"A",2021,21262725.394106,19755004.944317,18005969.7742335,16100414.3370827,14123383.4389786,12154066.5279157,10260904.1348082,8498275.6298031,6904896.24350259,5503825.58881044
"68","h.gomani","Southslands","Great Galactic Gorgons",32,1987,26.7,0.31,2.77,0.93,1,2.62,0.85,0.03,0.33,17.38,0.1,0,0,0.25,0.24,0.16,0.03,0.02,"A",2021,2277449880.08239,1815333132.48923,1419531394.80066,1088967281.52661,819531823.639907,605059348.453977,438239268.443042,311390792.07932,217060802.428084,148435644.961995
"71","d.kojima","Highhlaands","Great Galactic Gorgons",29,1991,24.7,0.08,0.47,0.05,1,0.45,0.09,0.07,0.03,28.91,0.1,0,0.09,0,0.03,0,-0.06,0.03,"A",2021,1109491641.79552,936673116.663205,775770459.97608,630317816.019489,502420196.126132,392876232.476946,301387742.760644,226817509.247001,167459091.159402,121289175.667393
"72","a.aryemo","Ngoque Blicri","Great Galactic Gorgons",28,1991,28.68,0,0.56,0.19,1,0.66,0.25,0,0,22.95,0.04,0,0,0.01,0.02,0.09,0.05,0.02,"A",2021,4308198535.43105,3707477874.64199,3129987396.91346,2592314991.67276,2106270357.38914,1678887601.07867,1312835432.47227,1007117445.39605,757933512.463214,559581390.244984
"73","g.gustafsson","People's Land of Maneau","Great Galactic Gorgons",26,1994,22.5,0.02,0.82,0.17,1,0.93,0.09,0,0.09,23.13,0.05,0.01,0.11,0.11,0.06,0.09,0,0.01,"A",2021,1377209989.87507,1231461106.74297,1080245330.12554,929619567.828261,784818582.769715,650001651.72025,528129959.387727,420967250.222014,329182681.227019,252526411.754187
"74","h.susanto","Redohrainbri","Great Galactic Gorgons",22,1998,12.39,0,0.81,0.13,1,0.76,0.1,0.1,0.05,17.75,0,0.15,0,0.14,0,0,-0.08,-0.07,"A",2021,128179617.236903,123741352.714722,117190365.828017,108880503.954612,99240626.2988076,88738080.898528,77841595.6217,66987626.2945728,56553385.6547717,46838587.7870582
"75","f.nakazibwe","People's Land of Maneau","Great Galactic Gorgons",25,1994,17.8,0,0.56,0.19,1,0.53,0.18,0.06,0.2,17.85,0,0,0,0.03,0.15,0.06,0.07,-0.07,"A",2021,373273435.48223,340225184.238737,304219461.813858,266863201.085503,229652697.164211,193881142.94831,160576043.840681,130468929.252383,103995513.62407,81321105.1270566
"76","z.okon","Byasier Pujan","Green Fleet",22,1998,0.93,0,1.03,0.08,0.01,1.13,0.07,0.05,0,28.45,0,0,0.02,0,0.04,0.09,0.06,0.01,"A",2021,10289837.008873,9933547.7678847,9407656.14201973,8740567.83198405,7966710.24056707,7123600.52720732,6248866.61954619,5377545.75213382,4539919.31971534,3760047.3807302
"77","g.nimusiima","Central Diasongo","Green Fleet",26,1994,10.21,0.03,0.26,0.08,0.06,0.29,0.08,0,0,10.04,0.05,0.01,0,0,0.04,0.06,-0.08,0.03,"A",2021,66158838.9231576,59157309.0524355,51893158.863705,44657351.9651454,37701357.5148929,31224980.1352712,25370470.1320065,20222554.8058136,15813379.327554,12130941.7749749
"78","d.chen","Lefghau","Green Fleet",27,1992,7.64,0,0.56,0.19,1,0.64,0.05,0.04,0.08,22.34,0.03,0,0.06,0.13,0,0,-0.04,-0.12,"A",2021,28598531.3471731,25086809.2926955,21588789.2893324,18226039.5543847,15095152.0195398,12264895.0228549,9776228.4457761,7644692.28989,5864484.44290871,4413476.61379426
"79","c.muyama","People's Land of Maneau","Green Fleet",25,1995,29.52,0.09,0.34,0.1,1,0.4,0.3,0.04,0.27,18,0.06,0.08,0.1,0,0,0.14,0,0.07,"A",2021,9541862594.44993,8697061324.45094,7776659218.82495,6821733759.2837,5870534231.70811,4956118088.8152,4104751103.72833,3335133115.38751,2658402144.68558,2078783908.50057
"80","g.hernandez","People's Land of Maneau","Green Fleet",22,1997,34.06,0,0.16,0.1,1,0.33,0.15,0.24,0.48,15.57,0,0.05,0,0.05,0.06,0.1,0.11,0.06,"A",2021,23430232474.2384,22618952398.8371,21421483183.3727,19902505363.6556,18140411051.256,16220627815.7904,14228835449.0186,12244814665.6454,10337517006.6826,8561727864.94986
"82","u.wright","People's Land of Maneau","Green Fleet",27,1993,33.91,0.03,1.13,0.29,1,1.06,0.18,0.1,0.24,11.03,0,0.02,0,0.11,0.06,0,-0.07,0.05,"A",2021,15950043450.655,13991477163.6111,12040552818.3155,10165071740.8091,8418905421.50862,6840407507.55522,5452422245.06993,4263616642.07226,3270754730.18406,2461495064.34099
"83","z.agyei","People's Land of Maneau","Green Fleet",19,2000,2,0,0.45,0.51,1,0.56,0.47,0.09,0,12.08,0.03,0,0.04,0,0.12,0.04,-0.03,0.01,"A",2021,11207521.260483,11459402.5358323,11494644.4085427,11311241.3205553,10919585.5944966,10341492.1724639,9608186.40188384,8757513.06695026,7830713.40828775,6869150.42995335
"84","q.sarfo","Xikong","Green Fleet",26,1994,28.72,0.03,0.1,0,1,0.05,0,0.15,0.93,5.87,0,0.03,0,0.02,0.04,0.1,0.03,0.08,"A",2021,6517750594.57587,5827982965.3277,5112342848.5675,4399495019.26837,3714213389.45234,3076182051.48168,2499415036.28284,1992259398.06056,1557881973.0215,1195100371.37205
"85","c.gheorghe","Central Diasongo","Green Fleet",18,2002,1.82,0.08,0.54,0.65,1,0.5,0.62,0.09,0.04,22.59,0,0,0.07,0,0,0.01,-0.07,0,"A",2021,10982359.4047194,11446346.650077,11703595.3605906,11739588.2159477,11552276.9208802,11152275.2520221,10561863.0144788,9812930.94863865,8944130.28778609,7997581.09803535
"86","i.koomson","Djipines","Green Fleet",22,1997,10.02,0.28,1.59,0.57,1,1.59,0.5,0.17,0.52,16.67,0.04,0,0.09,0.22,0.14,0.17,0.13,0.03,"A",2021,135677846.586123,130979953.224215,124045747.825869,115249777.072361,105045987.500452,93929065.9937404,82395159.9828884,70906257.0124989,59861635.9464747,49578543.4929005
"87","l.obote","Dosqaly","Green Fleet",24,1995,16.33,0.15,2.62,1.36,1,2.58,1.36,0.1,0.24,14.04,0.08,0,0.09,0.45,0.48,0.14,-0.22,-0.07,"A",2021,448811317.314447,416986516.463691,380068070.49006,339845811.578677,298114856.336437,256546727.101756,216586059.229129,179380686.606171,145747806.150241,116174157.686658
