"","Player","Nation","Squad","Age","Born","X90s","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"11","i.namirimu","Thaijagypt","Fanatical Outlaws",30,1990,21.86,14.87,22.41,1,228.66,42.27,8.71,11.78,1,4.02,6.19,1,1.32,2.34,1,0.32,0.06,0.05,1.03,1.03,0.49,0.16,1.16,13600000,11600000,9800000,8100000,6600000,5300000,4200000,3300000,2600000,1900000
"12","m.namukwaya","Ngoque Blicri","Fanatical Outlaws",32,1987,0.16,30.06,29.95,1,350.08,130.08,29.98,29.97,1,0.06,0.01,0,0,0,0,0.09,0.08,0.1,0,0,0,0,0.03,1200000,1e+06,8e+05,7e+05,5e+05,4e+05,3e+05,2e+05,2e+05,1e+05
"13","j.akello","Bernepamar","Fanatical Outlaws",30,1989,4.23,29.54,37.49,1,513.74,139,16.66,18.78,1,8.51,11.84,1,4.02,5.81,1,0.28,0.15,0.07,1.2,2.42,1.37,0.56,2.55,7e+06,6e+06,5e+06,4200000,3400000,2700000,2200000,1700000,1300000,1e+06
"14","w.lew","Nganion","Fanatical Outlaws",24,1996,28.66,29.7,38.5,1,492.01,143.31,15.91,18.4,1,10.66,13.55,1,2.8,4.71,1,0.21,0.06,0.14,1.13,2.53,1.08,0.23,3.78,44400000,41400000,38100000,34500000,30800000,27100000,23500000,20100000,16900000,14100000
"15","b.derosa","People's Land of Maneau","Fanatical Outlaws",23,1996,28.57,17.55,25.88,1,339.96,75.31,7.57,9.76,1,6.7,8.48,1,2.83,5.76,1,0.13,0.08,0.03,0.89,0.68,0.74,0.36,1.22,36700000,34800000,32500000,29900000,27100000,24200000,21300000,18400000,15800000,13300000
"16","d.john","Pierrema","Fanatical Outlaws",24,1995,15.42,26.54,33.95,1,412.44,117.66,15.17,16.92,1,8.47,10.67,1,1.84,4.32,1,0.32,0.21,0.15,1.83,2.71,1.46,0.34,3.12,32100000,29900000,27500000,2.5e+07,22300000,19600000,1.7e+07,14500000,12200000,10200000
"17","s.kiconco","Nkasland Cronestan","Fanatical Outlaws",35,1985,35.01,17.38,28.59,1,697.03,496.54,1.52,1.55,1,5.4,5.44,1,10.45,21.6,1,0.04,0.04,0,0.08,0.44,0,0.08,0,6200000,4900000,3800000,3e+06,2300000,1700000,1200000,9e+05,7e+05,5e+05
"18","r.chee","Southslands","Fanatical Outlaws",33,1987,3,12.05,21.96,1,436.99,328.67,1.59,1.71,1,4.42,4.24,1,6.1,16.07,1,0.04,0.08,0,0.05,0.04,0,0.01,0.03,1900000,1500000,1200000,1e+06,8e+05,6e+05,5e+05,3e+05,2e+05,2e+05
"19","f.pop","Galamily","Fanatical Outlaws",25,1995,37.0604,31.17,40.59,1,574.81,145.81,13.82,17.53,1,12.23,15.61,1,4.27,5.6,1,0,0,0,0.33,2.66,0.25,0.01,2.64,45700000,4.2e+07,38100000,3.4e+07,29900000,2.6e+07,22200000,18700000,15500000,12700000
"20","d.alshehri","People's Land of Maneau","Fanatical Outlaws",33,1987,7.97,47.2,54.24,1,926.93,220.11,18.62,20.44,1,20.47,22.14,1,7.79,9.66,1,0,0,0.03,0.63,5.13,0.68,0.35,3.23,4100000,3400000,2700000,2200000,1700000,1300000,1e+06,7e+05,6e+05,4e+05
"21","i.iddrisu","People's Land of Maneau","Fanatical Outlaws",21,1999,31.93,40.63,47.08,1,781.37,189.54,16.32,18.19,1,17.75,19.51,1,6.09,8.24,1,0.07,0.1,0,0.54,3.55,0.73,0.34,3,56400000,5.5e+07,52800000,5e+07,46700000,42900000,38900000,34800000,30600000,26500000
"22","e.taylor","People's Land of Maneau","Fanatical Outlaws",27,1992,15.89,34.48,42.24,1,544.18,144.97,19.13,21.61,1,10.84,12.71,1,3.13,5.3,1,0.27,0.19,0.1,1.09,3.63,1.56,0.27,4.05,26900000,2.4e+07,21100000,18300000,15700000,13200000,10900000,9e+06,7200000,5700000
"23","h.tourgeman","Rarita","Fanatical Outlaws",27,1993,6.26,51.99,58.5,1,839.82,208.03,27.87,30.25,1,19.48,21.11,1,3.32,4.93,1,0.18,0.12,0.06,1.76,3.99,0.65,0,3.22,12300000,1.1e+07,9700000,8400000,7200000,6e+06,5e+06,4100000,3300000,2600000
"24","q.hor","Byasier Pujan","Fighting Cougars",28,1992,25.3,45.54,58.89,1,900.39,358.97,16.4,18.67,1,23.09,28.1,1,5.89,10.95,1,0.09,0.05,0,0.74,3.86,1.3,0.48,4.87,21300000,18700000,16200000,13900000,11700000,9700000,7900000,6400000,5100000,4e+06
"25","d.ikeda","People's Land of Maneau","Fighting Cougars",28,1991,32.59,59.47,65.9,1,1389.48,381.53,14.6,15.55,1,30.65,32.25,1,13.54,17.58,1,0.03,0.12,0,0.27,3.53,0.12,0.03,2.18,26400000,23200000,20100000,17200000,14500000,1.2e+07,9800000,7900000,6300000,4900000
"26","g.kohler","People's Land of Maneau","Fighting Cougars",26,1994,18.63,36.62,52.49,1,690.67,232.63,17.2,20.12,1,13.99,18.78,1,5.01,10.99,1,0.07,0.1,0,1.36,2.02,1.86,0.64,4.07,20400000,18500000,16500000,14600000,12600000,10800000,9100000,7500000,6200000,5e+06
"27","i.ludwig","People's Land of Maneau","Fighting Cougars",28,1992,23,41.51,54.2,1,737.16,230.78,17.47,21.34,1,20.75,25.01,1,2.83,6.21,1,0,0.05,0.06,0.35,3.09,0.75,0.3,3.27,17200000,15200000,13200000,11300000,9500000,7900000,6400000,5200000,4100000,3200000
"28","k.toth","People's Land of Maneau","Fighting Cougars",25,1995,28.78,51.45,62.33,1,1128.7,393.02,14.05,16.32,1,27.79,30.87,1,9.26,13.87,1,0,0.11,0,0.26,4.6,0.21,0.08,3.89,31300000,28800000,26100000,23300000,20500000,17800000,15200000,12800000,10600000,8700000
"29","u.ortiz","People's Land of Maneau","Fighting Cougars",19,2000,9.72,39.78,50.98,1,647.7,174.6,21.34,23.89,1,14.37,19.19,1,3.26,5.75,1,0.08,0.15,0,1.22,1.26,1.17,0.79,2.84,14400000,14500000,14400000,1.4e+07,13500000,12700000,11900000,10900000,9900000,8900000
"30","y.rabinovitch","Western Niasland","Fighting Cougars",28,1992,0.01,80.01,90.03,1,1270.07,129.99,39.97,39.92,1,39.98,44.3752,1,0,0,0,0,0.08,0,0.02,0.07,0.09,0,0.1,1800000,1600000,1400000,1200000,1e+06,8e+05,7e+05,6e+05,4e+05,3e+05
"31","r.petrenko","Lefghau","Fighting Cougars",25,1995,2.38,27.01,37.75,1,452.99,125.13,13.81,16.56,1,10.45,14.8,1,2.17,2.58,1,0,0,0,0.82,1.39,0.96,0.53,2.55,7100000,6500000,5900000,5300000,4600000,4e+06,3400000,2900000,2400000,2e+06
"32","d.kikuchi","Nkasland Cronestan","Fighting Cougars",21,1999,7.26,27.79,37.15,1,399.27,120.7,16.44,18.89,1,9.8,12.49,1,0.76,3.38,1,0,0.1,0,0.47,2.39,1.01,0.05,2.9,16200000,15800000,15200000,14400000,13400000,12300000,11200000,1e+07,8800000,7600000
"33","z.no","People's Land of Maneau","Fighting Cougars",22,1997,35.48,41.43,49.63,1,867.15,265.51,13.66,15.19,1,20.42,22.92,1,6.88,10.56,1,0.09,0.01,0,0.17,3.15,0.64,0.12,3.37,5.2e+07,49900000,47300000,44100000,40600000,36800000,32900000,28900000,25100000,21400000
"34","w.nabatanzi","Esia","Fighting Cougars",19,2001,0.17,0,10.07,0,0.02,0.08,0,10.02,0,0,0,0,0.04,0.08,0,0,0.05,0,0.06,0,0,0,0,1400000,1400000,1400000,1400000,1300000,1300000,1200000,1100000,1e+06,9e+05
"35","v.taheri","People's Land of Maneau","Fighting Cougars",29,1990,17.14,12.66,15.67,1,172.3,35.17,8.12,9.73,1,3.2,3.6,1,0.78,0.93,1,0.1,0.09,0,1.22,0.85,0.37,0.01,1.14,13700000,11900000,10100000,8500000,7100000,5800000,4700000,3700000,2900000,2200000
"36","r.bintihassan","Southslands","Fighting Cougars",20,2000,8.73,9.03,11.47,1,130.21,18.76,5.18,6.44,1,2.94,3.42,1,0.43,0.66,1,0.16,0,0.15,0.59,0.3,0.19,0,0.43,12600000,12400000,12100000,11600000,1.1e+07,10300000,9500000,8600000,7700000,6700000
"37","k.goncalves","Quewenia","Fighting Cougars",21,1999,1.93,10.58,22.54,1,162.04,44.15,5.82,9.47,1,3.76,6.9,1,0.55,4.27,1,0,0.11,0,0.51,1.12,0.58,0.47,2.15,8600000,8400000,8e+06,7600000,7100000,6500000,5900000,5300000,4700000,4e+06
"38","g.bellini","Buhegeor","Fighting Cougars",26,1994,1.12,20.02,26.37,1,292.65,60.93,10.04,13.64,1,9.01,10.1,1,0.03,1.89,0.09,0.6604,0.36,0.4104,2.72,0.9,0.94,0,1.82,7800000,7100000,6300000,5600000,4800000,4100000,3500000,2900000,2400000,1900000
"39","l.wafula","Dosqaly","Fighting Cougars",23,1996,28,18.29,23.48,1,283.3,48.85,9.13,11.13,1,6.59,7.9,1,1.29,2.16,1,0,0.17,0,1.09,1.22,1.09,0.1,1.49,54700000,51800000,48300000,44500000,40300000,3.6e+07,31700000,27500000,23500000,19800000
"40","m.hsieh","Lonnia Haba","Fighting Cougars",26,1993,5.92,33.2,44.98,1,560.71,131.86,14.74,18.32,1,13.9,16.93,1,3.29,6.25,1,0.15,0.471199999999999,0,1.87,0.65,3.25,0.89,3.58,26500000,2.4e+07,21400000,18900000,16400000,1.4e+07,11800000,9800000,8e+06,6400000
"41","f.cho","Southern Ristan","Fighting Cougars",25,1994,29.1,27.95,37.42,1,538.19,149.18,11.97,14.78,1,11.62,14.15,1,3.96,6.06,1,0.12,0.08,0.06,1.64,2.63,2.25,0.57,4.35,58600000,53900000,48900000,43700000,38400000,33300000,28500000,2.4e+07,19900000,16300000
"42","z.marini","Central Republic of Boekrainego","Fighting Cougars",28,1992,11.03,28.55,36.36,1,768.54,376.87,5.67,5.71,1,14.59,14.43,1,8.36,16.06,1,0.02,0.09,0,0,0.06,0,0,0,6300000,5500000,4800000,4100000,3500000,2900000,2400000,1900000,1500000,1200000
"43","p.robinson","Nganion","Fighting Cougars",22,1997,27,29.05,40.58,1,886.31,469.45,4.34,4.38,1,14.26,14.32,1,10.34,21.54,1,0,0.07,0,0.01,0.84,0.08,0,0.09,22600000,21700000,20600000,19200000,17600000,1.6e+07,14300000,12600000,10900000,9300000
"44","i.azulay","Byasier Pujan","Fighting Cougars",28,1991,2.4,30.34,39.9,1,590.01,179.94,10.45,13.82,1,16.33,20.05,1,3.24,4.63,1,0.05,0,0,0.04,3.02,2.08,0.4,5.51,8100000,7100000,6200000,5300000,4400000,3700000,3e+06,2400000,1900000,1500000
"45","h.narvaez","Reugha","Fighting Cougars",23,1996,34.61,42.22,48.49,1,843.38,156.52,14.8,16.86,1,19.98,21.97,1,6.52,8.46,1,0,0.11,0,0.53,3.52,0.58,0,3.23,61900000,58600000,54700000,50300000,45600000,40700000,35800000,31100000,26600000,22400000
"46","r.matovu","Southslands","Fighting Cougars",20,1999,0.01,0,1.01,0,0,0,0.07,0,0,0.01,0.08,0,0,1.05,0.09,0.09,0.01,0.02,0.03,0.03,0.06,0,0,1400000,1400000,1400000,1300000,1200000,1200000,1100000,1e+06,9e+05,8e+05
"47","p.chew","Esia","Fighting Cougars",29,1991,27.59,45.67,60.42,1,935.5,264.49,18.37,21.31,1,18.24,22.01,1,8.53,15.43,1,0.25,0.25,0.18,2.52,2.88,1.78,0.56,4.72,31900000,27600000,23600000,19900000,16500000,13500000,10900000,8700000,6800000,5200000
"48","o.kia","Western Niasland","Fighting Cougars",21,1998,10.09,39.93,44.6,1,692.76,132,19.5,21.22,1,15.48,16.3,1,4.46,5.4,1,0,0.07,0,1.02,3.3,0.57,0.1,3.49,18200000,17800000,17100000,16200000,15100000,13900000,12600000,11200000,9900000,8600000
"49","q.nabimanya","Imaar Vircoand","Fighting Cougars",21,1998,12.44,26.01,32.74,1,446.96,104.74,12.37,14.61,1,9.84,11.91,1,2.91,3.96,1,0.02,0.09,0,1.25,1.97,1.42,0,2.82,25200000,24600000,23600000,22400000,20900000,19200000,17400000,15600000,13700000,11900000
"50","i.ocen","People's Land of Maneau","Fighting Cougars",32,1988,17.69,44.86,52.8,1,700.5,168.08,23.28,25.98,1,16.54,19.13,1,3.16,4.78,1,0.16,0.15,0,1.46,3.28,1.51,0.21,4.7,12900000,10700000,8700000,7e+06,5600000,4400000,3400000,2600000,1900000,1400000
"51","d.daniel","People's Land of Maneau","Great Galactic Gorgons",27,1993,31.09,29.47,37.31,1,446.94,147.06,17.14,18.61,1,9.77,12.59,1,1.64,3.84,1,0.05,0.11,0,0.51,1.26,0.94,0.25,2,35300000,31500000,27700000,24100000,20600000,17300000,14400000,11800000,9500000,7500000
"52","f.kembabazi","People's Land of Maneau","Great Galactic Gorgons",23,1996,11.16,28.77,39.53,1,590.58,271.57,10.43,11.41,1,13.09,16.06,1,4.53,10.23,1,0.06,0,0.02,0.29,2.32,0.24,0,1.95,11100000,10500000,9800000,9e+06,8200000,7300000,6400000,5600000,4800000,4e+06
"53","h.akugizibwe","People's Land of Maneau","Great Galactic Gorgons",26,1994,1.91,29.98,38.47,1,612.45,265.44,11.42,12.02,1,11.93,14.98,1,6.04,10,1,0.07,0,0,0,2.01,0.99,0,3.02,6700000,6e+06,5400000,4700000,4100000,3500000,3e+06,2500000,2e+06,1600000
"54","i.akpan","People's Land of Maneau","Great Galactic Gorgons",37,1982,5.75,24.49,32,1,632.45,173.68,5.84,6.69,1,9.83,12.16,1,8.47,12.21,1,0.04,0.02,0,0.02,0.67,0.05,0.01,0.94,9e+05,7e+05,5e+05,4e+05,3e+05,2e+05,1e+05,1e+05,1e+05,150000
"55","t.awuah","People's Land of Maneau","Great Galactic Gorgons",26,1993,9.7,36.6,45.26,1,695.14,240.44,14.76,16.11,1,15.93,18.52,1,5.31,9.08,1,0.05,0.04,0,0.12,2.41,0.13,0,2.04,8800000,8e+06,7200000,6300000,5500000,4700000,3900000,3300000,2700000,2200000
"56","t.barigye","People's Land of Maneau","Great Galactic Gorgons",23,1997,6.13,23.82,36.64,1,386.83,126.59,12.91,16.15,1,8.28,12.28,1,2.22,5.49,1,0,0.01,0.01,0.47,2.21,0.91,0.19,2.57,10700000,10100000,9500000,8700000,7900000,7100000,6200000,5400000,4600000,3900000
"57","u.ban","People's Land of Maneau","Great Galactic Gorgons",20,2000,12.26,24.39,31.12,1,388.04,152.03,14.03,15.92,1,7.05,8.87,1,2.44,4.31,1,0,0.09,0,0.26,1.45,0.64,0.13,1.94,17700000,17500000,17100000,16400000,15600000,14500000,13400000,12100000,10800000,9500000
"58","i.najjemba","Southslands","Great Galactic Gorgons",27,1992,29.28,31.64,37.45,1,748.32,229.52,8,8.67,1,16.49,17.92,1,7.15,10.39,1,0.04,0,0.01,0.14,2.71,0.34,0.06,1.98,24700000,22100000,19400000,16900000,14400000,12100000,10100000,8200000,6600000,5300000
"59","x.nalukenge","Southslands","Great Galactic Gorgons",30,1990,29.93,36.85,47.54,1,639.19,272.54,18.66,20.32,1,14.01,17.58,1,3.77,7.94,1,0,0.09,0.08,0.69,2.89,0.95,0.25,3.87,22300000,19100000,1.6e+07,13300000,10900000,8800000,7e+06,5500000,4200000,3200000
"60","i.bintiomar","Djipines","Great Galactic Gorgons",19,2000,23.11,36.92,45.82,1,744.76,237.27,13.28,15.25,1,17.47,20.2,1,5.71,9.02,1,0,0.05,0,0.47,2.91,0.65,0.18,3.56,28900000,2.9e+07,28700000,2.8e+07,26900000,25500000,23800000,21900000,19800000,17700000
"61","m.ludwig","Rarita","Great Galactic Gorgons",32,1988,28.52,31.46,38.65,1,569.4,164.73,14.14,15.85,1,13.24,15.59,1,3.66,5.95,1,0.1,0,0,0.33,1.98,0.59,0.23,2.11,12100000,1e+07,8200000,6600000,5300000,4100000,3200000,2400000,1800000,1300000
"62","r.lambert","Ngoque Blicri","Great Galactic Gorgons",23,1997,14.11,13.07,18.62,1,172.63,23.11,8.12,10.47,1,3.59,4.65,1,0.3,0.76,1,0.08,0.06,0,0.86,0.37,0.49,0.01,0.8,18200000,17200000,16100000,14800000,13400000,1.2e+07,10500000,9100000,7800000,6600000
"63","y.susanti","Ngoque Blicri","Great Galactic Gorgons",24,1996,14.74,18.3,29.07,1,250.97,71.59,11.47,16.69,1,5.66,9.07,1,0.58,0.8,1,0,0.17,0,0.97,1.43,1.06,0.06,2.9,23700000,22100000,20300000,18400000,16500000,14500000,12600000,10700000,9e+06,7500000
"64","a.schmitt","People's Land of Maneau","Great Galactic Gorgons",34,1986,8.17,10.5,15.06,1,141.27,20.54,5.64,7.24,1,3.75,5.31,1,0.01,0.19,0.02,0,0.12,0,0.43,0.23,0.46,0,0.65,1700000,1400000,1100000,9e+05,7e+05,5e+05,4e+05,3e+05,2e+05,1e+05
"65","u.rodrigues","People's Land of Maneau","Great Galactic Gorgons",17,2003,3.16,7.55,10.65,1,96.31,11.83,5,6.52,1,1.89,2.88,1,0.25,0.65,1,0,0.09,0,0.34,0.6,0,0,0.36,9200000,9500000,9600000,9700000,9600000,9300000,9e+06,8500000,7900000,7300000
"66","w.swee","People's Land of Maneau","Great Galactic Gorgons",20,2000,12.41,12.54,18.1,1,210.28,51.91,6.94,8.83,1,3.73,5.5,1,1.52,2.69,1,0,0.19,0,0.68,0.95,0.32,0.24,1.19,18500000,18300000,17900000,17200000,16300000,15200000,1.4e+07,12700000,11300000,9900000
"67","m.nkhata","People's Land of Maneau","Great Galactic Gorgons",16,2004,0.03,10,10.02,1,40,0.01,0,0.02,0,0,0.07,0,0.03,0,0,0.07,0,0,0,0.09,0.06,0,0.02,2600000,2700000,2800000,2900000,2900000,2900000,2800000,2700000,2500000,2400000
"68","g.elbaz","Dosqaly","Great Galactic Gorgons",24,1996,3.38,12.15,15.24,1,203.34,28.27,6.4,8.25,1,4.5,5.36,1,0.54,0.87,1,0.04,0.01,0,0.97,1.59,0.04,0.05,0.85,8700000,8100000,7500000,6800000,6e+06,5300000,4600000,3900000,3300000,2800000
"69","h.gomani","Southslands","Great Galactic Gorgons",32,1987,26.64,26.35,35.23,1,434.91,76.17,13.86,17.33,1,9.66,12.63,1,2.37,3.54,1,0,0,0,0.64,1.82,0.8,0.01,2.57,12600000,10400000,8500000,6900000,5500000,4300000,3300000,2500000,1900000,1400000
"70","a.soong","People's Land of Maneau","Great Galactic Gorgons",22,1998,37.0604,14.63,29.99,1,655.7,508.77,1.43,1.49,1,4.2,4.34,1,9.1,24.17,1,0,0.11,0.01,0,1.43,0.04,0,0,41600000,39900000,37800000,35300000,32500000,29400000,26300000,23100000,20100000,17200000
"71","a.tayebwa","Dosqaly","Great Galactic Gorgons",21,1999,0.18,29.95,30.01,1,349.97,160.08,9.95,9.98,1,10.03,10.03,1,0,0.04,0,0.01,0.1,0,0.1,0.05,0.07,0.02,9.9804,3900000,3800000,3600000,3500000,3200000,3e+06,2700000,2400000,2100000,1800000
"72","d.kojima","Highhlaands","Great Galactic Gorgons",29,1991,24.69,47.79,60.08,1,1096.99,301.33,14.22,16.04,1,21.94,25.21,1,11.15,18.13,1,0,0.11,0,1.29,5.28,1.26,0.36,4.22,22300000,19300000,16500000,13900000,11600000,9400000,7600000,6e+06,4700000,3700000
"73","a.aryemo","Ngoque Blicri","Great Galactic Gorgons",28,1991,28.54,33.06,42.48,1,547.05,173.46,17.26,19.02,1,10.94,13.39,1,3.58,7.98,1,0,0.03,0.04,1.16,3.92,0.93,0.24,3.52,29900000,26300000,22800000,19500000,16400000,13600000,11100000,9e+06,7100000,5600000
"74","g.gustafsson","People's Land of Maneau","Great Galactic Gorgons",26,1994,22.61,37.27,46.19,1,669.73,148.56,17.26,18.65,1,14.8,16.88,1,4.1,8.39,1,0.06,0.04,0.06,0.75,2.56,0.43,0.16,2.51,20500000,18600000,16600000,14600000,12700000,10800000,9100000,7600000,6200000,5e+06
"75","h.susanto","Redohrainbri","Great Galactic Gorgons",22,1998,12.41,30.51,37.43,1,557.27,114.73,13.13,15.82,1,13.07,14.73,1,3.72,5.01,1,0.17,0.08,0,1.01,2.62,0.35,0.07,2.51,1.8e+07,17300000,16300000,15300000,1.4e+07,12700000,11400000,1e+07,8700000,7400000
"76","f.nakazibwe","People's Land of Maneau","Great Galactic Gorgons",25,1994,17.77,37.17,47.29,1,582.89,210.38,22.11,24.38,1,11.51,13.87,1,2.96,6.77,1,0.02,0.18,0,1.17,3.04,1.61,0.53,3.87,29700000,27400000,24800000,22100000,19500000,16900000,14500000,12200000,10100000,8300000
"77","z.okon","Byasier Pujan","Green Fleet",22,1998,0.86,72.14,83.38,1,1188.9,286.72,33.36,37.77,1,35.55,37.89,1,3.43,6.58,1,0,0.24,0,2.3,4.51,1.05,1.03,1.13,12800000,12300000,11700000,10900000,1e+07,9100000,8100000,7100000,6200000,5300000
"78","g.nimusiima","Central Diasongo","Green Fleet",26,1994,10.13,48.46,53.51,1,1017.94,305.18,13.53,14.43,1,27.58,29.79,1,7.05,8.92,1,0,0,0,0,2.78,0,0,2.77,8300000,7500000,6700000,5900000,5100000,4400000,3700000,3100000,2500000,2e+06
"79","d.chen","Lefghau","Green Fleet",27,1992,7.69,59.56,74.06,1,998.7,408.57,30.59,32.53,1,21.81,25.72,1,5.5,13.4,1,0.16,0.08,0.08,1.54,4.58,1.89,0.16,6.56,13500000,1.2e+07,10600000,9200000,7800000,6600000,5500000,4500000,3600000,2900000
"80","c.muyama","People's Land of Maneau","Green Fleet",25,1995,29.57,55.85,68.31,1,879.9,374.09,31.38,34.14,1,19.37,22.59,1,4.05,8.61,1,0.11,0.2,0,2.34,3.02,1.6,0.5,5.2,55900000,51400000,46600000,41600000,36600000,31700000,27100000,22900000,1.9e+07,15500000
"81","g.hernandez","People's Land of Maneau","Green Fleet",22,1997,33.99,52.2,60.61,1,789.48,280.93,29.55,32.17,1,19.54,22.4,1,2.17,3.75,1,0.05,0.14,0.06,0.94,2.56,0.92,0.42,3.69,64100000,61600000,58300000,54400000,50100000,45400000,40500000,35700000,30900000,26400000
"82","l.mugumya","People's Land of Maneau","Green Fleet",22,1997,4.55,52.35,58.48,1,1058.49,232.72,16.91,18.1,1,27.3,29.25,1,7.77,9.64,1,0,0,0,0,2.03,0.04,0,2.13,7400000,7100000,6800000,6300000,5800000,5300000,4700000,4100000,3600000,3100000
"83","u.kaahwa","People's Land of Maneau","Green Fleet",17,2003,0.08,0,0.97,0.1,0.04,0.03,0,0.05,0,0.08,0.93,0,0.02,0.01,0,0.04,0,0,0.09,0,0.01,0,0.06,1300000,1400000,1400000,1400000,1400000,1300000,1300000,1200000,1100000,1e+06
"84","u.wright","People's Land of Maneau","Green Fleet",27,1993,33.9,56.25,63.03,1,1258.05,364.31,14.36,15.65,1,30.3,32.4,1,11.22,14.28,1,0.05,0,0.04,0.29,5.73,0.17,0,3.08,3.5e+07,31200000,27500000,23800000,20400000,17200000,14200000,11700000,9400000,7500000
"85","z.agyei","People's Land of Maneau","Green Fleet",19,2000,2.13,57.01,66.72,1,981.9,352.98,29.42,31.36,1,21.39,26.19,1,5.64,6.69,1,0,0.08,0.06,0.54,3.85,0.96,0.55,2.88,10200000,10200000,10100000,9900000,9500000,9e+06,8400000,7700000,7e+06,6200000
"86","q.sarfo","Xikong","Green Fleet",26,1994,28.75,57.06,62.65,1,1130.72,368.21,18.86,19.97,1,31.11,32.41,1,6.75,9.26,1,0.03,0,0.09,0.29,3.41,0.13,0.08,3.28,25500000,23100000,20700000,18200000,15800000,13500000,11400000,9400000,7700000,6200000
"87","c.gheorghe","Central Diasongo","Green Fleet",18,2002,1.89,30.02,35.54,1,466.18,121.8,16.04,18.25,1,10.1,11.06,1,2.17,2.69,1,0.59,0.31,0.37,1.19,2.78,0.6,0.01,2.76,17500000,17800000,17900000,17700000,17300000,16600000,15700000,14700000,13500000,12200000
