"","Player","Nation","Squad","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9","trial"
"46","t.bonabana","Dosqaly","Mean Poets",9100000,8400000,7700000,7100000,6500000,6e+06,5400000,4900000,4500000,4e+06,0
"47","e.wibowo","Coastpa Barleslands","Overconfident Kangaroos",4400000,4100000,3700000,3400000,3100000,2800000,2600000,2300000,2100000,1900000,0
"48","v.arnold","Coastpa Barleslands","Overconfident Kangaroos",8200000,7600000,7e+06,6500000,5900000,5400000,4900000,4500000,4100000,3700000,0
"49","b.ochieng","Dosqaly","Overconfident Kangaroos",3400000,3100000,2800000,2500000,2200000,1900000,1700000,1500000,1300000,1200000,0
"50","h.kamal","Dosqaly","Serious Thunderbirds",4300000,3900000,3500000,3200000,2800000,2500000,2300000,2e+06,1800000,1600000,0
"51","i.sano","Dosqaly","Serious Thunderbirds",7e+06,6600000,6300000,5900000,5500000,5200000,4800000,4500000,4200000,3900000,0
"52","j.lunkuse","People's Land of Maneau","Serious Thunderbirds",11500000,10900000,10200000,9500000,8900000,8300000,7700000,7100000,6600000,6e+06,0
"53","j.chukwu","Dosqaly","Simple Jayhawks",2300000,2100000,2e+06,1800000,1700000,1500000,1400000,1300000,1100000,1e+06,0
"54","r.rizzi","Pierrema","Simple Jayhawks",6500000,5900000,5300000,4800000,4300000,3900000,3500000,3100000,2800000,2500000,0
"55","v.arnold","Coastpa Barleslands","Simple Privateers",2900000,2700000,2500000,2300000,2100000,1900000,1700000,1600000,1400000,1300000,0
"56","z.lefevre","Quewenia","Simple Privateers",11400000,10700000,1e+07,9300000,8700000,8e+06,7400000,6900000,6300000,5800000,0
"57","y.goh","Tito Mia","Simple Privateers",6500000,6e+06,5500000,5100000,4700000,4300000,3900000,3500000,3200000,2900000,0
"58","a.mbusa","Dosqaly","Solemn Leopards",5500000,4900000,4400000,4e+06,3500000,3200000,2800000,2500000,2200000,1900000,0
"59","n.tumwesigye","Dosqaly","Solemn Leopards",1700000,1500000,1400000,1200000,1100000,9e+05,8e+05,7e+05,6e+05,6e+05,0
"60","i.kumari","Dosqaly","Somber Stallions",19500000,18100000,16800000,15500000,14200000,1.3e+07,11900000,10800000,9900000,8900000,0
"61","o.burgos","Dosqaly","Supreme Janes",1.7e+07,1.6e+07,14900000,13900000,1.3e+07,1.2e+07,11100000,10300000,9400000,8600000,0
"62","q.permana","Dosqaly","Swift Rustlers",7600000,7e+06,6400000,5800000,5300000,4800000,4300000,3900000,3500000,3100000,0
"63","g.ahin","Nkasland Cronestan","Swift Rustlers",10800000,10200000,9600000,9e+06,8400000,7800000,7200000,6700000,6200000,5700000,0
"64","r.odur","Sobianitedrucy","Swift Rustlers",3700000,3400000,3100000,2800000,2500000,2200000,2e+06,1800000,1600000,1400000,0
"65","f.carbone","Greri Landmoslands","Unaccountable Foxes",12700000,11700000,10700000,9700000,8800000,8e+06,7200000,6500000,5800000,5200000,0
"66","l.dahl","Dosqaly","Unethical Comets",8200000,7700000,7100000,6600000,6200000,5700000,5300000,4800000,4400000,4e+06,0
"67","y.bintiomar","Quewenia","Unethical Comets",7600000,7e+06,6400000,5900000,5400000,5e+06,4500000,4100000,3700000,3400000,0
"68","j.mercier","Dosqaly","Villainous Eagles",16400000,15300000,14300000,13200000,12200000,11300000,10400000,9500000,8700000,7900000,0
"69","c.vtols","Imaar Vircoand","Weak Blimps",1e+07,9200000,8500000,7700000,7100000,6500000,5900000,5300000,4800000,4300000,0
"70","g.razak","Dosqaly","Wet Monarchs",9900000,9100000,8300000,7600000,6900000,6200000,5600000,5100000,4600000,4100000,0
"71","g.prasetyo","Galamily","Awkward Trailblazers",10600000,9800000,8900000,8200000,7400000,6800000,6100000,5500000,5e+06,4500000,0
"72","a.mor","Esia","Blue Jaguars",2700000,2400000,2200000,2e+06,1800000,1600000,1400000,1200000,1100000,1e+06,0
"73","h.nakimera","Esia","Blue Jaguars",7100000,6500000,5900000,5400000,4900000,4400000,4e+06,3600000,3200000,2800000,0
"74","l.nalukenge","Esia","Fiery Governors",10600000,9900000,9100000,8400000,7700000,7100000,6500000,5900000,5400000,4900000,0
"75","q.ghoe","Esia","Fiery Governors",4900000,4600000,4300000,4e+06,3700000,3400000,3200000,2900000,2700000,2400000,0
"76","i.agwang","Esia","Horrible Flames",4100000,3800000,3500000,3200000,2900000,2700000,2400000,2200000,2e+06,1800000,0
"77","r.aguilar","Esia","Horrible Flames",7700000,7200000,6700000,6300000,5800000,5400000,5e+06,4600000,4300000,3900000,0
"78","m.krlievi","Leoneku Guidisia","Horrible Flames",9400000,8600000,7800000,7100000,6500000,5800000,5300000,4700000,4200000,3800000,0
"79","e.namakoye","Esia","Little Lollipops",3200000,2900000,2700000,2400000,2200000,2e+06,1700000,1600000,1400000,1200000,0
"80","r.yiga","Quewenia","Little Lollipops",5600000,5100000,4600000,4200000,3800000,3400000,3100000,2700000,2400000,2200000,0
"81","l.namuyanja","Byasier Pujan","Marvelous Anchors",2700000,2500000,2300000,2100000,1900000,1800000,1600000,1500000,1300000,1200000,0
"82","e.kyomukama","Esia","Marvelous Anchors",15500000,14500000,13500000,12600000,11700000,10800000,1e+07,9200000,8400000,7700000,0
"83","e.mapuranga","Nkasland Cronestan","Mean Trolls",6800000,6200000,5600000,5100000,4600000,4100000,3700000,3300000,2900000,2600000,0
"84","b.fernandez","Esia","Punctual Archers",6300000,5700000,5100000,4600000,4100000,3700000,3300000,3e+06,2600000,2300000,0
"85","w.mandizvidza","Esia","Punctual Archers",6e+06,5500000,5100000,4600000,4200000,3900000,3500000,3200000,2900000,2600000,0
"86","k.tsui","Esia","Red Artichokes",10200000,9400000,8600000,7900000,7200000,6600000,6e+06,5400000,4900000,4400000,0
"87","f.nabunya","Quewenia","Serious Cyclones",5400000,5e+06,4500000,4100000,3800000,3400000,3100000,2800000,2500000,2200000,0
"88","m.zhou","Quewenia","Serious Cyclones",4700000,4300000,3900000,3500000,3100000,2800000,2500000,2300000,2e+06,1800000,0
"89","s.achen","Giumle Lizeibon","Silver Frogs",2900000,2600000,2400000,2100000,1900000,1700000,1500000,1400000,1200000,1100000,0
"90","l.msowoya","Southern Ristan","Silver Frogs",11800000,10900000,1e+07,9100000,8300000,7500000,6800000,6200000,5600000,5e+06,0
"91","i.bitton","Esia","Spicy Gophers",9200000,8500000,7800000,7100000,6500000,6e+06,5400000,4900000,4400000,4e+06,0
"92","p.galli","Esia","Spicy Gophers",7e+05,6e+05,5e+05,5e+05,4e+05,4e+05,4e+05,3e+05,3e+05,3e+05,0
"93","q.nakyeyune","Esia","Supreme Jaguars",4700000,4300000,3900000,3500000,3200000,2900000,2600000,2300000,2100000,1800000,0
"94","j.ojok","Giumle Lizeibon","Supreme Jaguars",1900000,1700000,1500000,1400000,1200000,1100000,1e+06,9e+05,8e+05,7e+05,0
"95","u.ndagire","Mico","Supreme Jaguars",3400000,3200000,2900000,2700000,2400000,2200000,2e+06,1800000,1700000,1500000,0
"96","b.harahap","Esia","Ultimate Dolphins",7900000,7100000,6400000,5800000,5200000,4600000,4100000,3600000,3200000,2800000,0
"97","s.feldman","Esia","Ultimate Dolphins",5900000,5500000,5100000,4700000,4400000,4e+06,3700000,3400000,3100000,2800000,0
"98","i.nassiwa","Esia","Ultimate Longhorns",1.2e+07,11400000,10700000,10100000,9500000,8900000,8300000,7700000,7100000,6600000,0
"99","t.obong","Esia","Ultimate Longhorns",8300000,7500000,6900000,6200000,5700000,5100000,4600000,4100000,3700000,3300000,0
"100","e.kaddu","Esia","Weak Chargers",6400000,5900000,5400000,4900000,4500000,4100000,3700000,3300000,3e+06,2700000,0
"101","p.wan","Redohrainbri","Weak Chargers",2700000,2400000,2200000,2e+06,1700000,1600000,1400000,1200000,1100000,9e+05,0
"102","e.tushemereirwe","New Uwi","White Firebirds",7400000,6800000,6200000,5600000,5100000,4600000,4200000,3700000,3300000,3e+06,0
"103","g.aloyo","Nganion","White Firebirds",6300000,5900000,5500000,5100000,4700000,4400000,4e+06,3700000,3400000,3100000,0
"104","b.koskinen","Esia","Wicked Gentlefolk",7600000,7100000,6600000,6e+06,5600000,5100000,4700000,4200000,3900000,3500000,0
"105","f.yaakv","Quewenia","Wicked Gentlefolk",14800000,13900000,1.3e+07,12100000,11200000,10300000,9500000,8800000,8e+06,7300000,0
"106","b.klc","Sobianitedrucy","Coy Catamarans",8600000,8100000,7600000,7100000,6700000,6200000,5800000,5400000,5e+06,4600000,0
"107","f.jansen","Sobianitedrucy","Coy Catamarans",4300000,4e+06,3700000,3300000,3e+06,2800000,2500000,2300000,2e+06,1800000,0
"108","k.kanyesigye","Sobianitedrucy","Coy Catamarans",3400000,3100000,2800000,2400000,2200000,1900000,1700000,1500000,1300000,1100000,0
"109","l.foo","Sobianitedrucy","Coy Sunbirds",2200000,2e+06,1900000,1700000,1500000,1400000,1300000,1100000,1e+06,9e+05,0
"110","x.dahan","Sobianitedrucy","Coy Sunbirds",7500000,6900000,6300000,5700000,5200000,4700000,4300000,3800000,3500000,3100000,0
"111","n.busingye","Sobianitedrucy","Fighting Clippers",11700000,1.1e+07,10200000,9500000,8700000,8100000,7400000,6800000,6200000,5700000,0
"112","r.owere","Western Niasland","Fighting Clippers",4500000,4100000,3700000,3400000,3100000,2800000,2500000,2200000,2e+06,1800000,0
"113","j.vasquez","Nkasland Cronestan","Fighting Wave",8200000,7500000,6900000,6200000,5700000,5100000,4600000,4100000,3700000,3300000,0
"114","a.amongin","Sobianitedrucy","Fighting Wave",2900000,2700000,2400000,2200000,2e+06,1800000,1600000,1500000,1300000,1200000,0
"115","n.tkachuk","Sobianitedrucy","Fighting Wave",1600000,1400000,1200000,1100000,9e+05,8e+05,7e+05,6e+05,5e+05,5e+05,0
"116","v.razak","Lefghau","Flying Bombadiers",1900000,1700000,1600000,1400000,1200000,1100000,1e+06,9e+05,8e+05,7e+05,0
"117","u.mvula","Nkasland Cronestan","Flying Bombadiers",7700000,7e+06,6400000,5900000,5300000,4800000,4400000,3900000,3500000,3200000,0
"118","d.chiba","Sobianitedrucy","Flying Bombadiers",6400000,6100000,5700000,5300000,5e+06,4600000,4300000,4e+06,3700000,3400000,0
"119","q.martinez","Sobianitedrucy","Hideous Spartans",8100000,7600000,7100000,6600000,6100000,5600000,5100000,4700000,4300000,3900000,0
"120","y.nanyondo","Sobianitedrucy","Hideous Spartans",9300000,8600000,7900000,7300000,6700000,6100000,5500000,5e+06,4600000,4100000,0
"121","a.kovaevi","Sobianitedrucy","Marvelous Heels",7500000,6900000,6300000,5800000,5200000,4800000,4300000,3900000,3500000,3200000,0
"122","h.okafor","Sobianitedrucy","Marvelous Heels",11500000,10700000,9900000,9100000,8400000,7700000,7e+06,6400000,5800000,5300000,0
"123","k.huang","Sobianitedrucy","Marvelous Patriots",1500000,1300000,1200000,1e+06,9e+05,8e+05,7e+05,6e+05,5e+05,5e+05,0
"124","y.larsen","Imaar Vircoand","Mean Wolves",7500000,7e+06,6400000,5900000,5400000,5e+06,4500000,4100000,3700000,3400000,0
"125","g.oluka","Lefghau","Mean Wolves",3300000,3e+06,2700000,2500000,2200000,2e+06,1800000,1600000,1400000,1300000,0
"126","k.jarvinen","Sobianitedrucy","Mean Wolves",1900000,1800000,1600000,1500000,1400000,1300000,1200000,1100000,1e+06,9e+05,0
"127","h.saeed","Manlisgamncent","Mighty Monkeys",9600000,8900000,8300000,7700000,7100000,6600000,6e+06,5500000,5100000,4600000,0
"128","c.hamed","Sobianitedrucy","Mighty Monkeys",16300000,15200000,14200000,13200000,12200000,11200000,10300000,9500000,8600000,7900000,0
"129","d.kateregga","Manlisgamncent","Red Rangers",7900000,7400000,7e+06,6500000,6100000,5700000,5200000,4800000,4500000,4100000,0
"130","g.daud","Sobianitedrucy","Red Rangers",4300000,3900000,3600000,3300000,3e+06,2700000,2400000,2200000,2e+06,1800000,0
"131","v.ssali","Sobianitedrucy","Red Rangers",7100000,6500000,6e+06,5400000,4900000,4500000,4e+06,3600000,3300000,2900000,0
"132","h.tuhaise","Lefghau","Remarkable Flames",7800000,7300000,6800000,6300000,5800000,5300000,4900000,4500000,4100000,3800000,0
"133","p.solanki","Nganion","Remarkable Flames",8200000,7600000,7100000,6500000,6e+06,5500000,5e+06,4600000,4200000,3800000,0
"134","g.boadi","Sobianitedrucy","Remarkable Flames",3e+06,2700000,2400000,2200000,1900000,1700000,1500000,1300000,1200000,1e+06,0
"135","w.lotfi","Moaithe","Serious Ranchers",5800000,5400000,5e+06,4600000,4200000,3900000,3500000,3200000,2900000,2700000,0
"136","j.turyasingura","Nganion","Serious Ranchers",3100000,2800000,2500000,2200000,2e+06,1700000,1500000,1300000,1200000,1e+06,0
"137","a.white","Sobianitedrucy","Spicy Pointers",5500000,5100000,4600000,4300000,3900000,3500000,3200000,2900000,2600000,2400000,0
"138","l.namaganda","Sobianitedrucy","Spicy Pointers",8300000,7600000,7e+06,6400000,5900000,5400000,4900000,4400000,4e+06,3600000,0
"139","r.martin","Sobianitedrucy","Spicy Pointers",1700000,1500000,1400000,1200000,1100000,9e+05,8e+05,7e+05,6e+05,6e+05,0
"140","g.caputo","Nkasland Cronestan","Strange Pioneers",14900000,1.4e+07,1.3e+07,12100000,11300000,10400000,9600000,8800000,8100000,7400000,0
"141","d.sorrentino","Sobianitedrucy","Strange Pioneers",4700000,4300000,3900000,3500000,3200000,2900000,2600000,2300000,2100000,1900000,0
"142","e.binmohamed","Cabral Retrea","Sugar Bengals",8600000,8100000,7500000,7e+06,6400000,5900000,5500000,5e+06,4600000,4200000,0
"143","j.koval","Saintu","Sugar Bengals",6200000,5600000,5e+06,4500000,4e+06,3500000,3100000,2800000,2400000,2100000,0
"144","a.berkowitz","Sobianitedrucy","Sugar Bengals",3e+05,3e+05,3e+05,2e+05,2e+05,2e+05,2e+05,2e+05,1e+05,1e+05,0
"145","m.nyamahunge","Loco Phirema","Wet Flames",3e+06,2800000,2500000,2300000,2e+06,1800000,1600000,1500000,1300000,1200000,0
"146","a.whang","Rosvi","Wet Flames",7300000,6800000,6300000,5900000,5400000,5e+06,4600000,4200000,3800000,3500000,0
"147","v.guillaume","Sobianitedrucy","Wet Flames",3700000,3400000,3e+06,2700000,2500000,2200000,2e+06,1700000,1500000,1400000,0
"148","x.arnaud","Imaar Vircoand","Big Foxes",10200000,9400000,8700000,8e+06,7300000,6600000,6e+06,5500000,4900000,4400000,0
"149","g.chandiga","Nganion","Big Foxes",1300000,1100000,1e+06,9e+05,8e+05,7e+05,6e+05,5e+05,4e+05,4e+05,0
"150","i.friedrich","Nganion","Big Foxes",3600000,3300000,3e+06,2800000,2600000,2300000,2100000,1900000,1800000,1600000,0
"151","k.kravchenko","Greri Landmoslands","Deferred Dolphins",10800000,1e+07,9200000,8400000,7700000,7100000,6400000,5900000,5300000,4800000,0
"152","e.kantono","Nganion","Deferred Dolphins",4e+06,3800000,3600000,3400000,3200000,3e+06,2800000,2600000,2400000,2200000,0
"153","q.konig","Nganion","Deferred Dolphins",6400000,5900000,5500000,5100000,4700000,4300000,3900000,3600000,3300000,3e+06,0
"154","c.shevchenko","Nganion","Delta Colts",4800000,4400000,4e+06,3600000,3300000,2900000,2600000,2400000,2100000,1900000,0
"155","f.dauda","Nganion","Delta Colts",2600000,2300000,2100000,1900000,1700000,1500000,1300000,1200000,1100000,9e+05,0
"156","w.abeja","Esia","Festive Governors",10600000,9700000,8900000,8100000,7400000,6700000,6100000,5500000,5e+06,4500000,0
"157","g.kyobutungi","Lefghau","Festive Governors",3600000,3300000,3e+06,2700000,2400000,2200000,2e+06,1800000,1600000,1400000,0
"158","b.brandt","Nganion","Flying Penguins",9900000,9100000,8400000,7700000,7e+06,6400000,5800000,5300000,4800000,4300000,0
"159","v.awio","Nganion","Flying Penguins",6200000,5700000,5300000,4900000,4500000,4100000,3700000,3400000,3100000,2800000,0
"160","f.degroot","Nganion","Hideous Spiders",9400000,8800000,8200000,7700000,7100000,6600000,6100000,5600000,5100000,4700000,0
"161","j.martin","Nganion","Hideous Spiders",3200000,2900000,2600000,2300000,2100000,1900000,1700000,1500000,1300000,1200000,0
"162","i.ajiko","Nganion","Horrible Bison",15300000,14200000,13100000,12100000,11100000,10200000,9300000,8500000,7700000,7e+06,0
"163","e.lungu","Nganion","Mad Bees",6700000,6300000,5800000,5400000,5e+06,4600000,4200000,3900000,3600000,3200000,0
"164","k.nkhoma","Nganion","Mad Bees",5500000,5100000,4700000,4400000,4e+06,3700000,3400000,3100000,2800000,2600000,0
"165","r.martino","Nganion","Mad Bees",7e+06,6400000,5900000,5300000,4900000,4400000,4e+06,3600000,3200000,2900000,0
"166","y.ruggiero","Southern Ristan","Mad Kingsmen",1.2e+07,1.1e+07,10100000,9200000,8400000,7600000,6900000,6300000,5600000,5100000,0
"167","l.sakurai","Nganion","Orange Giants",3300000,3e+06,2800000,2500000,2300000,2e+06,1800000,1600000,1500000,1300000,0
"168","m.murmu","Rosvi","Orange Giants",10600000,9700000,8900000,8200000,7400000,6800000,6100000,5500000,5e+06,4500000,0
"169","f.krklis","Imaar Vircoand","Plane Janes",4e+06,3600000,3300000,3100000,2800000,2500000,2300000,2100000,1900000,1700000,0
"170","g.leung","Nganion","Plane Janes",8100000,7400000,6700000,6100000,5500000,4900000,4400000,4e+06,3500000,3200000,0
"171","s.nuwagira","Saintu","Polar Kangaroos",16200000,14900000,13700000,12600000,11500000,10500000,9500000,8600000,7800000,7e+06,0
"172","l.antwi","Nganion","Punctual Leopards",9600000,9e+06,8400000,7800000,7200000,6600000,6100000,5600000,5100000,4600000,0
"173","z.fabre","Nganion","Punctual Leopards",8800000,8100000,7500000,6900000,6400000,5800000,5300000,4900000,4400000,4e+06,0
"174","w.kong","Imaar Vircoand","Rabid Greyhounds",5400000,5e+06,4600000,4200000,3800000,3400000,3100000,2800000,2500000,2300000,0
"175","x.hosseinzadeh","Nganion","Rabid Greyhounds",7700000,7100000,6500000,5900000,5400000,4900000,4400000,4e+06,3600000,3300000,0
"176","n.mucunguzi","Biarizea","Running Bigfoots",11100000,10200000,9300000,8500000,7700000,7e+06,6300000,5700000,5100000,4600000,0
"177","u.nishimura","Galamily","Running Bigfoots",4600000,4200000,3800000,3500000,3100000,2800000,2500000,2300000,2e+06,1800000,0
"178","g.alali","Nganion","Sassy Knights",10600000,9700000,9e+06,8200000,7500000,6800000,6200000,5600000,5100000,4600000,0
"179","i.kisitu","Nganion","Sassy Knights",5500000,5100000,4800000,4400000,4100000,3700000,3400000,3100000,2900000,2600000,0
"180","m.sseguya","Nganion","Sassy Knights",1900000,1700000,1500000,1400000,1200000,1100000,9e+05,8e+05,7e+05,6e+05,0
"181","c.ismail","Nganion","Screaming Ramblers",6700000,6200000,5800000,5400000,5e+06,4600000,4200000,3900000,3500000,3200000,0
"182","m.ategeka","Nganion","Screaming Ramblers",9500000,8800000,8e+06,7300000,6700000,6100000,5500000,5e+06,4500000,4e+06,0
"183","c.musana","Nganion","Serious Magicians",1.6e+07,1.5e+07,13900000,12900000,11900000,1.1e+07,10100000,9300000,8500000,7700000,0
"184","o.herrmann","Nganion","Serious Magicians",5900000,5500000,5100000,4700000,4400000,4e+06,3700000,3400000,3100000,2800000,0
"185","o.nabunya","Byasier Pujan","Swift Bison",5200000,4800000,4300000,3900000,3600000,3200000,2900000,2600000,2300000,2e+06,0
"186","g.taruvinga","Nganion","Swift Bison",7200000,6600000,6e+06,5500000,5e+06,4500000,4100000,3700000,3300000,3e+06,0
"187","k.jao","Nganion","Ultimate Penguins",5500000,5100000,4600000,4200000,3800000,3400000,3100000,2800000,2500000,2200000,0
"188","o.noor","Cabral Retrea","Black Coyotes",9e+05,8e+05,7e+05,7e+05,6e+05,5e+05,5e+05,4e+05,4e+05,3e+05,0
"189","a.khainza","Sobianitedrucy","Black Coyotes",20700000,19500000,18200000,1.7e+07,15800000,14700000,13600000,12500000,11500000,10500000,0
"190","y.tsua","Highhlaands","Educated Avengers",5300000,4900000,4600000,4300000,3900000,3600000,3300000,3100000,2800000,2600000,0
"191","f.ithungu","Rarita","Educated Avengers",8900000,8200000,7500000,6800000,6200000,5700000,5100000,4600000,4200000,3800000,0
"192","s.marchetti","Rarita","Educated Avengers",4700000,4400000,4e+06,3700000,3400000,3100000,2800000,2600000,2300000,2100000,0
"193","l.werner","People's Land of Maneau","Mad Wolverines",10900000,10100000,9300000,8500000,7800000,7100000,6400000,5800000,5300000,4700000,0
"194","x.tumushabe","Rarita","Mad Wolverines",4500000,4100000,3700000,3400000,3e+06,2700000,2500000,2200000,2e+06,1800000,0
"195","t.kamugisha","Lefghau","Marvelous Coyotes",14900000,13800000,12700000,11700000,10700000,9800000,8900000,8100000,7400000,6600000,0
"196","c.baba","People's Land of Maneau","Marvelous Coyotes",1500000,1400000,1300000,1100000,1e+06,9e+05,8e+05,7e+05,6e+05,6e+05,0
"197","m.bahri","Slandsganiamayotteque","Marvelous Coyotes",7400000,6900000,6400000,5900000,5400000,5e+06,4500000,4100000,3800000,3400000,0
"198","a.omar","Rarita","Red Anchormen",3800000,3500000,3100000,2800000,2500000,2300000,2e+06,1800000,1600000,1400000,0
"199","f.akumu","Rarita","Red Anchormen",18400000,17300000,16300000,15200000,14200000,13200000,12300000,11300000,10500000,9600000,0
"200","b.ampofo","Rarita","Serious Buffaloes",2900000,2600000,2400000,2200000,1900000,1700000,1600000,1400000,1200000,1100000,0
