,Player,Age,90s,mv,DF,FW,GK,MF,Play MP,Play Starts,Play Min,Perf GA,Perf GA90,Perf SoTA,Perf Saves,Perf Save%,W,D,L,Perf CS,Perf CS%,Perf PKatt,Pena PKA,Pena PKsv,Pena PKm,Pena Save%
21,e5a76dfe,23,1.0,22000000,0,0,1,0,1,1,90,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,2e7ff968,32,6.0,1700000,0,0,1,0,6,6,540,2.0,2.0,4.83,3.33,65.5,0.33,0.17,0.5,0.0,0.0,0.33,0.33,0.0,0.0,0.0
23,3f65d5ce,25,1.0,1200000,0,0,1,0,1,1,90,1.0,1.0,3.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,62d7ef38,21,2.0,2500000,0,0,1,0,2,2,180,0.5,0.5,4.5,4.5,100.0,0.5,0.5,0.0,0.5,50.0,0.5,0.5,0.0,0.0,0.0
25,2fabebc0,33,6.0,1500000,0,0,1,0,6,6,540,2.17,2.17,4.33,2.67,61.5,0.0,0.17,0.83,0.0,0.0,0.5,0.5,0.0,0.0,0.0
26,1d2d5cc8,35,6.0,2000000,0,0,1,0,6,6,540,2.17,2.17,4.33,2.67,57.7,0.17,0.0,0.83,0.0,0.0,0.33,0.33,0.0,0.0,0.0
27,853b7c48,32,9.3,9000000,0,0,1,0,9,9,840,0.97,0.96,3.76,2.8,77.1,0.54,0.11,0.32,0.54,55.6,0.22,0.11,0.0,0.11,0.0
28,a3b0ed18,34,6.0,1000000,0,0,1,0,6,6,540,1.83,1.83,5.5,3.83,66.7,0.0,0.5,0.5,0.17,16.7,0.0,0.0,0.0,0.0,
29,33887998,28,12.0,25000000,0,0,1,0,12,12,1080,0.25,0.25,2.75,2.5,90.9,0.75,0.17,0.08,0.75,75.0,0.0,0.0,0.0,0.0,
30,d436eb94,32,5.0,8000000,0,0,1,0,5,5,450,1.8,1.8,4.8,3.2,66.7,0.2,0.4,0.4,0.2,20.0,0.2,0.2,0.0,0.0,0.0
31,ecada4fc,33,12.0,12000000,0,0,1,0,12,12,1080,1.25,1.25,5.42,4.33,81.5,0.5,0.08,0.42,0.17,16.7,0.33,0.25,0.08,0.0,2.08
32,0880e10b,18,1.0,1000000,0,0,1,0,1,1,90,2.0,2.0,13.0,12.0,92.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
33,a9dc785c,31,3.0,6000000,0,0,1,0,3,3,270,0.67,0.67,1.0,1.0,66.7,1.0,0.0,0.0,0.67,66.7,0.33,0.33,0.0,0.0,0.0
34,8778c910,34,8.0,18000000,0,0,1,0,8,8,720,1.0,1.0,5.38,4.38,81.4,0.88,0.0,0.12,0.38,37.5,0.0,0.0,0.0,0.0,
35,afb0c500,23,2.0,6000000,0,0,1,0,2,2,180,1.0,1.0,2.5,1.5,60.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,ee8508c0,27,8.0,70000000,0,0,1,0,8,8,720,1.38,1.37,2.75,1.75,59.1,0.25,0.38,0.38,0.25,25.0,0.25,0.25,0.0,0.0,0.0
37,e9c0c1b2,24,6.0,30000000,0,0,1,0,6,6,540,1.17,1.17,4.5,3.67,77.8,0.33,0.17,0.5,0.0,0.0,0.17,0.17,0.0,0.0,0.0
38,14e05913,19,1.0,250000,0,0,1,0,1,1,90,4.0,4.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
39,34c3b935,36,1.0,1000000,0,0,1,0,1,1,90,4.0,4.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
40,e358587b,37,7.0,800000,0,0,1,0,7,7,630,1.71,1.71,3.71,2.43,61.5,0.14,0.57,0.29,0.0,0.0,0.29,0.29,0.0,0.0,0.0
41,903b6e8b,27,6.0,7500000,0,0,1,0,6,6,540,1.67,1.67,5.17,4.0,77.4,0.17,0.0,0.83,0.17,16.7,0.5,0.5,0.0,0.0,0.0
42,d97b252e,21,4.0,14000000,0,0,1,0,4,4,360,2.0,2.0,7.0,5.25,78.6,0.25,0.25,0.5,0.25,25.0,0.75,0.5,0.0,0.25,0.0
43,74733221,36,2.0,500000,0,0,1,0,2,2,180,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,420c18a1,31,8.0,6000000,0,0,1,0,8,8,720,1.62,1.62,4.38,2.62,62.9,0.25,0.25,0.5,0.25,25.0,0.0,0.0,0.0,0.0,
45,ac4003af,28,5.0,2000000,0,0,1,0,5,5,450,2.2,2.2,5.8,4.0,69.0,0.2,0.4,0.4,0.2,20.0,0.4,0.4,0.0,0.0,0.0
46,27d902c8,27,6.0,1500000,0,0,1,0,6,6,540,2.83,2.83,5.0,2.67,50.0,0.17,0.17,0.67,0.0,0.0,0.33,0.33,0.0,0.0,0.0
47,42130443,25,1.0,6000000,0,0,1,0,1,1,90,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
48,339fe0e8,25,1.0,14000000,0,0,1,0,1,1,90,1.0,1.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,01b8a2b2,30,7.3,25000000,0,0,1,0,7,7,660,1.1,1.09,3.56,2.74,76.9,0.68,0.0,0.27,0.27,28.6,0.27,0.27,0.0,0.0,0.0
50,6f51e382,28,5.0,60000000,0,0,1,0,5,5,450,1.8,1.8,4.4,3.2,72.7,0.4,0.2,0.4,0.2,20.0,0.6,0.6,0.0,0.0,0.0
51,41f0b196,18,5.0,8000000,0,0,1,0,5,5,450,1.6,1.6,6.2,4.6,74.2,0.4,0.4,0.2,0.6,60.0,0.0,0.0,0.0,0.0,
52,7b456af7,31,2.0,4000000,0,0,1,0,2,2,180,1.5,1.5,2.5,1.5,60.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
