,Player,Nation,Squad,Age,Born,X90s,Tackles.Tkl,Tackles.TklW,Tackles.Def.3rd,Tackles.Mid.3rd,Tackles.Att.3rd,Vs.Dribbles.Tkl,Vs.Dribbles.Att,Vs.Dribbles.Tkl.,Vs.Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures..,Pressures.Def.3rd,Pressures.Mid.3rd,Pressures.Att.3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Tkl.Int,Clr,Err,League,Year,mv
848,f.carbone,Greri Landmoslands,Unaccountable Foxes,29,1990,38.05,0.08,0,0,0.08,0,0.08,0.07,0,0.06,0.05,0.03,1,0.17,0.08,0.01,0.11,0,0,0.06,0,0,0.1,0.03,B,2021,20297625377
960,g.razak,Dosqaly,Wet Monarchs,29,1990,37.96,0,0.1,0.06,0,0.02,0,0,0.06,0.13,0.23,0.07,1,0.16,0,0.01,0.02,0.05,0.03,0.08,0.03,0.04,0.06,0,B,2021,19927689331
2690,f.akumu,Rarita,Red Anchormen,20,2000,34.93,0.1,0.1,0,0,0,0,0,0,0.01,0.19,0.13,1,0.27,0,0,0,0,0.06,0.06,0.1,0.07,0,0.02,RFL,2021,19418631207
515,l.wenene,Southern Ristan,Jumping Beans,25,1994,36.86,2.31,1.18,1.4,0.62,0.31,0.6,1.58,1,0.75,11.83,3.67,1,6.64,3.59,1.63,1.76,0.09,0.07,1.7,1.5,3.78,2.58,0.02,B,2021,19276402278
2686,l.kidega,Highhlaands,Red Anchormen,29,1991,37.94,2.16,1.32,1.12,0.68,0.23,0.81,2.68,1,1.93,15.46,5.11,1,5.9,7.26,2.14,1.52,0.09,0.08,1.38,1.58,3.73,1.41,0.13,RFL,2021,19186953178
2639,l.werner,People's Land of Maneau,Mad Wolverines,27,1993,37.03,0.04,0,0.03,0,0.07,0.07,0.04,0,0,0.04,0.09,1,0.15,0.03,0.01,0,0.05,0.09,0.07,0.03,0.06,0,0.01,RFL,2021,19135916927
2680,a.mtambo,Rarita,Red Anchormen,28,1991,37.81,3.07,1.71,1.94,0.97,0.21,1.17,2.41,1,1.19,14,5.04,1,7.51,5.29,1.47,2.05,0.84,0.09,1.15,1.51,4.53,2.91,0.07,RFL,2021,19021297497
2595,o.wanjala,Rarita,Black Coyotes,23,1996,35.73,2.05,1.16,1.24,0.5,0.2,0.77,1.09,1,0.48,14.9,4.5,1,4.85,7.73,2.37,2.19,0.41,0.09,1.68,1.2,3.27,1.66,0.02,RFL,2021,18933152557
2474,m.ategeka,Nganion,Screaming Ramblers,28,1992,37.24,0.11,0.04,0.04,0.06,0,0.1,0.02,1,0.15,0.13,0.05,0.05,0.12,0.03,0,0.03,0,0.05,0.04,0,0.05,0.03,0.15,E,2021,18492393148
34,z.no,People's Land of Maneau,Fighting Cougars,22,1997,35.44,1.59,0.85,0.75,0.64,0.12,0.71,1.77,1,1.17,11.45,4.1,1,5.18,5.22,1.03,1.97,0.64,0.07,1.22,1.28,2.84,2.22,0.02,A,2021,18382310453
136,h.steiner,People's Land of Maneau,Horrible Storm,22,1997,35.43,0.92,0.7,0.58,0.23,0,0.29,0.45,1,0.33,6.42,1.98,1,3.55,2.38,0.35,1.79,1.21,0,0.64,0.84,1.63,5.44,0,A,2021,18098162409
867,d.masuku,Dosqaly,Unethical Comets,26,1994,36.22,1.47,0.88,0.63,0.54,0.34,0.62,2.26,1,1.61,14.26,3.39,1,2.94,6.33,5.05,1.17,0.13,0,0.99,0.54,1.99,0.75,0,B,2021,17832184777
1930,g.caputo,Nkasland Cronestan,Strange Pioneers,22,1997,35.05,0.04,0.1,0.03,0.05,0,0,0,0,0,0.14,0.1,1,0.2,0,0.03,0,0,0.04,0.01,0.05,0.05,0,0.03,D,2021,17664397596
2618,j.lopez,Rarita,Educated Avengers,30,1990,37.83,0.75,0.47,0.19,0.23,0.16,0.12,1.01,1,0.95,13.07,3.48,1,4.06,7.02,1.91,1.28,0.23,0.01,1.06,1.25,2.02,1.26,0.06,RFL,2021,17391613736
664,m.ruggiero,Dosqaly,Simple Jayhawks,24,1996,35.73,2.93,1.62,1.82,0.86,0.31,0.77,1.55,1,0.74,13.58,4.55,1,6.26,5.1,2.17,2.36,0.45,0.06,1.91,1.91,4.88,4.85,0.13,B,2021,16835626669
440,f.kimera,Dosqaly,Glistening Paladins,23,1997,35.1,0.01,0.03,0,0,0,0,0,0,0,0.06,0,1,0.22,0.05,0.04,0,0,0.04,0.12,0,0.01,0.2,0.1,B,2021,16660729154
2765,d.bergmann,People's Land of Maneau,Wild Hornets,27,1993,36.77,0.76,0.56,0.61,0.26,0.06,0.39,1.07,1,0.61,5.61,1.91,1,4.03,1.44,0,1.65,1.02,0.13,0.63,0.71,1.45,4.49,0,RFL,2021,16660418727
2116,h.gaillard,Byasier Pujan,Festive Governors,23,1997,34.96,1.23,0.78,0.54,0.58,0.09,0.36,0.97,1,0.82,10.3,3.18,1,2.85,5.33,2.14,0.99,0.11,0,0.83,1.12,2.17,0.98,0,E,2021,16433670267
2619,k.ramos,Rarita,Educated Avengers,20,1999,34.18,1.25,0.68,0.49,0.57,0.25,0.35,1.43,1,1.19,17.2,3.99,1,4.63,8.29,4.19,1.71,0.09,0.1,1.55,1.11,2.48,0.75,0.12,RFL,2021,16273557652
782,b.asamoah,Dosqaly,Supreme Janes,21,1998,33.71,0.92,0.63,0.06,0.48,0.18,0.1,0.54,1,0.48,15.47,4.69,1,1.21,7.49,6.8,0.58,0,0.03,0.5,0.5,1.35,0.89,0.02,B,2021,16124201509
2670,t.kamugisha,Lefghau,Marvelous Coyotes,26,1993,35.9,0,0.05,0,0.07,0.05,0,0.06,0,0,0.19,0.1,1,0.17,0,0.09,0.09,0.06,0,0.07,0.08,0,0,0,RFL,2021,16113167905
819,c.langa,Dosqaly,Swift Rustlers,20,2000,34.03,4.2,2.89,1.78,1.88,0.59,1.25,2.66,1,1.54,19.39,7.04,1,6.7,9.64,2.92,1.64,0.41,0,1.18,1.94,5.96,1.97,0.01,B,2021,15975286137
1760,j.neo,Sobianitedrucy,Mighty Monkeys,25,1994,35.6,1.48,0.67,1.01,0.35,0.12,0.49,1.08,1,0.61,9.52,3.35,1,4.57,2.95,2.01,1.39,0,0.03,1.31,1.16,2.47,2.49,0.1,D,2021,15566637508
1553,m.ayebazibwe,Sobianitedrucy,Fighting Clippers,26,1993,36,2.36,1.6,1.41,0.65,0.2,1.02,2.23,1,1.1,12.1,4,1,5.63,4.24,2.39,1.9,0.39,0,1.49,1.2,3.38,1.72,0.04,D,2021,15535402327
1653,k.taremwa,Lefghau,Hideous Spartans,28,1992,36.05,0.54,0.36,0.18,0.13,0.14,0.04,0.66,1,0.67,12.49,3.27,1,1.78,5.75,4.91,0.94,0.29,0.1,0.63,0.24,0.7,0.83,0,D,2021,15197866107
430,a.nabuuma,Dosqaly,Glistening Paladins,22,1997,34.84,2.17,1.35,1.44,0.66,0.16,0.51,1.31,1,0.84,13.44,3.86,1,7.15,4.26,2.24,2.08,0.25,0,1.89,0.97,3.05,2.49,0,B,2021,15030926862
387,n.kyohirwe,Dosqaly,Weak Tornadoes,27,1993,35.92,0.04,0.04,0.03,0,0,0.08,0.17,1,0.02,0.2,0,0.02,0.12,0,0.09,0.06,0.07,0,0.02,0.09,0.05,0.07,0.03,A,2021,14957039215
691,j.kinoshita,Czechnor,Simple Privateers,32,1988,38.04,1.6,1.13,1.33,0.31,0.04,0.84,1.12,1,0.33,5.94,2.28,1,3.91,1.75,0.2,1.48,0.91,0,0.49,2.26,3.83,5.42,0.14,B,2021,14568257143
2604,t.audu,Rarita,Educated Avengers,27,1992,36.09,2.09,1.09,1.62,0.32,0.17,0.77,1.45,1,0.61,6.9,2.81,1,4.76,1.93,0.3,1.94,1.33,0.02,0.61,1.52,3.62,6.51,0.07,RFL,2021,14384505132
592,w.muchenje,Biarizea,Overconfident Kangaroos,24,1996,34.95,1.58,1.1,1.14,0.45,0,0.54,0.96,1,0.46,7.76,3.07,1,4.48,2.83,0.37,1.23,0.63,0.07,0.46,1.09,2.68,5.08,0.08,B,2021,14266007634
46,h.narvaez,Reugha,Fighting Cougars,23,1996,34.63,3.28,2.1,1.71,1.27,0.33,0.66,2,1,1.26,15.56,5.39,1,6.71,7.34,1.57,1.58,0.25,0,1.32,1.76,5.04,2.04,0.08,A,2021,14252401337
472,v.bwambale,Dosqaly,Golden Rustlers,33,1987,38.1,0.04,0.06,0.08,0,0,0,0.11,0,0.05,0.07,0,1,0.24,0,0,0,0.04,0.05,0,0,0.07,0.03,0.09,B,2021,14230217684
334,w.nasiru,Rarita,Stacked Rocks,33,1986,38,0.03,0,0.09,0,0.03,0,0,0.06,0.07,0,0,0.07,0.04,0,0,0.01,0,0,0,0.02,0,0.01,0.09,A,2021,14018007378
1748,k.chisi,Imaar Vircoand,Mean Wolves,26,1994,35.5,1.14,0.83,0.68,0.56,0,0.55,1.72,1,1.17,13.64,3.81,1,5.39,5.38,3.02,1.76,0.01,0.06,1.64,0.52,1.83,0.62,0,D,2021,14004189824
280,s.zandamela,Mico,Solemn Cougars,33,1986,37.98,0,0,0.02,0,0.06,0,0,0,0,0.05,0,0.04,0.22,0,0.04,0.04,0,0,0,0.01,0,0,0.06,A,2021,13871957485
1633,i.mushonga,Sobianitedrucy,Flying Bombadiers,29,1991,36.15,1.35,0.91,0.54,0.53,0.21,0.27,1.68,1,1.46,16.73,4.38,1,4.02,7.5,5.26,1.07,0.17,0,0.72,0.68,2.02,1.23,0.1,D,2021,13710751912
98,c.ji,Greri Landmoslands,Green Fleet,25,1994,34.44,1.64,1.11,0.59,0.68,0.47,0.43,2.57,1,2.14,20.91,5.14,1,3.35,9.96,7.4,1.1,0.1,0.05,1.2,0.74,2.47,0.68,0.01,A,2021,13662643232
191,z.rojas,People's Land of Maneau,Old Mustangs,21,1998,33.6,1.8,0.98,0.78,0.68,0.2,0.89,1.64,1,0.75,9.82,3.48,1,3.78,3.3,2.71,1.33,0.13,0,1.2,1.55,3.2,2.15,0.02,A,2021,13566536242
81,g.hernandez,People's Land of Maneau,Green Fleet,22,1997,33.98,2.92,1.51,1.71,0.8,0.15,0.69,1.26,1,0.58,12.74,4.16,1,5.72,4.94,2.12,3.42,0.42,0,2.81,1.91,4.73,3.27,0,A,2021,13174884729
1742,y.larsen,Imaar Vircoand,Mean Wolves,26,1994,34.94,0,0,0,0,0.09,0,0.06,0,0.09,0.23,0,0.08,0.29,0.03,0.06,0.01,0.01,0.03,0,0.07,0,0.02,0.09,D,2021,12941105456
2432,g.varma,Nganion,Sassy Knights,26,1994,35,1.12,0.77,0.66,0.57,0.05,0.56,0.76,1,0.32,8.58,3.61,1,4.03,4.25,0.14,1.56,0.58,0.04,0.88,1.52,2.65,7.67,0,E,2021,12857111934
1536,x.dahan,Sobianitedrucy,Coy Sunbirds,29,1991,35.98,0.06,0.04,0.06,0.02,0.09,0.05,0.1,0.04,0.04,0.13,0,0.05,0.16,0,0,0.03,0,0.07,0,0,0,0.03,0,D,2021,12844638939
1925,y.akiror,Rosvi,Strange Pioneers,20,2000,32.57,0.36,0.25,0.15,0,0.02,0.13,0.47,1,0.33,13.02,2.91,1,0.9,5.62,6.3,0.57,0.22,0.02,0.41,0.3,0.57,0.43,0,D,2021,12698297415
2782,e.miyazaki,Greri Landmoslands,Wild Hornets,32,1988,37.08,0.1,0.04,0,0,0,0,0.06,0.08,0,0.09,0,0.04,0.04,0.01,0.02,0,0,0,0.01,0,0,0,0,RFL,2021,12583852872
2688,h.makumbi,Rarita,Red Anchormen,26,1993,33.98,0.71,0.43,0.16,0.35,0.27,0.11,0.81,1,0.69,17.9,5.03,1,0.9,7.7,9.22,0.55,0.29,0,0.24,0.43,1.09,1.06,0,RFL,2021,12547940732
137,k.mirkovi,People's Land of Maneau,Horrible Storm,27,1993,35.47,0.85,0.6,0.75,0.18,0,0.36,0.74,1,0.41,7.15,2.03,1,4.19,2.39,0.62,2.44,1.32,0.05,1.05,1.12,2.08,6.56,0.19,A,2021,12513217230
1503,d.andersson,Lefghau,Coy Catamarans,29,1991,35.79,1.83,1.11,0.74,0.63,0.37,0.35,1.43,1,0.96,16.89,4.58,1,4.56,7.33,4.89,1.27,0.38,0.09,0.94,1.13,2.89,1.09,0.02,D,2021,12474524619
344,d.shahar,Nkasland Cronestan,Swift Musketeers,24,1996,34.39,1.36,0.87,0.97,0.46,0,0.7,1.58,1,0.81,8.22,2.81,1,4.85,2.94,0.4,1.65,0.82,0.08,0.87,2.19,3.6,6.18,0.03,A,2021,12343276215
1917,u.mayer,Rosvi,Strange Pioneers,22,1997,33.66,1.97,1.13,1.37,0.35,0.09,0.83,1.04,1,0.38,10.45,3.22,1,5.45,4.13,0.68,1.64,1.06,0,0.54,0.86,2.75,4.63,0.07,D,2021,11931700015
2406,b.luki,Dosqaly,Running Bigfoots,21,1998,33.09,0.9,0.75,0.48,0.4,0.07,0.3,0.72,1,0.36,7.32,3.35,1,3.82,2.84,0.85,1.23,0.64,0,0.72,1.35,2.12,4.19,0,E,2021,11927050741
2547,h.nieminen,Lefghau,Ultimate Penguins,21,1999,33.23,2.82,1.84,1.99,0.64,0.2,1.36,2.5,1,1.13,16.15,4.84,1,7.83,5.69,2.45,1.83,0.22,0,1.66,1.98,4.95,3.46,0.09,E,2021,11305402035
1715,y.acola,Rarita,Marvelous Patriots,33,1987,37.04,0.09,0,0.01,0,0.05,0.05,0.02,0,0,0.22,0,1,0.15,0.06,0,0,0,0,0,0,0,0.05,0,D,2021,11297646776
1166,w.montanari,Esia,Punctual Archers,24,1995,33.92,1.78,1.07,1.06,0.71,0,0.65,1.24,1,0.66,11.33,4.42,1,5.97,4.34,1.01,1.94,0.7,0.08,1.38,1.37,3.01,3.99,0.05,C,2021,11284551492
255,q.musimenta,Nganion,Silver Heels,33,1987,37.03,0,0.06,0,0,0.03,0,0,0,0.08,0.16,0,1,0.13,0,0.01,0,0.04,0.08,0.05,0,0.03,0,0,A,2021,11280206780
330,z.bintizakaria,People's Land of Maneau,Stacked Rocks,27,1993,34.17,0.54,0.36,0.04,0.41,0.09,0.07,0.49,1,0.53,11.38,2.9,1,0.55,5.47,5.3,0.9,0.33,0.11,0.58,0.48,0.99,1.17,0.07,A,2021,11245347936
1621,k.amoding,Northslands,Flying Bombadiers,21,1998,32.53,0.63,0.26,0.19,0.23,0.19,0.05,0.81,1,0.79,14.25,3.64,1,3.16,5.02,6.14,1.32,0.2,0,1.15,0.36,1.15,0.58,0,D,2021,11197575897
2311,g.leung,Nganion,Plane Janes,31,1989,36.08,0.04,0,0.06,0,0,0.01,0.05,0.01,0,0,0.09,0.01,0.11,0.01,0.03,0,0,0.04,0,0,0.07,0.01,0.07,E,2021,11069417723
1466,f.yaakv,Quewenia,Wicked Gentlefolk,22,1997,32.92,0.04,0,0.09,0,0,0.1,0.03,0,0,0,0,1,0.11,0.1,0.02,0,0,0.08,0,0.1,0,0.1,0.07,C,2021,11038142269
176,v.kumwenda,Esia,Mighty Jays,28,1992,34.87,0.04,0,0,0.09,0,0,0.02,0,0.08,0.18,0.05,1,0.1,0.03,0,0.12,0,0,0,0,0.07,0,0.09,A,2021,10966912819
2157,n.jorgensen,Nganion,Hideous Spiders,25,1994,34.12,3.27,2.23,1.69,1.35,0.09,1.16,2.52,1,1.27,16.3,5.39,1,7.44,7.18,1.8,2.07,0.05,0,1.89,0.81,4.1,1.62,0,E,2021,10806720751
131,o.nampeera,People's Land of Maneau,Horrible Grizzlies,21,1999,32.17,2.35,1.27,0.83,0.96,0.61,0.62,2.19,1,1.52,21.26,6.35,1,4.42,10.29,6.78,1.42,0.12,0,1.42,1.17,3.43,0.55,0,A,2021,10798479089
196,y.wood,Frenchdo Stanser,Old Mustangs,28,1992,34.13,0.85,0.32,0.14,0.13,0.33,0.11,0.56,1,0.28,16.11,4.37,1,1.26,4.74,9.91,0.42,0.08,0.04,0.47,0.27,0.99,0.41,0.12,A,2021,10760787513
767,e.tumukunde,Dosqaly,Somber Stallions,24,1996,33.22,1.38,0.91,0.52,0.57,0.22,0.38,2.19,1,1.88,14.17,4.1,1,3.31,5.97,4.74,0.9,0,0,1,0.88,2.07,0.31,0,B,2021,10725902574
747,f.kobugabe,Dosqaly,Solemn Leopards,20,1999,32.14,3.03,2.24,1.16,1.48,0.38,1.12,2.53,1,1.43,16.6,5.74,1,5,9.69,1.69,1.75,0.51,0.09,1.35,1.07,4.1,2.1,0.08,B,2021,10657971155
327,c.kadosh,Landli Blicporlip,Stacked Rocks,28,1992,34.53,0.86,0.43,0.23,0.4,0.15,0.41,2.1,1,1.6,17.84,4.01,1,3.38,9.27,5.22,1.05,0.14,0,0.86,0.76,1.57,0.2,0,A,2021,10534542036
91,t.ichikawa,People's Land of Maneau,Green Fleet,22,1997,32.42,0.47,0.25,0.02,0.22,0.23,0.21,0.81,1,0.68,10.66,2.3,1,1.2,4.43,4.96,0.79,0.12,0.02,0.74,0.36,0.73,0.35,0.07,A,2021,10480115060
2283,m.murmu,Rosvi,Orange Giants,28,1992,34.65,0.1,0.05,0,0.06,0.08,0.06,0.11,0.04,0.14,0.16,0.04,0,0.21,0,0,0.09,0,0.04,0.04,0,0.06,0.05,0,E,2021,10403891190
1091,a.dickson,Esia,Little Lollipops,26,1994,34.05,0.86,0.53,0.55,0.35,0,0.27,0.87,1,0.46,5.25,2.16,1,2.82,2.08,0.31,1.67,1.02,0.05,0.82,1.08,2.01,5.4,0,C,2021,10397491778
1656,y.nanyondo,Sobianitedrucy,Hideous Spartans,26,1994,33.92,0.03,0,0,0.06,0.1,0,0.06,0,0.03,0.17,0,1,0.27,0,0.05,0,0.07,0,0,0,0,0.04,0.05,D,2021,10337320773
518,o.ghanbari,Coastpa Barleslands,Jumping Beans,23,1996,32.56,0.9,0.56,0.17,0.33,0.37,0.12,0.75,1,0.61,12.7,3.28,1,1.8,4.89,5.89,0.64,0.12,0,0.38,0.58,1.29,0.95,0,B,2021,10265125794
1946,s.kamoga,Sobianitedrucy,Sugar Bengals,21,1999,32.56,1.41,0.7,0.57,0.64,0.08,0.56,0.89,1,0.46,9.21,2.65,1,4.27,3.8,0.9,1.42,0.62,0,0.91,1.06,2.46,2.71,0.11,D,2021,10225364482
800,d.tweheyo,Dosqaly,Swift Rustlers,19,2001,31.84,0.98,0.64,0.58,0.35,0.07,0.37,0.89,1,0.59,6.29,2.42,1,3.07,3.11,0.17,1.23,0.45,0.02,0.68,1.1,2.09,5.52,0,B,2021,10116509266
2135,h.gomo,Janmico,Flying Penguins,24,1995,33.08,2.19,1.76,0.78,1.06,0.26,0.56,2.24,1,1.82,22.73,5.91,1,5.53,13.74,3.5,1.65,0.06,0.06,1.39,1.6,3.9,1.51,0,E,2021,10111179776
374,s.wafula,People's Land of Maneau,Weak Tornadoes,22,1997,32.77,1.25,0.88,0.92,0.36,0.09,0.64,1.15,1,0.59,5.47,1.76,1,3.53,1.76,0.26,1.11,0.68,0.07,0.42,1.77,2.91,7.4,0.11,A,2021,10006202320
1119,n.barukh,Giumle Lizeibon,Marvelous Anchors,24,1996,33.34,0.76,0.43,0.49,0.24,0.01,0.14,0.72,1,0.56,6.24,1.84,1,3.43,2.55,0.19,1.71,0.7,0,0.97,1.25,2.13,4.17,0,C,2021,9974486976
2301,z.hribar,Nganion,Plane Janes,23,1997,32.99,0.59,0.23,0.29,0.27,0.01,0.13,0.54,1,0.2,4.7,1.66,1,3.03,1.51,0.27,1.55,0.88,0,0.68,0.97,1.47,4.42,0.01,E,2021,9973297926
2275,r.nuwagaba,Nganion,Orange Giants,30,1989,34.34,0.84,0.73,0.19,0.37,0.19,0,0.68,1,0.56,16.21,5.19,1,0.94,6.16,9.1,1.09,0.02,0.07,0.98,0.13,0.9,0.77,0,E,2021,9825124173
2571,c.kakayi,Dosqaly,Black Coyotes,22,1997,32.59,1.95,1.35,1.04,0.93,0.09,0.66,1.18,1,0.61,11.76,3.74,1,4.95,5.03,1.72,1.81,0.19,0.03,1.55,1.47,3.39,1.81,0.13,RFL,2021,9813329805
820,f.perrin,Dosqaly,Swift Rustlers,21,1999,31.86,3.04,2.53,1.01,1.52,0.4,0.68,2.18,1,1.55,18.32,7,1,5.34,10.71,2.14,1.83,0.3,0.03,1.48,1.42,4.32,0.9,0.04,B,2021,9721533082
972,y.jokinen,Dosqaly,Wet Monarchs,27,1993,33.89,1.47,0.93,0.58,0.46,0.33,0.53,2.42,1,2.07,21.6,5.86,1,5.61,10.84,4.9,2.28,0.38,0,1.81,1.03,2.55,1.61,0.05,B,2021,9689104685
1203,k.tsui,Esia,Red Artichokes,27,1992,33.91,0,0.07,0.11,0.02,0,0,0.2,1,0.11,0.14,0.05,1,0.09,0,0.05,0,0,0,0.09,0.06,0,0.07,0.01,C,2021,9621552602
