,Player,Nation,Squad,Age,Born,X90s,Gls,Standard.Sh,Standard.SoT,Standard.SoT.,Standard.Sh.90,Standard.SoT.90,Standard.G.Sh,Standard.G.SoT,Standard.Dist,Standard.FK,Performance.PK,Performance.PKatt,Expected.xG,Expected.npxG,Expected.npxG.Sh,Expected.G.xG,Expected.np.G.xG,League,Year,mv
1748,k.chisi,Imaar Vircoand,Mean Wolves,26,1994,35.61,0.28,2.19,0.44,1,2.22,0.56,0.18,0.29,24,0.28,0.12,0.09,0.09,0.08,0,0.01,0.07,D,2021,34153521206
1554,m.ayebazibwe,Sobianitedrucy,Fighting Clippers,26,1993,35.91,0.16,0.84,0.37,1,0.9,0.34,0.17,0.27,11.99,0,0,0.05,0.09,0.05,0.09,0.01,0.02,D,2021,33952259597
2685,l.kidega,Highhlaands,Red Anchormen,29,1991,37.83,0.27,1.18,0.5,1,1.33,0.56,0.24,0.43,19.67,0,0,0.01,0.09,0.15,0.1,0.08,0.09,RFL,2021,33871472525
513,l.wenene,Southern Ristan,Jumping Beans,25,1994,36.86,0.07,0.2,0.01,1,0.24,0.06,0,0,24.06,0,0.01,0,0,0,0.04,-0.05,0.07,B,2021,33692171822
45,h.narvaez,Reugha,Fighting Cougars,23,1996,34.65,0.01,1.3,0.17,1,1.15,0,0.03,0.25,25.37,0.08,0.04,0.07,0.1,0.06,0.1,-0.11,-0.09,A,2021,31508355391
961,g.razak,Dosqaly,Wet Monarchs,29,1990,37.97,0,0.14,0,0,0,0,0.02,0,9.06,0,0.09,0.04,0.05,0,0.06,0.09,0.08,B,2021,30973321942
1121,n.barukh,Giumle Lizeibon,Marvelous Anchors,24,1996,33.36,0.08,0.29,0.03,1,0.32,0.05,0.37,1.05,7.31,0,0,0,0.13,0,0.22,0.01,0.12,C,2021,30952833501
1623,k.amoding,Northslands,Flying Bombadiers,21,1998,32.51,0.19,2.72,1.11,1,2.78,1.12,0.13,0.16,19.97,0.15,0,0.02,0.34,0.19,0.17,0.04,-0.07,D,2021,30711172388
2617,j.lopez,Rarita,Educated Avengers,30,1990,37.97,0.08,0.41,0.07,1,0.53,0.25,0.16,0.4,22.39,0.07,0,0,0,0.06,0.13,-0.02,0.13,RFL,2021,29589973338
343,d.shahar,Nkasland Cronestan,Swift Musketeers,24,1996,34.46,0.06,0.38,0.14,1,0.36,0.22,0.08,0.28,8.91,0,0.08,0.03,0.11,0.09,0.16,-0.05,-0.05,A,2021,29302099732
329,z.bintizakaria,People's Land of Maneau,Stacked Rocks,27,1993,34.18,0.71,3.94,1.45,1,3.93,1.37,0.12,0.45,17.67,0.47,0.18,0.15,0.58,0.5,0.06,0.1,0.08,A,2021,28964015413
1760,j.neo,Sobianitedrucy,Mighty Monkeys,25,1994,35.68,0,0.13,0,1,0.16,0.12,0.05,0.58,19.5,0.05,0,0.08,0,0.01,0,0.09,0.05,D,2021,28900065997
2431,g.varma,Nganion,Sassy Knights,26,1994,35.07,0,0.35,0.02,1,0.42,0.02,0.17,1.1,11.16,0,0,0,0,0,0.05,-0.09,-0.01,E,2021,28808583786
664,m.ruggiero,Dosqaly,Simple Jayhawks,24,1996,35.88,0.03,0.64,0.13,1,0.74,0.29,0.02,0.1,22.66,0,0.03,0,0.05,0.11,0.03,0.05,0.02,B,2021,28219762508
590,w.muchenje,Biarizea,Overconfident Kangaroos,24,1996,34.97,0.14,0.91,0.09,1,0.75,0.12,0.04,0.48,8.81,0,0,0,0,0.13,0.04,-0.07,-0.01,B,2021,28075340138
2570,c.kakayi,Dosqaly,Black Coyotes,22,1997,32.55,0.13,1.35,0.47,1,1.35,0.35,0.12,0.45,19.17,0,0,0.03,0.19,0.04,0.18,0.13,0.01,RFL,2021,27652040100
2156,k.quarshie,Nganion,Hideous Spiders,23,1997,31.99,0.43,3.49,1.3,1,3.61,1.31,0.1,0.26,15.45,0.09,0.1,0.01,0.37,0.37,0.16,-0.09,0.08,E,2021,27089450560
2405,b.luki,Dosqaly,Running Bigfoots,21,1998,33.07,0.15,0.65,0.19,1,0.55,0.12,0.04,0.27,10.74,0.08,0.04,0,0,0.06,0.18,-0.06,-0.02,E,2021,26518053161
1167,w.montanari,Esia,Punctual Archers,24,1995,33.94,0.17,0.76,0.27,1,0.73,0.25,0.25,0.73,11.79,0.06,0,0.09,0.05,0.09,0.09,0.07,0.05,C,2021,26356184007
840,y.manjate,Byasier Pujan,Unaccountable Foxes,26,1994,32.55,0.66,3.09,1.38,1,3.22,1.43,0.07,0.3,21.08,0.51,0.32,0.16,0.48,0.33,0.13,0.02,-0.04,B,2021,26077778932
136,k.mirkovi,People's Land of Maneau,Horrible Storm,27,1993,35.53,0.04,0.51,0.19,1,0.64,0.19,0.05,0.24,8.84,0,0,0.06,0.07,0,0.03,-0.04,0.03,A,2021,25982884891
512,k.ahimbisibwe,Southern Ristan,Jumping Beans,22,1998,32.27,0.08,0.24,0.02,1,0.16,0,0.1,1.08,10.99,0.04,0,0,0.06,0,0.17,-0.08,0.08,B,2021,25923465479
190,z.rojas,People's Land of Maneau,Old Mustangs,21,1998,33.62,0.09,1.6,0.29,1,1.76,0.33,0,0.23,23.61,0.47,0.03,0,0.01,0.12,0.04,-0.02,0.01,A,2021,25899773520
429,a.nabuuma,Dosqaly,Glistening Paladins,22,1997,34.98,0.01,1.28,0.32,1,1.21,0.25,0.13,0.21,22.33,0,0,0,0.06,0.1,0,0.08,-0.02,B,2021,25472386545
2687,h.makumbi,Rarita,Red Anchormen,26,1993,34,0.46,3.02,1.25,1,3.07,1.37,0.14,0.37,12.63,0,0.14,0.15,0.6,0.45,0.06,-0.05,0.02,RFL,2021,24849683903
327,c.kadosh,Landli Blicporlip,Stacked Rocks,28,1992,34.63,0.46,1.93,0.93,1,2.05,1.09,0.29,0.44,16.99,0,0.11,0.1,0.27,0.32,0.17,0.2,0.26,A,2021,24518440241
491,b.ghorbani,Ngogalar,Grotesque Rocks,26,1994,33.07,0.4,1.94,0.91,1,2.11,0.9,0.18,0.44,14.32,0.1,0.13,0.1,0.49,0.4,0.25,-0.1,0.06,B,2021,23836031177
973,y.jokinen,Dosqaly,Wet Monarchs,27,1993,33.99,0.31,1.82,0.62,1,1.77,0.62,0.15,0.35,18.05,0,0.13,0.23,0.36,0.07,0.04,-0.02,0.01,B,2021,23806316678
1485,s.chu,Republic of Denand Landsa,Coy Catamarans,28,1992,32.65,0.64,1.62,0.82,1,1.58,0.81,0.14,0.44,11.76,0.03,0.33,0.28,0.53,0.23,0.27,0.08,0.1,D,2021,23566269597
90,t.ichikawa,People's Land of Maneau,Green Fleet,22,1997,32.39,0.25,2.35,1.12,1,2.34,1.2,0.24,0.36,18.34,0.23,0,0.07,0.36,0.22,0.07,-0.03,0.12,A,2021,23487873292
80,g.hernandez,People's Land of Maneau,Green Fleet,22,1997,34.06,0,0.16,0.1,1,0.33,0.15,0.24,0.48,15.57,0,0.05,0,0.05,0.06,0.1,0.11,0.06,A,2021,23372237060
767,e.tumukunde,Dosqaly,Somber Stallions,24,1996,33.21,0.27,1.83,0.54,1,1.78,0.55,0.11,0.36,21.52,0.01,0.01,0,0.03,0.16,0.08,0,0.14,B,2021,22565308528
782,b.asamoah,Dosqaly,Supreme Janes,21,1998,33.67,0.25,1.78,0.7,1,1.75,0.79,0.1,0.39,12.54,0,0,0,0.25,0.38,0.08,-0.07,-0.01,B,2021,22087608160
1504,d.andersson,Lefghau,Coy Catamarans,29,1991,35.6,0.29,2.67,0.86,1,2.76,0.8,0.12,0.3,21.15,0.28,0,0,0.2,0.23,0,-0.06,0.12,D,2021,22030129160
1658,i.chiu,Cabral Retrea,Hideous Spartans,24,1996,32.94,0.15,0.77,0.28,1,0.83,0.26,0.18,0.38,23.02,0,0,0.1,0.08,0.01,0.11,-0.04,0.15,D,2021,21583825058
1560,r.nkosi,Sobianitedrucy,Fighting Clippers,29,1991,31.86,0.63,4.38,1.16,1,4.17,1.33,0.05,0.34,21.16,0.4,0.31,0.29,0.47,0.25,0.08,0.06,0.15,D,2021,21507143125
195,y.wood,Frenchdo Stanser,Old Mustangs,28,1992,34.26,0.61,3.44,1.38,1,3.54,1.41,0.14,0.42,15.78,0.02,0.21,0.26,0.56,0.52,0.06,0.04,-0.08,A,2021,21506740210
1924,y.akiror,Rosvi,Strange Pioneers,20,2000,32.51,0.71,2.62,1.04,1,2.56,1.15,0.25,0.42,13.91,0,0.27,0.11,0.47,0.34,0.07,0.16,0,D,2021,21469487068
2603,t.audu,Rarita,Educated Avengers,27,1992,36,0.02,0.65,0.1,1,0.64,0.14,0.14,0.12,8.21,0,0.09,0,0,0.16,0.05,-0.11,-0.06,RFL,2021,21434365995
130,o.nampeera,People's Land of Maneau,Horrible Grizzlies,21,1999,32.09,0.15,2.61,0.8,1,2.54,0.78,0,0.11,20.41,0.17,0,0,0.15,0.12,0.01,0.08,0.06,A,2021,21192841541
1975,e.zacarias,Sobianitedrucy,Wet Flames,26,1993,32.02,0.48,3.13,1.04,1,3.25,1,0.19,0.18,16.91,0.28,0.18,0.13,0.52,0.29,0.16,0,-0.07,D,2021,21110844976
1959,d.sigauke,Sobianitedrucy,Sugar Bengals,23,1997,32.18,0.01,1.14,0.27,1,1.09,0.35,0.18,0.41,20.48,0,0.04,0,0.08,0.01,0.15,0,-0.02,D,2021,20974591625
1720,f.lee,Sobianitedrucy,Marvelous Patriots,22,1998,32.04,0.19,1.34,0.3,1,1.37,0.19,0,0.18,21.08,0.12,0.15,0.04,0.22,0.05,0.13,0.05,-0.01,D,2021,20966818899
796,h.pang,Dosqaly,Supreme Janes,22,1997,31.08,0.38,2.27,0.76,1,2.27,0.84,0.06,0.37,18.96,0,0.02,0,0.22,0.16,0.14,0.08,0.14,B,2021,20733967408
2656,a.gautier,Greri Landmoslands,Marvelous Coyotes,23,1997,31.61,0.09,0.47,0.21,1,0.47,0.21,0.15,0.09,7.53,0,0,0.01,0.13,0,0.26,-0.06,-0.13,RFL,2021,20211719787
2300,z.hribar,Nganion,Plane Janes,23,1997,33.09,0.09,0.21,0.05,1,0.28,0.12,0.27,0.61,7.31,0.02,0,0.06,0,0.02,0.08,0.03,-0.02,E,2021,20185366476
1951,b.phillips,Southern Ristan,Sugar Bengals,27,1993,31.96,0.72,2.82,1.35,1,2.78,1.3,0.16,0.41,13.76,0,0.26,0.2,0.63,0.51,0.28,-0.04,0.02,D,2021,20106443133
1093,a.dickson,Esia,Little Lollipops,26,1994,33.95,0.1,0.66,0.24,1,0.62,0.2,0.09,0.21,12,0.03,0.06,0.01,0,0,0.05,-0.09,0.04,C,2021,19868192681
516,o.ghanbari,Coastpa Barleslands,Jumping Beans,23,1996,32.58,0.51,1.83,0.73,1,1.79,0.59,0.08,0.4,15.98,0.01,0.11,0.1,0.38,0.26,0.07,-0.05,0.03,B,2021,19575422032
2625,h.nkiwane,People's Land of Maneau,Mad Wolverines,24,1995,32.54,0.13,0.76,0.09,1,0.87,0.12,0,0.19,12.91,0,0.03,0.02,0.12,0,0.11,-0.09,-0.11,RFL,2021,19546680574
2341,j.khoh,Nganion,Polar Kangaroos,25,1995,32.81,0.37,1.42,0.58,1,1.51,0.75,0.21,0.46,17.81,0.02,0,0,0.05,0.17,0.11,0.29,0.13,E,2021,19302833223
2618,k.ramos,Rarita,Educated Avengers,20,1999,34.04,0.13,0.68,0.27,1,0.66,0.27,0.15,0.18,22,0.02,0,0,0.08,0.08,0.01,-0.04,0.07,RFL,2021,19279180996
373,s.wafula,People's Land of Maneau,Weak Tornadoes,22,1997,32.89,0.01,0.55,0.18,1,0.68,0.17,0,0,8.87,0.05,0.06,0,0,0.01,0.06,-0.13,-0.08,A,2021,19234809623
2155,n.jorgensen,Nganion,Hideous Spiders,25,1994,34.02,0.04,0.28,0,1,0.3,0,0.23,0.91,23.92,0.06,0,0.04,0,0.07,0.06,-0.05,-0.03,E,2021,19195031976
2546,h.nieminen,Lefghau,Ultimate Penguins,21,1999,33.28,0.08,0.41,0.15,1,0.24,0.02,0.13,0.43,16.92,0,0,0,0.07,0.11,0.11,-0.1,-0.05,E,2021,19191303636
2133,h.gomo,Janmico,Flying Penguins,24,1995,33.13,0.18,1.48,0.32,1,1.48,0.33,0,0.42,25.42,0.12,0.01,0,0.16,0.12,0,-0.02,0.09,E,2021,18537953286
451,w.kuhn,Dosqaly,Glistening Paladins,22,1998,32.05,0.24,1.88,0.7,1,1.95,0.7,0,0.21,19.93,0.16,0,0,0.25,0.2,0.07,-0.1,-0.06,B,2021,18152412741
221,n.ono,People's Land of Maneau,Punctual Rustlers,23,1997,31.87,0.44,2.52,1.39,1,2.51,1.38,0.2,0.33,11.8,0,0.04,0.03,0.43,0.53,0.2,0.11,-0.06,A,2021,18052962785
1377,k.nasution,Greri Landmoslands,Ultimate Longhorns,24,1995,30.79,0.89,3.47,1.8,1,3.45,1.72,0.19,0.32,12.7,0.15,0.13,0.17,0.86,0.53,0.15,0.17,0.11,C,2021,18024261015
219,l.lechner,Lefghau,Punctual Rustlers,23,1997,31.84,0.2,2.63,1,1,2.5,0.94,0.17,0.17,14.51,0,0,0.04,0.37,0.31,0.14,-0.09,-0.25,A,2021,18015137460
214,s.debnath,People's Land of Maneau,Punctual Rustlers,27,1993,33.11,0.12,0.52,0.12,1,0.48,0.14,0.11,0.5,11.07,0.02,0.08,0,0.09,0,0.12,0,0.11,A,2021,18007675648
654,d.dumitru,Czechnor,Serious Thunderbirds,25,1994,30.28,0.25,3.13,1.21,1,3.29,1.09,0,0.12,18.86,0.22,0.07,0.18,0.33,0.26,0.16,-0.09,-0.09,B,2021,17885603194
747,f.kobugabe,Dosqaly,Solemn Leopards,20,1999,32.13,0.07,0.65,0.19,1,0.56,0.21,0,0.06,22.3,0.03,0.03,0,0,0,0.12,-0.08,0.02,B,2021,17882406367
905,n.kigongo,Dosqaly,Villainous Eagles,23,1996,30.31,0.19,2.07,0.86,1,2.05,0.82,0.01,0.28,20.07,0.15,0,0.09,0.12,0.09,0.1,-0.02,0.14,B,2021,17357847557
691,j.kinoshita,Czechnor,Simple Privateers,32,1988,38.05,0.1,0.83,0.11,1,0.75,0.25,0.12,0.29,9.64,0,0,0,0.09,0.06,0,-0.05,0.11,B,2021,17354631358
2339,i.mponda,Nganion,Polar Kangaroos,28,1992,33.62,0.06,0.57,0.2,1,0.55,0.3,0.15,0.21,19.98,0,0.09,0.1,0.14,0.03,0.18,-0.05,-0.11,E,2021,16987966888
1250,e.lam,Byasier Pujan,Silver Frogs,27,1992,32.68,0.67,2.84,1.36,1,2.81,1.39,0.28,0.51,12.8,0,0.11,0.03,0.62,0.55,0.19,0.12,0.15,C,2021,16957750138
2743,i.saha,Rarita,Strong Oaks,26,1994,31.66,0.21,1.01,0.59,1,0.9,0.55,0.21,0.19,11.62,0.02,0,0.08,0.17,0.11,0.24,0.01,0.02,RFL,2021,16895666024
2692,b.mhamid,Rarita,Red Anchormen,23,1996,31.65,0.24,1.5,0.53,1,1.5,0.54,0.21,0.5,15.39,0.1,0,0.01,0.17,0.25,0.15,0.04,0.08,RFL,2021,16569497067
21,i.iddrisu,People's Land of Maneau,Fanatical Outlaws,21,1999,32,0.02,0.85,0.26,1,0.7,0.29,0.11,0.14,19.92,0,0.05,0.14,0.09,0,0.06,-0.05,-0.11,A,2021,16505643101
1966,d.namayanja,Lefghau,Wet Flames,23,1997,32.69,0.14,0.87,0.25,1,0.81,0.31,0.26,0.48,8.92,0.05,0.01,0,0.15,0.14,0.05,0.08,0.07,D,2021,16350308593
2105,l.ndyanabo,Imaar Vircoand,Festive Governors,33,1987,33.54,0.86,5.7,2.59,1,5.64,2.61,0.05,0.37,18.86,1.11,0.16,0.17,0.66,0.61,0.08,0.1,0.26,E,2021,16213735065
82,u.wright,People's Land of Maneau,Green Fleet,27,1993,33.91,0.03,1.13,0.29,1,1.06,0.18,0.1,0.24,11.03,0,0.02,0,0.11,0.06,0,-0.07,0.05,A,2021,15949379987
1033,m.watson,Dosqaly,Fiery Governors,24,1996,31.87,0.08,0.23,0.22,1,0.24,0.25,0.27,0.31,16.08,0,0.03,0,0.15,0.01,0.2,-0.05,-0.07,C,2021,15857047734
932,k.bintiali,Dosqaly,Weak Blimps,20,2000,30.51,0.32,2.55,0.99,1,2.52,1.01,0.02,0.31,16.03,0.25,0.22,0.1,0.52,0.32,0.1,-0.05,-0.07,B,2021,15798266173
1119,n.ofosu,Esia,Marvelous Anchors,27,1993,34.07,0.12,0.69,0.29,1,0.77,0.18,0.04,0.35,22.91,0.04,0.02,0.06,0,0.04,0,0.02,0,C,2021,15742683777
1032,i.nalubwama,Byasier Pujan,Fiery Governors,23,1996,32.04,0,0.59,0.21,1,0.72,0.13,0,0.06,16.37,0.22,0,0.08,0.14,0,0.03,-0.01,0.03,C,2021,15555240308
2273,r.nuwagaba,Nganion,Orange Giants,30,1989,34.2,0.4,2.48,1.09,1,2.55,1.07,0.04,0.42,12.93,0,0.03,0,0.31,0.38,0.13,0.06,-0.04,E,2021,15449252508
819,f.perrin,Dosqaly,Swift Rustlers,21,1999,31.89,0.1,1.11,0.25,1,1.14,0.1,0,0,24.27,0,0,0,0.11,0.05,0.1,-0.11,-0.1,B,2021,15449055370
688,h.amponsah,Pierrema,Simple Jayhawks,27,1993,31.26,0.23,2.42,0.92,1,2.38,0.85,0.08,0.2,26.38,0.93,0.13,0.12,0.24,0.23,0.13,0.1,0.06,B,2021,15378261474
1165,n.nanziri,Esia,Punctual Archers,28,1992,33.86,0.06,0.28,0.2,1,0.42,0.15,0.13,0.18,11.59,0,0.09,0,0.1,0.01,0.13,0.02,-0.1,C,2021,15371508368
960,a.serrano,Pierrema,Wet Monarchs,27,1993,32.95,0.17,1.87,0.58,1,1.94,0.6,0.14,0.33,19.8,0.22,0.04,0.03,0.13,0.14,0.02,0.05,0.1,B,2021,15299162208
800,d.tweheyo,Dosqaly,Swift Rustlers,19,2001,31.95,0.13,0.8,0.06,1,0.68,0.04,0.15,0.42,14.07,0,0,0,0.1,0.03,0.07,-0.06,-0.06,B,2021,15119578621
384,l.barman,People's Land of Maneau,Weak Tornadoes,22,1997,30.42,0.2,2.26,0.75,1,2.2,0.64,0.03,0.28,17.14,0.14,0,0.06,0.11,0.2,0.11,-0.03,-0.12,A,2021,15054148683
2281,m.murmu,Rosvi,Orange Giants,28,1992,34.7,0,0,0.02,0.08,0.06,0,0.01,0,43.94,0,0.03,0,0.07,0,0.14,-0.11,0.08,E,2021,14792724578
597,y.koay,Reugha,Overconfident Kangaroos,28,1992,33.23,0.07,0.77,0.25,1,0.82,0.11,0,0.23,19.46,0,0,0,0.11,0.06,0.15,-0.09,-0.09,B,2021,14679274975
3,z.iqbal,Galamily,Fanatical Outlaws,27,1992,33.91,0,0.35,0.14,1,0.5,0.1,0,0.02,16.69,0,0,0,0.08,0.13,0.1,0,0.01,A,2021,14473453937
1945,s.kamoga,Sobianitedrucy,Sugar Bengals,21,1999,32.42,0,0.35,0,1,0.35,0.06,0,0,9.92,0,0,0,0.02,0.06,0.03,0.02,0.02,D,2021,14353159735
913,n.nakacwa,Central Diasongo,Weak Blimps,25,1994,32.86,0.13,0.75,0.15,1,0.73,0.06,0,0.46,20.93,0,0.07,0.04,0.07,0.09,0.01,-0.03,-0.06,B,2021,14202214018
995,e.gupta,Esia,Awkward Trailblazers,23,1996,32.61,0.01,0.71,0.12,1,0.69,0.13,0.09,0.44,23.24,0.01,0.02,0.05,0.09,0.1,0,0.03,0.03,C,2021,14054610736
1940,z.wu,Ledian,Sugar Bengals,25,1995,30.86,0.1,0.39,0.19,1,0.46,0.19,0.25,0.57,8.69,0.02,0,0,0.02,0.04,0.22,0.09,-0.05,D,2021,14031824520
1755,q.zyu,Imaar Vircoand,Mean Wolves,29,1991,32.5,0.05,0.88,0.17,1,0.88,0.24,0.12,0.62,17.04,0,0.05,0.08,0.15,0.02,0.16,0.1,0.07,D,2021,14022236663
436,i.berg,Tito Mia,Glistening Paladins,25,1994,29.89,0.3,2.64,1.19,1,2.57,1.19,0.04,0.15,12.13,0.02,0.03,0,0.32,0.34,0.22,-0.12,-0.02,B,2021,13854540206
1823,j.bahri,Sobianitedrucy,Remarkable Flames,24,1996,31.61,0.16,0.92,0.45,1,0.94,0.48,0.15,0.37,12.17,0,0.05,0.06,0.05,0.13,0.07,-0.01,0.06,D,2021,13787495072
1863,b.sah,Sobianitedrucy,Serious Ranchers,30,1990,31.69,0.65,3.59,1.46,1,3.66,1.32,0.16,0.39,15.95,0,0.05,0.22,0.57,0.37,0.19,-0.06,0,D,2021,13765786955
1214,p.mudimba,Lylimi,Red Artichokes,22,1998,30.85,0.12,2.22,0.63,1,2.19,0.73,0.12,0.2,18.86,0.25,0.04,0.05,0.12,0.22,0.06,-0.08,-0.07,C,2021,13735967595
2526,i.kiiza,Janmico,Swift Bison,23,1996,29.87,0.29,1.84,0.77,1,1.78,0.87,0.04,0.2,16.58,0.12,0,0,0.14,0.16,0.14,0.09,0.1,E,2021,13704819324
2394,k.haim,Nganion,Rabid Greyhounds,23,1996,31.85,0.06,0.82,0.23,1,0.9,0.1,0.13,0.56,21.47,0,0.04,0.08,0.07,0.06,0,0.09,0.12,E,2021,13600716319
350,d.obeng,Ngoque Blicri,Swift Musketeers,24,1996,29.6,0.34,1.85,1.07,1,1.81,1.06,0.21,0.34,13.18,0.01,0.07,0,0.39,0.24,0.25,0.08,0.03,A,2021,13588082308
2459,n.binhashim,Dosqaly,Screaming Ramblers,29,1991,33.54,0.09,0.75,0.2,1,0.62,0.09,0.02,0.09,18.27,0.17,0.08,0.06,0.06,0.08,0.14,0.04,0.05,E,2021,13485617435
2619,s.razaee,Rarita,Educated Avengers,24,1995,31.36,0,1.08,0.17,1,1.21,0.2,0.05,0,20.31,0.3,0,0.03,0,0.02,0.06,-0.12,0.01,RFL,2021,13341749965
1938,o.mapfumo,Biarizea,Sugar Bengals,21,1998,29.64,0.3,1.37,0.45,1,1.27,0.56,0.09,0.41,16.25,0.02,0,0,0.2,0.18,0.21,0.04,0.01,D,2021,13137147572
2122,j.ko,Southern Viout Aman,Flying Penguins,28,1991,32.69,0,0.09,0.08,0.07,0,0.04,0,0,7.25,0.07,0,0,0.1,0,0.16,-0.06,0.03,E,2021,13100723680
