"","Player","Nation","Squad","Age","Born","X90s","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","League","Year","mv"
"11","i.namirimu","Thaijagypt","Fanatical Outlaws",30,1990,21.86,14.87,22.41,1,228.66,42.27,8.71,11.78,1,4.02,6.19,1,1.32,2.34,1,0.32,0.06,0.05,1.03,1.03,0.49,0.16,1.16,"A",2021,201786639.758579
"12","m.namukwaya","Ngoque Blicri","Fanatical Outlaws",32,1987,0.16,30.06,29.95,1,350.08,130.08,29.98,29.97,1,0.06,0.01,0,0,0,0,0.09,0.08,0.1,0,0,0,0,0.03,"A",2021,1211190.7158203
"13","j.akello","Bernepamar","Fanatical Outlaws",30,1989,4.23,29.54,37.49,1,513.74,139,16.66,18.78,1,8.51,11.84,1,4.02,5.81,1,0.28,0.15,0.07,1.2,2.42,1.37,0.56,2.55,"A",2021,5149030.19471733
"14","w.lew","Nganion","Fanatical Outlaws",24,1996,28.66,29.7,38.5,1,492.01,143.31,15.91,18.4,1,10.66,13.55,1,2.8,4.71,1,0.21,0.06,0.14,1.13,2.53,1.08,0.23,3.78,"A",2021,1820576183.42474
"15","b.derosa","People's Land of Maneau","Fanatical Outlaws",23,1996,28.57,17.55,25.88,1,339.96,75.31,7.57,9.76,1,6.7,8.48,1,2.83,5.76,1,0.13,0.08,0.03,0.89,0.68,0.74,0.36,1.22,"A",2021,1702823879.72293
"16","d.john","Pierrema","Fanatical Outlaws",24,1995,15.42,26.54,33.95,1,412.44,117.66,15.17,16.92,1,8.47,10.67,1,1.84,4.32,1,0.32,0.21,0.15,1.83,2.71,1.46,0.34,3.12,"A",2021,120307468.558217
"17","s.kiconco","Nkasland Cronestan","Fanatical Outlaws",35,1985,35.01,17.38,28.59,1,697.03,496.54,1.52,1.55,1,5.4,5.44,1,10.45,21.6,1,0.04,0.04,0,0.08,0.44,0,0.08,0,"A",2021,1518188141.17905
"18","r.chee","Southslands","Fanatical Outlaws",33,1987,3,12.05,21.96,1,436.99,328.67,1.59,1.71,1,4.42,4.24,1,6.1,16.07,1,0.04,0.08,0,0.05,0.04,0,0.01,0.03,"A",2021,1708059.43094061
"19","f.pop","Galamily","Fanatical Outlaws",25,1995,38.02,31.17,40.59,1,574.81,145.81,13.82,17.53,1,12.23,15.61,1,4.27,5.6,1,0,0,0,0.33,2.66,0.25,0.01,2.64,"A",2021,11078269481.9294
"20","d.alshehri","People's Land of Maneau","Fanatical Outlaws",33,1987,7.97,47.2,54.24,1,926.93,220.11,18.62,20.44,1,20.47,22.14,1,7.79,9.66,1,0,0,0.03,0.63,5.13,0.68,0.35,3.23,"A",2021,7160044.16218678
"21","i.iddrisu","People's Land of Maneau","Fanatical Outlaws",21,1999,31.93,40.63,47.08,1,781.37,189.54,16.32,18.19,1,17.75,19.51,1,6.09,8.24,1,0.07,0.1,0,0.54,3.55,0.73,0.34,3,"A",2021,4736403872.76887
"22","e.taylor","People's Land of Maneau","Fanatical Outlaws",27,1992,15.89,34.48,42.24,1,544.18,144.97,19.13,21.61,1,10.84,12.71,1,3.13,5.3,1,0.27,0.19,0.1,1.09,3.63,1.56,0.27,4.05,"A",2021,105214747.540038
"23","h.tourgeman","Rarita","Fanatical Outlaws",27,1993,6.26,51.99,58.5,1,839.82,208.03,27.87,30.25,1,19.48,21.11,1,3.32,4.93,1,0.18,0.12,0.06,1.76,3.99,0.65,0,3.22,"A",2021,10289813.6872916
"24","q.hor","Byasier Pujan","Fighting Cougars",28,1992,25.3,45.54,58.89,1,900.39,358.97,16.4,18.67,1,23.09,28.1,1,5.89,10.95,1,0.09,0.05,0,0.74,3.86,1.3,0.48,4.87,"A",2021,610258506.575536
"25","d.ikeda","People's Land of Maneau","Fighting Cougars",28,1991,32.59,59.47,65.9,1,1389.48,381.53,14.6,15.55,1,30.65,32.25,1,13.54,17.58,1,0.03,0.12,0,0.27,3.53,0.12,0.03,2.18,"A",2021,2540047024.18338
"26","g.kohler","People's Land of Maneau","Fighting Cougars",26,1994,18.63,36.62,52.49,1,690.67,232.63,17.2,20.12,1,13.99,18.78,1,5.01,10.99,1,0.07,0.1,0,1.36,2.02,1.86,0.64,4.07,"A",2021,175329985.332945
"27","i.ludwig","People's Land of Maneau","Fighting Cougars",28,1992,23,41.51,54.2,1,737.16,230.78,17.47,21.34,1,20.75,25.01,1,2.83,6.21,1,0,0.05,0.06,0.35,3.09,0.75,0.3,3.27,"A",2021,343869801.028468
"28","k.toth","People's Land of Maneau","Fighting Cougars",25,1995,28.78,51.45,62.33,1,1128.7,393.02,14.05,16.32,1,27.79,30.87,1,9.26,13.87,1,0,0.11,0,0.26,4.6,0.21,0.08,3.89,"A",2021,1577425169.94492
"29","u.ortiz","People's Land of Maneau","Fighting Cougars",19,2000,9.72,39.78,50.98,1,647.7,174.6,21.34,23.89,1,14.37,19.19,1,3.26,5.75,1,0.08,0.15,0,1.22,1.26,1.17,0.79,2.84,"A",2021,40678198.3221043
"30","y.rabinovitch","Western Niasland","Fighting Cougars",28,1992,0.01,80.01,90.03,1,1270.07,129.99,39.97,39.92,1,39.98,49.95,1,0,0,0,0,0.08,0,0.02,0.07,0.09,0,0.1,"A",2021,1805883.61605263
"31","r.petrenko","Lefghau","Fighting Cougars",25,1995,2.38,27.01,37.75,1,452.99,125.13,13.81,16.56,1,10.45,14.8,1,2.17,2.58,1,0,0,0,0.82,1.39,0.96,0.53,2.55,"A",2021,4373875.08340886
"32","d.kikuchi","Nkasland Cronestan","Fighting Cougars",21,1999,7.26,27.79,37.15,1,399.27,120.7,16.44,18.89,1,9.8,12.49,1,0.76,3.38,1,0,0.1,0,0.47,2.39,1.01,0.05,2.9,"A",2021,20607504.188008
"33","z.no","People's Land of Maneau","Fighting Cougars",22,1997,35.48,41.43,49.63,1,867.15,265.51,13.66,15.19,1,20.42,22.92,1,6.88,10.56,1,0.09,0.01,0,0.17,3.15,0.64,0.12,3.37,"A",2021,8312829878.47376
"34","w.nabatanzi","Esia","Fighting Cougars",19,2001,0.17,0,10.07,0,0.02,0.08,0,10.02,0,0,0,0,0.04,0.08,0,0,0.05,0,0.06,0,0,0,0,"A",2021,3679586.01688526
"35","v.taheri","People's Land of Maneau","Fighting Cougars",29,1990,17.14,12.66,15.67,1,172.3,35.17,8.12,9.73,1,3.2,3.6,1,0.78,0.93,1,0.1,0.09,0,1.22,0.85,0.37,0.01,1.14,"A",2021,79973634.4928694
"36","r.bintihassan","Southslands","Fighting Cougars",20,2000,8.73,9.03,11.47,1,130.21,18.76,5.18,6.44,1,2.94,3.42,1,0.43,0.66,1,0.16,0,0.15,0.59,0.3,0.19,0,0.43,"A",2021,22922935.617472
"37","k.goncalves","Quewenia","Fighting Cougars",21,1999,1.93,10.58,22.54,1,162.04,44.15,5.82,9.47,1,3.76,6.9,1,0.55,4.27,1,0,0.11,0,0.51,1.12,0.58,0.47,2.15,"A",2021,5578725.01442672
"38","g.bellini","Buhegeor","Fighting Cougars",26,1994,1.12,20.02,26.37,1,292.65,60.93,10.04,13.64,1,9.01,10.1,1,0.03,1.89,0.09,1,0.36,0.66,2.72,0.9,0.94,0,1.82,"A",2021,4294809.0849006
"39","l.wafula","Dosqaly","Fighting Cougars",23,1996,28,18.29,23.48,1,283.3,48.85,9.13,11.13,1,6.59,7.9,1,1.29,2.16,1,0,0.17,0,1.09,1.22,1.09,0.1,1.49,"A",2021,1853634093.09847
"40","m.hsieh","Lonnia Haba","Fighting Cougars",26,1993,5.92,33.2,44.98,1,560.71,131.86,14.74,18.32,1,13.9,16.93,1,3.29,6.25,1,0.15,0.53,0,1.87,0.65,3.25,0.89,3.58,"A",2021,19768126.4133984
"41","f.cho","Southern Ristan","Fighting Cougars",25,1994,29.1,27.95,37.42,1,538.19,149.18,11.97,14.78,1,11.62,14.15,1,3.96,6.06,1,0.12,0.08,0.06,1.64,2.63,2.25,0.57,4.35,"A",2021,2214259825.45656
"42","z.marini","Central Republic of Boekrainego","Fighting Cougars",28,1992,11.03,28.55,36.36,1,768.54,376.87,5.67,5.71,1,14.59,14.43,1,8.36,16.06,1,0.02,0.09,0,0,0.06,0,0,0,"A",2021,17409512.3022253
"43","p.robinson","Nganion","Fighting Cougars",22,1997,27,29.05,40.58,1,886.31,469.45,4.34,4.38,1,14.26,14.32,1,10.34,21.54,1,0,0.07,0,0.01,0.84,0.08,0,0.09,"A",2021,979474157.423924
"44","i.azulay","Byasier Pujan","Fighting Cougars",28,1991,2.4,30.34,39.9,1,590.01,179.94,10.45,13.82,1,16.33,20.05,1,3.24,4.63,1,0.05,0,0,0.04,3.02,2.08,0.4,5.51,"A",2021,4150989.92595116
"45","h.narvaez","Reugha","Fighting Cougars",23,1996,34.61,42.22,48.49,1,843.38,156.52,14.8,16.86,1,19.98,21.97,1,6.52,8.46,1,0,0.11,0,0.53,3.52,0.58,0,3.23,"A",2021,7264775712.48818
"46","r.matovu","Southslands","Fighting Cougars",20,1999,0.01,0,1.01,0,0,0,0.07,0,0,0.01,0.08,0,0,1.05,0.09,0.09,0.01,0.02,0.03,0.03,0.06,0,0,"A",2021,3184089.57653156
"47","p.chew","Esia","Fighting Cougars",29,1991,27.59,45.67,60.42,1,935.5,264.49,18.37,21.31,1,18.24,22.01,1,8.53,15.43,1,0.25,0.25,0.18,2.52,2.88,1.78,0.56,4.72,"A",2021,1102282776.7404
"48","o.kia","Western Niasland","Fighting Cougars",21,1998,10.09,39.93,44.6,1,692.76,132,19.5,21.22,1,15.48,16.3,1,4.46,5.4,1,0,0.07,0,1.02,3.3,0.57,0.1,3.49,"A",2021,35791811.9744006
"49","q.nabimanya","Imaar Vircoand","Fighting Cougars",21,1998,12.44,26.01,32.74,1,446.96,104.74,12.37,14.61,1,9.84,11.91,1,2.91,3.96,1,0.02,0.09,0,1.25,1.97,1.42,0,2.82,"A",2021,66712167.736319
"50","i.ocen","People's Land of Maneau","Fighting Cougars",32,1988,17.69,44.86,52.8,1,700.5,168.08,23.28,25.98,1,16.54,19.13,1,3.16,4.78,1,0.16,0.15,0,1.46,3.28,1.51,0.21,4.7,"A",2021,88910242.825422
"51","d.daniel","People's Land of Maneau","Great Galactic Gorgons",27,1993,31.09,29.47,37.31,1,446.94,147.06,17.14,18.61,1,9.77,12.59,1,1.64,3.84,1,0.05,0.11,0,0.51,1.26,0.94,0.25,2,"A",2021,2355105069.18118
"52","f.kembabazi","People's Land of Maneau","Great Galactic Gorgons",23,1996,11.16,28.77,39.53,1,590.58,271.57,10.43,11.41,1,13.09,16.06,1,4.53,10.23,1,0.06,0,0.02,0.29,2.32,0.24,0,1.95,"A",2021,31215435.9466815
"53","h.akugizibwe","People's Land of Maneau","Great Galactic Gorgons",26,1994,1.91,29.98,38.47,1,612.45,265.44,11.42,12.02,1,11.93,14.98,1,6.04,10,1,0.07,0,0,0,2.01,0.99,0,3.02,"A",2021,3425033.8344153
"54","i.akpan","People's Land of Maneau","Great Galactic Gorgons",37,1982,5.75,24.49,32,1,632.45,173.68,5.84,6.69,1,9.83,12.16,1,8.47,12.21,1,0.04,0.02,0,0.02,0.67,0.05,0.01,0.94,"A",2021,1977978.11136049
"55","t.awuah","People's Land of Maneau","Great Galactic Gorgons",26,1993,9.7,36.6,45.26,1,695.14,240.44,14.76,16.11,1,15.93,18.52,1,5.31,9.08,1,0.05,0.04,0,0.12,2.41,0.13,0,2.04,"A",2021,18273279.1957889
"56","t.barigye","People's Land of Maneau","Great Galactic Gorgons",23,1997,6.13,23.82,36.64,1,386.83,126.59,12.91,16.15,1,8.28,12.28,1,2.22,5.49,1,0,0.01,0.01,0.47,2.21,0.91,0.19,2.57,"A",2021,11966817.1985656
"57","u.ban","People's Land of Maneau","Great Galactic Gorgons",20,2000,12.26,24.39,31.12,1,388.04,152.03,14.03,15.92,1,7.05,8.87,1,2.44,4.31,1,0,0.09,0,0.26,1.45,0.64,0.13,1.94,"A",2021,59595028.247066
"58","i.najjemba","Southslands","Great Galactic Gorgons",27,1992,29.28,31.64,37.45,1,748.32,229.52,8,8.67,1,16.49,17.92,1,7.15,10.39,1,0.04,0,0.01,0.14,2.71,0.34,0.06,1.98,"A",2021,1276855097.31593
"59","x.nalukenge","Southslands","Great Galactic Gorgons",30,1990,29.93,36.85,47.54,1,639.19,272.54,18.66,20.32,1,14.01,17.58,1,3.77,7.94,1,0,0.09,0.08,0.69,2.89,0.95,0.25,3.87,"A",2021,1368251674.8279
"60","i.bintiomar","Djipines","Great Galactic Gorgons",19,2000,23.11,36.92,45.82,1,744.76,237.27,13.28,15.25,1,17.47,20.2,1,5.71,9.02,1,0,0.05,0,0.47,2.91,0.65,0.18,3.56,"A",2021,691813265.921455
"61","m.ludwig","Rarita","Great Galactic Gorgons",32,1988,28.52,31.46,38.65,1,569.4,164.73,14.14,15.85,1,13.24,15.59,1,3.66,5.95,1,0.1,0,0,0.33,1.98,0.59,0.23,2.11,"A",2021,684072224.312806
"62","r.lambert","Ngoque Blicri","Great Galactic Gorgons",23,1997,14.11,13.07,18.62,1,172.63,23.11,8.12,10.47,1,3.59,4.65,1,0.3,0.76,1,0.08,0.06,0,0.86,0.37,0.49,0.01,0.8,"A",2021,67572650.6090273
"63","y.susanti","Ngoque Blicri","Great Galactic Gorgons",24,1996,14.74,18.3,29.07,1,250.97,71.59,11.47,16.69,1,5.66,9.07,1,0.58,0.8,1,0,0.17,0,0.97,1.43,1.06,0.06,2.9,"A",2021,91752734.1329919
"64","a.schmitt","People's Land of Maneau","Great Galactic Gorgons",34,1986,8.17,10.5,15.06,1,141.27,20.54,5.64,7.24,1,3.75,5.31,1,0.01,0.19,0.02,0,0.12,0,0.43,0.23,0.46,0,0.65,"A",2021,6444453.98636207
"65","u.rodrigues","People's Land of Maneau","Great Galactic Gorgons",17,2003,3.16,7.55,10.65,1,96.31,11.83,5,6.52,1,1.89,2.88,1,0.25,0.65,1,0,0.09,0,0.34,0.6,0,0,0.36,"A",2021,8719583.22575654
"66","w.swee","People's Land of Maneau","Great Galactic Gorgons",20,2000,12.41,12.54,18.1,1,210.28,51.91,6.94,8.83,1,3.73,5.5,1,1.52,2.69,1,0,0.19,0,0.68,0.95,0.32,0.24,1.19,"A",2021,64881249.4565379
"67","m.nkhata","People's Land of Maneau","Great Galactic Gorgons",16,2004,0.03,10,10.02,1,40,0.01,0,0.02,0,0,0.07,0,0.03,0,0,0.07,0,0,0,0.09,0.06,0,0.02,"A",2021,4130870.96820659
"68","g.elbaz","Dosqaly","Great Galactic Gorgons",24,1996,3.38,12.15,15.24,1,203.34,28.27,6.4,8.25,1,4.5,5.36,1,0.54,0.87,1,0.04,0.01,0,0.97,1.59,0.04,0.05,0.85,"A",2021,5397845.6758308
"69","h.gomani","Southslands","Great Galactic Gorgons",32,1987,26.64,26.35,35.23,1,434.91,76.17,13.86,17.33,1,9.66,12.63,1,2.37,3.54,1,0,0,0,0.64,1.82,0.8,0.01,2.57,"A",2021,474240491.379421
"70","a.soong","People's Land of Maneau","Great Galactic Gorgons",22,1998,37.99,14.63,29.99,1,655.7,508.77,1.43,1.49,1,4.2,4.34,1,9.1,24.17,1,0,0.11,0.01,0,1.43,0.04,0,0,"A",2021,11628817711.057
"71","a.tayebwa","Dosqaly","Great Galactic Gorgons",21,1999,0.18,29.95,30.01,1,349.97,160.08,9.95,9.98,1,10.03,10.03,1,0,0.04,0,0.01,0.1,0,0.1,0.05,0.07,0.02,10.03,"A",2021,3445919.29907494
"72","d.kojima","Highhlaands","Great Galactic Gorgons",29,1991,24.69,47.79,60.08,1,1096.99,301.33,14.22,16.04,1,21.94,25.21,1,11.15,18.13,1,0,0.11,0,1.29,5.28,1.26,0.36,4.22,"A",2021,502728900.713057
"73","a.aryemo","Ngoque Blicri","Great Galactic Gorgons",28,1991,28.54,33.06,42.48,1,547.05,173.46,17.26,19.02,1,10.94,13.39,1,3.58,7.98,1,0,0.03,0.04,1.16,3.92,0.93,0.24,3.52,"A",2021,1206377452.43227
"74","g.gustafsson","People's Land of Maneau","Great Galactic Gorgons",26,1994,22.61,37.27,46.19,1,669.73,148.56,17.26,18.65,1,14.8,16.88,1,4.1,8.39,1,0.06,0.04,0.06,0.75,2.56,0.43,0.16,2.51,"A",2021,341279296.51703
"75","h.susanto","Redohrainbri","Great Galactic Gorgons",22,1998,12.41,30.51,37.43,1,557.27,114.73,13.13,15.82,1,13.07,14.73,1,3.72,5.01,1,0.17,0.08,0,1.01,2.62,0.35,0.07,2.51,"A",2021,52958066.9250983
"76","f.nakazibwe","People's Land of Maneau","Great Galactic Gorgons",25,1994,17.77,37.17,47.29,1,582.89,210.38,22.11,24.38,1,11.51,13.87,1,2.96,6.77,1,0.02,0.18,0,1.17,3.04,1.61,0.53,3.87,"A",2021,182311711.387573
"77","z.okon","Byasier Pujan","Green Fleet",22,1998,0.86,72.14,83.38,1,1188.9,286.72,33.36,37.77,1,35.55,37.89,1,3.43,6.58,1,0,0.24,0,2.3,4.51,1.05,1.03,1.13,"A",2021,5714910.03199991
"78","g.nimusiima","Central Diasongo","Green Fleet",26,1994,10.13,48.46,53.51,1,1017.94,305.18,13.53,14.43,1,27.58,29.79,1,7.05,8.92,1,0,0,0,0,2.78,0,0,2.77,"A",2021,19287716.8157521
"79","d.chen","Lefghau","Green Fleet",27,1992,7.69,59.56,74.06,1,998.7,408.57,30.59,32.53,1,21.81,25.72,1,5.5,13.4,1,0.16,0.08,0.08,1.54,4.58,1.89,0.16,6.56,"A",2021,15187819.0670353
"80","c.muyama","People's Land of Maneau","Green Fleet",25,1995,29.57,55.85,68.31,1,879.9,374.09,31.38,34.14,1,19.37,22.59,1,4.05,8.61,1,0.11,0.2,0,2.34,3.02,1.6,0.5,5.2,"A",2021,2500925986.22278
"81","g.hernandez","People's Land of Maneau","Green Fleet",22,1997,33.99,52.2,60.61,1,789.48,280.93,29.55,32.17,1,19.54,22.4,1,2.17,3.75,1,0.05,0.14,0.06,0.94,2.56,0.92,0.42,3.69,"A",2021,7490319986.61165
"82","l.mugumya","People's Land of Maneau","Green Fleet",22,1997,4.55,52.35,58.48,1,1058.49,232.72,16.91,18.1,1,27.3,29.25,1,7.77,9.64,1,0,0,0,0,2.03,0.04,0,2.13,"A",2021,7492145.06034759
"83","u.kaahwa","People's Land of Maneau","Green Fleet",17,2003,0.08,0,0.97,0.1,0.04,0.03,0,0.05,0,0.08,0.93,0,0.02,0.01,0,0.04,0,0,0.09,0,0.01,0,0.06,"A",2021,3888149.92024863
"84","u.wright","People's Land of Maneau","Green Fleet",27,1993,33.9,56.25,63.03,1,1258.05,364.31,14.36,15.65,1,30.3,32.4,1,11.22,14.28,1,0.05,0,0.04,0.29,5.73,0.17,0,3.08,"A",2021,3826606797.86533
"85","z.agyei","People's Land of Maneau","Green Fleet",19,2000,2.13,57.01,66.72,1,981.9,352.98,29.42,31.36,1,21.39,26.19,1,5.64,6.69,1,0,0.08,0.06,0.54,3.85,0.96,0.55,2.88,"A",2021,7584904.88925956
"86","q.sarfo","Xikong","Green Fleet",26,1994,28.75,57.06,62.65,1,1130.72,368.21,18.86,19.97,1,31.11,32.41,1,6.75,9.26,1,0.03,0,0.09,0.29,3.41,0.13,0.08,3.28,"A",2021,1262212764.51962
"87","c.gheorghe","Central Diasongo","Green Fleet",18,2002,1.89,30.02,35.54,1,466.18,121.8,16.04,18.25,1,10.1,11.06,1,2.17,2.69,1,0.59,0.31,0.37,1.19,2.78,0.6,0.01,2.76,"A",2021,9187520.1189288
"88","i.koomson","Djipines","Green Fleet",22,1997,10.15,23.51,30.05,1,322.42,74.64,14.93,17.33,1,6.66,8.78,1,0.61,1.06,1,0.11,0.19,0,1.03,0.51,1.22,0.34,2.44,"A",2021,38729080.7122126
"89","l.obote","Dosqaly","Green Fleet",24,1995,16.34,24.54,29.76,1,344.62,69.6,15.1,17.08,1,7.23,8.72,1,0.94,1.18,1,0.16,0.12,0.15,0.95,1.51,0.85,0.08,2.7,"A",2021,120439145.915021
"90","i.abeja","Janmico","Green Fleet",33,1987,15.24,17.56,22.4,1,295.13,41.03,8.77,10.77,1,6.28,7.45,1,1.96,2.44,1,0.12,0.16,0,0.9,0.95,0.88,0.15,1.2,"A",2021,39116789.5576688
"91","j.namatovu","People's Land of Maneau","Green Fleet",16,2004,0.17,59.94,79.92,1,840.04,119.99,40.02,50,1,20.07,19.93,1,0,0.08,0,0,0.08,0,0.01,10.08,0.07,0,0,"A",2021,7400481.91892037
"92","t.ichikawa","People's Land of Maneau","Green Fleet",22,1997,32.48,30.79,38.02,1,488.98,97.91,16.65,19.05,1,10.58,12.5,1,2.58,3.98,1,0.27,0.14,0.18,1.36,0.99,1.75,0.27,2.94,"A",2021,5611108708.07663
"93","z.nabaweesi","People's Land of Maneau","Green Fleet",18,2001,20.16,30.14,36.22,1,494.54,80.61,16.8,18.95,1,10.13,11.62,1,2.44,3.83,1,0.1,0.07,0.05,0.84,1.22,0.9,0.23,2.15,"A",2021,397924197.172023
"94","n.gheorghe","Republic of Denand Landsa","Green Fleet",31,1989,0.02,9.98,9.98,1,69.94,0,10.06,9.92,1,0,0,0,0,0.09,0,0.09,0.06,0,0.09,0,0,0.04,0,"A",2021,1280836.82566323
"95","l.amadu","Xikong","Green Fleet",18,2002,1.69,25.32,31.14,1,395.35,71.24,14.76,16.51,1,6.38,7.66,1,2.97,3.63,1,0.06,0.05,0.03,0.59,2.33,0.03,0,1.24,"A",2021,5978641.26296485
"96","s.avraham","Nganion","Green Fleet",32,1988,5.7,43.39,51.58,1,668.96,145.1,25.77,27.9,1,12.84,15.4,1,3.84,5.88,1,0.38,0.16,0.21,1.36,3.11,0.65,0.14,3.29,"A",2021,5402746.25476273
"97","g.mwebaze","Nganion","Green Fleet",29,1990,25.46,18.1,23.25,1,480.09,288.71,4.81,5,1,7.25,7.58,1,5.67,10.61,1,0.07,0.09,0.09,0.01,0.14,0,0,0.01,"A",2021,415989031.518617
"98","p.kabugo","People's Land of Maneau","Green Fleet",23,1997,12.4,18.88,25.15,1,481.75,270.03,4.74,4.72,1,9.1,9.02,1,4.98,11.1,1,0,0.09,0,0.05,0.25,0,0.07,0,"A",2021,39150239.2131032
"99","c.ji","Greri Landmoslands","Green Fleet",25,1994,34.37,49.41,66.37,1,946.14,271.59,23.54,27.51,1,17.04,21.4,1,7.72,13.75,1,0.36,0.3,0,2.67,5.21,2.88,0.13,6.59,"A",2021,10161553933.6148
"100","q.nabutono","Lefghau","Green Fleet",27,1993,26.61,58.52,66.21,1,1162.12,284.27,21.35,23.6,1,26.7,28.81,1,9.44,11.49,1,0.03,0.03,0,0.82,6.56,0.76,0,5.68,"A",2021,915384081.257848
"101","p.bauri","Ngoque Blicri","Green Fleet",23,1996,23.62,46.71,53.66,1,916.89,241.08,18.08,19.8,1,21.66,23.9,1,6.49,8.67,1,0.02,0.03,0,0.64,4.56,0.3,0.07,4.44,"A",2021,584888003.15211
"102","a.miura","Rosvi","Green Fleet",31,1988,12.28,71.7,79.35,1,1370.11,355.03,28.07,30.2,1,34.03,36.64,1,8.85,10.97,1,0,0.05,0,0.57,6.75,0.83,0.23,6.38,"A",2021,26612507.3296586
"103","u.guerin","Tabhu Striary","Green Fleet",17,2003,0.17,30.07,29.93,1,580.02,249.95,19.95,19.91,1,0.05,0,0,10.04,9.94,1,0.02,0,0,0.08,9.91,0.02,0.08,9.91,"A",2021,5680685.42640151
"104","g.hartmann","Byasier Pujan","Green Fleet",23,1997,5.75,40.47,48.13,1,629.49,130.61,21.7,24.3,1,16.28,17.59,1,1.83,2.92,1,0.15,0.24,0.06,0.49,1.98,0.3,0.21,1.71,"A",2021,12996014.0505175
"105","j.rukundo","Dosqaly","Green Fleet",27,1993,21.03,52.71,63.58,1,1005.17,238.66,23.96,26.81,1,19.59,22.08,1,8,11.8,1,0.15,0.05,0,1.06,5.29,1.52,0.23,5.35,"A",2021,284226539.376208
"106","a.haruna","Dosqaly","Horrible Grizzlies",25,1994,22.47,70.25,76.32,1,1511.43,393.88,19.37,20.29,1,39.05,41.14,1,11.31,14.19,1,0.04,0.02,0,0.13,4.35,0.21,0.07,2.98,"A",2021,348360114.459986
"107","d.svensson","Esia","Horrible Grizzlies",27,1993,18.97,70.57,77.53,1,1473.2,402.65,20.58,21.29,1,39.32,40.89,1,10.15,14.34,1,0,0.04,0,0.1,5.83,0.14,0.07,2.7,"A",2021,144602504.25817
"108","o.khainza","Lefghau","Horrible Grizzlies",35,1984,21.49,81.3,86.91,1,1769.77,552.54,21.81,22.79,1,44.13,45.45,1,14.61,17.9,1,0.06,0,0,0.23,5.21,0.41,0,3.72,"A",2021,100111457.324583
