,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
10,F. Lubowa,Newgan Ruland,FW,Fanatical Outlaws,31,1988,1.22,0.86,2.47,1.57,66.75,2.57,1.71,0.41,0.43,16.46,0.9,-0.05,-0.09,0.68,0.72,0.29,0.13,0.14,A,2020
11,B. De Rosa,People's Land of Maneau,FW,Fanatical Outlaws,22,1996,10.1,0.19,2.38,0.74,29.18,2.31,0.78,0.1,0.19,17.86,-0.07,0.08,-0.03,0.16,0.14,0.1,-0.15,-0.02,A,2020
12,I. Namirimu,Thaijagypt,FW,Fanatical Outlaws,29,1990,19.63,0.47,3.34,1.6,44.81,3.44,1.5,0.21,0.32,13.34,-0.06,0.1,-0.03,0.53,0.61,0.07,-0.09,-0.15,A,2020
13,F. Dauda,Nganion,GK,Fanatical Outlaws,33,1986,7.55,-0.02,0.04,-0.05,,0.0,-0.01,,,,-0.05,-0.09,-0.09,0.02,-0.04,,-0.09,-0.03,A,2020
14,S. Kiconco,Nkasland Cronestan,GK,Fanatical Outlaws,34,1985,23.43,0.02,-0.07,0.02,,-0.1,-0.02,,,,-0.05,-0.09,-0.07,-0.01,-0.01,,0.04,0.07,A,2020
15,R. Namuganza,People's Land of Maneau,GK,Fanatical Outlaws,33,1986,4.73,0.1,-0.09,-0.08,,0.01,-0.07,,,,0.03,0.05,0.07,0.06,-0.09,,-0.07,0.08,A,2020
16,R. Chee,Southslands,GK,Fanatical Outlaws,32,1987,1.93,0.09,0.05,-0.07,,-0.02,0.02,,,,0.04,0.03,0.02,-0.04,0.02,,-0.04,-0.06,A,2020
17,F. Pop,Galamily,MF,Fanatical Outlaws,24,1995,11.53,0.18,1.55,0.57,36.72,1.54,0.63,0.13,0.48,12.08,0.05,0.07,-0.03,0.17,0.17,0.16,0.0,-0.02,A,2020
18,D. Alshehri,People's Land of Maneau,MF,Fanatical Outlaws,32,1987,29.8,0.05,0.4,0.01,21.43,0.45,0.04,0.13,0.32,24.75,0.03,0.11,0.06,0.12,0.07,-0.03,-0.03,-0.07,A,2020
19,I. Iddrisu,People's Land of Maneau,MF,Fanatical Outlaws,20,1999,38.08,-0.02,0.84,0.29,30.05,0.71,0.21,-0.04,0.17,22.63,0.05,0.01,0.04,-0.01,0.08,-0.06,0.02,-0.09,A,2020
20,L. Goodarzi,People's Land of Maneau,MF,Fanatical Outlaws,27,1992,2.49,-0.01,0.05,0.01,,0.05,-0.07,,,,-0.08,0.02,-0.05,0.07,0.03,,-0.05,0.05,A,2020
21,Y. Joseph,People's Land of Maneau,MF,Fanatical Outlaws,21,1998,0.47,0.09,2.53,2.59,100.08,2.71,2.8,-0.1,-0.03,23.95,0.08,0.08,0.06,0.01,-0.07,0.06,-0.05,0.0,A,2020
22,I. Horváth,Western Niasland,MFDF,Fanatical Outlaws,33,1986,1.27,0.06,0.08,0.1,,-0.06,-0.08,,,,-0.07,0.09,-0.03,0.0,-0.05,,-0.1,0.05,A,2020
23,J. Akello,Bernepamar,MFFW,Fanatical Outlaws,29,1989,10.93,0.42,2.39,1.12,46.13,2.27,1.03,0.2,0.42,17.4,0.11,-0.08,0.1,0.18,0.16,0.05,0.31,0.32,A,2020
24,I. Kamukama,Lefghau,MFFW,Fanatical Outlaws,26,1993,16.57,0.16,1.46,0.39,34.88,1.37,0.44,0.11,0.15,16.65,0.04,0.08,0.07,0.24,0.14,0.01,0.0,-0.09,A,2020
25,W. Lew,Nganion,MFFW,Fanatical Outlaws,23,1996,24.11,0.05,1.54,0.58,32.39,1.54,0.57,0.1,0.26,16.78,0.03,-0.09,-0.03,0.09,0.1,0.04,0.04,-0.01,A,2020
26,M. Namukwaya,Ngoque Blicri,MFFW,Fanatical Outlaws,31,1987,16.81,0.26,1.18,0.64,47.57,1.21,0.6,0.18,0.59,16.39,-0.07,0.04,0.09,0.18,0.21,0.11,0.11,0.09,A,2020
27,U. Pichler,Quewenia,MFFW,Fanatical Outlaws,22,1997,1.54,-0.03,1.99,0.01,-0.07,1.87,0.01,0.1,,14.13,-0.05,-0.03,-0.08,0.06,0.08,0.05,-0.13,-0.05,A,2020
28,H. Tourgeman,Rarita,MFFW,Fanatical Outlaws,26,1993,15.32,-0.03,1.55,0.49,30.33,1.59,0.39,0.04,0.07,18.07,0.15,-0.01,0.01,0.18,0.17,0.05,-0.19,-0.17,A,2020
29,R. Petrenko,Lefghau,DF,Fighting Cougars,24,1995,7.41,-0.02,1.02,0.17,28.64,0.96,0.26,0.02,-0.05,18.11,-0.1,0.04,0.09,-0.04,0.02,0.11,-0.01,-0.09,A,2020
30,Z. Salisu,Nganion,DF,Fighting Cougars,28,1991,21.2,-0.09,0.3,0.07,37.5,0.46,0.16,0.07,-0.05,16.63,-0.02,-0.07,0.01,0.08,0.13,0.23,-0.1,-0.05,A,2020
31,D. Ikeda,People's Land of Maneau,DF,Fighting Cougars,27,1991,35.84,0.14,0.87,0.28,33.37,0.9,0.28,0.12,0.22,10.93,0.05,0.02,0.08,0.09,0.02,0.23,-0.07,-0.06,A,2020
32,I. Ludwig,People's Land of Maneau,DF,Fighting Cougars,27,1992,31.95,0.01,0.36,0.1,0.08,0.31,0.08,-0.03,,11.69,-0.09,-0.05,-0.01,0.14,0.06,0.02,-0.03,-0.03,A,2020
33,K. Tóth,People's Land of Maneau,DF,Fighting Cougars,24,1995,29.58,0.16,0.48,0.24,43.77,0.57,0.2,0.27,0.43,13.18,0.07,-0.01,-0.08,0.14,0.03,0.07,0.11,0.15,A,2020
34,U. Ortíz,People's Land of Maneau,DF,Fighting Cougars,18,2000,6.5,-0.04,0.29,-0.09,-0.03,0.34,0.03,-0.09,,24.48,0.04,0.04,0.03,0.02,-0.02,0.1,-0.01,0.05,A,2020
35,O. Ilukol,Sobianitedrucy,DF,Fighting Cougars,30,1989,4.1,-0.04,1.32,0.21,19.96,1.26,0.27,-0.06,0.09,15.11,0.0,0.02,-0.07,0.05,0.16,-0.03,-0.01,-0.03,A,2020
36,D. bin Salleh,Southslands,DF,Fighting Cougars,27,1992,13.89,0.06,0.43,0.08,16.78,0.44,0.13,0.13,1.09,11.49,0.05,0.07,-0.04,0.06,0.07,0.31,-0.11,0.02,A,2020
37,G. Köhler,People's Land of Maneau,DFFW,Fighting Cougars,25,1994,12.67,0.01,1.75,0.55,38.07,1.66,0.64,0.05,-0.02,18.55,0.09,0.01,0.02,0.04,0.21,0.14,-0.15,-0.2,A,2020
38,L. Wafula,Dosqaly,FW,Fighting Cougars,22,1996,30.73,0.37,3.03,1.02,37.88,2.9,1.14,0.05,0.3,14.86,0.01,-0.05,0.08,0.41,0.35,0.04,-0.13,-0.14,A,2020
39,K. Turyahabwe,People's Land of Maneau,FW,Fighting Cougars,35,1983,8.97,0.12,1.84,0.45,23.41,1.95,0.44,-0.01,0.17,13.74,-0.08,0.09,-0.03,0.22,0.31,0.12,-0.15,-0.03,A,2020
40,R. binti Hassan,Southslands,FW,Fighting Cougars,19,2000,14.1,0.2,2.71,0.98,34.12,2.67,0.88,0.02,0.29,15.94,0.01,-0.04,-0.07,0.14,0.28,0.06,-0.08,-0.05,A,2020
41,P. Chew,Esia,FWMF,Fighting Cougars,28,1991,19.94,0.01,1.41,0.47,30.96,1.4,0.47,0.09,0.28,22.15,0.3,0.04,-0.06,0.15,0.13,-0.01,0.09,0.09,A,2020
42,M. Hsieh,Lonnia Haba,FWMF,Fighting Cougars,25,1993,3.47,0.49,3.2,0.61,18.17,3.2,0.54,0.08,1.05,19.47,-0.01,0.09,-0.05,0.06,0.13,-0.02,0.52,0.37,A,2020
43,F. Cho,Southern Ristan,FWMF,Fighting Cougars,24,1994,22.2,0.22,1.85,0.66,30.94,1.9,0.57,0.08,0.31,15.99,0.09,-0.05,-0.02,0.15,0.18,0.06,0.09,-0.08,A,2020
44,Z. Marini,Central Republic of Boekrainego,GK,Fighting Cougars,27,1992,37.99,-0.06,-0.03,-0.01,,0.05,-0.09,,,,0.06,-0.05,-0.08,0.04,0.04,,0.0,0.04,A,2020
45,I. Azulay,Byasier Pujan,MF,Fighting Cougars,27,1991,31.37,-0.02,0.97,0.25,25.79,1.09,0.26,-0.05,0.18,20.23,-0.04,-0.01,0.05,0.03,0.0,0.06,0.08,-0.02,A,2020
46,T. Ansari,People's Land of Maneau,MF,Fighting Cougars,30,1989,28.01,0.02,0.58,0.13,11.18,0.65,0.1,-0.03,0.04,24.8,-0.08,-0.09,-0.08,0.06,-0.07,0.11,0.01,-0.01,A,2020
47,H. Narvaez,Reugha,MF,Fighting Cougars,22,1996,13.93,0.05,1.17,0.42,37.51,1.15,0.42,0.1,0.23,28.08,-0.08,0.07,0.02,0.06,-0.03,0.11,0.04,0.03,A,2020
48,B. Kakooza,Central Namemo Laand,MFDF,Fighting Cougars,31,1988,0.61,-0.07,-0.03,-0.03,,-0.05,0.07,,,,-0.03,0.08,0.05,0.01,-0.07,,-0.07,-0.02,A,2020
49,O. Kia,Western Niasland,MFDF,Fighting Cougars,20,1998,13.12,0.01,0.95,0.18,23.04,0.94,0.25,-0.02,-0.08,16.83,-0.1,-0.08,-0.06,0.11,-0.01,0.09,-0.02,-0.12,A,2020
50,H. Engel,Byasier Pujan,MFFW,Fighting Cougars,25,1993,1.08,-0.06,1.96,0.93,49.91,2.1,1.06,0.08,-0.01,9.7,-0.01,-0.09,-0.05,0.23,0.32,0.18,-0.27,-0.37,A,2020
51,N. Mousa,Cabral Retrea,MFFW,Fighting Cougars,26,1993,0.87,1.23,1.15,1.18,100.06,1.32,1.29,0.92,1.03,6.72,0.01,-0.01,0.03,0.23,0.2,0.23,1.03,1.15,A,2020
52,M. Kamanga,Central Republic of Boekrainego,MFFW,Fighting Cougars,28,1990,23.11,0.16,1.45,0.33,24.12,1.43,0.31,0.14,0.34,19.82,0.04,-0.04,-0.09,0.06,0.04,-0.02,0.02,0.01,A,2020
53,Q. Nabimanya,Imaar Vircoand,MFFW,Fighting Cougars,20,1998,3.99,-0.03,1.74,0.17,14.28,1.87,0.28,0.0,-0.03,22.28,0.16,0.0,0.07,0.01,0.08,0.09,-0.04,-0.13,A,2020
54,D. Daniel,People's Land of Maneau,DF,Great Galactic Gorgons,26,1993,38.1,-0.04,0.29,0.12,38.47,0.43,0.07,0.19,0.36,16.97,0.07,0.02,-0.05,-0.04,0.1,0.16,-0.01,-0.01,A,2020
55,H. Akugizibwe,People's Land of Maneau,DF,Great Galactic Gorgons,25,1994,32.36,0.1,0.4,0.05,12.48,0.5,0.09,-0.03,-0.05,9.13,0.09,-0.07,0.05,0.06,0.08,0.02,0.03,-0.12,A,2020
56,I. Akpan,People's Land of Maneau,DF,Great Galactic Gorgons,36,1982,2.72,-0.06,0.0,0.01,,0.07,0.01,,,,-0.04,0.04,0.09,0.1,0.06,,0.04,-0.01,A,2020
57,T. Awuah,People's Land of Maneau,DF,Great Galactic Gorgons,25,1993,5.68,-0.06,0.04,0.05,,-0.07,0.08,,,,0.09,-0.03,0.09,0.04,-0.06,,-0.03,-0.02,A,2020
58,M. Ludwig,Rarita,DF,Great Galactic Gorgons,31,1988,35.93,-0.1,0.09,0.05,0.03,0.23,0.1,-0.04,,12.3,0.0,-0.05,0.04,0.01,-0.04,0.0,0.03,0.08,A,2020
59,I. Najjemba,Southslands,DF,Great Galactic Gorgons,26,1992,35.38,0.13,0.69,0.17,17.96,0.81,0.15,0.0,0.38,8.88,0.07,0.07,0.05,0.13,0.08,0.08,-0.06,0.03,A,2020
60,X. Nalukenge,Southslands,DF,Great Galactic Gorgons,29,1990,37.19,0.1,0.64,0.07,18.19,0.67,0.01,0.11,0.42,18.25,0.01,-0.1,0.1,0.12,0.0,0.09,-0.05,0.03,A,2020
61,S. Pérez,Byasier Pujan,FW,Great Galactic Gorgons,22,1996,1.26,0.01,0.87,-0.07,0.06,0.89,0.04,0.01,,13.82,-0.1,-0.03,0.01,0.09,-0.01,-0.03,0.06,-0.07,A,2020
62,J. Krajnc,Djipines,FW,Great Galactic Gorgons,27,1992,0.01,0.1,0.0,0.02,,-0.08,0.01,,,,0.07,-0.02,-0.07,0.05,-0.02,,-0.09,-0.06,A,2020
63,G. Elbaz,Dosqaly,FW,Great Galactic Gorgons,23,1996,13.89,0.45,2.53,0.69,25.75,2.62,0.65,0.24,0.61,15.84,0.09,0.01,0.05,0.39,0.41,0.13,0.01,0.06,A,2020
64,Y. Susanti,Ngoque Blicri,FW,Great Galactic Gorgons,23,1996,23.44,0.18,2.02,1.11,49.04,2.08,0.94,0.21,0.21,9.2,0.05,0.06,-0.08,0.37,0.4,0.15,0.02,-0.03,A,2020
65,A. Schmitt,People's Land of Maneau,FW,Great Galactic Gorgons,33,1986,11.8,0.29,1.28,0.45,35.72,1.28,0.33,0.2,0.63,9.53,0.06,-0.03,0.08,0.28,0.17,0.09,-0.03,0.02,A,2020
66,H. Gomani,Southslands,FW,Great Galactic Gorgons,31,1987,20.29,0.09,2.29,1.0,41.26,2.28,0.87,0.04,0.06,14.26,0.0,-0.04,0.04,0.41,0.26,0.19,-0.18,-0.17,A,2020
67,B. Mulyana,People's Land of Maneau,FWMF,Great Galactic Gorgons,34,1985,0.46,0.02,2.53,-0.07,0.0,2.57,-0.07,-0.07,,9.07,0.04,-0.08,0.04,0.75,0.76,0.35,-0.69,-0.75,A,2020
68,Q. Ayerango,Southslands,FWMF,Great Galactic Gorgons,24,1995,7.58,0.21,1.65,0.46,23.06,1.78,0.35,0.02,0.33,13.5,0.09,0.09,0.09,0.23,0.26,0.17,-0.16,-0.24,A,2020
69,K. Smits,People's Land of Maneau,GK,Great Galactic Gorgons,29,1990,1.99,0.02,0.09,-0.1,,0.09,-0.07,,,,-0.07,-0.05,-0.03,-0.06,-0.08,,-0.09,0.03,A,2020
70,P. Kabugo,People's Land of Maneau,GK,Great Galactic Gorgons,22,1997,35.97,0.05,0.11,0.05,-0.09,0.01,-0.01,-0.08,,7.34,-0.04,-0.07,-0.07,0.06,-0.08,0.14,-0.08,-0.07,A,2020
71,D. Kojima,Highhlaands,MF,Great Galactic Gorgons,28,1991,34.3,0.06,0.51,0.09,31.39,0.43,0.17,0.02,-0.06,27.21,0.05,0.08,0.08,0.11,0.09,0.05,0.05,-0.05,A,2020
72,A. Aryemo,Ngoque Blicri,MF,Great Galactic Gorgons,27,1991,28.09,0.15,1.14,0.43,37.5,1.12,0.39,0.14,0.43,19.26,-0.05,-0.02,-0.05,0.22,0.17,0.15,0.06,0.03,A,2020
73,E. Yeong,People's Land of Maneau,MF,Great Galactic Gorgons,27,1992,4.13,0.09,0.74,0.09,0.02,0.77,-0.06,-0.09,,29.34,-0.08,-0.09,-0.03,-0.04,0.12,-0.03,0.0,0.07,A,2020
74,G. Gustafsson,People's Land of Maneau,MF,Great Galactic Gorgons,25,1994,27.34,0.08,1.65,0.38,25.01,1.61,0.39,0.07,0.39,16.83,0.08,0.09,-0.01,0.15,0.14,0.03,-0.09,0.06,A,2020
75,R. Hamed,People's Land of Maneau,MF,Great Galactic Gorgons,28,1991,0.23,0.04,-0.02,-0.03,,-0.01,0.07,,,,0.04,0.06,0.08,-0.1,-0.04,,-0.07,0.05,A,2020
76,H. Susanto,Redohrainbri,MF,Great Galactic Gorgons,21,1998,10.43,0.05,0.55,0.29,39.94,0.43,0.26,0.25,0.44,13.04,0.03,0.04,0.02,0.0,0.1,0.01,0.13,0.11,A,2020
77,G. Lukyamuzi,Thaijagypt,MF,Great Galactic Gorgons,26,1993,0.16,0.0,10.02,-0.06,-0.07,6.99,-0.09,0.03,,19.02,-0.06,0.01,0.09,0.07,0.04,0.04,0.02,-0.06,A,2020
78,O. Mugide,Unicorporated Tiagascar,MF,Great Galactic Gorgons,26,1992,2.75,-0.09,1.47,0.75,49.96,1.37,0.65,0.05,0.0,21.42,-0.05,-0.07,-0.09,-0.06,0.06,-0.03,-0.02,-0.11,A,2020
79,F. Nakazibwe,People's Land of Maneau,MFDF,Great Galactic Gorgons,24,1994,6.52,0.03,0.49,0.23,33.31,0.46,0.18,-0.01,-0.1,12.24,-0.07,-0.07,0.08,0.06,0.12,0.12,-0.12,0.04,A,2020
80,Z. Okon,Byasier Pujan,DF,Green Fleet,21,1998,1.46,0.05,0.57,0.09,0.03,0.59,0.0,-0.07,,9.97,-0.05,0.06,0.01,0.05,0.09,0.06,-0.07,-0.07,A,2020
81,G. Nimusiima,Central Diasongo,DF,Green Fleet,25,1994,1.73,-0.1,0.07,0.0,,-0.09,-0.07,,,,-0.07,0.04,-0.01,-0.09,-0.03,,0.01,-0.03,A,2020
82,C. Ahmad,Imaar Vircoand,DF,Green Fleet,29,1990,1.36,0.09,0.8,0.03,-0.09,0.72,0.09,0.06,,5.2,-0.05,0.06,-0.09,0.07,0.06,0.21,0.0,-0.12,A,2020
83,C. Muyama,People's Land of Maneau,DF,Green Fleet,24,1995,19.35,0.03,0.48,0.19,50.0,0.51,0.34,-0.01,0.07,18.6,0.0,0.01,-0.01,0.05,0.08,0.08,0.01,-0.08,A,2020
84,G. Hernández,People's Land of Maneau,DF,Green Fleet,21,1997,34.09,-0.02,0.3,-0.02,11.1,0.2,0.06,-0.06,-0.01,17.36,0.09,0.02,0.03,-0.01,0.1,0.14,0.05,0.0,A,2020
85,I. Donati,People's Land of Maneau,DF,Green Fleet,27,1992,1.47,0.06,1.38,0.75,49.96,1.33,0.65,-0.07,-0.07,9.99,0.08,-0.04,-0.03,0.19,0.05,0.15,-0.05,-0.04,A,2020
86,L. Mugumya,People's Land of Maneau,DF,Green Fleet,21,1997,2.19,0.07,-0.08,-0.08,,0.08,0.06,,,,0.05,-0.01,-0.09,-0.05,-0.02,,0.03,-0.05,A,2020
87,R. Ishii,People's Land of Maneau,DF,Green Fleet,34,1985,10.67,-0.1,0.29,-0.04,0.03,0.29,-0.09,-0.04,,20.82,0.06,-0.04,0.09,-0.03,0.09,-0.05,0.07,0.09,A,2020
88,U. Wright,People's Land of Maneau,DF,Green Fleet,26,1993,37.99,0.03,0.74,0.12,24.93,0.85,0.29,-0.01,0.15,11.69,0.1,0.01,-0.07,0.09,0.1,0.07,-0.03,-0.04,A,2020
89,Z. Agyei,People's Land of Maneau,DF,Green Fleet,18,2000,11.12,0.16,0.48,0.17,33.39,0.59,0.21,0.09,0.59,13.06,-0.04,0.09,0.01,0.01,0.05,0.06,-0.05,0.03,A,2020
90,Q. Sarfo,Xikong,DF,Green Fleet,25,1994,34.48,0.11,0.15,0.07,16.67,0.19,0.06,0.24,1.04,10.77,-0.09,0.07,0.02,-0.07,-0.01,0.09,-0.06,0.09,A,2020
91,K. Nalwanga,Rarita,DFMF,Green Fleet,20,1999,0.78,-0.03,1.37,0.07,0.01,1.34,-0.04,0.08,,6.96,0.09,-0.09,0.0,0.38,0.33,0.27,-0.29,-0.31,A,2020
92,I. Koomson,Djipines,FW,Green Fleet,21,1997,25.5,0.03,1.59,0.83,45.14,1.61,0.79,0.04,0.18,16.76,0.05,-0.08,0.08,0.05,0.07,0.15,0.07,0.02,A,2020
93,L. Obote,Dosqaly,FW,Green Fleet,23,1995,29.29,0.53,2.67,1.23,48.03,2.74,1.27,0.24,0.39,16.05,-0.06,0.06,0.08,0.47,0.39,0.16,0.26,0.29,A,2020
94,T. Ichikawa,People's Land of Maneau,FW,Green Fleet,21,1997,29.4,0.67,2.78,1.27,45.19,2.9,1.31,0.08,0.24,19.58,0.64,0.23,0.26,0.62,0.39,0.14,-0.03,-0.08,A,2020
95,Z. Nabaweesi,People's Land of Maneau,FW,Green Fleet,17,2001,14.63,0.72,2.54,1.26,52.62,2.51,1.46,0.26,0.45,16.43,-0.07,-0.01,-0.03,0.25,0.28,0.02,0.47,0.38,A,2020
96,N. Gheorghe,Republic of Denand Landsa,FW,Green Fleet,30,1989,1.02,-0.01,6.43,2.77,42.81,6.31,2.57,0.01,0.08,11.23,0.09,0.07,-0.03,1.4,1.45,0.22,-1.34,-1.39,A,2020
97,Q. Scott,Byasier Pujan,FWDF,Green Fleet,19,1999,0.47,-0.05,2.55,0.07,-0.07,2.45,-0.04,-0.02,,12.85,0.09,0.07,0.06,0.25,0.25,0.05,-0.34,-0.27,A,2020
98,G. Mwebaze,Nganion,GK,Green Fleet,28,1990,37.95,0.02,-0.09,0.02,,-0.04,-0.01,,,,0.07,0.06,-0.08,0.02,-0.02,,0.09,-0.05,A,2020
99,J. Rukundo,Dosqaly,MF,Green Fleet,26,1993,13.43,0.07,1.61,0.55,33.33,1.48,0.6,0.03,0.12,21.25,0.06,-0.04,0.01,0.2,0.19,0.15,0.02,0.06,A,2020
100,C. Ji,Greri Landmoslands,MF,Green Fleet,24,1994,13.28,0.53,3.02,1.09,34.95,3.02,1.05,0.19,0.29,24.1,0.51,0.29,0.27,0.53,0.18,0.15,0.13,0.1,A,2020
101,Q. Nabutono,Lefghau,MF,Green Fleet,26,1993,23.95,-0.09,1.62,0.44,24.95,1.59,0.49,0.05,-0.05,22.86,0.06,-0.02,-0.08,0.05,0.16,0.02,-0.09,0.01,A,2020
102,P. Bauri,Ngoque Blicri,MF,Green Fleet,22,1996,19.72,0.14,1.59,0.51,33.25,1.48,0.48,0.08,0.37,19.78,0.04,0.03,0.08,0.16,0.08,0.12,0.21,0.05,A,2020
103,H. Kamugisha,People's Land of Maneau,MF,Green Fleet,18,2001,0.17,-0.05,0.03,0.04,,0.09,0.03,,,,0.04,-0.1,0.01,-0.09,0.1,,0.02,0.04,A,2020
104,U. García,People's Land of Maneau,MF,Green Fleet,18,2000,0.18,0.03,0.01,-0.1,,-0.07,0.1,,,,0.09,-0.05,-0.06,0.05,-0.06,,-0.03,0.02,A,2020
105,A. Miura,Rosvi,MF,Green Fleet,30,1988,17.65,-0.08,0.37,0.14,28.57,0.43,0.03,0.0,-0.06,25.22,-0.01,-0.08,-0.04,0.04,-0.05,-0.03,0.06,-0.04,A,2020
106,S. Avraham,Nganion,MFFW,Green Fleet,31,1988,8.41,-0.05,1.01,0.06,11.03,1.04,0.06,-0.04,-0.05,17.83,0.2,0.03,-0.08,0.19,0.07,0.11,-0.06,-0.12,A,2020
107,E. Taylor,People's Land of Maneau,MFFW,Green Fleet,26,1992,10.35,0.16,2.16,0.67,27.39,2.1,0.68,-0.05,0.18,17.84,-0.09,-0.06,-0.04,0.33,0.3,0.21,-0.25,-0.07,A,2020
108,Y. Torres,Rarita,MFFW,Green Fleet,23,1996,16.6,-0.03,2.25,0.81,37.83,2.18,0.77,0.11,0.12,22.33,0.17,-0.02,-0.03,0.21,0.05,0.03,-0.13,-0.05,A,2020
109,A. Haruna,Dosqaly,DF,Horrible Grizzlies,24,1994,25.99,-0.08,0.63,0.25,33.32,0.59,0.29,0.01,0.05,11.03,-0.06,0.05,-0.08,0.12,0.08,0.0,-0.01,-0.05,A,2020
110,D. Svensson,Esia,DF,Horrible Grizzlies,26,1993,19.0,0.14,0.49,0.17,27.29,0.64,0.17,0.21,0.67,13.84,0.09,0.08,0.09,-0.03,0.0,-0.03,0.07,-0.01,A,2020
111,Y. Eyotaru,Mico,DF,Horrible Grizzlies,23,1996,19.53,-0.06,0.26,0.01,28.65,0.33,0.03,0.09,0.0,11.16,0.0,-0.08,0.07,0.02,0.01,0.1,0.02,-0.05,A,2020
112,D. Martini,Nganion,DF,Horrible Grizzlies,28,1990,15.92,0.34,1.94,0.49,26.68,1.98,0.56,0.18,0.45,16.94,0.11,0.08,-0.05,0.16,0.09,0.11,0.1,0.09,A,2020
113,S. Namugere,Nganion,DF,Horrible Grizzlies,29,1989,35.92,0.03,0.88,0.17,20.65,0.72,0.21,0.09,0.31,13.12,0.08,0.01,0.08,0.05,0.1,0.1,-0.1,-0.03,A,2020
114,T. Nouri,People's Land of Maneau,DF,Horrible Grizzlies,21,1997,14.29,-0.02,0.5,0.15,42.9,0.41,0.31,0.11,0.41,13.6,0.03,0.04,0.03,0.12,0.07,0.18,0.13,0.07,A,2020
115,U. Ortíz,People's Land of Maneau,DF,Horrible Grizzlies,18,2000,0.32,0.08,0.04,-0.08,,-0.03,-0.04,,,,-0.08,0.09,-0.08,-0.04,0.04,,-0.1,0.09,A,2020
116,V. Thompson,People's Land of Maneau,DF,Horrible Grizzlies,19,1999,16.86,0.0,1.02,0.12,16.75,1.06,0.24,-0.07,-0.08,20.11,0.06,0.09,-0.03,0.13,0.06,0.09,0.02,-0.11,A,2020
117,V. bin Ali,Sobianitedrucy,DF,Horrible Grizzlies,24,1994,11.46,0.04,1.17,0.69,53.8,1.23,0.64,-0.08,-0.07,19.94,0.03,-0.09,-0.03,0.1,0.14,0.15,-0.08,-0.07,A,2020
118,S. Mlakar,Dosqaly,FW,Horrible Grizzlies,32,1986,11.05,0.66,3.65,1.81,48.64,3.62,1.66,0.29,0.5,10.97,0.02,-0.05,0.07,0.7,0.57,0.25,0.16,0.03,A,2020
