,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,League,Year
13,F. Dauda,Nganion,GK,Fanatical Outlaws,33,1986,7.61,0.08,0.06,-0.06,0.03,-0.06,0.08,0.06,,0.08,0.0,-0.01,,0.07,-0.09,0.08,0.1,0.06,0.08,-0.08,0.08,0.04,0.08,-0.09,A,2020
14,S. Kiconco,Nkasland Cronestan,GK,Fanatical Outlaws,34,1985,23.51,-0.08,0.09,-0.01,-0.09,0.0,0.07,0.06,0.0,0.12,0.46,0.17,19.99,0.44,-0.01,-0.09,-0.04,0.0,0.05,-0.08,-0.09,-0.02,0.19,0.1,A,2020
15,R. Namuganza,People's Land of Maneau,GK,Fanatical Outlaws,33,1986,4.89,-0.01,0.07,-0.1,0.02,-0.09,-0.01,-0.04,,-0.03,0.17,0.26,100.01,0.21,-0.06,-0.06,0.16,0.08,0.02,0.25,-0.03,-0.04,0.08,0.19,A,2020
16,R. Chee,Southslands,GK,Fanatical Outlaws,32,1987,2.01,0.03,-0.03,-0.08,-0.1,-0.09,0.02,0.03,,-0.02,-0.06,0.02,,0.08,-0.01,0.06,0.06,-0.01,0.04,0.1,0.05,0.0,-0.09,0.09,A,2020
17,F. Pop,Galamily,MF,Fanatical Outlaws,24,1995,11.6,3.02,2.11,1.24,1.53,0.29,0.36,1.7,26.2,1.3,20.72,6.65,32.05,8.26,8.83,3.59,1.31,0.2,-0.05,1.03,1.38,4.25,3.26,-0.07,A,2020
18,D. Alshehri,People's Land of Maneau,MF,Fanatical Outlaws,32,1987,29.66,1.75,1.18,0.64,0.75,0.26,0.57,2.29,23.28,1.7,16.99,4.66,27.04,5.4,8.63,2.87,0.95,0.22,0.02,0.75,0.6,2.41,0.39,-0.09,A,2020
19,I. Iddrisu,People's Land of Maneau,MF,Fanatical Outlaws,20,1999,38.06,3.17,2.44,1.72,1.31,0.05,0.82,2.56,33.77,1.61,21.66,6.22,28.93,10.18,10.09,1.21,1.71,0.31,-0.09,1.62,1.31,4.46,1.59,0.01,A,2020
20,L. Goodarzi,People's Land of Maneau,MF,Fanatical Outlaws,27,1992,2.48,0.46,0.08,0.07,0.41,0.04,0.52,2.48,16.61,2.01,26.32,8.75,33.21,6.24,14.23,5.8,2.45,-0.09,0.08,2.52,-0.03,0.33,0.42,0.01,A,2020
21,Y. Joseph,People's Land of Maneau,MF,Fanatical Outlaws,21,1998,0.46,2.45,0.04,2.41,0.03,0.05,0.09,0.03,,0.0,32.45,10.0,30.74,12.56,10.05,10.07,2.45,-0.02,0.09,2.51,0.01,2.53,-0.03,0.03,A,2020
22,I. Horváth,Western Niasland,MFDF,Fanatical Outlaws,33,1986,1.26,1.52,0.73,0.01,1.47,0.0,0.8,0.85,99.93,-0.01,19.99,4.56,23.04,4.56,13.71,1.5,1.53,0.04,0.0,1.52,1.56,3.13,3.89,0.03,A,2020
23,J. Akello,Bernepamar,MFFW,Fanatical Outlaws,29,1989,11.08,1.45,0.83,0.66,0.66,0.18,0.4,1.96,23.83,1.36,15.27,4.12,27.43,3.79,6.98,4.49,0.69,0.06,0.06,0.62,0.33,1.58,0.6,0.05,A,2020
24,I. Kamukama,Lefghau,MFFW,Fanatical Outlaws,26,1993,16.64,2.74,1.9,1.23,1.02,0.43,0.65,2.79,22.81,2.31,22.35,6.18,28.17,5.63,11.34,5.33,1.33,0.02,-0.01,1.21,0.85,3.46,0.79,-0.05,A,2020
25,W. Lew,Nganion,MFFW,Fanatical Outlaws,23,1996,24.11,1.82,1.11,0.61,0.68,0.36,0.73,2.85,22.98,2.28,24.81,6.39,26.15,6.36,11.39,7.01,2.17,0.03,-0.03,2.14,0.65,2.44,0.43,-0.06,A,2020
26,M. Namukwaya,Ngoque Blicri,MFFW,Fanatical Outlaws,31,1987,16.71,1.7,0.57,1.05,0.53,-0.04,0.61,2.31,25.09,1.73,21.83,5.32,24.57,6.93,11.04,3.78,1.27,0.22,-0.06,1.13,0.1,1.58,0.99,-0.09,A,2020
27,U. Pichler,Quewenia,MFFW,Fanatical Outlaws,22,1997,1.42,0.6,0.03,0.1,0.02,0.69,0.07,-0.01,,0.03,14.02,0.7,4.89,2.01,4.04,8.02,0.01,-0.06,-0.04,-0.08,0.64,1.23,0.05,0.04,A,2020
28,H. Tourgeman,Rarita,MFFW,Fanatical Outlaws,26,1993,15.39,0.65,0.65,0.48,0.23,0.14,0.39,2.39,13.58,1.99,22.49,4.97,22.1,4.94,12.87,4.49,0.7,0.14,0.09,0.75,0.62,1.22,0.31,-0.05,A,2020
29,R. Petrenko,Lefghau,DF,Fighting Cougars,24,1995,7.5,3.69,2.19,1.84,0.72,1.19,1.68,2.51,63.21,0.94,17.29,5.9,34.04,7.44,6.31,3.23,2.07,0.31,0.07,1.79,0.58,4.38,3.28,0.03,A,2020
30,Z. Salisu,Nganion,DF,Fighting Cougars,28,1991,21.16,2.38,1.43,1.38,0.61,0.22,1.03,2.47,43.98,1.4,17.84,4.31,24.59,7.77,7.57,2.52,1.97,0.32,0.07,1.74,0.79,3.07,2.67,0.1,A,2020
31,D. Ikeda,People's Land of Maneau,DF,Fighting Cougars,27,1991,35.98,1.15,0.72,0.8,0.34,-0.06,0.26,1.16,31.76,0.77,6.94,2.94,43.05,4.63,2.09,0.24,2.07,0.94,0.05,0.96,1.07,2.12,4.47,0.11,A,2020
32,I. Ludwig,People's Land of Maneau,DF,Fighting Cougars,27,1992,31.92,1.9,1.21,1.02,0.65,0.18,0.83,1.83,42.86,1.0,14.47,5.12,35.38,7.85,4.95,1.65,2.02,0.68,-0.09,1.42,0.77,2.68,4.72,0.05,A,2020
33,K. Tóth,People's Land of Maneau,DF,Fighting Cougars,24,1995,29.59,1.23,0.92,0.76,0.38,0.05,0.56,1.14,44.35,0.66,7.59,2.83,38.69,4.94,2.17,0.31,2.19,1.0,-0.08,1.11,1.17,2.31,6.12,0.09,A,2020
34,U. Ortíz,People's Land of Maneau,DF,Fighting Cougars,18,2000,6.43,1.29,0.42,1.19,0.12,0.0,0.01,1.47,-0.08,1.29,14.06,2.71,18.71,5.99,4.97,3.07,1.98,0.14,-0.07,1.94,1.43,2.77,2.39,0.06,A,2020
35,O. Ilukol,Sobianitedrucy,DF,Fighting Cougars,30,1989,4.05,1.45,1.34,1.04,0.18,0.17,0.0,1.33,0.05,1.22,11.89,3.56,29.86,6.41,3.49,1.68,1.79,-0.09,-0.03,1.68,0.76,2.25,4.17,0.1,A,2020
36,D. bin Salleh,Southslands,DF,Fighting Cougars,27,1992,13.8,1.2,0.65,0.71,0.3,0.06,0.27,1.37,22.14,1.06,7.17,2.41,34.05,5.05,2.03,0.23,1.43,0.59,0.03,0.91,0.88,2.15,8.39,0.01,A,2020
37,G. Köhler,People's Land of Maneau,DFFW,Fighting Cougars,25,1994,12.78,2.09,1.43,1.2,0.67,0.2,0.76,1.66,42.88,1.01,12.4,3.48,27.83,4.27,4.58,3.65,1.69,0.14,0.0,1.49,0.86,2.97,1.48,0.17,A,2020
38,L. Wafula,Dosqaly,FW,Fighting Cougars,22,1996,30.76,0.87,0.53,0.21,0.47,0.21,0.17,1.18,22.23,0.89,22.99,6.07,26.23,2.24,9.16,11.5,1.04,0.05,0.0,0.86,0.15,1.0,0.26,0.04,A,2020
39,K. Turyahabwe,People's Land of Maneau,FW,Fighting Cougars,35,1983,8.81,0.43,0.32,0.06,0.44,-0.09,0.02,0.59,-0.04,0.74,16.26,3.89,24.28,1.1,8.28,6.8,0.74,0.12,-0.1,0.64,-0.01,0.43,1.07,0.04,A,2020
40,R. binti Hassan,Southslands,FW,Fighting Cougars,19,2000,13.93,0.81,0.5,0.16,0.34,0.49,0.21,0.8,25.05,0.69,16.68,4.91,29.57,0.96,6.67,9.04,0.63,0.14,-0.05,0.48,0.39,1.25,0.06,0.04,A,2020
41,P. Chew,Esia,FWMF,Fighting Cougars,28,1991,19.91,1.75,0.97,0.35,1.03,0.45,0.43,1.57,25.01,1.19,19.83,5.12,26.12,4.0,9.71,5.98,1.26,0.02,-0.07,1.3,0.44,2.05,0.52,0.08,A,2020
42,M. Hsieh,Lonnia Haba,FWMF,Fighting Cougars,25,1993,3.46,1.96,0.84,0.63,0.54,0.91,0.82,1.62,50.07,0.83,14.69,5.8,39.24,4.33,4.58,5.75,1.38,0.03,0.08,1.52,0.09,1.97,1.2,0.0,A,2020
43,F. Cho,Southern Ristan,FWMF,Fighting Cougars,24,1994,22.34,1.19,0.72,0.66,0.46,0.13,0.46,1.76,23.07,1.37,16.67,4.48,26.76,3.3,7.62,5.97,1.28,0.1,-0.08,1.29,0.49,1.73,0.14,-0.09,A,2020
44,Z. Marini,Central Republic of Boekrainego,GK,Fighting Cougars,27,1992,37.97,-0.02,0.08,-0.03,-0.05,-0.01,-0.04,0.11,0.0,0.18,0.36,0.15,40.01,0.25,0.0,-0.01,-0.07,-0.02,0.01,0.01,0.1,0.06,0.0,0.08,A,2020
45,I. Azulay,Byasier Pujan,MF,Fighting Cougars,27,1991,31.4,1.9,1.27,0.97,0.63,0.13,0.74,2.16,32.48,1.55,15.33,4.64,29.89,6.28,7.44,1.74,1.23,0.38,-0.03,0.99,0.92,2.9,1.31,0.11,A,2020
46,T. Ansari,People's Land of Maneau,MF,Fighting Cougars,30,1989,28.01,2.69,1.49,1.25,1.19,0.33,0.66,2.49,29.67,1.82,16.44,5.26,32.22,7.37,7.94,1.2,1.49,0.49,0.05,1.14,1.42,3.99,1.7,0.1,A,2020
47,H. Narvaez,Reugha,MF,Fighting Cougars,22,1996,13.94,4.21,2.55,2.42,1.36,0.3,1.21,2.8,47.34,1.35,21.91,6.39,29.19,8.92,10.23,2.69,1.99,0.36,-0.06,1.64,1.05,5.25,1.52,-0.1,A,2020
48,B. Kakooza,Central Namemo Laand,MFDF,Fighting Cougars,31,1988,0.7,0.09,0.09,-0.02,0.07,0.08,-0.1,-0.08,,0.03,17.08,10.02,58.32,8.5,5.72,2.82,2.91,1.34,-0.03,1.35,0.1,0.05,-0.02,-0.06,A,2020
49,O. Kia,Western Niasland,MFDF,Fighting Cougars,20,1998,13.18,2.09,1.78,1.74,0.13,0.08,0.76,1.61,45.52,0.92,17.75,5.88,32.72,7.44,7.14,3.17,2.04,0.24,-0.05,1.77,0.71,2.93,0.98,-0.05,A,2020
50,H. Engel,Byasier Pujan,MFFW,Fighting Cougars,25,1993,0.94,0.95,0.99,0.04,1.09,0.05,0.04,-0.09,,-0.06,12.03,5.99,49.92,-0.02,5.96,5.91,0.08,-0.06,-0.05,0.1,0.1,1.0,0.05,0.0,A,2020
51,N. Mousa,Cabral Retrea,MFFW,Fighting Cougars,26,1993,0.88,2.59,2.48,0.04,1.3,1.17,0.07,-0.03,,0.02,8.77,1.19,14.26,1.29,3.65,3.78,1.16,1.28,0.04,-0.01,0.04,2.42,1.18,0.09,A,2020
52,M. Kamanga,Central Republic of Boekrainego,MFFW,Fighting Cougars,28,1990,23.11,1.76,1.26,0.57,0.8,0.5,0.26,1.96,17.84,1.64,18.2,5.43,29.66,4.84,8.55,4.83,2.12,0.34,0.08,1.74,0.8,2.61,1.33,-0.02,A,2020
53,Q. Nabimanya,Imaar Vircoand,MFFW,Fighting Cougars,20,1998,3.82,2.27,1.04,1.01,0.87,0.44,1.0,2.39,44.32,1.36,26.95,6.43,23.8,7.01,13.15,6.93,3.57,0.35,-0.08,3.41,0.43,2.77,0.19,0.03,A,2020
54,D. Daniel,People's Land of Maneau,DF,Great Galactic Gorgons,26,1993,38.05,1.9,1.18,1.11,0.53,0.37,0.66,1.3,49.95,0.63,14.86,4.23,27.92,6.48,5.45,2.95,1.56,0.08,-0.08,1.44,0.84,2.65,2.38,0.01,A,2020
55,H. Akugizibwe,People's Land of Maneau,DF,Great Galactic Gorgons,25,1994,32.32,1.15,0.59,0.7,0.25,0.13,0.49,0.96,48.24,0.51,8.26,2.9,34.23,4.79,2.7,0.69,2.3,0.7,-0.05,1.58,1.18,2.11,6.61,0.01,A,2020
56,I. Akpan,People's Land of Maneau,DF,Great Galactic Gorgons,36,1982,2.77,2.16,1.45,1.45,0.81,-0.06,0.32,2.22,16.73,1.81,9.58,3.41,34.5,7.08,2.66,0.09,3.26,1.84,-0.03,1.43,0.76,2.89,10.08,0.09,A,2020
57,T. Awuah,People's Land of Maneau,DF,Great Galactic Gorgons,25,1993,5.66,1.62,0.46,0.88,0.72,-0.02,0.92,1.7,50.08,0.81,9.92,2.81,29.11,5.97,3.49,0.42,2.62,0.84,0.06,1.86,0.27,1.96,6.95,0.02,A,2020
58,M. Ludwig,Rarita,DF,Great Galactic Gorgons,31,1988,36.08,2.33,1.31,1.64,0.58,0.02,0.97,2.26,40.41,1.25,11.5,3.73,32.38,7.16,3.31,0.87,1.49,0.52,0.11,0.97,1.07,3.47,7.34,0.04,A,2020
59,I. Najjemba,Southslands,DF,Great Galactic Gorgons,26,1992,35.41,1.23,0.73,0.93,0.3,-0.06,0.5,1.23,46.73,0.69,8.46,2.77,34.02,5.87,2.17,0.28,2.02,0.87,0.08,1.16,0.71,2.03,7.53,0.2,A,2020
60,X. Nalukenge,Southslands,DF,Great Galactic Gorgons,29,1990,37.27,2.06,1.14,1.15,0.59,0.22,0.63,2.07,32.43,1.32,16.22,4.31,26.6,7.53,5.97,2.8,2.04,0.25,0.06,1.87,0.58,2.75,2.34,0.01,A,2020
61,S. Pérez,Byasier Pujan,FW,Great Galactic Gorgons,22,1996,1.1,1.75,1.73,0.09,1.72,-0.01,0.0,0.74,0.04,0.74,32.41,10.81,33.22,1.7,14.23,16.77,0.79,0.07,-0.05,0.78,-0.08,1.59,0.0,-0.1,A,2020
62,J. Krajnc,Djipines,FW,Great Galactic Gorgons,27,1992,0.17,0.03,0.04,-0.06,-0.02,0.08,-0.05,0.09,,0.03,20.0,-0.02,0.02,-0.06,9.93,10.04,-0.04,0.03,0.07,0.05,0.02,-0.01,0.05,-0.08,A,2020
63,G. Elbaz,Dosqaly,FW,Great Galactic Gorgons,23,1996,13.75,0.74,0.25,0.07,0.26,0.3,0.17,0.44,28.62,0.45,21.38,5.96,28.05,0.89,8.73,11.9,0.75,0.19,-0.01,0.51,0.33,1.09,0.15,0.04,A,2020
64,Y. Susanti,Ngoque Blicri,FW,Great Galactic Gorgons,23,1996,23.57,1.52,0.8,0.31,0.94,0.22,0.37,1.7,17.82,1.36,26.27,6.39,24.16,2.37,12.41,11.22,1.33,0.03,-0.05,1.23,0.29,1.7,1.92,0.02,A,2020
65,A. Schmitt,People's Land of Maneau,FW,Great Galactic Gorgons,33,1986,11.73,0.83,0.39,0.28,0.19,0.35,0.14,0.41,25.1,0.19,18.53,4.75,25.23,1.41,7.79,9.36,0.42,0.02,0.09,0.32,0.01,0.76,0.13,-0.05,A,2020
66,H. Gomani,Southslands,FW,Great Galactic Gorgons,31,1987,20.11,2.05,1.31,0.53,1.12,0.4,0.22,0.86,29.36,0.63,22.65,5.77,25.71,2.39,11.7,8.45,0.92,0.17,-0.01,0.9,0.07,2.23,1.16,0.09,A,2020
67,B. Mulyana,People's Land of Maneau,FWMF,Great Galactic Gorgons,34,1985,0.41,-0.03,0.08,-0.03,-0.05,0.0,-0.05,-0.02,,0.06,42.53,12.58,29.35,4.96,17.47,19.93,-0.07,-0.02,0.02,-0.09,-0.07,0.03,5.08,0.02,A,2020
68,Q. Ayerango,Southslands,FWMF,Great Galactic Gorgons,24,1995,7.55,0.57,0.48,0.17,0.14,0.21,0.22,0.56,24.92,0.37,23.71,6.62,28.1,3.8,10.77,9.11,0.58,-0.09,-0.05,0.52,0.34,0.94,0.22,0.03,A,2020
69,K. Smits,People's Land of Maneau,GK,Great Galactic Gorgons,29,1990,1.99,-0.06,-0.09,-0.09,0.1,0.03,0.0,0.4,0.03,0.48,1.56,0.09,-0.09,1.51,0.05,0.09,0.04,-0.09,0.0,0.04,-0.05,-0.01,0.03,-0.09,A,2020
70,P. Kabugo,People's Land of Maneau,GK,Great Galactic Gorgons,22,1997,35.97,-0.02,0.09,-0.05,-0.06,0.01,0.1,-0.05,,0.02,-0.05,-0.03,-0.02,0.12,-0.07,0.06,0.07,0.03,0.1,-0.03,-0.08,-0.02,0.06,0.02,A,2020
71,D. Kojima,Highhlaands,MF,Great Galactic Gorgons,28,1991,34.35,2.13,1.24,1.24,0.78,0.15,0.59,2.58,25.23,1.96,17.08,4.71,27.63,7.82,7.32,1.8,1.26,0.29,0.1,0.88,0.78,3.05,1.82,0.06,A,2020
72,A. Aryemo,Ngoque Blicri,MF,Great Galactic Gorgons,27,1991,27.93,1.45,0.92,0.56,0.49,0.31,0.7,2.65,24.37,2.07,19.79,5.26,26.56,5.48,10.4,4.05,1.5,0.14,0.07,1.55,0.63,1.97,0.88,0.01,A,2020
73,E. Yeong,People's Land of Maneau,MF,Great Galactic Gorgons,27,1992,4.05,1.24,1.05,0.17,0.81,0.15,0.47,2.25,22.21,1.75,23.48,5.79,24.91,7.89,10.08,5.6,2.19,0.08,-0.03,2.17,1.74,2.91,1.55,-0.01,A,2020
74,G. Gustafsson,People's Land of Maneau,MF,Great Galactic Gorgons,25,1994,27.31,1.84,1.12,0.91,0.58,0.34,0.74,2.56,27.92,1.8,22.1,6.26,28.46,6.39,11.16,4.73,1.01,0.16,-0.07,0.89,0.76,2.58,1.94,0.0,A,2020
75,R. Hamed,People's Land of Maneau,MF,Great Galactic Gorgons,28,1991,0.18,-0.01,0.06,-0.04,0.02,0.06,0.04,-0.05,,0.06,5.02,-0.06,0.06,5.02,-0.03,-0.08,-0.07,0.0,-0.06,0.05,-0.04,-0.1,5.08,-0.06,A,2020
76,H. Susanto,Redohrainbri,MF,Great Galactic Gorgons,21,1998,10.54,2.4,1.68,0.42,1.33,0.58,0.64,1.52,39.9,0.91,23.64,6.16,25.76,5.23,12.56,6.19,2.58,0.02,0.03,2.64,0.35,2.66,1.46,0.08,A,2020
77,G. Lukyamuzi,Thaijagypt,MF,Great Galactic Gorgons,26,1993,0.13,-0.03,-0.03,0.02,0.0,-0.07,-0.01,0.07,,0.03,29.94,10.04,33.25,0.07,9.97,19.9,0.06,-0.04,0.08,-0.06,0.04,-0.09,0.07,-0.09,A,2020
78,O. Mugide,Unicorporated Tiagascar,MF,Great Galactic Gorgons,26,1992,2.84,3.28,2.13,2.09,1.12,0.08,0.8,2.15,33.26,1.46,25.46,6.12,23.97,10.37,11.81,3.15,1.44,-0.01,-0.08,1.51,0.68,4.03,1.75,-0.03,A,2020
79,F. Nakazibwe,People's Land of Maneau,MFDF,Great Galactic Gorgons,24,1994,6.65,2.75,1.58,2.09,0.44,0.2,0.52,2.33,26.77,1.61,24.73,6.04,24.43,8.84,10.59,5.39,2.64,0.21,0.1,2.41,0.45,3.18,1.55,0.01,A,2020
80,Z. Okon,Byasier Pujan,DF,Green Fleet,21,1998,1.49,0.71,0.65,0.59,0.04,-0.03,0.76,2.69,25.05,1.95,12.65,3.29,26.34,6.03,6.09,0.59,-0.08,0.08,0.02,0.05,2.63,3.32,1.41,0.09,A,2020
81,G. Nimusiima,Central Diasongo,DF,Green Fleet,25,1994,1.72,0.02,0.08,0.08,-0.02,-0.01,0.06,0.55,0.02,0.66,10.03,2.32,23.46,5.81,4.18,0.03,1.73,1.66,-0.08,-0.01,1.18,1.08,4.12,-0.02,A,2020
82,C. Ahmad,Imaar Vircoand,DF,Green Fleet,29,1990,1.31,1.46,0.8,0.73,0.73,0.05,0.0,2.06,-0.06,2.04,11.46,2.94,25.06,4.32,6.53,0.74,0.68,0.69,0.08,0.03,0.78,2.21,6.51,-0.04,A,2020
83,C. Muyama,People's Land of Maneau,DF,Green Fleet,24,1995,19.21,1.82,1.24,0.94,0.44,0.26,0.81,1.82,42.9,0.96,14.12,4.13,28.51,6.31,6.12,1.77,2.8,0.33,-0.1,2.4,0.82,2.63,3.08,0.03,A,2020
84,G. Hernández,People's Land of Maneau,DF,Green Fleet,21,1997,34.2,4.01,1.87,2.46,1.37,0.21,1.35,2.1,61.67,0.76,17.83,5.22,28.83,9.03,6.69,2.3,3.01,0.48,-0.02,2.59,1.46,5.4,3.27,0.05,A,2020
85,I. Donati,People's Land of Maneau,DF,Green Fleet,27,1992,1.51,2.63,1.24,1.29,1.36,0.03,1.41,1.36,100.08,-0.01,12.03,6.01,50.06,8.1,3.34,0.71,0.65,0.05,0.05,0.57,1.4,4.02,12.75,0.74,A,2020
86,L. Mugumya,People's Land of Maneau,DF,Green Fleet,21,1997,2.03,1.4,1.38,-0.02,1.53,-0.05,0.1,0.44,0.01,0.38,14.31,3.8,26.65,5.69,6.65,1.85,3.28,-0.08,-0.05,3.38,0.96,2.37,2.93,0.51,A,2020
87,R. Ishii,People's Land of Maneau,DF,Green Fleet,34,1985,10.59,0.85,0.37,0.33,0.34,0.26,0.29,1.93,9.53,1.82,11.18,3.23,29.47,4.45,5.55,1.41,2.32,0.09,0.01,2.0,1.23,2.19,2.83,-0.03,A,2020
88,U. Wright,People's Land of Maneau,DF,Green Fleet,26,1993,37.93,1.26,0.76,0.64,0.5,0.02,0.43,1.01,38.83,0.55,6.34,2.39,37.49,4.11,2.09,0.19,1.23,0.68,0.03,0.46,1.37,2.68,6.37,-0.07,A,2020
89,Z. Agyei,People's Land of Maneau,DF,Green Fleet,18,2000,11.27,1.61,0.54,0.97,0.41,0.21,0.61,2.53,28.58,1.83,14.88,3.59,24.11,6.68,5.6,2.62,3.16,0.47,-0.04,2.66,0.7,2.41,1.96,-0.08,A,2020
90,Q. Sarfo,Xikong,DF,Green Fleet,25,1994,34.4,0.88,0.44,0.53,0.19,0.08,0.26,0.53,70.53,0.16,6.39,1.86,29.03,3.44,2.8,0.13,1.38,0.52,0.02,0.93,0.69,1.66,4.86,-0.07,A,2020
91,K. Nalwanga,Rarita,DFMF,Green Fleet,20,1999,0.6,4.24,2.86,4.34,-0.03,0.06,2.96,5.69,49.9,2.87,11.49,5.7,50.07,4.21,2.96,4.27,1.41,0.07,-0.01,1.49,0.04,4.35,5.71,-0.07,A,2020
92,I. Koomson,Djipines,FW,Green Fleet,21,1997,25.39,1.01,0.57,0.27,0.37,0.35,0.28,1.8,13.29,1.44,22.41,5.68,25.08,4.97,10.23,7.09,1.39,0.16,0.1,1.32,0.2,1.24,0.44,0.0,A,2020
93,L. Obote,Dosqaly,FW,Green Fleet,23,1995,29.29,0.56,0.34,0.1,0.18,0.28,-0.02,0.54,7.74,0.35,12.9,3.6,28.55,0.83,4.42,7.75,0.71,-0.03,-0.07,0.71,0.2,0.69,0.51,0.06,A,2020
94,T. Ichikawa,People's Land of Maneau,FW,Green Fleet,21,1997,29.39,0.47,0.19,0.07,0.32,0.18,0.24,0.88,24.94,0.72,12.93,3.51,27.09,1.11,6.0,5.82,0.97,0.1,-0.04,0.9,0.19,0.71,0.69,0.0,A,2020
95,Z. Nabaweesi,People's Land of Maneau,FW,Green Fleet,17,2001,14.69,1.36,0.94,0.5,0.46,0.47,0.57,1.43,33.3,0.91,12.84,4.23,32.04,3.47,5.1,4.47,1.06,-0.02,-0.08,1.03,0.58,1.83,0.33,-0.06,A,2020
