,Player,Nation,FW,MF,DF,GK,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Year
32,i.ludwig,People's Land of Maneau,0,0,1,0,Fighting Cougars,27,1992,31.94,43.37,57.52,75.47,749.55,272.98,21.17,24.32,86.99,18.12,22.32,80.92,3.74,8.54,42.37,-0.01,0.02,0.06,0.62,3.54,0.71,0.28,3.21,A,2020
33,k.toth,People's Land of Maneau,0,0,1,0,Fighting Cougars,24,1995,29.54,52.31,61.55,84.78,1140.31,389.94,15.58,17.08,90.55,26.51,29.71,89.75,9.88,14.05,70.92,-0.01,-0.01,0.04,0.25,3.05,0.22,0.04,3.27,A,2020
34,u.ortiz,People's Land of Maneau,0,0,1,0,Fighting Cougars,18,2000,6.52,26.61,36.15,73.69,446.9,129.41,12.8,15.49,83.01,11.89,15.85,74.88,1.81,3.46,52.21,0.05,0.03,0.08,0.7,1.73,0.86,0.82,2.04,A,2020
35,o.ilukol,Sobianitedrucy,0,0,1,0,Fighting Cougars,30,1989,4.02,30.29,42.29,71.58,518.77,177.88,13.21,17.56,75.77,14.09,16.95,82.45,2.78,5.67,47.85,0.09,-0.03,0.09,0.09,1.07,0.68,0.27,2.2,A,2020
36,d.binsalleh,Southslands,0,0,1,0,Fighting Cougars,27,1992,13.74,37.3,44.32,84.04,878.06,253.48,9.23,10.48,89.58,19.77,21.91,90.16,7.88,11.47,70.1,-0.07,-0.04,0.08,0.09,1.85,0.31,-0.02,1.64,A,2020
37,g.kohler,People's Land of Maneau,1,0,1,0,Fighting Cougars,25,1994,12.72,34.34,47.29,72.47,637.5,183.63,15.72,18.27,86.16,14.33,18.24,78.01,4.09,8.57,46.79,0.06,0.09,0.0,0.98,1.33,1.67,0.64,3.4,A,2020
38,l.wafula,Dosqaly,1,0,0,0,Fighting Cougars,22,1996,30.71,17.7,22.45,78.41,275.64,47.5,9.52,11.41,82.27,5.9,6.82,84.42,1.37,1.98,71.24,0.15,0.18,0.06,0.93,0.83,0.82,0.03,1.73,A,2020
39,k.turyahabwe,People's Land of Maneau,1,0,0,0,Fighting Cougars,35,1983,8.81,12.91,19.87,65.48,185.61,34.19,7.65,9.68,79.21,3.68,6.48,57.91,1.02,1.89,52.84,0.1,-0.02,0.08,0.39,0.7,0.5,0.07,1.32,A,2020
40,r.bintihassan,Southslands,1,0,0,0,Fighting Cougars,19,2000,13.93,9.07,11.66,77.32,124.25,17.25,5.49,6.62,82.55,2.23,2.8,79.6,0.55,0.86,63.61,0.02,-0.03,-0.03,0.41,0.5,0.19,-0.09,0.72,A,2020
41,p.chew,Esia,1,1,0,0,Fighting Cougars,28,1991,20.06,38.14,51.32,74.18,743.34,230.8,16.9,19.12,87.84,14.5,17.17,84.08,6.23,12.72,49.36,0.19,0.26,-0.01,3.05,2.88,1.98,0.52,4.6,A,2020
42,m.hsieh,Lonnia Haba,1,1,0,0,Fighting Cougars,25,1993,3.5,23.94,40.04,59.9,334.32,107.69,15.37,18.54,83.02,6.29,13.01,47.82,1.73,5.62,29.95,0.04,0.02,-0.03,0.55,0.59,0.77,0.31,2.2,A,2020
43,f.cho,Southern Ristan,1,1,0,0,Fighting Cougars,24,1994,22.23,25.49,35.61,71.2,492.09,160.31,10.92,13.95,78.19,10.51,13.8,76.7,3.75,6.09,59.44,0.13,0.13,-0.09,1.6,2.0,1.4,0.31,4.57,A,2020
44,z.marini,Central Republic of Boekrainego,0,0,0,1,Fighting Cougars,27,1992,37.9,30.84,38.57,80.23,903.2,508.22,5.42,5.55,99.12,14.08,14.26,99.38,11.28,18.58,60.32,0.05,0.06,0.05,0.08,0.25,0.01,0.1,0.0,A,2020
45,i.azulay,Byasier Pujan,0,1,0,0,Fighting Cougars,27,1991,31.39,47.23,56.7,83.01,914.32,262.22,17.67,20.15,86.85,22.55,25.91,87.29,6.37,8.77,73.37,0.13,0.13,-0.05,0.78,5.36,0.76,0.22,5.91,A,2020
46,t.ansari,People's Land of Maneau,0,1,0,0,Fighting Cougars,30,1989,28.03,50.68,58.41,86.64,1065.84,249.86,15.87,17.8,89.45,24.81,27.35,90.9,9.29,12.2,76.77,-0.04,0.04,0.07,0.69,5.04,0.62,0.14,4.83,A,2020
47,h.narvaez,Reugha,0,1,0,0,Fighting Cougars,22,1996,13.93,37.55,44.4,84.33,730.97,140.47,15.96,18.2,87.71,14.92,17.07,87.81,6.07,7.92,75.69,0.06,-0.09,0.05,0.28,3.46,0.44,0.09,2.82,A,2020
48,b.kakooza,Central Namemo Laand,0,1,1,0,Fighting Cougars,31,1988,0.67,34.21,50.06,68.51,611.41,249.92,17.2,22.96,74.99,12.89,17.1,75.06,4.33,8.48,49.98,0.07,0.22,-0.24,2.84,4.34,1.44,1.36,4.35,A,2020
49,o.kia,Western Niasland,0,1,1,0,Fighting Cougars,20,1998,13.16,42.67,50.26,84.84,679.49,197.17,22.16,24.73,89.55,17.64,20.29,86.96,2.21,3.11,66.74,0.03,-0.01,-0.07,0.89,2.45,1.13,0.23,4.15,A,2020
50,h.engel,Byasier Pujan,1,1,0,0,Fighting Cougars,25,1993,0.94,8.99,18.95,47.47,135.08,6.95,6.1,10.09,60.07,3.0,5.05,60.1,0.07,1.04,-0.08,-0.03,0.02,-0.1,0.04,-0.08,0.03,0.06,0.0,A,2020
51,n.mousa,Cabral Retrea,1,1,0,0,Fighting Cougars,26,1993,0.7,9.97,14.98,66.77,96.26,24.93,7.59,9.94,74.94,2.47,3.68,66.77,-0.08,-0.02,,-0.06,-0.07,-0.06,1.16,0.04,0.05,0.03,-0.03,A,2020
52,m.kamanga,Central Republic of Boekrainego,1,1,0,0,Fighting Cougars,28,1990,23.1,35.61,46.26,76.72,616.94,178.4,18.98,21.18,89.43,11.8,14.04,83.6,4.11,8.68,48.58,0.1,0.19,-0.14,1.63,3.38,1.43,0.22,4.16,A,2020
53,q.nabimanya,Imaar Vircoand,1,1,0,0,Fighting Cougars,20,1998,3.84,21.41,33.26,64.55,379.27,92.54,9.82,12.37,79.22,9.39,12.32,77.15,1.97,7.96,25.89,0.08,-0.01,0.02,1.33,1.81,0.3,0.21,1.49,A,2020
54,d.daniel,People's Land of Maneau,0,0,1,0,Great Galactic Gorgons,26,1993,37.98,30.92,40.87,75.64,474.95,172.18,18.25,20.09,90.37,9.66,12.38,77.92,2.28,5.54,40.2,0.01,0.17,-0.07,0.66,1.66,1.1,0.7,2.4,A,2020
55,h.akugizibwe,People's Land of Maneau,0,0,1,0,Great Galactic Gorgons,25,1994,32.48,35.65,48.09,74.31,759.55,301.73,13.45,15.17,88.47,15.79,18.68,84.24,6.35,12.97,48.93,0.13,-0.02,0.06,0.38,2.97,0.73,0.09,3.65,A,2020
56,i.akpan,People's Land of Maneau,0,0,1,0,Great Galactic Gorgons,36,1982,2.78,21.94,27.09,80.85,452.94,129.35,6.97,7.77,90.45,11.8,13.34,88.88,2.99,5.91,50.05,0.01,0.08,0.07,0.03,0.82,0.44,0.39,1.14,A,2020
57,t.awuah,People's Land of Maneau,0,0,1,0,Great Galactic Gorgons,25,1993,5.6,34.56,45.94,75.15,702.92,260.81,11.59,13.06,89.09,17.9,21.27,83.94,4.66,10.07,46.43,-0.04,0.05,-0.04,0.41,3.3,0.12,0.1,2.45,A,2020
58,m.ludwig,Rarita,0,0,1,0,Great Galactic Gorgons,31,1988,35.95,30.07,40.57,74.21,567.29,184.24,12.99,14.66,88.17,12.21,16.88,73.05,4.11,7.42,55.09,-0.04,-0.04,0.0,0.28,1.72,0.36,0.21,1.68,A,2020
59,i.najjemba,Southslands,0,0,1,0,Great Galactic Gorgons,26,1992,35.35,28.71,34.23,83.73,682.29,183.82,7.12,8.0,89.84,14.1,15.63,89.85,7.1,10.02,71.47,0.02,0.09,0.07,0.06,1.85,0.14,0.08,1.84,A,2020
60,x.nalukenge,Southslands,0,0,1,0,Great Galactic Gorgons,29,1990,37.15,37.83,50.95,74.02,652.35,265.27,19.42,22.0,88.76,14.11,18.0,78.21,3.63,8.34,44.79,0.17,0.17,-0.09,0.89,2.91,1.38,0.23,4.64,A,2020
61,s.perez,Byasier Pujan,1,0,0,0,Great Galactic Gorgons,22,1996,1.28,13.22,14.92,88.95,201.72,20.77,7.47,8.37,89.93,4.22,5.05,83.39,0.92,0.82,100.02,0.09,0.09,-0.2,1.77,-0.02,0.84,0.74,-0.01,A,2020
62,j.krajnc,Djipines,1,0,0,0,Great Galactic Gorgons,27,1992,0.13,19.99,20.04,99.94,279.99,60.1,9.96,9.94,100.02,10.04,10.02,99.99,0.07,-0.03,,-0.09,0.05,-0.09,0.05,-0.01,-0.09,-0.03,-0.04,A,2020
63,g.elbaz,Dosqaly,1,0,0,0,Great Galactic Gorgons,23,1996,13.8,12.9,17.3,73.62,170.32,28.38,8.72,10.3,83.87,3.46,4.75,71.2,0.45,0.72,45.4,0.29,0.16,0.12,0.82,0.61,0.34,0.13,0.78,A,2020
64,y.susanti,Ngoque Blicri,1,0,0,0,Great Galactic Gorgons,23,1996,23.44,17.35,26.87,64.55,251.1,66.51,10.49,14.54,71.22,5.09,8.43,61.77,1.03,1.61,63.23,0.05,0.09,-0.11,0.49,1.17,0.48,0.09,2.22,A,2020
65,a.schmitt,People's Land of Maneau,1,0,0,0,Great Galactic Gorgons,33,1986,11.63,13.88,18.93,72.95,204.03,41.38,8.05,9.77,80.98,4.91,6.33,78.39,0.48,1.15,46.12,0.18,0.15,-0.04,1.23,0.47,0.67,0.09,1.32,A,2020
66,h.gomani,Southslands,1,0,0,0,Great Galactic Gorgons,31,1987,20.15,23.45,30.87,76.19,391.14,63.93,12.11,14.63,83.09,9.1,11.59,78.64,1.82,3.15,59.41,0.04,0.06,0.02,0.72,1.31,0.41,0.2,1.69,A,2020
67,b.mulyana,People's Land of Maneau,1,1,0,0,Great Galactic Gorgons,34,1985,0.43,12.41,17.42,71.36,182.5,17.51,10.03,12.53,79.9,2.41,5.05,49.91,0.07,-0.03,,0.04,0.09,0.08,0.04,-0.05,0.0,0.04,-0.04,A,2020
68,q.ayerango,Southslands,1,1,0,0,Great Galactic Gorgons,24,1995,7.58,15.61,20.77,75.46,238.24,39.13,8.26,9.64,84.98,5.81,7.67,77.22,0.73,1.96,40.06,0.13,0.08,0.11,0.5,0.72,0.36,0.05,0.76,A,2020
69,k.smits,People's Land of Maneau,0,0,0,1,Great Galactic Gorgons,29,1990,2.09,9.54,24.05,39.53,473.06,367.9,0.0,0.09,,4.03,4.09,99.91,5.49,19.95,27.45,0.01,0.02,-0.06,0.08,-0.01,-0.08,-0.05,0.02,A,2020
70,p.kabugo,People's Land of Maneau,0,0,0,1,Great Galactic Gorgons,22,1997,36.02,11.76,28.84,41.0,586.82,474.3,0.89,0.97,97.05,2.67,2.77,97.1,8.13,25.09,32.58,0.07,-0.03,0.08,-0.03,1.42,-0.02,-0.03,0.03,A,2020
71,d.kojima,Highhlaands,0,1,0,0,Great Galactic Gorgons,28,1991,34.21,48.49,62.65,77.56,1133.97,329.56,14.0,15.55,89.85,22.11,25.4,87.22,11.76,20.38,57.83,-0.04,0.2,-0.18,1.48,6.68,0.95,0.3,5.35,A,2020
72,a.aryemo,Ngoque Blicri,0,1,0,0,Great Galactic Gorgons,27,1991,28.04,30.48,41.6,73.46,543.02,177.41,14.42,16.82,85.82,10.87,13.13,82.31,4.12,8.79,46.69,0.0,0.12,-0.08,1.35,3.35,1.05,0.26,3.35,A,2020
73,e.yeong,People's Land of Maneau,0,1,0,0,Great Galactic Gorgons,27,1992,4.04,26.74,36.66,73.29,385.95,117.96,18.28,21.45,85.15,5.2,7.17,72.4,2.4,4.56,52.69,0.1,0.02,0.0,0.79,2.01,1.03,0.7,1.91,A,2020
74,g.gustafsson,People's Land of Maneau,0,1,0,0,Great Galactic Gorgons,25,1994,27.34,35.33,43.98,80.39,674.74,140.86,16.7,19.21,86.91,12.62,15.04,84.31,5.19,7.7,67.43,0.11,0.07,0.09,0.75,2.89,1.06,0.22,3.08,A,2020
75,r.hamed,People's Land of Maneau,0,1,0,0,Great Galactic Gorgons,28,1991,0.2,9.93,9.98,100.02,200.1,20.0,5.07,4.98,99.91,4.97,4.94,100.01,-0.06,0.07,,-0.05,-0.09,0.02,0.09,0.07,0.03,-0.02,0.04,A,2020
76,h.susanto,Redohrainbri,0,1,0,0,Great Galactic Gorgons,21,1998,10.49,28.37,36.74,77.17,500.13,109.07,13.02,15.62,83.48,11.41,13.92,83.0,3.33,4.95,66.02,0.03,0.13,0.15,0.12,2.8,0.88,0.14,2.67,A,2020
77,g.lukyamuzi,Thaijagypt,0,1,0,0,Great Galactic Gorgons,26,1993,0.17,39.9,60.09,66.64,530.03,299.91,19.93,29.98,66.64,19.91,19.98,100.07,0.05,0.07,,-0.09,0.06,0.08,-0.05,20.07,0.04,-0.03,9.99,A,2020
78,o.mugide,Unicorporated Tiagascar,0,1,0,0,Great Galactic Gorgons,26,1992,2.85,30.72,37.94,81.05,541.4,117.06,17.49,19.27,90.78,9.3,11.17,83.89,3.54,5.79,62.49,-0.07,0.09,-0.04,0.36,2.12,0.76,-0.09,3.23,A,2020
79,f.nakazibwe,People's Land of Maneau,0,1,1,0,Great Galactic Gorgons,24,1994,6.52,27.14,39.23,69.12,440.58,111.76,14.73,17.69,83.61,8.55,11.11,76.68,3.12,7.9,38.57,-0.04,0.15,-0.19,1.06,1.72,0.78,0.28,1.86,A,2020
80,z.okon,Byasier Pujan,0,0,1,0,Green Fleet,21,1998,1.5,41.23,48.7,84.85,717.29,201.99,18.64,20.69,90.33,17.34,20.76,83.99,4.07,4.64,85.69,-0.01,0.13,-0.02,1.25,1.24,0.1,0.04,3.42,A,2020
81,g.nimusiima,Central Diasongo,0,0,1,0,Green Fleet,25,1994,1.77,37.54,42.4,88.92,744.69,254.79,12.45,14.03,87.44,19.97,21.15,94.32,5.22,6.37,81.72,-0.04,-0.06,-0.01,-0.04,1.12,-0.09,0.08,2.32,A,2020
82,c.ahmad,Imaar Vircoand,0,0,1,0,Green Fleet,29,1990,1.45,26.45,39.39,67.22,533.53,230.62,7.86,8.55,91.61,14.21,17.84,80.01,4.37,12.05,35.25,-0.08,0.07,0.01,0.06,2.13,0.02,-0.07,3.58,A,2020
83,c.muyama,People's Land of Maneau,0,0,1,0,Green Fleet,24,1995,19.21,58.16,67.13,86.46,872.35,322.78,32.58,35.0,92.95,22.38,25.57,87.12,2.42,4.33,54.19,0.07,0.08,0.01,1.09,3.18,1.34,0.36,5.62,A,2020
84,g.hernandez,People's Land of Maneau,0,0,1,0,Green Fleet,21,1997,34.11,49.02,60.51,81.13,729.71,278.08,28.91,31.88,90.65,16.75,20.79,80.94,2.22,4.5,50.04,0.16,0.07,0.08,0.66,3.13,0.55,0.22,4.18,A,2020
85,i.donati,People's Land of Maneau,0,0,1,0,Green Fleet,27,1992,1.49,52.67,59.24,88.85,925.37,265.22,22.78,24.08,94.33,24.01,26.74,89.96,4.72,6.71,69.97,-0.02,-0.05,-0.08,0.03,3.91,-0.03,-0.01,0.65,A,2020
86,l.mugumya,People's Land of Maneau,0,0,1,0,Green Fleet,21,1997,2.16,60.54,67.13,90.01,1110.96,314.33,25.74,27.57,93.06,26.16,28.08,93.23,8.15,9.93,80.99,0.0,0.06,-0.08,0.07,3.88,0.0,-0.03,2.32,A,2020
87,r.ishii,People's Land of Maneau,0,0,1,0,Green Fleet,34,1985,10.69,53.37,69.22,76.87,1056.57,433.67,21.62,23.6,91.51,23.75,27.82,84.71,7.56,15.75,48.22,0.0,0.12,-0.06,1.61,5.64,1.13,0.19,6.02,A,2020
88,u.wright,People's Land of Maneau,0,0,1,0,Green Fleet,26,1993,38.05,56.04,63.3,88.59,1235.04,310.36,14.41,16.07,90.55,30.48,32.85,93.06,10.33,13.51,76.34,0.03,-0.02,0.05,0.5,4.33,0.13,-0.1,2.65,A,2020
89,z.agyei,People's Land of Maneau,0,0,1,0,Green Fleet,18,2000,11.12,47.4,56.8,83.56,755.73,240.33,26.1,28.75,90.35,17.82,20.51,87.05,2.77,5.8,49.15,-0.08,-0.01,0.0,1.18,2.49,1.74,0.35,4.09,A,2020
90,q.sarfo,Xikong,0,0,1,0,Green Fleet,25,1994,34.49,51.31,58.41,87.59,1033.68,320.19,16.34,17.71,92.56,27.72,29.85,93.45,6.56,9.82,66.71,-0.06,-0.08,-0.06,0.16,2.39,0.07,0.0,2.72,A,2020
91,k.nalwanga,Rarita,0,1,1,0,Green Fleet,20,1999,0.73,72.98,91.49,79.64,1267.15,354.27,34.33,38.62,88.93,29.98,35.65,83.91,7.07,14.38,50.07,-0.03,-0.01,0.0,0.09,1.38,-0.01,0.04,2.94,A,2020
92,i.koomson,Djipines,1,0,0,0,Green Fleet,21,1997,25.36,23.05,31.63,73.07,354.74,84.38,13.53,15.93,84.09,7.32,9.51,76.1,1.54,3.0,52.51,0.19,0.12,0.01,0.93,1.38,1.17,0.32,2.4,A,2020
93,l.obote,Dosqaly,1,0,0,0,Green Fleet,23,1995,29.27,19.78,24.8,79.89,274.43,58.72,12.27,14.16,86.65,5.75,6.98,81.64,0.72,0.96,70.91,0.25,0.07,-0.02,1.09,1.14,1.2,0.04,2.21,A,2020
94,t.ichikawa,People's Land of Maneau,1,0,0,0,Green Fleet,21,1997,29.37,25.79,33.58,76.78,422.66,114.96,14.21,17.05,83.95,8.66,10.72,80.21,2.13,3.58,57.39,0.28,0.2,0.04,1.14,2.04,2.23,0.13,4.5,A,2020
95,z.nabaweesi,People's Land of Maneau,1,0,0,0,Green Fleet,17,2001,14.67,28.23,33.15,85.2,435.69,78.94,15.76,17.89,88.59,9.83,10.8,89.95,1.91,2.85,65.83,0.11,0.07,-0.04,0.84,1.38,0.69,0.09,1.94,A,2020
96,n.gheorghe,Republic of Denand Landsa,1,0,0,0,Green Fleet,30,1989,1.08,19.17,20.94,91.33,253.66,20.07,13.54,15.41,88.15,3.56,3.56,99.94,1.85,1.89,99.92,-0.08,0.07,-0.19,1.73,0.82,0.89,0.06,0.99,A,2020
97,q.scott,Byasier Pujan,1,0,1,0,Green Fleet,19,1999,0.44,22.46,34.97,64.2,340.03,89.98,9.92,15.06,66.78,12.59,12.5,99.96,0.01,2.56,0.0,0.1,-0.04,-0.02,0.0,2.55,-0.04,-0.02,4.92,A,2020
