,Player,Salary0,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9
77,g.lukyamuzi,20660000,20666000,20742000,20798000,20810000,20829000,20913000,20948000,21031000,21086000
78,o.mugide,23880000,23972000,24042000,24069000,24110000,24140000,24168000,24231000,24321000,24381000
79,f.nakazibwe,3220000,3298000,3337000,3397000,3441000,3510000,3546000,3599000,3649000,3660000
80,z.okon,24280000,24344000,24410000,24426000,24522000,24607000,24625000,24715000,24806000,24839000
81,g.nimusiima,19050000,19067000,19089000,19104000,19165000,19179000,19259000,19350000,19366000,19453000
82,c.ahmad,14680000,14759000,14824000,14909000,14991000,15019000,15053000,15089000,15116000,15184000
83,c.muyama,12990000,13005000,13075000,13105000,13181000,13268000,13334000,13385000,13425000,13477000
84,g.hernandez,7230000,7303000,7365000,7381000,7406000,7408000,7482000,7486000,7584000,7623000
85,i.donati,22000000,22035000,22054000,22103000,22189000,22190000,22239000,22283000,22314000,22393000
86,l.mugumya,14770000,14822000,14917000,14964000,14970000,15059000,15153000,15170000,15242000,15271000
87,r.ishii,3260000,3355000,3356000,3453000,3481000,3514000,3582000,3613000,3682000,3778000
88,u.wright,17030000,17047000,17132000,17163000,17167000,17173000,17197000,17205000,17208000,17294000
89,z.agyei,21140000,21181000,21209000,21280000,21309000,21347000,21412000,21484000,21532000,21579000
90,q.sarfo,32590000,32642000,32736000,32736000,32835000,32859000,32919000,32996000,33082000,33168000
91,k.nalwanga,38440000,38459000,38481000,38522000,38531000,38619000,38641000,38656000,38706000,38728000
92,i.koomson,6920000,6945000,6977000,7064000,7105000,7148000,7156000,7218000,7242000,7247000
93,l.obote,31170000,31260000,31276000,31321000,31417000,31420000,31453000,31500000,31536000,31560000
94,t.ichikawa,28400000,28476000,28525000,28624000,28647000,28713000,28758000,28781000,28832000,28850000
95,z.nabaweesi,27490000,27537000,27593000,27627000,27707000,27771000,27788000,27825000,27868000,27875000
96,n.gheorghe,32270000,32340000,32390000,32452000,32541000,32637000,32686000,32687000,32721000,32750000
97,q.scott,27800000,27893000,27909000,27929000,28016000,28049000,28070000,28102000,28142000,28222000
98,g.mwebaze,18080000,18150000,18175000,18209000,18303000,18369000,18377000,18414000,18450000,18479000
99,j.rukundo,19620000,19702000,19790000,19844000,19875000,19934000,20028000,20111000,20177000,20197000
100,c.ji,31790000,31850000,31895000,31975000,32067000,32144000,32229000,32291000,32329000,32396000
101,q.nabutono,19920000,19960000,19970000,19981000,20057000,20071000,20153000,20195000,20221000,20221000
102,p.bauri,35260000,35336000,35369000,35374000,35385000,35432000,35461000,35558000,35643000,35721000
103,h.kamugisha,16090000,16154000,16220000,16308000,16323000,16407000,16413000,16415000,16503000,16582000
104,u.garcia,4470000,4528000,4616000,4639000,4729000,4801000,4839000,4865000,4881000,4964000
105,a.miura,27650000,27658000,27692000,27723000,27781000,27819000,27842000,27885000,27971000,28031000
106,s.avraham,31430000,31452000,31529000,31584000,31607000,31626000,31694000,31753000,31806000,31894000
107,e.taylor,23430000,23485000,23509000,23605000,23684000,23727000,23761000,23788000,23791000,23802000
108,y.torres,8810000,8879000,8941000,9026000,9072000,9098000,9161000,9239000,9285000,9368000
109,a.haruna,11720000,11796000,11804000,11862000,11954000,12045000,12102000,12122000,12142000,12180000
110,d.svensson,15490000,15550000,15574000,15588000,15606000,15691000,15718000,15735000,15747000,15755000
111,y.eyotaru,31860000,31921000,31987000,32057000,32113000,32140000,32238000,32325000,32376000,32417000
112,d.martini,22230000,22313000,22357000,22441000,22541000,22584000,22598000,22610000,22692000,22711000
113,s.namugere,27830000,27875000,27969000,28065000,28126000,28160000,28203000,28229000,28241000,28334000
114,t.nouri,19540000,19582000,19624000,19647000,19737000,19781000,19875000,19936000,19946000,19986000
115,u.ortiz,31250000,31299000,31333000,31415000,31423000,31503000,31539000,31564000,31566000,31591000
116,v.thompson,24980000,25076000,25086000,25181000,25202000,25258000,25319000,25367000,25408000,25454000
117,v.binali,30800000,30896000,30980000,31076000,31168000,31241000,31261000,31270000,31331000,31390000
118,s.mlakar,29980000,30054000,30135000,30154000,30168000,30265000,30282000,30312000,30321000,30346000
119,u.chio,20530000,20582000,20681000,20770000,20816000,20841000,20864000,20866000,20934000,20987000
120,m.abur,24900000,24935000,25008000,25049000,25089000,25135000,25143000,25205000,25266000,25361000
121,f.pellegrini,33180000,33268000,33346000,33427000,33468000,33502000,33529000,33617000,33702000,33746000
122,g.adriko,30470000,30567000,30576000,30587000,30638000,30684000,30699000,30747000,30811000,30871000
123,n.nantege,26810000,26856000,26923000,27014000,27042000,27138000,27188000,27244000,27340000,27435000
124,z.makore,15120000,15182000,15256000,15303000,15341000,15374000,15462000,15495000,15568000,15574000
125,d.kayira,11490000,11577000,11671000,11673000,11738000,11770000,11825000,11907000,11986000,12008000
126,x.nakanwagi,9830000,9917000,10010000,10042000,10134000,10183000,10194000,10196000,10203000,10236000
127,r.wanyama,30800000,30829000,30884000,30903000,30930000,31009000,31017000,31053000,31117000,31121000
128,j.nkrumah,22560000,22637000,22654000,22740000,22765000,22857000,22932000,23019000,23062000,23093000
129,m.matsumoto,12230000,12301000,12328000,12371000,12430000,12434000,12483000,12550000,12581000,12635000
130,c.nyesiga,26330000,26343000,26404000,26482000,26579000,26594000,26628000,26633000,26647000,26675000
131,y.diallo,27700000,27759000,27832000,27910000,27935000,27973000,28037000,28120000,28217000,28315000
132,g.baey,27350000,27402000,27455000,27525000,27611000,27641000,27694000,27700000,27757000,27784000
133,i.makavan,30150000,30221000,30223000,30320000,30398000,30458000,30464000,30478000,30525000,30597000
134,j.wan,9600000,9641000,9685000,9762000,9796000,9887000,9954000,9988000,10020000,10086000
135,o.nampeera,28970000,29036000,29105000,29199000,29246000,29318000,29368000,29389000,29392000,29403000
136,b.longoli,21510000,21599000,21693000,21712000,21800000,21892000,21938000,21973000,21995000,22076000
137,f.shkreli,19400000,19479000,19538000,19540000,19556000,19640000,19692000,19703000,19796000,19861000
138,a.tay,14950000,15001000,15003000,15014000,15075000,15160000,15203000,15293000,15384000,15395000
139,b.stewart,17400000,17490000,17507000,17580000,17671000,17715000,17805000,17862000,17903000,17980000
140,h.steiner,23230000,23235000,23321000,23397000,23405000,23482000,23528000,23547000,23566000,23650000
141,k.mirkovi,24050000,24106000,24180000,24183000,24221000,24270000,24336000,24349000,24355000,24368000
142,y.aidoo,23230000,23295000,23371000,23433000,23464000,23561000,23591000,23681000,23705000,23758000
143,c.nyaketcho,32520000,32600000,32641000,32703000,32713000,32799000,32844000,32883000,32955000,32976000
144,q.mbambu,15100000,15133000,15212000,15248000,15340000,15381000,15386000,15478000,15493000,15529000
145,k.muhumuza,22290000,22323000,22398000,22479000,22551000,22558000,22581000,22665000,22725000,22746000
146,m.adoch,22310000,22368000,22452000,22524000,22595000,22643000,22680000,22694000,22741000,22800000
147,h.nsamba,25750000,25846000,25889000,25917000,25939000,26011000,26015000,26038000,26080000,26108000
148,r.dijkstra,30860000,30945000,30997000,31049000,31055000,31121000,31191000,31274000,31338000,31425000
149,e.estrada,26390000,26420000,26496000,26526000,26590000,26652000,26686000,26707000,26716000,26767000
150,e.amponsah,11530000,11542000,11561000,11610000,11685000,11747000,11775000,11829000,11907000,11917000
151,k.namuwaya,17110000,17204000,17206000,17222000,17261000,17290000,17353000,17434000,17495000,17588000
152,c.quartey,13950000,13977000,14028000,14032000,14115000,14139000,14196000,14212000,14237000,14293000
153,j.turyasingura,29810000,29813000,29896000,29904000,29994000,30039000,30060000,30083000,30128000,30179000
154,k.lin,30190000,30202000,30267000,30366000,30390000,30468000,30490000,30546000,30604000,30650000
155,s.herrera,26430000,26515000,26565000,26573000,26607000,26691000,26774000,26842000,26897000,26947000
156,m.alzahrani,27710000,27746000,27786000,27852000,27930000,27930000,27995000,28014000,28024000,28083000
157,r.akech,10500000,10509000,10548000,10586000,10679000,10701000,10772000,10780000,10821000,10821000
158,l.egger,14950000,15030000,15112000,15166000,15206000,15246000,15334000,15425000,15505000,15585000
159,z.cher,8490000,8535000,8581000,8672000,8690000,8729000,8801000,8836000,8850000,8921000
160,p.shehu,14780000,14790000,14872000,14877000,14952000,14960000,14961000,14973000,15055000,15141000
161,t.nkhoma,17980000,18056000,18098000,18099000,18114000,18203000,18232000,18257000,18274000,18371000
162,h.shoko,8670000,8719000,8815000,8861000,8960000,8995000,9016000,9093000,9138000,9162000
163,c.awad,25460000,25544000,25638000,25644000,25714000,25721000,25797000,25854000,25946000,25966000
164,z.chipeta,16720000,16817000,16911000,16976000,17008000,17099000,17099000,17106000,17198000,17207000
165,d.asaba,13270000,13338000,13358000,13361000,13438000,13537000,13614000,13629000,13662000,13718000
166,d.wolf,14380000,14450000,14477000,14524000,14580000,14669000,14754000,14781000,14848000,14859000
167,s.kaggwa,19000000,19030000,19059000,19063000,19088000,19127000,19184000,19225000,19312000,19379000
168,c.nakitto,20000000,20018000,20023000,20027000,20051000,20096000,20130000,20219000,20269000,20326000
169,e.ta,28170000,28207000,28257000,28298000,28299000,28332000,28397000,28422000,28483000,28550000
170,z.semakula,26610000,26696000,26699000,26745000,26790000,26874000,26955000,27048000,27093000,27176000
171,q.aini,25220000,25274000,25342000,25357000,25414000,25424000,25453000,25551000,25633000,25717000
172,e.ramezani,35710000,35793000,35839000,35870000,35961000,36043000,36068000,36087000,36163000,36188000
173,v.ram,26670000,26676000,26726000,26807000,26860000,26878000,26947000,26964000,27023000,27046000
174,z.nakagawa,22990000,23078000,23130000,23141000,23223000,23291000,23374000,23398000,23476000,23508000
175,a.akoth,26510000,26594000,26676000,26741000,26768000,26844000,26851000,26950000,26982000,26995000
176,g.dijkstra,24940000,25010000,25021000,25025000,25037000,25084000,25113000,25158000,25235000,25320000
177,g.siddiqui,24650000,24729000,24803000,24889000,24979000,24988000,25043000,25064000,25111000,25166000
178,u.nalumansi,18110000,18135000,18223000,18265000,18321000,18390000,18424000,18470000,18561000,18652000
179,f.heng,36670000,36683000,36717000,36751000,36803000,36805000,36822000,36887000,36898000,36977000
180,b.asiedu,7580000,7653000,7700000,7708000,7761000,7854000,7930000,7973000,8043000,8048000
181,i.kakuru,34240000,34313000,34383000,34465000,34485000,34526000,34614000,34654000,34741000,34761000
182,c.ssentamu,15070000,15121000,15195000,15259000,15279000,15292000,15325000,15366000,15460000,15537000
183,i.nugraha,28900000,28979000,29061000,29136000,29144000,29196000,29196000,29246000,29301000,29374000
184,v.kumwenda,33160000,33196000,33226000,33282000,33305000,33365000,33414000,33439000,33497000,33535000
185,s.tamale,15940000,15956000,15956000,16049000,16140000,16234000,16291000,16307000,16406000,16450000
186,s.tenywa,10750000,10779000,10853000,10928000,11018000,11034000,11121000,11128000,11190000,11206000
187,e.boadu,16030000,16120000,16157000,16171000,16188000,16230000,16299000,16366000,16407000,16499000
188,t.robert,23440000,23534000,23564000,23584000,23639000,23722000,23752000,23851000,23865000,23961000
189,a.vang,26640000,26687000,26705000,26723000,26820000,26836000,26913000,26963000,27027000,27045000
190,k.abalo,28620000,28698000,28729000,28806000,28828000,28891000,28943000,28956000,28957000,29021000
191,e.nakanjako,19420000,19509000,19581000,19601000,19620000,19635000,19642000,19725000,19743000,19823000
192,y.ferrara,18110000,18182000,18192000,18198000,18258000,18326000,18351000,18424000,18481000,18485000
193,c.carvalho,9420000,9497000,9512000,9601000,9682000,9689000,9781000,9785000,9805000,9857000
194,n.dekker,28960000,28961000,29014000,29097000,29146000,29171000,29183000,29279000,29292000,29338000
195,v.nalukwago,10370000,10409000,10415000,10441000,10538000,10546000,10609000,10625000,10648000,10717000
196,c.hasanovi,4160000,4217000,4237000,4244000,4317000,4410000,4478000,4485000,4569000,4618000
197,c.perkovi,25960000,25972000,26049000,26095000,26124000,26198000,26257000,26277000,26344000,26358000
198,d.lejeune,33480000,33526000,33621000,33714000,33764000,33791000,33807000,33872000,33881000,33947000
199,d.mwandira,29870000,29939000,29983000,30072000,30076000,30107000,30189000,30205000,30295000,30295000
200,f.arslan,31060000,31153000,31197000,31288000,31328000,31338000,31416000,31424000,31492000,31497000
201,n.medina,28160000,28203000,28300000,28355000,28375000,28465000,28539000,28595000,28624000,28675000
202,o.estrada,23150000,23184000,23273000,23274000,23317000,23390000,23469000,23514000,23557000,23609000
203,x.sartori,23610000,23649000,23695000,23765000,23845000,23930000,23953000,24018000,24084000,24144000
204,b.maturu,29470000,29566000,29611000,29649000,29685000,29747000,29796000,29806000,29818000,29825000
205,p.biira,10160000,10170000,10264000,10337000,10376000,10473000,10513000,10556000,10654000,10667000
206,w.rashid,22300000,22354000,22405000,22487000,22507000,22581000,22666000,22722000,22798000,22867000
207,i.mlambo,18870000,18940000,19002000,19004000,19016000,19033000,19076000,19086000,19149000,19216000
208,a.soong,27620000,27707000,27777000,27859000,27862000,27951000,27965000,27999000,28031000,28098000
209,f.malik,18570000,18659000,18712000,18730000,18779000,18864000,18907000,18986000,19004000,19092000
210,n.zhu,34130000,34179000,34205000,34208000,34258000,34279000,34322000,34358000,34387000,34403000
211,c.mawejje,16190000,16266000,16308000,16385000,16414000,16513000,16560000,16599000,16612000,16628000
212,a.henry,23070000,23151000,23179000,23202000,23266000,23363000,23414000,23443000,23456000,23524000
213,b.nakayiwa,24420000,24495000,24500000,24530000,24623000,24675000,24715000,24744000,24823000,24844000
214,f.afful,26040000,26121000,26214000,26225000,26315000,26393000,26456000,26502000,26571000,26646000
215,i.ghoe,25780000,25789000,25790000,25806000,25835000,25851000,25892000,25931000,25949000,26029000
216,x.ferraro,14430000,14509000,14526000,14607000,14692000,14694000,14775000,14866000,14917000,14919000
217,n.kaiser,27230000,27270000,27331000,27357000,27393000,27428000,27439000,27510000,27546000,27571000
218,t.cheung,12330000,12345000,12407000,12423000,12501000,12507000,12538000,12591000,12617000,12657000
219,d.masereka,12280000,12321000,12329000,12412000,12424000,12506000,12560000,12620000,12671000,12737000
220,v.garcia,17550000,17601000,17645000,17676000,17690000,17699000,17707000,17778000,17858000,17870000
221,a.sihombing,16380000,16470000,16494000,16573000,16591000,16605000,16609000,16700000,16799000,16824000
222,f.nassolo,21060000,21118000,21165000,21219000,21249000,21283000,21315000,21318000,21341000,21414000
223,q.achom,32310000,32362000,32443000,32466000,32548000,32591000,32683000,32691000,32734000,32787000
224,m.tumuramye,39230000,39316000,39334000,39405000,39443000,39531000,39562000,39570000,39603000,39657000
225,t.chebet,27840000,27855000,27896000,27989000,27998000,28003000,28066000,28086000,28178000,28197000
226,t.syed,24740000,24753000,24776000,24805000,24842000,24866000,24881000,24907000,24984000,25005000
227,z.rojas,25630000,25666000,25692000,25739000,25747000,25793000,25831000,25918000,25964000,25996000
228,y.niemi,30270000,30293000,30384000,30469000,30474000,30480000,30551000,30629000,30684000,30707000
229,y.wood,17930000,18011000,18087000,18148000,18169000,18207000,18263000,18302000,18354000,18366000
230,f.njoku,31880000,31954000,31985000,32074000,32140000,32174000,32235000,32239000,32332000,32391000
231,w.kayange,27720000,27818000,27871000,27882000,27965000,28057000,28156000,28242000,28331000,28357000
232,a.logose,13340000,13425000,13476000,13566000,13643000,13742000,13777000,13785000,13822000,13903000
233,q.nakityo,13320000,13345000,13368000,13432000,13495000,13569000,13638000,13674000,13680000,13682000
234,u.nakazibwe,21800000,21843000,21920000,22016000,22079000,22103000,22176000,22263000,22339000,22376000
235,f.walker,27560000,27632000,27664000,27759000,27774000,27788000,27871000,27883000,27908000,27986000
236,v.waswa,13610000,13653000,13674000,13694000,13764000,13829000,13869000,13926000,13955000,14023000
237,v.mattila,20930000,20988000,21012000,21080000,21144000,21227000,21262000,21288000,21320000,21361000
238,m.carpentier,19300000,19400000,19487000,19521000,19540000,19625000,19678000,19768000,19827000,19840000
239,h.twongirwe,12550000,12602000,12633000,12714000,12783000,12844000,12858000,12887000,12907000,12997000
240,q.johnsen,24370000,24462000,24474000,24496000,24550000,24587000,24649000,24653000,24684000,24702000
241,p.saputra,16000000,16021000,16074000,16102000,16153000,16211000,16276000,16369000,16411000,16490000
242,i.ocen,21540000,21542000,21582000,21680000,21682000,21707000,21756000,21767000,21864000,21888000
243,l.edwards,30080000,30124000,30204000,30297000,30386000,30389000,30436000,30485000,30514000,30515000
244,n.kamusiime,24870000,24903000,24910000,25007000,25069000,25086000,25180000,25248000,25262000,25296000
245,b.hungwe,20680000,20749000,20795000,20884000,20959000,20965000,21011000,21085000,21140000,21185000
246,h.farina,9590000,9605000,9681000,9751000,9805000,9878000,9977000,10039000,10109000,10193000
247,s.debnath,8880000,8970000,9011000,9091000,9182000,9250000,9327000,9403000,9487000,9516000
248,w.nakiyingi,11480000,11569000,11662000,11664000,11757000,11846000,11944000,12009000,12049000,12093000
249,j.dahiru,16180000,16242000,16288000,16337000,16371000,16445000,16533000,16549000,16550000,16639000
250,t.kafuko,15200000,15228000,15317000,15339000,15397000,15425000,15520000,15546000,15548000,15577000
251,i.namugosa,21290000,21380000,21465000,21545000,21611000,21613000,21691000,21721000,21804000,21867000
252,m.villa,13180000,13276000,13344000,13428000,13468000,13541000,13630000,13698000,13786000,13819000
253,l.lechner,23280000,23367000,23434000,23505000,23510000,23556000,23594000,23644000,23729000,23752000
254,n.ono,26300000,26388000,26440000,26536000,26611000,26697000,26715000,26766000,26834000,26866000
255,j.lysenko,13150000,13179000,13234000,13268000,13334000,13352000,13368000,13379000,13429000,13431000
256,r.arai,22880000,22922000,22941000,23010000,23077000,23155000,23246000,23270000,23312000,23410000
257,x.neri,18630000,18644000,18696000,18754000,18853000,18931000,19000000,19059000,19088000,19160000
258,m.nankwanga,26070000,26168000,26173000,26244000,26298000,26334000,26364000,26453000,26471000,26535000
259,b.kor,11470000,11496000,11529000,11549000,11613000,11697000,11755000,11815000,11883000,11917000
260,t.nyanzi,3970000,3991000,4074000,4137000,4214000,4236000,4279000,4345000,4410000,4508000
261,x.muhwezi,23400000,23477000,23526000,23623000,23680000,23735000,23794000,23794000,23799000,23832000
262,d.pellegrino,27490000,27548000,27604000,27690000,27738000,27818000,27892000,27915000,27970000,28047000
263,g.chong,21360000,21439000,21521000,21534000,21552000,21608000,21620000,21673000,21762000,21799000
264,m.vasquez,26870000,26909000,27001000,27020000,27064000,27088000,27120000,27140000,27162000,27200000
265,c.namutebi,23500000,23550000,23584000,23633000,23677000,23756000,23842000,23870000,23900000,23987000
266,t.zoabi,9510000,9591000,9613000,9687000,9725000,9730000,9826000,9833000,9889000,9923000
267,h.turyatunga,30890000,30931000,30956000,30961000,30974000,30987000,31078000,31178000,31215000,31218000
268,d.iskandar,10370000,10401000,10487000,10534000,10577000,10635000,10731000,10773000,10872000,10969000
269,c.boyko,14380000,14397000,14414000,14468000,14532000,14567000,14634000,14733000,14778000,14805000
270,b.masika,27320000,27337000,27360000,27402000,27502000,27546000,27561000,27653000,27655000,27716000
271,b.weiss,19610000,19645000,19710000,19731000,19770000,19824000,19849000,19911000,19958000,20019000
272,b.wright,21540000,21612000,21674000,21709000,21778000,21878000,21932000,21949000,21952000,21996000
273,k.machava,21500000,21530000,21580000,21659000,21729000,21775000,21858000,21905000,21928000,21995000
274,z.kayendeke,25330000,25400000,25429000,25442000,25463000,25472000,25512000,25513000,25607000,25660000
275,z.mutandwa,25870000,25944000,25955000,25961000,25989000,26029000,26046000,26056000,26065000,26068000
276,y.bintiahmad,11620000,11705000,11752000,11787000,11841000,11882000,11982000,12078000,12137000,12173000
277,j.agaba,21220000,21234000,21240000,21317000,21399000,21469000,21542000,21602000,21659000,21717000
278,f.diaz,29350000,29382000,29439000,29511000,29528000,29621000,29673000,29707000,29787000,29841000
279,r.arai,27430000,27488000,27515000,27572000,27666000,27702000,27800000,27856000,27935000,27976000
280,w.markovi,32680000,32761000,32770000,32787000,32854000,32867000,32920000,33017000,33086000,33094000
281,m.willems,1580000,1605000,1635000,1731000,1808000,1893000,1991000,2066000,2163000,2210000
282,y.owino,37280000,37304000,37374000,37417000,37500000,37524000,37610000,37662000,37720000,37780000
283,q.musimenta,38050000,38053000,38083000,38154000,38198000,38290000,38353000,38391000,38419000,38467000
284,e.mutebi,17000000,17023000,17099000,17165000,17199000,17266000,17312000,17315000,17351000,17392000
285,j.mutonyi,21980000,22036000,22051000,22075000,22142000,22195000,22223000,22238000,22331000,22364000
