,Player,Age,FW,MF,DF,GK
65,a.schmitt,33,1,0,0,0
66,h.gomani,31,1,0,0,0
67,b.mulyana,34,1,1,0,0
68,q.ayerango,24,1,1,0,0
69,k.smits,29,0,0,0,1
70,p.kabugo,22,0,0,0,1
71,d.kojima,28,0,1,0,0
72,a.aryemo,27,0,1,0,0
73,e.yeong,27,0,1,0,0
74,g.gustafsson,25,0,1,0,0
75,r.hamed,28,0,1,0,0
76,h.susanto,21,0,1,0,0
77,g.lukyamuzi,26,0,1,0,0
78,o.mugide,26,0,1,0,0
79,f.nakazibwe,24,0,1,1,0
80,z.okon,21,0,0,1,0
81,g.nimusiima,25,0,0,1,0
82,c.ahmad,29,0,0,1,0
83,c.muyama,24,0,0,1,0
84,g.hernandez,21,0,0,1,0
85,i.donati,27,0,0,1,0
86,l.mugumya,21,0,0,1,0
87,r.ishii,34,0,0,1,0
88,u.wright,26,0,0,1,0
89,z.agyei,18,0,0,1,0
90,q.sarfo,25,0,0,1,0
91,k.nalwanga,20,0,1,1,0
92,i.koomson,21,1,0,0,0
93,l.obote,23,1,0,0,0
94,t.ichikawa,21,1,0,0,0
95,z.nabaweesi,17,1,0,0,0
96,n.gheorghe,30,1,0,0,0
97,q.scott,19,1,0,1,0
98,g.mwebaze,28,0,0,0,1
99,j.rukundo,26,0,1,0,0
100,c.ji,24,0,1,0,0
101,q.nabutono,26,0,1,0,0
102,p.bauri,22,0,1,0,0
103,h.kamugisha,18,0,1,0,0
104,u.garcia,18,0,1,0,0
105,a.miura,30,0,1,0,0
106,s.avraham,31,1,1,0,0
107,e.taylor,26,1,1,0,0
108,y.torres,23,1,1,0,0
109,a.haruna,24,0,0,1,0
110,d.svensson,26,0,0,1,0
111,y.eyotaru,23,0,0,1,0
112,d.martini,28,0,0,1,0
113,s.namugere,29,0,0,1,0
114,t.nouri,21,0,0,1,0
115,u.ortiz,18,0,0,1,0
116,v.thompson,19,0,0,1,0
117,v.binali,24,0,0,1,0
118,s.mlakar,32,1,0,0,0
119,u.chio,30,1,0,0,0
120,m.abur,17,1,0,0,0
121,f.pellegrini,32,1,0,0,0
122,g.adriko,17,1,0,0,0
123,n.nantege,18,1,0,0,0
124,z.makore,21,1,0,0,0
125,d.kayira,20,1,0,0,0
126,x.nakanwagi,25,1,0,0,0
127,r.wanyama,37,0,0,0,1
128,j.nkrumah,24,0,0,0,1
129,m.matsumoto,28,0,1,0,0
130,c.nyesiga,25,0,1,0,0
131,y.diallo,18,0,1,0,0
132,g.baey,25,0,1,0,0
133,i.makavan,27,0,1,0,0
134,j.wan,23,1,1,0,0
135,o.nampeera,20,1,1,0,0
136,b.longoli,30,0,0,1,0
137,f.shkreli,24,0,0,1,0
138,a.tay,31,0,0,1,0
139,b.stewart,23,0,0,1,0
140,h.steiner,21,0,0,1,0
141,k.mirkovi,26,0,0,1,0
142,y.aidoo,24,0,0,1,0
143,c.nyaketcho,24,0,0,1,0
144,q.mbambu,22,1,0,0,0
145,k.muhumuza,21,1,0,0,0
146,m.adoch,26,1,0,0,0
147,h.nsamba,24,1,1,0,0
148,r.dijkstra,29,1,1,0,0
149,e.estrada,24,1,1,0,0
150,e.amponsah,28,1,1,0,0
151,k.namuwaya,23,1,1,0,0
152,c.quartey,18,1,1,0,0
153,j.turyasingura,36,0,0,0,1
154,k.lin,26,0,0,0,1
155,s.herrera,33,0,0,0,1
156,m.alzahrani,28,0,0,0,1
157,r.akech,25,0,1,0,0
158,l.egger,21,0,1,0,0
159,z.cher,24,0,1,0,0
160,p.shehu,29,0,1,0,0
161,t.nkhoma,28,0,1,0,0
162,h.shoko,26,1,1,0,0
163,c.awad,28,1,1,0,0
164,z.chipeta,27,0,0,1,0
165,d.asaba,27,0,0,1,0
166,d.wolf,31,0,0,1,0
167,s.kaggwa,32,0,0,1,0
168,c.nakitto,33,0,0,1,0
169,e.ta,25,0,0,1,0
170,z.semakula,24,0,0,1,0
171,q.aini,22,0,0,1,0
172,e.ramezani,23,0,0,1,0
173,v.ram,24,0,0,1,0
174,z.nakagawa,21,0,0,1,0
175,a.akoth,26,0,0,1,0
176,g.dijkstra,17,1,0,1,0
177,g.siddiqui,24,1,0,0,0
178,u.nalumansi,30,1,0,0,0
179,f.heng,28,1,0,0,0
180,b.asiedu,30,1,0,0,0
181,i.kakuru,18,1,0,0,0
182,c.ssentamu,20,1,0,0,0
183,i.nugraha,19,1,0,0,0
184,v.kumwenda,27,0,0,0,1
185,s.tamale,26,0,0,0,1
186,s.tenywa,20,0,1,0,0
187,e.boadu,30,0,1,0,0
188,t.robert,23,0,1,0,0
189,a.vang,22,0,1,0,0
190,k.abalo,26,0,1,0,0
191,e.nakanjako,19,0,1,0,0
192,y.ferrara,19,1,1,0,0
193,c.carvalho,24,0,0,1,0
194,n.dekker,21,0,0,1,0
195,v.nalukwago,26,0,0,1,0
196,c.hasanovi,23,0,0,1,0
197,c.perkovi,32,0,0,1,0
198,d.lejeune,34,0,0,1,0
199,d.mwandira,22,0,0,1,0
200,f.arslan,28,0,0,1,0
201,n.medina,23,0,0,1,0
202,o.estrada,28,0,0,1,0
203,x.sartori,20,0,0,1,0
204,b.maturu,27,1,0,0,0
205,p.biira,21,1,1,0,0
206,w.rashid,21,1,1,0,0
207,i.mlambo,27,1,1,0,0
208,a.soong,21,0,0,0,1
209,f.malik,20,0,0,0,1
210,n.zhu,22,0,1,0,0
211,c.mawejje,22,0,1,0,0
212,a.henry,23,0,1,0,0
213,b.nakayiwa,32,0,1,0,0
214,f.afful,22,0,1,0,0
215,i.ghoe,29,0,1,0,0
216,x.ferraro,24,0,1,0,0
217,n.kaiser,29,0,1,1,0
218,t.cheung,22,1,1,0,0
219,d.masereka,25,1,1,0,0
220,v.garcia,28,0,0,1,0
221,a.sihombing,27,0,0,1,0
222,f.nassolo,18,0,0,1,0
223,q.achom,30,0,0,1,0
224,m.tumuramye,25,0,0,1,0
225,t.chebet,22,0,0,1,0
226,t.syed,16,0,0,1,0
227,z.rojas,20,0,0,1,0
228,y.niemi,27,1,0,0,0
229,y.wood,27,1,0,0,0
230,f.njoku,27,1,0,0,0
231,w.kayange,24,1,0,0,0
232,a.logose,24,1,1,0,0
233,q.nakityo,27,1,1,0,0
234,u.nakazibwe,26,0,0,0,1
235,f.walker,32,0,0,0,1
236,v.waswa,28,0,1,0,0
237,v.mattila,24,0,1,0,0
238,m.carpentier,25,0,1,0,0
239,h.twongirwe,29,0,1,0,0
240,q.johnsen,18,0,1,0,0
241,p.saputra,33,0,1,1,0
242,i.ocen,31,1,1,0,0
243,l.edwards,25,1,1,0,0
244,n.kamusiime,26,0,0,1,0
245,b.hungwe,34,0,0,1,0
246,h.farina,22,0,0,1,0
247,s.debnath,26,0,0,1,0
248,w.nakiyingi,17,0,0,1,0
249,j.dahiru,27,0,0,1,0
250,t.kafuko,30,0,0,1,0
251,i.namugosa,24,0,0,1,0
252,m.villa,29,1,0,0,0
253,l.lechner,22,1,0,0,0
254,n.ono,22,1,0,0,0
255,j.lysenko,19,1,0,0,0
256,r.arai,28,1,0,0,0
257,x.neri,25,0,0,0,1
258,m.nankwanga,23,0,1,0,0
259,b.kor,29,0,1,0,0
260,t.nyanzi,29,0,1,0,0
261,x.muhwezi,26,0,1,0,0
262,d.pellegrino,29,0,1,0,0
263,g.chong,21,0,1,0,0
264,m.vasquez,26,1,1,0,0
265,c.namutebi,30,1,1,0,0
266,t.zoabi,18,1,1,0,0
267,h.turyatunga,23,1,1,0,0
268,d.iskandar,28,0,0,1,0
269,c.boyko,29,0,0,1,0
270,b.masika,29,0,0,1,0
271,b.weiss,33,0,0,1,0
272,b.wright,29,0,0,1,0
273,k.machava,30,0,0,1,0
274,z.kayendeke,19,0,0,1,0
275,z.mutandwa,32,0,0,1,0
276,y.bintiahmad,17,1,0,1,0
277,j.agaba,22,0,1,1,0
278,f.diaz,28,1,0,0,0
279,r.arai,28,1,0,0,0
280,w.markovi,27,1,1,0,0
281,m.willems,26,1,1,0,0
282,y.owino,32,0,0,0,1
283,q.musimenta,32,0,0,0,1
284,e.mutebi,26,0,1,0,0
285,j.mutonyi,25,0,1,0,0
286,v.mahagna,31,0,1,0,0
287,a.bruno,28,0,1,0,0
288,a.nyasulu,28,0,1,0,0
289,i.joseph,28,0,1,0,0
290,f.hove,29,0,1,1,0
291,m.purnomo,26,1,1,0,0
292,t.mguni,23,1,1,0,0
293,q.sam,33,0,0,1,0
294,s.kasamba,25,0,0,1,0
295,r.navarro,31,0,0,1,0
296,e.dangelo,29,0,0,1,0
297,f.kalule,22,0,0,1,0
298,f.omara,18,0,0,1,0
299,y.deng,21,0,0,1,0
300,d.tawiah,35,0,0,1,0
301,m.happy,23,0,0,1,0
302,h.acan,20,1,0,0,0
303,l.musoki,32,1,0,0,0
304,i.nyamande,22,1,1,0,0
305,s.zandamela,32,0,0,0,1
306,o.nabirye,27,0,1,0,0
307,d.kwagala,28,0,1,0,0
308,t.binmohamed,21,0,1,0,0
309,w.torok,22,0,1,0,0
310,c.kawooya,22,0,1,0,0
311,h.leong,22,0,1,0,0
312,x.boateng,25,0,1,0,0
313,c.mwesige,29,0,1,1,0
314,f.mtambo,26,1,1,0,0
315,v.mudondo,23,1,1,0,0
316,x.joly,21,1,1,0,0
317,r.kawuma,25,0,0,1,0
318,o.bintimohamad,27,0,0,1,0
319,n.binhashim,28,0,0,1,0
320,y.phe,30,0,0,1,0
321,v.abiria,25,0,0,1,0
322,j.sanyu,19,0,0,1,0
323,s.hamza,29,0,0,1,0
324,x.heikkila,25,0,0,1,0
325,i.amoah,26,0,0,1,0
326,f.kollar,29,0,0,1,0
327,v.lao,24,0,0,1,0
328,z.testa,23,0,1,1,0
329,k.najjuma,29,0,1,1,0
330,m.nabukwasi,27,0,1,1,0
331,r.dewit,22,1,0,0,0
332,d.athieno,30,1,0,0,0
333,r.wambi,28,1,0,0,0
334,x.bekher,27,1,1,0,0
335,x.chauhan,27,1,1,0,0
336,m.janssens,30,0,0,0,1
337,k.nandera,30,0,1,0,0
338,a.nassanga,27,0,1,0,0
339,c.kavis,24,0,1,0,0
340,m.ferrara,21,0,1,0,0
341,z.yosef,19,0,1,0,0
342,k.mutero,24,0,1,0,0
343,j.ptersons,25,1,1,0,0
344,h.mafabi,22,1,1,0,0
345,o.magi,26,0,0,1,0
346,m.tang,26,0,0,1,0
347,h.binibrahim,21,0,0,1,0
348,a.janssen,20,0,0,1,0
349,e.patra,19,0,0,1,0
350,f.fujihara,22,0,0,1,0
351,s.hamza,29,0,0,1,0
352,w.karlsson,30,0,0,1,0
353,x.nakibuuka,32,0,0,1,0
354,c.bai,23,0,0,1,0
355,d.nishimura,25,0,1,1,0
356,l.end,24,1,0,0,0
357,z.bintizakaria,26,1,0,0,0
358,l.kyalisiima,21,1,1,0,0
359,c.kadosh,27,1,1,0,0
360,c.guerrero,26,1,1,0,0
361,w.kong,27,0,0,0,1
362,w.nasiru,32,0,0,0,1
363,g.magnusson,22,0,1,0,0
364,h.cardoso,29,0,1,0,0
365,i.nayak,23,0,1,0,0
366,a.abbo,28,0,1,0,0
367,w.yahaya,20,0,1,1,0
368,x.agbaria,18,0,1,1,0
369,j.moller,17,0,1,1,0
370,d.namugerwa,27,1,1,0,0
371,h.ruiz,23,1,1,0,0
372,j.dubois,27,1,1,0,0
373,v.alvarez,23,1,1,0,0
374,u.vitale,26,0,0,1,0
375,p.ferri,21,0,0,1,0
376,a.nangobi,27,0,0,1,0
377,a.tumuhaise,21,0,0,1,0
378,k.yousefi,19,0,0,1,0
379,y.musah,25,0,0,1,0
380,q.donati,31,0,0,1,0
381,p.romero,26,0,1,1,0
382,j.amsalem,29,1,0,0,0
383,x.hasanovi,18,1,0,0,0
384,o.kantono,28,1,1,0,0
385,r.kovalenko,22,1,1,0,0
386,b.alvarez,21,1,1,0,0
387,e.nakyeyune,22,1,1,0,0
388,l.hofmann,17,1,1,0,0
389,l.ozturk,26,1,1,0,0
390,e.hussain,18,1,1,0,0
391,w.bruno,26,1,1,0,0
392,a.bianco,31,0,0,0,1
393,q.nakyeyune,30,0,0,0,1
394,w.akena,35,0,0,0,1
395,k.babi,26,0,1,0,0
396,l.babirye,26,0,1,0,0
397,m.naigaga,28,0,1,0,0
398,v.namayanja,24,0,1,0,0
399,b.chavez,27,0,1,0,0
400,u.nakafeero,20,0,1,0,0
401,e.ishida,30,0,1,0,0
402,m.desmet,33,0,1,1,0
403,i.waiswa,25,1,1,0,0
404,e.kuhn,20,0,0,1,0
405,j.jere,20,0,0,1,0
406,d.asaba,27,0,0,1,0
407,l.chiu,30,0,0,1,0
408,w.twinamatsiko,26,0,0,1,0
409,d.shahar,23,0,0,1,0
410,f.fujihara,22,0,0,1,0
411,j.ssempijja,25,0,0,1,0
412,p.byamukama,29,0,0,1,0
413,q.tiko,19,0,0,1,0
414,d.obeng,23,1,0,0,0
415,d.tukamuhebwa,20,1,0,0,0
416,t.acom,27,1,0,0,0
417,f.siddiqui,19,1,0,0,0
418,s.sarpong,32,1,0,0,0
419,a.mlenga,23,0,0,0,1
420,f.ribeiro,29,0,0,0,1
421,a.kiss,23,0,1,0,0
422,v.nakayima,27,0,1,0,0
423,a.lombardi,27,0,1,0,0
424,n.nyesiga,19,0,1,0,0
425,a.avako,24,0,1,1,0
426,g.abbas,21,0,1,1,0
427,x.nabaggala,25,1,1,0,0
428,r.jacobs,25,1,1,0,0
429,a.andama,19,0,0,1,0
430,y.nassuuna,23,0,0,1,0
431,j.kyarisiima,20,0,0,1,0
432,m.balaz,18,0,0,1,0
433,q.coppola,23,0,0,1,0
434,v.mhlanga,26,0,0,1,0
435,j.kawano,22,0,0,1,0
436,o.khainza,34,0,0,1,0
437,j.kondowe,27,0,0,1,0
438,g.tamm,17,0,1,1,0
439,d.mabhena,26,0,1,1,0
440,h.robert,20,1,0,0,0
441,b.zheng,26,1,0,0,0
442,i.abeja,32,1,0,0,0
443,y.mutema,26,1,0,0,0
444,i.binyusof,30,1,1,0,0
445,b.obonyo,31,1,1,0,0
446,r.ssembatya,27,1,1,0,0
447,n.kyohirwe,26,0,0,0,1
448,y.kyosiimire,25,0,0,0,1
449,x.driscoll,19,0,0,0,1
450,p.addae,32,0,0,0,1
451,d.muhammad,29,0,1,0,0
452,h.chirwa,17,0,1,0,0
453,p.xu,17,0,1,0,0
454,k.opio,25,0,1,0,0
455,e.sommer,25,0,1,0,0
456,i.marie,26,0,1,0,0
457,o.musonza,29,0,1,1,0
458,f.yunusa,25,0,1,1,0
459,z.ahmetovi,27,1,1,0,0
460,o.kuloba,24,0,0,1,0
461,a.nabuuma,21,0,0,1,0
462,l.mulyani,32,0,0,1,0
463,o.wagner,24,0,0,1,0
464,p.amaniyo,26,0,0,1,0
465,q.muduwa,32,0,0,1,0
466,s.bukirwa,22,0,0,1,0
467,a.palmieri,33,0,0,1,0
468,a.samanya,26,1,1,0,0
469,f.lakot,29,1,1,0,0
470,g.lombardo,21,1,1,0,0
471,g.munsaka,30,1,1,0,0
472,k.adong,26,1,1,0,0
473,y.low,22,1,1,0,0
474,e.ciobanu,25,1,1,0,0
475,f.kimera,22,0,0,0,1
476,h.jew,26,0,0,0,1
477,f.kabanda,20,0,1,0,0
478,h.lwanga,19,0,1,0,0
479,j.takali,21,0,1,0,0
480,z.mlilo,25,0,1,0,0
481,m.hassan,27,0,1,0,0
482,f.aziz,28,1,1,0,0
483,s.vidal,30,1,1,0,0
484,w.santoro,26,0,0,1,0
485,e.gamal,26,0,0,1,0
486,i.chandra,22,0,0,1,0
487,p.igwe,33,0,0,1,0
488,j.mushabe,28,0,0,1,0
489,k.abou,28,0,0,1,0
490,k.oloya,27,0,0,1,0
491,b.lai,30,0,0,1,0
492,l.okoye,23,0,0,1,0
493,f.ahebwa,19,0,0,1,0
494,k.mpirirwe,23,0,1,1,0
495,a.musonza,33,1,0,0,0
496,e.cortez,22,1,0,0,0
497,u.atugonza,20,1,0,0,0
498,f.salonen,21,1,0,1,0
499,b.ndlovu,20,1,1,0,0
500,y.horvath,26,1,1,0,0
501,v.bwambale,32,0,0,0,1
502,u.hansen,23,0,1,0,0
503,c.langa,19,0,1,0,0
504,l.kond,17,0,1,0,0
505,w.noguchi,25,0,1,0,0
506,m.muwanga,22,0,1,0,0
507,m.anderson,26,0,1,0,0
508,c.shaheen,19,1,1,0,0
509,t.karmakar,28,1,1,0,0
510,s.namanya,30,0,0,1,0
511,j.suissa,25,0,0,1,0
512,e.fujii,19,0,0,1,0
513,g.namanya,28,0,0,1,0
514,h.kaweesi,27,0,0,1,0
515,u.muller,22,0,0,1,0
516,x.bintiawang,29,0,0,1,0
517,o.tshuma,24,0,1,1,0
518,a.jensen,23,1,0,0,0
519,q.ssemwogerere,32,1,0,0,0
520,c.kwakye,27,1,0,0,0
521,b.ghorbani,25,1,0,0,0
522,h.bintiyusof,28,1,1,0,0
523,u.dewi,22,1,1,0,0
524,t.bukar,27,0,0,0,1
525,b.nalwanga,31,0,1,0,0
526,c.chiwaya,32,0,1,0,0
527,f.perrin,20,0,1,0,0
528,k.kaudha,21,0,1,0,0
529,m.jha,29,0,1,0,0
530,o.soleimani,21,0,1,0,0
531,t.orishaba,25,0,1,0,0
532,n.ajidiru,19,0,1,0,0
533,c.sari,20,1,1,0,0
534,x.odongo,25,1,1,0,0
535,c.namagembe,18,0,0,1,0
536,c.nassiri,27,0,0,1,0
537,m.wojcik,24,0,0,1,0
538,o.monday,24,0,0,1,0
539,t.mande,18,0,0,1,0
540,t.nansubuga,18,0,0,1,0
541,x.olah,21,0,0,1,0
542,h.parn,25,0,0,1,0
543,b.demir,21,0,0,1,0
544,e.bintiabdullah,26,0,0,1,0
545,a.zimmermann,27,0,0,1,0
546,o.dumitru,26,1,0,0,0
547,r.nanono,23,1,0,0,0
548,u.musekiwa,21,1,0,0,0
549,g.razak,28,0,0,0,1
550,t.kibuuka,31,0,0,0,1
551,e.loh,29,0,0,0,1
552,c.kimura,21,0,1,0,0
553,f.deleon,30,0,1,0,0
554,g.okeny,17,0,1,0,0
555,m.onyango,16,0,1,0,0
556,n.makombe,20,0,1,0,0
557,s.ssenyonga,18,0,1,0,0
558,c.ochen,31,1,1,0,0
559,m.chari,19,1,1,0,0
560,n.obua,19,1,1,0,0
561,o.tusabe,24,1,1,0,0
562,x.chevalier,22,1,1,0,0
563,y.kabiru,21,1,1,0,0
564,i.harawa,31,1,1,0,0
565,o.barone,31,0,0,1,0
566,g.sande,23,0,0,1,0
567,m.kamya,21,0,0,1,0
568,o.kembabazi,19,0,0,1,0
569,l.wenene,24,0,0,1,0
570,n.nakacwa,24,1,0,1,0
571,q.mutabazi,21,1,0,0,0
572,o.ghanbari,22,1,0,0,0
573,q.nampijja,17,1,0,0,0
574,c.nafuna,22,1,1,0,0
575,e.cortez,22,1,1,0,0
576,h.simanjuntak,20,1,1,0,0
577,t.peng,20,1,1,0,0
578,n.grgi,22,1,1,0,0
579,n.lee,28,1,1,0,0
580,v.nabbosa,21,1,1,0,0
581,e.muwanguzi,24,1,1,0,0
582,j.matambo,22,0,0,0,1
583,k.adero,23,0,0,0,1
584,t.makaza,28,0,1,0,0
585,k.akullu,28,0,1,0,0
586,h.rees,23,0,1,0,0
587,e.ayerango,24,0,1,0,0
588,q.pettersson,35,0,1,0,0
589,r.rusere,21,0,1,0,0
590,x.opira,17,1,1,0,0
591,n.kayemba,34,0,0,1,0
592,j.arach,25,0,0,1,0
593,q.basemera,35,0,0,1,0
594,t.gayakwad,25,0,0,1,0
595,k.nambi,21,0,0,1,0
596,m.namale,28,0,0,1,0
597,b.kaweesa,29,0,0,1,0
598,r.arineitwe,23,0,0,1,0
599,d.ochan,26,1,0,0,0
600,f.chiumia,23,1,0,0,0
601,r.ibrahimovi,21,1,0,0,0
602,b.moss,25,1,0,0,0
603,i.yoshida,23,1,0,0,0
604,p.martin,17,1,0,0,0
605,a.maganda,25,1,1,0,0
606,t.dehghan,24,1,1,0,0
607,k.tukamushaba,23,1,1,0,0
608,k.boyer,27,1,1,0,0
609,q.balodis,24,1,1,0,0
610,y.campbell,32,0,0,0,1
611,m.tetteh,26,0,1,0,0
612,e.daan,22,0,1,0,0
613,g.jee,25,0,1,0,0
614,p.giramia,28,0,1,0,0
615,x.santoso,36,0,1,0,0
616,l.gutierrez,21,1,1,0,0
617,e.kunihira,28,1,1,0,0
618,k.weiss,22,0,0,1,0
619,f.binishak,31,0,0,1,0
620,f.turunen,22,0,0,1,0
621,k.amer,21,0,0,1,0
622,k.ber,18,0,0,1,0
623,s.aisyah,22,0,0,1,0
624,c.namanda,35,0,0,1,0
625,y.koay,27,0,0,1,0
626,u.lindberg,22,0,1,1,0
627,q.mangwiro,24,1,0,0,0
628,u.mustapha,18,1,0,0,0
629,u.cardoso,23,1,0,0,0
630,h.sugiyama,25,1,1,0,0
631,q.awekonimungu,23,1,1,0,0
632,e.wibowo,27,0,0,0,1
633,b.ochieng,35,0,0,0,1
634,g.nakisuyi,23,0,1,0,0
635,f.bello,25,0,1,0,0
636,i.salminen,16,0,1,0,0
637,l.akulu,18,0,1,0,0
638,m.jha,29,0,1,0,0
639,y.ademovi,30,0,1,0,0
640,y.zia,28,0,1,0,0
641,m.sharabi,20,0,1,1,0
642,d.kakande,26,1,1,0,0
643,q.ajiko,22,1,1,0,0
644,x.ssemakula,21,0,0,1,0
645,a.nakiranda,18,0,0,1,0
646,e.fernando,27,0,0,1,0
647,e.schmitz,20,0,0,1,0
648,m.begu,18,0,0,1,0
649,u.chen,34,0,0,1,0
650,v.nyiramugisha,33,0,0,1,0
651,l.rostami,26,0,0,1,0
652,s.agustina,28,0,0,1,0
653,i.norouzi,23,0,0,1,0
654,k.guerra,19,1,0,0,0
655,p.kamya,26,1,0,0,0
656,t.amutuhaire,21,1,0,0,0
657,a.kyohirwe,19,1,0,0,0
658,d.dumitru,24,1,0,1,0
659,u.madondo,22,1,0,1,0
660,i.okada,32,1,1,0,0
661,h.winkler,28,1,1,0,0
662,v.gallo,28,1,1,0,0
663,d.fuchs,32,0,0,0,1
664,h.kamal,33,0,0,0,1
665,i.sano,17,0,0,0,1
666,b.guillot,25,0,1,0,0
667,v.ezra,21,0,1,0,0
668,g.avraham,21,0,1,0,0
669,h.nsungwa,20,0,1,0,0
670,j.martinelli,33,0,1,0,0
671,n.opolot,17,0,1,0,0
672,n.oyama,29,0,1,1,0
673,c.nankya,18,1,1,0,0
674,h.munetsi,29,1,1,0,0
675,i.maes,26,0,0,1,0
676,e.ilukol,23,0,0,1,0
677,f.olinga,27,0,0,1,0
678,m.ruggiero,23,0,0,1,0
679,l.masaba,32,0,0,1,0
680,t.dadzie,30,0,0,1,0
681,r.dumont,24,0,0,1,0
682,e.ooi,21,0,1,1,0
683,d.tshuma,24,1,0,0,0
684,e.okonkwo,19,1,0,0,0
685,s.moss,25,1,0,0,0
686,x.kwesiga,20,1,0,0,0
687,h.amponsah,26,1,0,0,0
688,a.salazar,22,1,0,0,0
689,k.olsen,18,1,0,0,0
690,v.nakibuule,24,1,1,0,0
691,m.natumanya,30,0,0,0,1
692,r.rizzi,31,0,0,0,1
693,f.evans,22,0,1,0,0
694,q.kaseke,23,0,1,0,0
695,a.nwachukwu,23,0,1,0,0
696,p.oravec,28,0,1,0,0
697,q.chean,34,0,1,0,0
698,e.ueda,25,1,1,0,0
699,d.jansson,21,0,0,1,0
700,s.nalugwa,32,0,0,1,0
701,w.muchenje,23,0,0,1,0
702,m.ma,18,0,0,1,0
703,x.mostafa,30,0,0,1,0
704,j.kinoshita,31,0,0,1,0
705,h.naluyima,24,0,0,1,0
706,h.lefebvre,24,0,0,1,0
707,u.utomo,18,1,0,0,0
708,t.tindyebwa,30,1,0,0,0
709,a.uy,21,1,1,0,0
710,o.martini,23,1,1,0,0
711,a.nakalyango,24,1,1,0,0
712,v.arnold,25,0,0,0,1
713,x.adikini,24,0,0,0,1
714,b.binawang,25,0,1,0,0
715,f.awino,27,0,1,0,0
716,k.birungi,18,0,1,0,0
717,p.otto,29,0,1,0,0
718,v.tong,39,0,1,0,0
719,w.mugisha,27,0,1,0,0
720,t.owiny,24,0,1,0,0
721,b.nakabugo,31,0,1,1,0
722,j.kirabo,33,1,1,0,0
723,s.oroma,20,1,1,0,0
724,v.nagawa,20,1,1,0,0
725,d.tkachenko,21,1,1,0,0
726,n.olinga,21,1,1,0,0
727,f.hubert,25,0,0,1,0
728,r.mutumba,20,0,0,1,0
729,m.tseu,22,0,0,1,0
730,a.pena,29,0,0,1,0
731,p.chi,29,0,0,1,0
732,f.baguma,27,1,0,1,0
733,f.kobugabe,19,0,1,1,0
734,j.ginting,17,0,1,1,0
735,c.omar,29,1,0,0,0
736,q.okiror,32,1,0,0,0
737,s.abdullahi,26,1,0,0,0
738,p.jackson,29,1,0,0,0
739,t.marques,18,1,1,0,0
740,f.schafer,23,1,1,0,0
741,a.mbusa,34,0,0,0,1
742,n.tumwesigye,36,0,0,0,1
743,a.odaga,29,0,1,0,0
744,k.makaza,24,0,1,0,0
745,l.ayebale,21,0,1,0,0
746,q.ruzvidzo,24,0,1,0,0
747,l.hall,32,0,1,0,0
748,z.heinonen,21,1,1,0,0
749,k.baumann,24,1,1,0,0
750,m.chavula,30,0,0,1,0
751,w.aciro,27,0,0,1,0
752,i.nabatanzi,35,0,0,1,0
