,Player,Nation,FW,MF,DF,GK,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
60,y.manjate,Byasier Pujan,1,0,0,0,27,1994,4.9,0.32,4.72,1.64,34.82,4.65,1.74,0.02,0.16,,0.18,0.12,Tournament,2020,,,,,,
61,z.masawi,Byasier Pujan,1,0,0,0,22,1998,0.87,-0.09,0.03,0.01,,-0.01,0.08,,,,-0.05,0.1,Tournament,2020,,,,,,
62,z.namiiro,Byasier Pujan,1,0,0,0,29,1992,3.15,-0.03,1.9,0.27,16.68,1.99,0.41,-0.06,0.01,,0.09,-0.09,Tournament,2020,,,,,,
63,y.saar,Byasier Pujan,1,1,0,0,34,1986,0.15,-0.04,10.03,-0.05,0.04,14.93,-0.04,-0.09,,,-0.03,-0.04,Tournament,2020,,,,,,
64,a.bianco,Byasier Pujan,0,0,0,1,33,1988,1.98,0.06,-0.04,0.02,,0.02,-0.07,,,,0.03,-0.05,Tournament,2020,,,,,,
65,o.nabunya,Byasier Pujan,0,0,0,1,32,1989,4.03,-0.1,-0.08,-0.04,,0.03,-0.02,,,,0.09,0.07,Tournament,2020,,,,,,
66,a.ashaba,Byasier Pujan,0,1,0,0,28,1993,1.79,0.0,0.6,0.04,0.0,0.52,-0.1,-0.06,,,-0.05,-0.06,Tournament,2020,,,,,,
67,g.hartmann,Byasier Pujan,0,1,0,0,24,1997,2.36,0.45,0.86,0.9,100.02,0.82,0.85,0.58,0.45,,0.04,-0.07,Tournament,2020,,,,,,
68,h.gaillard,Byasier Pujan,0,1,0,0,24,1997,5.98,0.03,0.6,0.34,50.06,0.76,0.3,0.06,0.08,,-0.1,0.07,Tournament,2020,,,,,,
69,w.nabuuma,Byasier Pujan,0,1,0,0,30,1991,3.08,0.02,0.96,0.09,0.02,0.92,-0.06,-0.05,,,0.04,0.07,Tournament,2020,,,,,,
70,v.waswa,Byasier Pujan,1,1,0,0,30,1990,5.72,0.47,1.89,1.28,63.57,1.93,1.19,0.35,0.45,,0.02,-0.03,Tournament,2020,,,,,,
71,b.balodis,Cabballi,0,0,1,0,21,2000,1.99,-0.1,0.01,0.05,,0.03,0.07,,,,-0.1,0.05,Tournament,2020,,,,,,
72,b.maman,Cabballi,0,0,1,0,25,1996,3.75,0.06,-0.07,0.02,,-0.01,-0.01,,,,0.09,-0.05,Tournament,2020,,,,,,
73,f.leitner,Cabballi,0,0,1,0,26,1995,1.58,-0.06,-0.1,0.07,,0.0,-0.06,,,,-0.08,0.0,Tournament,2020,,,,,,
74,j.jha,Cabballi,0,0,1,0,28,1993,6.09,0.0,0.65,0.02,-0.01,0.64,-0.04,-0.06,,,-0.01,-0.1,Tournament,2020,,,,,,
75,m.mayr,Cabballi,0,0,1,0,31,1990,0.95,-0.04,0.02,0.03,,0.0,-0.04,,,,0.04,-0.1,Tournament,2020,,,,,,
76,u.abonyo,Cabballi,0,0,1,0,32,1989,2.14,-0.01,0.08,-0.03,,0.1,0.02,,,,-0.1,-0.03,Tournament,2020,,,,,,
77,x.imalingat,Cabballi,0,0,1,0,27,1994,3.48,0.03,0.67,-0.07,-0.02,0.69,0.03,0.01,,,-0.01,0.1,Tournament,2020,,,,,,
78,a.kasaija,Cabballi,0,1,1,0,24,1997,2.68,0.0,0.01,-0.01,,-0.08,0.08,,,,0.1,-0.07,Tournament,2020,,,,,,
79,f.palumbo,Cabballi,0,1,1,0,27,1994,0.59,0.02,3.42,-0.03,-0.09,3.3,-0.03,-0.05,,,0.07,-0.06,Tournament,2020,,,,,,
80,w.fatimah,Cabballi,0,1,1,0,34,1987,0.08,0.1,0.06,0.09,,0.02,0.06,,,,0.01,0.08,Tournament,2020,,,,,,
81,b.leone,Cabballi,1,0,0,0,28,1993,2.23,-0.05,3.08,1.31,42.92,2.94,1.21,0.09,-0.04,,-0.08,0.05,Tournament,2020,,,,,,
82,d.tushabe,Cabballi,1,0,0,0,20,2001,0.73,0.05,1.38,1.53,99.96,1.47,1.34,-0.1,-0.03,,-0.08,0.04,Tournament,2020,,,,,,
83,d.vincent,Cabballi,1,0,0,0,33,1988,3.09,0.04,3.17,0.02,0.08,3.2,0.0,-0.04,,,0.09,0.06,Tournament,2020,,,,,,
84,e.hagen,Cabballi,1,0,0,0,18,2003,1.5,-0.09,0.01,-0.05,,0.03,0.09,,,,-0.04,0.08,Tournament,2020,,,,,,
85,h.okot,Cabballi,1,0,0,0,25,1996,1.92,0.09,-0.08,-0.09,,0.05,0.06,,,,0.02,0.01,Tournament,2020,,,,,,
86,q.murray,Cabballi,1,0,0,0,24,1997,0.17,0.08,-0.09,-0.08,,0.02,0.1,,,,0.07,-0.09,Tournament,2020,,,,,,
87,c.blanchard,Cabballi,1,0,1,0,25,1995,2.09,-0.06,0.97,0.08,0.05,0.96,-0.02,-0.01,,,-0.01,0.07,Tournament,2020,,,,,,
88,k.alinaitwe,Cabballi,1,1,0,0,20,2001,4.34,-0.08,-0.04,-0.02,,-0.02,-0.05,,,,0.01,-0.1,Tournament,2020,,,,,,
89,k.salim,Cabballi,1,1,0,0,25,1995,0.08,-0.04,-0.07,-0.08,,0.0,-0.03,,,,-0.05,0.01,Tournament,2020,,,,,,
90,r.wada,Cabballi,1,1,0,0,25,1996,5.61,0.02,2.35,0.71,30.86,2.31,0.69,-0.08,-0.03,,0.02,0.0,Tournament,2020,,,,,,
91,a.kova,Cabballi,0,0,0,1,22,1999,3.04,-0.03,0.02,-0.1,,0.08,0.08,,,,0.05,0.08,Tournament,2020,,,,,,
92,m.mwale,Cabballi,0,0,0,1,22,1998,2.91,0.06,0.07,-0.01,,0.05,-0.08,,,,-0.05,0.07,Tournament,2020,,,,,,
93,a.ado,Cabballi,0,1,0,0,23,1998,5.77,0.39,2.0,0.34,18.11,1.89,0.42,0.02,0.5,,0.2,0.1,Tournament,2020,,,,,,
94,f.masuda,Cabballi,0,1,0,0,25,1996,0.48,0.08,0.01,0.04,,0.07,0.07,,,,0.04,0.04,Tournament,2020,,,,,,
95,h.salo,Cabballi,0,1,0,0,28,1993,3.37,0.1,0.28,0.36,99.92,0.22,0.38,0.07,0.0,,0.04,0.04,Tournament,2020,,,,,,
96,m.bertrand,Cabballi,0,1,0,0,26,1995,0.1,0.08,-0.03,-0.06,,0.09,0.02,,,,0.02,-0.1,Tournament,2020,,,,,,
97,y.liew,Cabballi,0,1,0,0,26,1995,1.98,-0.05,2.16,0.49,25.09,2.05,0.43,0.04,0.0,,0.05,0.1,Tournament,2020,,,,,,
98,n.kok,Cabballi,0,1,1,0,25,1996,4.07,0.09,0.74,0.24,33.33,0.83,0.29,-0.06,0.04,,0.06,-0.09,Tournament,2020,,,,,,
99,g.gwenzi,Cabral Retrea,0,0,1,0,26,1995,1.0,0.09,1.03,-0.09,-0.09,1.05,-0.08,0.07,,,0.04,-0.02,Tournament,2020,,,,,,
100,i.tumwesige,Cabral Retrea,0,0,1,0,28,1993,3.04,-0.01,0.3,0.02,0.06,0.27,-0.07,0.1,,,0.08,0.0,Tournament,2020,,,,,,
101,j.laurent,Cabral Retrea,0,0,1,0,31,1989,1.82,-0.04,0.54,0.04,-0.03,0.56,-0.05,0.01,,,0.01,-0.02,Tournament,2020,,,,,,
102,o.ajambo,Cabral Retrea,0,0,1,0,29,1992,4.04,0.01,1.26,0.0,-0.1,1.3,-0.03,0.09,,,0.01,-0.01,Tournament,2020,,,,,,
103,q.soliman,Cabral Retrea,0,0,1,0,24,1997,1.01,0.05,0.99,1.06,99.94,0.95,1.05,0.09,-0.05,,-0.04,-0.07,Tournament,2020,,,,,,
104,r.muchanga,Cabral Retrea,0,0,1,0,35,1986,0.94,0.91,1.97,1.05,50.06,2.02,0.97,0.55,0.98,,0.07,0.04,Tournament,2020,,,,,,
105,t.tsui,Cabral Retrea,0,0,1,0,27,1994,0.97,-0.02,1.06,-0.03,0.04,1.09,-0.09,-0.04,,,0.07,-0.04,Tournament,2020,,,,,,
106,t.umar,Cabral Retrea,0,0,1,0,25,1996,1.14,0.08,0.07,-0.06,,0.1,-0.03,,,,0.03,-0.06,Tournament,2020,,,,,,
107,z.abur,Cabral Retrea,0,0,1,0,29,1992,3.72,-0.06,0.33,0.04,0.01,0.24,0.03,0.04,,,-0.07,0.07,Tournament,2020,,,,,,
108,i.kakaire,Cabral Retrea,0,1,1,0,29,1992,0.03,0.03,0.08,-0.01,,-0.03,0.09,,,,0.06,0.01,Tournament,2020,,,,,,
109,a.matsuda,Cabral Retrea,1,0,0,0,23,1998,1.07,0.03,0.07,0.05,,0.09,-0.08,,,,-0.08,-0.06,Tournament,2020,,,,,,
110,b.dewi,Cabral Retrea,1,0,0,0,34,1986,0.62,0.06,3.31,-0.07,0.05,3.18,-0.09,-0.02,,,0.06,0.0,Tournament,2020,,,,,,
111,d.serra,Cabral Retrea,1,0,0,0,27,1994,1.67,0.0,3.74,0.73,16.73,3.72,0.67,-0.09,-0.03,,-0.06,0.0,Tournament,2020,,,,,,
112,e.putri,Cabral Retrea,1,0,0,0,26,1995,1.05,-0.01,-0.03,0.1,,0.09,-0.06,,,,0.08,0.02,Tournament,2020,,,,,,
113,h.green,Cabral Retrea,1,0,0,0,35,1986,1.35,-0.05,0.79,-0.04,-0.02,0.68,0.0,-0.08,,,0.02,0.05,Tournament,2020,,,,,,
114,h.hara,Cabral Retrea,1,0,0,0,26,1994,0.98,0.08,2.0,-0.03,0.04,2.13,0.01,-0.03,,,-0.07,0.01,Tournament,2020,,,,,,
115,n.laitinen,Cabral Retrea,1,0,0,0,25,1996,2.06,0.56,3.48,2.5,71.43,3.38,2.36,0.04,0.26,,0.08,0.0,Tournament,2020,,,,,,
116,r.lau,Cabral Retrea,1,0,0,0,23,1998,0.61,0.05,1.47,1.39,100.03,1.47,1.41,-0.01,-0.08,,0.03,-0.04,Tournament,2020,,,,,,
117,x.fumo,Cabral Retrea,1,0,0,0,30,1991,3.39,0.32,1.17,1.16,99.98,1.12,1.21,0.18,0.22,,0.03,0.04,Tournament,2020,,,,,,
118,m.agyekum,Cabral Retrea,1,1,0,0,28,1993,0.08,-0.06,-0.09,-0.06,,0.1,-0.08,,,,0.1,0.03,Tournament,2020,,,,,,
119,p.namawejje,Cabral Retrea,1,1,0,0,33,1988,0.24,4.92,4.95,4.94,99.95,5.28,5.37,1.08,0.99,,0.06,-0.03,Tournament,2020,,,,,,
120,o.noor,Cabral Retrea,0,0,0,1,35,1986,4.92,0.03,-0.06,0.04,,-0.02,-0.05,,,,0.08,-0.02,Tournament,2020,,,,,,
121,b.atiku,Cabral Retrea,0,1,0,0,31,1990,3.13,0.34,1.26,0.27,24.95,1.33,0.36,0.29,1.0,,0.05,0.07,Tournament,2020,,,,,,
122,b.ojiambo,Cabral Retrea,0,1,0,0,33,1988,1.14,0.08,0.06,-0.01,,-0.05,-0.02,,,,-0.05,0.09,Tournament,2020,,,,,,
123,c.yiga,Cabral Retrea,0,1,0,0,29,1992,2.24,0.09,0.94,-0.04,0.03,0.96,0.08,-0.06,,,-0.08,-0.01,Tournament,2020,,,,,,
124,i.chiu,Cabral Retrea,0,1,0,0,25,1996,3.05,-0.06,1.3,0.61,50.01,1.26,0.66,0.06,0.03,,0.09,0.03,Tournament,2020,,,,,,
125,l.nandutu,Cabral Retrea,0,1,0,0,34,1986,1.06,-0.02,-0.03,0.07,,0.02,0.09,,,,-0.03,-0.1,Tournament,2020,,,,,,
126,m.zaki,Cabral Retrea,0,1,0,0,32,1989,0.67,0.06,0.06,0.1,,-0.1,-0.01,,,,0.01,0.09,Tournament,2020,,,,,,
127,r.mar,Cabral Retrea,0,1,0,0,24,1997,1.89,0.07,0.51,0.5,100.02,0.44,0.48,0.01,0.04,,-0.02,0.07,Tournament,2020,,,,,,
128,z.rozman,Cabral Retrea,0,1,0,0,28,1993,3.0,-0.01,2.92,1.04,33.38,2.98,1.04,-0.02,-0.05,,-0.09,0.06,Tournament,2020,,,,,,
129,f.juarez,Cabral Retrea,1,1,0,0,23,1998,1.4,-0.02,-0.05,-0.09,,0.01,-0.03,,,,-0.04,-0.06,Tournament,2020,,,,,,
130,c.goncalves,Cuandbo,0,0,1,0,26,1995,3.03,-0.09,-0.01,0.0,,0.0,0.0,,,,0.02,-0.08,Tournament,2020,,,,,,
131,c.tso,Cuandbo,0,0,1,0,35,1986,0.74,0.03,-0.04,-0.03,,0.05,0.09,,,,0.07,0.04,Tournament,2020,,,,,,
132,l.betancourt,Cuandbo,0,0,1,0,36,1984,2.55,0.33,0.39,0.38,100.04,0.32,0.47,0.93,1.07,,0.01,-0.01,Tournament,2020,,,,,,
133,m.larsen,Cuandbo,0,0,1,0,28,1993,3.86,0.05,0.33,0.04,0.06,0.3,0.08,-0.04,,,0.1,-0.08,Tournament,2020,,,,,,
134,t.adero,Cuandbo,0,0,1,0,28,1993,5.01,0.05,-0.03,0.05,,-0.01,0.05,,,,-0.02,-0.03,Tournament,2020,,,,,,
135,t.lopes,Cuandbo,0,0,1,0,32,1989,1.05,0.1,-0.08,0.03,,-0.05,-0.09,,,,-0.07,-0.09,Tournament,2020,,,,,,
136,x.nanyonga,Cuandbo,0,0,1,0,39,1982,2.1,0.0,0.56,0.03,0.02,0.5,0.04,0.02,,,-0.04,-0.08,Tournament,2020,,,,,,
137,y.xie,Cuandbo,0,0,1,0,31,1990,3.52,0.03,0.31,0.35,99.97,0.35,0.32,0.02,0.05,,-0.01,-0.03,Tournament,2020,,,,,,
138,c.oneill,Cuandbo,1,0,0,0,31,1990,0.22,-0.01,0.02,-0.06,,0.04,-0.02,,,,-0.04,-0.03,Tournament,2020,,,,,,
139,d.wanjala,Cuandbo,1,0,0,0,28,1993,0.72,1.27,0.03,0.07,,-0.04,0.03,,,,0.03,0.05,Tournament,2020,,,,,,
140,d.yeung,Cuandbo,1,0,0,0,24,1997,4.8,0.01,0.7,0.27,33.27,0.57,0.25,-0.07,-0.09,,0.04,-0.07,Tournament,2020,,,,,,
141,n.nowak,Cuandbo,1,0,0,0,32,1989,0.37,0.05,3.42,3.29,99.92,3.2,3.15,0.09,-0.02,,0.09,-0.1,Tournament,2020,,,,,,
142,s.albrecht,Cuandbo,1,0,0,0,31,1990,0.58,1.95,2.03,2.01,99.94,2.08,2.11,1.04,0.97,,-0.02,0.02,Tournament,2020,,,,,,
143,v.cohen,Cuandbo,1,0,0,0,29,1992,4.39,0.05,0.71,0.51,66.69,0.63,0.48,0.06,0.1,,0.05,-0.01,Tournament,2020,,,,,,
144,l.sartori,Cuandbo,1,1,0,0,37,1984,0.63,0.07,0.08,-0.07,,0.07,0.04,,,,-0.02,-0.05,Tournament,2020,,,,,,
145,m.ouma,Cuandbo,0,0,0,1,32,1989,1.45,-0.05,0.1,0.02,,-0.06,-0.09,,,,-0.05,0.01,Tournament,2020,,,,,,
146,x.adikini,Cuandbo,0,0,0,1,26,1995,1.92,0.08,-0.01,-0.01,,0.03,-0.04,,,,-0.06,0.01,Tournament,2020,,,,,,
147,z.thomson,Cuandbo,0,0,0,1,37,1984,2.52,0.09,0.09,0.05,,0.03,0.09,,,,-0.05,0.03,Tournament,2020,,,,,,
148,c.bagonza,Cuandbo,0,1,0,0,18,2003,-0.02,0.02,0.06,0.04,,0.09,-0.08,,,,0.1,-0.05,Tournament,2020,,,,,,
149,d.namaganda,Cuandbo,0,1,0,0,22,1999,1.83,-0.01,0.5,0.47,99.99,0.59,0.62,0.04,0.06,,-0.04,-0.01,Tournament,2020,,,,,,
150,e.rudenko,Cuandbo,0,1,0,0,32,1989,0.79,0.06,-0.02,0.09,,-0.03,-0.08,,,,-0.05,0.03,Tournament,2020,,,,,,
151,j.namakoye,Cuandbo,0,1,0,0,33,1988,5.47,0.08,0.61,0.13,33.38,0.6,0.27,-0.08,-0.08,,-0.08,0.23,Tournament,2020,,,,,,
152,k.nagujja,Cuandbo,0,1,0,0,31,1990,2.41,0.0,0.39,-0.02,0.02,0.49,0.04,0.05,,,-0.09,-0.03,Tournament,2020,,,,,,
153,o.daniel,Cuandbo,0,1,0,0,28,1993,1.65,-0.08,0.67,0.01,0.1,0.53,0.03,0.07,,,0.07,0.03,Tournament,2020,,,,,,
154,q.nyachwo,Cuandbo,0,1,0,0,23,1998,0.68,-0.01,1.48,1.52,99.94,1.34,1.44,-0.07,-0.04,,-0.08,0.07,Tournament,2020,,,,,,
155,t.juma,Cuandbo,0,1,0,0,22,1998,1.13,-0.05,-0.07,0.08,,0.04,-0.06,,,,-0.09,-0.09,Tournament,2020,,,,,,
156,z.angom,Cuandbo,0,1,0,0,19,2002,0.53,-0.07,-0.1,0.02,,0.03,0.05,,,,-0.01,-0.08,Tournament,2020,,,,,,
157,m.munguambe,Cuandbo,0,1,1,0,30,1991,5.5,0.09,0.48,0.21,33.29,0.54,0.27,-0.04,-0.09,,0.06,-0.09,Tournament,2020,,,,,,
