,Player,Nation,Age,FW,MF,DF,GK,Raritan,player_id
76,a.nwachukwu,Dosqaly,24,0,1,0,0,0,a.nwachukwu-Dosqaly
77,a.nyasulu,Rosvi,29,0,1,0,0,0,a.nyasulu-Rosvi
78,a.oconnor,Nganion,18,0,0,1,0,0,a.oconnor-Nganion
79,a.odaga,Byasier Pujan,30,0,1,0,0,0,a.odaga-Byasier Pujan
80,a.olobo,Biarizea,27,0,1,0,0,0,a.olobo-Biarizea
81,a.omar,Rarita,33,0,0,0,1,1,a.omar-Rarita
82,a.omara,Esia,30,0,1,0,0,0,a.omara-Esia
83,a.ortega,Zamlie Niabangthe,22,1,0,0,0,0,a.ortega-Zamlie Niabangthe
84,a.palmieri,Landsfupua,34,0,1,0,0,0,a.palmieri-Landsfupua
85,a.patal,Sobianitedrucy,29,1,0,0,0,0,a.patal-Sobianitedrucy
86,a.pena,Nganion,30,0,0,1,0,0,a.pena-Nganion
87,a.popescu,People's Land of Maneau,24,1,0,0,0,0,a.popescu-People's Land of Maneau
88,a.popovi,Esia,25,0,1,0,0,0,a.popovi-Esia
89,a.radu,Janmico,34,0,0,1,0,0,a.radu-Janmico
90,a.richard,Nganion,34,0,0,1,0,0,a.richard-Nganion
91,a.ross,Esia,20,0,1,0,0,0,a.ross-Esia
92,a.salazar,Rarita,23,1,0,0,0,1,a.salazar-Rarita
93,a.schmidt,Dosqaly,27,1,0,0,0,0,a.schmidt-Dosqaly
94,a.schmitt,People's Land of Maneau,34,1,0,0,0,0,a.schmitt-People's Land of Maneau
95,a.schumacher,Sobianitedrucy,17,1,0,0,0,0,a.schumacher-Sobianitedrucy
96,a.serrano,Pierrema,27,0,1,0,0,0,a.serrano-Pierrema
97,a.sihombing,Central Namemo Laand,28,0,0,1,0,0,a.sihombing-Central Namemo Laand
98,a.soltani,Southern Ristan,21,0,0,1,0,0,a.soltani-Southern Ristan
99,a.soong,People's Land of Maneau,22,0,0,0,1,0,a.soong-People's Land of Maneau
100,a.suboti,Dosqaly,31,0,0,0,1,0,a.suboti-Dosqaly
101,a.tay,Frenchdo Stanser,32,0,0,1,0,0,a.tay-Frenchdo Stanser
102,a.tayebwa,Dosqaly,21,0,1,0,0,0,a.tayebwa-Dosqaly
103,a.tindimwebwa,Rarita,20,1,0,0,0,1,a.tindimwebwa-Rarita
104,a.tio,Nganion,33,0,0,1,0,0,a.tio-Nganion
105,a.tumuhaise,People's Land of Maneau,22,0,0,1,0,0,a.tumuhaise-People's Land of Maneau
106,a.tushabomwe,New Somoe,24,1,0,0,0,0,a.tushabomwe-New Somoe
107,a.tusingwire,Dosqaly,21,1,0,0,0,0,a.tusingwire-Dosqaly
108,a.uy,People's Land of Maneau,22,1,0,0,0,0,a.uy-People's Land of Maneau
109,a.vang,Nganion,23,0,1,0,0,0,a.vang-Nganion
110,a.whang,Rosvi,23,0,0,0,1,0,a.whang-Rosvi
111,a.white,Sobianitedrucy,27,0,0,0,1,0,a.white-Sobianitedrucy
112,a.yosef,Greri Landmoslands,20,1,0,0,0,0,a.yosef-Greri Landmoslands
113,a.yusuf,Esia,31,0,1,0,0,0,a.yusuf-Esia
114,a.zulu,Sobianitedrucy,22,0,1,0,0,0,a.zulu-Sobianitedrucy
115,b.abalo,Lefghau,21,0,0,1,0,0,b.abalo-Lefghau
116,b.abubakar,Imaar Vircoand,25,0,1,0,0,0,b.abubakar-Imaar Vircoand
117,b.adongo,Rarita,17,0,1,0,0,1,b.adongo-Rarita
118,b.akullu,Lefghau,22,0,1,0,0,0,b.akullu-Lefghau
119,b.alali,Esia,29,1,0,0,0,0,b.alali-Esia
120,b.alhassan,Unicorporated Tiagascar,32,0,1,0,0,0,b.alhassan-Unicorporated Tiagascar
121,b.ampofo,Rarita,32,0,0,0,1,1,b.ampofo-Rarita
122,b.angella,Lylimi,21,0,0,1,0,0,b.angella-Lylimi
123,b.apio,Pierrema,27,0,1,0,0,0,b.apio-Pierrema
124,b.asamoah,Dosqaly,21,1,0,0,0,0,b.asamoah-Dosqaly
125,b.asiedu,Isle of Lababwe,31,0,1,0,0,0,b.asiedu-Isle of Lababwe
126,b.awio,Sobianitedrucy,18,0,0,0,1,0,b.awio-Sobianitedrucy
127,b.ayuba,Rarita,20,0,1,0,0,1,b.ayuba-Rarita
128,b.ban,Dosqaly,20,0,0,1,0,0,b.ban-Dosqaly
129,b.bernardi,Sobianitedrucy,19,1,0,0,0,0,b.bernardi-Sobianitedrucy
130,b.binabdrahman,Sobianitedrucy,21,1,0,0,0,0,b.binabdrahman-Sobianitedrucy
131,b.binawang,Czechnor,26,0,1,0,0,0,b.binawang-Czechnor
132,b.binder,Nganion,30,0,0,1,0,0,b.binder-Nganion
133,b.bintiothman,Imaar Vircoand,22,0,0,1,0,0,b.bintiothman-Imaar Vircoand
134,b.bos,Nathuacamana,24,0,0,1,0,0,b.bos-Nathuacamana
135,b.brandt,Nganion,27,0,0,0,1,0,b.brandt-Nganion
136,b.bwambale,Nganion,20,0,0,1,0,0,b.bwambale-Nganion
137,b.colin,Loco Phirema,26,0,0,1,0,0,b.colin-Loco Phirema
138,b.derosa,People's Land of Maneau,23,1,0,0,0,0,b.derosa-People's Land of Maneau
139,b.fernandez,Esia,33,0,0,0,1,0,b.fernandez-Esia
140,b.ghorbani,Ngogalar,26,1,0,0,0,0,b.ghorbani-Ngogalar
141,b.gondo,Lefghau,33,0,1,0,0,0,b.gondo-Lefghau
142,b.grabowski,Dosqaly,35,0,1,0,0,0,b.grabowski-Dosqaly
143,b.guillot,Central Diasongo,26,0,1,0,0,0,b.guillot-Central Diasongo
144,b.hadzi,Esia,25,1,0,0,0,0,b.hadzi-Esia
145,b.ionescu,Esia,18,0,1,0,0,0,b.ionescu-Esia
146,b.jalali,Rosvi,25,0,1,0,0,0,b.jalali-Rosvi
147,b.jonsson,Imaar Vircoand,29,0,1,0,0,0,b.jonsson-Imaar Vircoand
148,b.kalyango,Lefghau,18,1,0,0,0,0,b.kalyango-Lefghau
149,b.kansiime,Nganion,25,1,0,0,0,0,b.kansiime-Nganion
150,b.kaonga,Central Namemo Laand,22,0,1,0,0,0,b.kaonga-Central Namemo Laand
151,b.katooko,Rarita,20,0,1,0,0,1,b.katooko-Rarita
152,b.kayondo,Lefghau,24,0,0,1,0,0,b.kayondo-Lefghau
153,b.khatib,Rarita,30,0,1,0,0,1,b.khatib-Rarita
154,b.klc,Sobianitedrucy,19,0,0,0,1,0,b.klc-Sobianitedrucy
155,b.kor,Cuandbo,30,0,1,0,0,0,b.kor-Cuandbo
156,b.koskinen,Esia,25,0,0,0,1,0,b.koskinen-Esia
157,b.kovaik,Sobianitedrucy,27,1,0,0,0,0,b.kovaik-Sobianitedrucy
158,b.kwek,Greri Landmoslands,23,1,0,0,0,0,b.kwek-Greri Landmoslands
159,b.lai,Rarita,31,0,0,1,0,1,b.lai-Rarita
160,b.lehtonen,Nganion,21,0,1,0,0,0,b.lehtonen-Nganion
161,b.liang,Byasier Pujan,36,1,0,0,0,0,b.liang-Byasier Pujan
162,b.lindberg,Rosvi,22,1,0,0,0,0,b.lindberg-Rosvi
163,b.longoli,Djipines,31,0,0,1,0,0,b.longoli-Djipines
164,b.madondo,Rarita,25,1,0,0,0,1,b.madondo-Rarita
165,b.maruyama,Sobianitedrucy,27,0,0,1,0,0,b.maruyama-Sobianitedrucy
166,b.masika,People's Land of Maneau,30,0,0,1,0,0,b.masika-People's Land of Maneau
167,b.maturu,People's Land of Maneau,28,1,0,0,0,0,b.maturu-People's Land of Maneau
168,b.mayer,Rosvi,31,0,0,1,0,0,b.mayer-Rosvi
169,b.mhamid,Rarita,23,0,1,0,0,1,b.mhamid-Rarita
170,b.miyasaki,Dosqaly,19,0,0,1,0,0,b.miyasaki-Dosqaly
171,b.mpofu,Byasier Pujan,19,1,0,0,0,0,b.mpofu-Byasier Pujan
172,b.mtonga,Nganion,28,1,0,0,0,0,b.mtonga-Nganion
173,b.munemo,Giumle Lizeibon,26,0,1,0,0,0,b.munemo-Giumle Lizeibon
174,b.murray,Danan Seekeeling,24,0,1,0,0,0,b.murray-Danan Seekeeling
175,b.mutasa,Rarita,19,1,0,0,0,1,b.mutasa-Rarita
176,b.nakabugo,Sina Daofra,32,0,0,1,0,0,b.nakabugo-Sina Daofra
177,b.nakandi,Rarita,28,1,0,0,0,1,b.nakandi-Rarita
178,b.nakandi,Sobianitedrucy,28,0,1,0,0,0,b.nakandi-Sobianitedrucy
179,b.nakiyemba,Esia,24,0,1,0,0,0,b.nakiyemba-Esia
180,b.nalugwa,Dosqaly,19,0,1,0,0,0,b.nalugwa-Dosqaly
181,b.nalwanga,Dosqaly,32,0,1,0,0,0,b.nalwanga-Dosqaly
182,b.nambuya,Dosqaly,19,0,0,1,0,0,b.nambuya-Dosqaly
183,b.nandudu,Dosqaly,19,0,0,1,0,0,b.nandudu-Dosqaly
184,b.nanyunja,Esia,19,0,0,1,0,0,b.nanyunja-Esia
185,b.nassozi,Dosqaly,35,0,0,1,0,0,b.nassozi-Dosqaly
186,b.ndlovu,Dosqaly,21,0,1,0,0,0,b.ndlovu-Dosqaly
187,b.nemeth,Lefghau,24,1,0,0,0,0,b.nemeth-Lefghau
188,b.nura,Boland Laynga,27,0,1,0,0,0,b.nura-Boland Laynga
189,b.obonyo,Imaar Vircoand,32,0,1,0,0,0,b.obonyo-Imaar Vircoand
190,b.ochieng,Dosqaly,36,0,0,0,1,0,b.ochieng-Dosqaly
191,b.okyere,Dosqaly,21,0,0,1,0,0,b.okyere-Dosqaly
192,b.pandit,Dosqaly,20,0,0,1,0,0,b.pandit-Dosqaly
193,b.polak,Dosqaly,22,0,0,1,0,0,b.polak-Dosqaly
194,b.putra,Rosvi,25,0,1,0,0,0,b.putra-Rosvi
195,b.quaye,Rarita,22,1,0,0,0,1,b.quaye-Rarita
196,b.quaye,Sobianitedrucy,22,1,0,0,0,0,b.quaye-Sobianitedrucy
197,b.reyes,Esian Republic,27,1,0,0,0,0,b.reyes-Esian Republic
198,b.roche,Dosqaly,26,1,0,0,0,0,b.roche-Dosqaly
199,b.rohman,People's Land of Maneau,22,1,0,0,0,0,b.rohman-People's Land of Maneau
200,b.rubio,Dosqaly,20,0,1,0,0,0,b.rubio-Dosqaly
201,b.sabano,Esia,18,0,0,1,0,0,b.sabano-Esia
202,b.savolainen,Lefghau,26,0,0,1,0,0,b.savolainen-Lefghau
203,b.simango,Dosqaly,22,0,0,1,0,0,b.simango-Dosqaly
204,b.stewart,People's Land of Maneau,24,0,0,1,0,0,b.stewart-People's Land of Maneau
205,b.supriatna,Quewenia,18,0,1,0,0,0,b.supriatna-Quewenia
206,b.taheri,Imaar Vircoand,20,0,0,1,0,0,b.taheri-Imaar Vircoand
207,b.teh,Sobianitedrucy,28,0,1,0,0,0,b.teh-Sobianitedrucy
208,b.tong,Nganion,23,0,1,0,0,0,b.tong-Nganion
209,b.turinawe,Lefghau,30,0,0,1,0,0,b.turinawe-Lefghau
210,b.umaru,Esia,22,1,0,0,0,0,b.umaru-Esia
211,b.vandermeer,Esia,25,0,0,1,0,0,b.vandermeer-Esia
212,b.waon,Badad,24,0,0,1,0,0,b.waon-Badad
213,b.weiss,People's Land of Maneau,34,0,0,1,0,0,b.weiss-People's Land of Maneau
214,b.wright,People's Land of Maneau,30,0,0,1,0,0,b.wright-People's Land of Maneau
215,b.ylmaz,Central Namemo Laand,22,0,0,1,0,0,b.ylmaz-Central Namemo Laand
216,b.zee,Nathuacamana,25,0,1,0,0,0,b.zee-Nathuacamana
217,b.zheng,Imaar Vircoand,27,1,0,0,0,0,b.zheng-Imaar Vircoand
218,c.abaho,Pierrema,28,1,0,0,0,0,c.abaho-Pierrema
219,c.abbo,Esia,19,0,0,1,0,0,c.abbo-Esia
220,c.abramov,Western Niasland,29,1,0,0,0,0,c.abramov-Western Niasland
221,c.adong,Byasier Pujan,29,0,0,1,0,0,c.adong-Byasier Pujan
222,c.akullo,Nancipenuaroe,17,0,1,0,0,0,c.akullo-Nancipenuaroe
223,c.alum,Rosvi,28,0,1,0,0,0,c.alum-Rosvi
224,c.amoding,Iverde,20,0,0,1,0,0,c.amoding-Iverde
225,c.arineitwe,Nganion,27,0,1,0,0,0,c.arineitwe-Nganion
226,c.asadi,Lylimi,23,0,1,0,0,0,c.asadi-Lylimi
227,c.asiku,Dosqaly,19,1,0,0,0,0,c.asiku-Dosqaly
228,c.attias,Nganion,27,0,1,0,0,0,c.attias-Nganion
229,c.baba,People's Land of Maneau,34,0,0,0,1,0,c.baba-People's Land of Maneau
230,c.bai,Western Niasland,24,0,0,1,0,0,c.bai-Western Niasland
231,c.baluka,Rarita,20,0,0,1,0,1,c.baluka-Rarita
232,c.benhamou,Nganion,25,0,0,1,0,0,c.benhamou-Nganion
233,c.boyko,Dosqaly,30,0,0,1,0,0,c.boyko-Dosqaly
234,c.brzis,Dosqaly,26,0,1,0,0,0,c.brzis-Dosqaly
235,c.byrne,Ingre,22,0,0,1,0,0,c.byrne-Ingre
236,c.chand,Janmico,28,0,1,0,0,0,c.chand-Janmico
237,c.danquah,Byasier Pujan,24,0,0,1,0,0,c.danquah-Byasier Pujan
238,c.denis,Esia,30,0,0,1,0,0,c.denis-Esia
239,c.devries,Nganion,30,0,1,0,0,0,c.devries-Nganion
240,c.dominguez,Southern Viout Aman,19,1,0,0,0,0,c.dominguez-Southern Viout Aman
241,c.emmanuel,Nganion,22,0,0,1,0,0,c.emmanuel-Nganion
242,c.fuentes,Saintu,29,0,1,0,0,0,c.fuentes-Saintu
243,c.gheorghe,Central Diasongo,18,0,1,0,0,0,c.gheorghe-Central Diasongo
244,c.go,Sobianitedrucy,32,1,0,0,0,0,c.go-Sobianitedrucy
245,c.grassi,Sobianitedrucy,24,1,0,0,0,0,c.grassi-Sobianitedrucy
246,c.guerrero,Lefghau,27,0,1,0,0,0,c.guerrero-Lefghau
247,c.haas,Janmico,28,0,0,1,0,0,c.haas-Janmico
248,c.hamed,Sobianitedrucy,23,0,0,0,1,0,c.hamed-Sobianitedrucy
249,c.haruna,Tucamna,20,1,0,0,0,0,c.haruna-Tucamna
250,c.horvat,Southern Ristan,22,0,0,1,0,0,c.horvat-Southern Ristan
251,c.hu,Dosqaly,18,1,0,0,0,0,c.hu-Dosqaly
252,c.ibrahim,Imaar Vircoand,29,0,0,1,0,0,c.ibrahim-Imaar Vircoand
253,c.ismail,Nganion,23,0,0,0,1,0,c.ismail-Nganion
254,c.joly,People's Land of Maneau,21,1,0,0,0,0,c.joly-People's Land of Maneau
255,c.kabagambe,Rarita,31,0,1,0,0,1,c.kabagambe-Rarita
256,c.kadosh,Landli Blicporlip,28,1,0,0,0,0,c.kadosh-Landli Blicporlip
257,c.kakayi,Dosqaly,22,0,0,1,0,0,c.kakayi-Dosqaly
258,c.kasangaki,Nganion,30,0,0,1,0,0,c.kasangaki-Nganion
259,c.kavis,People's Land of Maneau,25,0,0,1,0,0,c.kavis-People's Land of Maneau
260,c.kavuma,Nganion,19,0,0,1,0,0,c.kavuma-Nganion
261,c.kawooya,Republic of Denand Landsa,23,0,1,0,0,0,c.kawooya-Republic of Denand Landsa
262,c.kazibwe,Lefghau,23,0,0,1,0,0,c.kazibwe-Lefghau
263,c.khalil,Esia,28,1,0,0,0,0,c.khalil-Esia
264,c.kirungi,Sobianitedrucy,18,0,0,1,0,0,c.kirungi-Sobianitedrucy
265,c.kova,Loco Phirema,27,0,1,0,0,0,c.kova-Loco Phirema
266,c.kwakye,Nancipenuaroe,28,1,0,0,0,0,c.kwakye-Nancipenuaroe
267,c.kyaligonza,Esia,20,0,0,1,0,0,c.kyaligonza-Esia
268,c.kyarikunda,People's Land of Maneau,17,1,0,0,0,0,c.kyarikunda-People's Land of Maneau
269,c.langa,Dosqaly,20,0,1,0,0,0,c.langa-Dosqaly
270,c.leroy,People's Land of Maneau,27,0,0,0,1,0,c.leroy-People's Land of Maneau
271,c.lim,Biarizea,29,1,0,0,0,0,c.lim-Biarizea
272,c.luka,Nganion,24,0,1,0,0,0,c.luka-Nganion
273,c.lunyolo,Nganion,24,0,0,1,0,0,c.lunyolo-Nganion
274,c.machingura,Nganion,28,0,0,1,0,0,c.machingura-Nganion
275,c.majoni,Sobianitedrucy,28,0,1,0,0,0,c.majoni-Sobianitedrucy
276,c.manjhi,Sobianitedrucy,26,0,0,1,0,0,c.manjhi-Sobianitedrucy
277,c.mari,Giumle Lizeibon,27,0,1,0,0,0,c.mari-Giumle Lizeibon
278,c.mashiri,Southern Ristan,22,0,0,1,0,0,c.mashiri-Southern Ristan
279,c.mati,Dosqaly,25,0,1,0,0,0,c.mati-Dosqaly
280,c.medina,Nganion,17,0,1,0,0,0,c.medina-Nganion
281,c.mirkovi,People's Land of Maneau,30,0,0,1,0,0,c.mirkovi-People's Land of Maneau
282,c.moser,Byasier Pujan,30,0,0,1,0,0,c.moser-Byasier Pujan
283,c.msukwa,Pierrema,25,0,0,1,0,0,c.msukwa-Pierrema
284,c.mugabirwe,Esia,26,1,0,0,0,0,c.mugabirwe-Esia
285,c.mukiibi,Bernepamar,24,1,0,0,0,0,c.mukiibi-Bernepamar
286,c.musubika,Saintu,29,0,0,1,0,0,c.musubika-Saintu
287,c.mwesige,People's Land of Maneau,30,1,0,0,0,0,c.mwesige-People's Land of Maneau
288,c.nabaggala,Esia,17,1,0,0,0,0,c.nabaggala-Esia
289,c.nafuna,Dosqaly,23,1,0,0,0,0,c.nafuna-Dosqaly
290,c.najafi,Greri Landmoslands,21,0,0,1,0,0,c.najafi-Greri Landmoslands
291,c.nakalyango,Lenia Gerdanho,26,0,1,0,0,0,c.nakalyango-Lenia Gerdanho
292,c.nakitto,Nganion,34,0,0,1,0,0,c.nakitto-Nganion
293,c.nalwadda,Greri Landmoslands,23,0,0,1,0,0,c.nalwadda-Greri Landmoslands
294,c.namanda,Puway,36,0,0,1,0,0,c.namanda-Puway
295,c.namugga,Esia,22,0,0,1,0,0,c.namugga-Esia
296,c.namutebi,People's Land of Maneau,31,1,0,0,0,0,c.namutebi-People's Land of Maneau
297,c.nankya,Dosqaly,19,1,0,0,0,0,c.nankya-Dosqaly
298,c.navarro,Nganion,34,0,0,1,0,0,c.navarro-Nganion
299,c.ndiweni,Galamily,32,0,0,1,0,0,c.ndiweni-Galamily
300,c.negri,Biarizea,28,0,0,1,0,0,c.negri-Biarizea
301,c.neri,Nganion,24,0,1,0,0,0,c.neri-Nganion
302,c.nurjanah,New Somoe,28,0,0,1,0,0,c.nurjanah-New Somoe
303,c.obi,Sobianitedrucy,28,0,0,1,0,0,c.obi-Sobianitedrucy
304,c.oconnor,Unicorporated Tiagascar,22,1,0,0,0,0,c.oconnor-Unicorporated Tiagascar
305,c.oloya,Reugha,25,0,0,1,0,0,c.oloya-Reugha
306,c.omar,Dosqaly,30,1,0,0,0,0,c.omar-Dosqaly
307,c.paramar,Redohrainbri,18,1,0,0,0,0,c.paramar-Redohrainbri
308,c.pavlovi,Lefghau,22,0,0,1,0,0,c.pavlovi-Lefghau
309,c.prakash,Dosqaly,18,0,0,1,0,0,c.prakash-Dosqaly
310,c.rai,Nganion,25,1,0,0,0,0,c.rai-Nganion
311,c.rathod,Dosqaly,22,0,1,0,0,0,c.rathod-Dosqaly
312,c.rodriguez,Esia,31,0,0,1,0,0,c.rodriguez-Esia
313,c.roux,Nganion,34,0,0,1,0,0,c.roux-Nganion
314,c.sagal,Dosqaly,20,0,1,0,0,0,c.sagal-Dosqaly
315,c.sanna,Nganion,26,1,0,0,0,0,c.sanna-Nganion
316,c.schmidt,Nganion,21,1,0,0,0,0,c.schmidt-Nganion
317,c.shaheen,Dosqaly,20,0,1,0,0,0,c.shaheen-Dosqaly
318,c.shevchenko,Nganion,31,0,0,0,1,0,c.shevchenko-Nganion
319,c.shumba,Cabral Retrea,21,1,0,0,0,0,c.shumba-Cabral Retrea
320,c.ssentamu,People's Land of Maneau,21,1,0,0,0,0,c.ssentamu-People's Land of Maneau
321,c.sulaiman,Dosqaly,27,0,0,1,0,0,c.sulaiman-Dosqaly
322,c.sung,Imaar Vircoand,26,0,1,0,0,0,c.sung-Imaar Vircoand
323,c.thomas,Giumle Lizeibon,26,1,0,0,0,0,c.thomas-Giumle Lizeibon
324,c.tukamushaba,Rarita,25,0,0,1,0,1,c.tukamushaba-Rarita
325,c.vandenberg,Redohrainbri,22,0,0,1,0,0,c.vandenberg-Redohrainbri
326,c.vtols,Imaar Vircoand,27,0,0,0,1,0,c.vtols-Imaar Vircoand
327,c.wahyuni,Rarita,38,0,0,1,0,1,c.wahyuni-Rarita
328,c.wee,Esia,29,1,0,0,0,0,c.wee-Esia
329,c.yousef,Nganion,21,0,0,1,0,0,c.yousef-Nganion
330,d.abiria,Nganion,21,0,1,0,0,0,d.abiria-Nganion
331,d.adebayo,Nganion,23,1,0,0,0,0,d.adebayo-Nganion
332,d.akia,Nganion,28,0,0,1,0,0,d.akia-Nganion
333,d.akugizibwe,Imaar Vircoand,31,0,1,0,0,0,d.akugizibwe-Imaar Vircoand
334,d.alshehri,People's Land of Maneau,33,0,1,0,0,0,d.alshehri-People's Land of Maneau
335,d.amanyire,Sobianitedrucy,31,0,0,1,0,0,d.amanyire-Sobianitedrucy
336,d.amoako,Dosqaly,18,0,0,1,0,0,d.amoako-Dosqaly
337,d.amongi,Lylimi,36,0,0,1,0,0,d.amongi-Lylimi
338,d.andersson,Lefghau,29,1,0,0,0,0,d.andersson-Lefghau
